search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
1, Redlemon Audífonos Bluetooth 5.0 Tws Base Carga Contra Agua ,754,888,"
			
			
				
				1459
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4189
		
		 sin intereses
		
	

	
		",89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,53,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,https://articulo.mercadolibre.com.mx/MLM-659989626-redlemon-audifonos-bluetooth-50-tws-base-carga-contra-agua-_JM?searchVariation=31744770814,43,6,2,0,1,#659989626,REDlemon,Audio Bluetooth,TWS 5.0,RL,Ear-Buds
2, Audífonos Bluetooth Select Sound Tipo Dj Radio Fm Bth024 ,329,388,"
			
			
				
				4453
				vendidos
			
		",(239 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1828
		
		 sin intereses
		
	

	
		",28,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.9,123,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,https://articulo.mercadolibre.com.mx/MLM-626523199-redlemon-audifonos-bluetooth-manos-libres-sonido-hd-portatil-_JM?searchVariation=23891594869,61,23,18,6,14,#626523199,REDlemon,Audio Bluetooth,I7,RL,In-ear
3, Audífonos Bluetooth Inalámbricos Estereo AirPods + Estuche ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5428
				vendidos
			
		",(256 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1768
		
		 sin intereses
		
	

	
		",68,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,53,https://perfil.mercadolibre.com.mx/MR.UPSALES,https://articulo.mercadolibre.com.mx/MLM-659404535-audifonos-inalambricos-bluetooth-i7s-android-y-ios-estuche-_JM?searchVariation=31624203147,30,12,4,2,5,#659404535,Universal,Wear,i7s,i7S,In-ear
4, Audifonos Bluetooth Inalambrios Magneticos Manos Libres ,89,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6623
				vendidos
			
		",(352 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 879
		
		 sin intereses
		
	

	
		",79,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,68,https://perfil.mercadolibre.com.mx/MR.UPSALES,https://articulo.mercadolibre.com.mx/MLM-655705883-audifonos-bluetooth-inalambrios-magneticos-manos-libres-_JM?searchVariation=30738135825,38,18,7,2,3,#655705883,OEM,NA,XT111,NA,In-ear
5, Audífonos Bluetooth V5 Tws Soportan iPhone Android ,923,"1,087","
			
				Nuevo
			
			
				
					 - 
				
				3046
				vendidos
			
		",(105 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 5133
		
		 sin intereses
		
	

	
		",33,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,116,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,https://articulo.mercadolibre.com.mx/MLM-659636323-audifonos-bluetooth-resistentes-al-agua-manos-libre-luz-roja-_JM,89,15,9,2,1,#659636323,Arbily,Audio Bluetooth,TWS-T8,AR,Ear-Buds
6, Audifonos Bluetooth Mano Libres Inalambrico Bestsin Original ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5750
				vendidos
			
		",(171 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 222
		
		 sin intereses
		
	

	
		",22,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,28,https://perfil.mercadolibre.com.mx/CONTECSHOP2014,https://articulo.mercadolibre.com.mx/MLM-617750464-auricular-mini-audifono-bluetooth-manos-libres-negro-amn-_JM,15,8,2,1,2,#617750464,Byteshop,NA,AirPods,NA,In-ear
7," Mini Audífonos Tipo Airpod I7s Tws Bluetooth iPhone, Android ",329,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3596
				vendidos
			
		",(190 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1828
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,49,https://perfil.mercadolibre.com.mx/MONOKO+MEXICO,https://articulo.mercadolibre.com.mx/MLM-658345966-audifonos-bluetooth-inalambricos-estereo-airpods-estuche-_JM?searchVariation=31363992355,27,9,6,4,3,#658345966,TWS,NA,i7s,i7s,In-ear
8, Audifonos Diadema Bluetooth Manos Libres Matte Necnon Nbh-01 ,89,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6623
				vendidos
			
		",(352 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 879
		
		 sin intereses
		
	

	
		",79,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,68,https://perfil.mercadolibre.com.mx/MR.UPSALES,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=8x74W3yN9fOn006tM%2Bg2kWzgTQ0boM3CrWJTu9F0pr%2F9zfRv4MPVO2AaJ0Z2emQis0%2BT6O%2Bxu7k5q%2FxjLzPp5mZAsWJ3vds4mwuLlG4B8joMiBKRuxDwQA5redrD%2BzQfr3OOUizQRTywoDfFpCyPtm4%2BN3k6f92xXfhhFyg7WNwRLFtvrIDUV6Ycq075uVHpCjh17ykDIZhcTF%2F0TaD84oKtR91Ux5RQuWIeGsD0y0n%2FRZ%2FQ97fru19HiVcpJ8jSqgguSggsZFRuwwz9yHY0PTFjxZuxLV9HnqkZYbxl25Iz3hjTdUYF4UPXCx9H4IjgmUkCgv7ZSRvkPbmTYQpcIFlV23K74coWnFXmCFXLawah3%2FFR16Uf8k6qNHgjoeYhHAs%2FW47PYFfR2ug2vJqjyesS5QCJyK7Ob11wvlxblQ2y%2F3vzKVqVhg%2FtcMO398VblpoefuXy6%2BR6JFV%2Bag5aD8va0DAUX8uZp2KoeC%2Bqfph8Im4%2BFy46WJOCDAvwUrNTp9QeM21PofB9hROcHpKBZPMf0%2FVPgszEz6D9ezYnAiTwbBd9B1zFoie9fd14ZGzLWiBqJC7dnIShLCCd%2BNEqWu9MY2BYCantboONScBtJEIhW1BDc%2FGfdPPZKZ4uOh2uNMwkdQaZwbIcR4YPlGzcANtlhdpzDPpp6q0dbEn2UfHZ6%2FAdM3GPeiNPy5RJRjU4bt20%2BNam9zy4Qbn6y%2BtlJQKLFBFKj2fRmTI%2FPa%2FEcLvNox4gps756SBC1TezLEquktmdqwJsyXIZXkNCtoWvc2qg26e%2FOb%2FG%2B2pUgMHEvuOtwShKavfCfrHsQpSvLpi5xvaFo%2F2uQ%2BudpsNkXWwznbIF%2BeZz%2BIegHTIEIbddyJVTnW0pisRV78b1%2Buk3XBEc5KbQMLXBQ1kRhWEtlLjlXtMmmUkSyueJq4LYc3Wdultki%2F6C75402RCd9sycpKLQCL%2FrJJ4gxPDmCdfP1O9aCJDLMmM%2B5crePDnwA2EloVEo7ZDxKebEcqmJZehmutlQRP3%2FFigT%2BF8u7%2BQkNoVWR%2FC%2BCWaRojVFAOtbzyPXDiOROEYAosmRfG2azb3raLf9t2tCt%2Bg8DNBJFDkrw%2FryyveG2UsIQAhDAdJpI5bz7aUoPhbe2HmfVNeQmrr2itph91rXDvSO5uSwgtM04JS9XETFjw%2FsnYVS8WCJqN0Fa0f6uQTxsiTNdTGQj%2F0b4mzkge%2BjZu%2BzIPpOUoaFZp0xgvCHLQGGVSEmdKUJivpqNwDCCA7SGkkk7hkY%2FNK%2FjJDgRJ4Oe3CnLut%2FdDue13M1EXIW%2FKzUvZ0PqWvkk2BbPzzzeKMhqTWryKKtaH3B93yfbKCKGTrrtqCIg9n0SQxMqgA%2B2x3Wmsfv115p3RxdttFjnNtgG5GjAFaNqQwm4HsilDiCHqSzjy9pXvYHPV94piivE6eyGZ06%2BJYjWH%2Byreuo9hdwU1PXuj7XHWjEzdkhRffN1WlyFNDOGYFCBNSDCOUYOw2HkR1d2KGoNsB7Gq12sWl%2BVNpk5TUW51fB2A382Dxs6Ad5U0Gze5LTWK9NVnZ41EI%2F3hscWtgrsP7z9q3eC4dVgS1%2Bj%2BPBTzRocFC%2BMm0nEd5ZhCS%2FBVRNc9znpnSzI0OHihXWLiEJDAMVIqkbjsL%2FhVFdpvH8poSyeEoDLUYlh8qkZ6rAKZwRFQdHmRpAv8ajvJW8GnMLVxH7kc4FzGqggXcNktu9K13%2FN7Zy1HakVfSe,38,18,7,2,3,#655705883,OEM,NA,XT111,NA,In-ear
9, Auricular Mini Audífono Bluetooth Manos Libres - Negro Amn ,861,"1,077","
			
				Nuevo
			
			
				
					 - 
				
				2591
				vendidos
			
		",(217 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4787
		
		 sin intereses
		
	

	
		",87,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,112,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,https://articulo.mercadolibre.com.mx/MLM-656084046-auriculares-de-bluetooth-manos-libres-base-de-carga-x9-azul-_JM,88,19,2,1,1,#656084046,SEP HOME,NA,Kohler,NA,NA
10, Audifonos Inalambricos Bluetooth I7s Android Y Ios Estuche ,124,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2020
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1235
		
		 sin intereses
		
	

	
		",35,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.4,10,https://perfil.mercadolibre.com.mx/INNOVASTORE+CUU,https://articulo.mercadolibre.com.mx/MLM-639804704-audifonos-bluetooth-i7-tws-tipo-airpod-audifonos-y-estuche-_JM?searchVariation=30819554531,6,0,0,0,4,#639804704,i7,NA,tws mini,NA,In-ear
