search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso
197, Cortabarba Philips Bt7201/15 Con Sistema De Aspiración ,2299,NA,37,20,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,47,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-751695921-cortabarba-philips-bt720115-con-sistema-de-aspiracion-_JM,29,12,3,2,1,#751695921,Philips,Series 7000,Beardtrimmer,BT7201/15,60M,220v,Planos,NA
198, Afeitadora Andis Profoil Lithium - Retiro/despacho Del Local ,6390,NA,29,14,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/MIDEN-SERVICE-OFICIAL,https://articulo.mercadolibre.com.ar/MLA-664498375-afeitadora-andis-profoil-lithium-retirodespacho-del-local-_JM,3,0,0,0,0,#664498375,Andis,ProFoil,ProFoil Lithium,NA,80 minutos,Cargador,NA,NA
199, Cortabarba Multigroom Philips Mg7715/15 13 En 1 ,2999,NA,10,10,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-792059371-cortabarba-multigroom-philips-mg771515-13-en-1-_JM,1,0,0,0,0,#792059371,Philips,Multigroom,MG7715/15,MG7715/15,NA,100v a 240v,Planos,NA
200, Cortabarba Multigroom Philips Mg3730/15 Serie 3000 Cuotas ,2223,NA,30,5,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,2,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-753517748-cortabarba-multigroom-philips-mg373015-serie-3000-cuotas-_JM,2,0,0,0,0,#753517748,Philips,Series 3000,MG3730/15,MG3730/15,NA,220V,Planos,NA
201, Afeitadora Gama Gsh860 Recargable Inalambrica Tecnofast ,1249,NA,113,17,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,96,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624060620-afeitadora-gama-gsh860-recargable-inalambrica-tecnofast-_JM,47,34,13,2,0,#624060620,GA.MA Italy,CORTADORA,GSH 860,NA,ELECTRICA,Batería,NA,NA
202, Afeitadora Depiladora Rasuradora Cortadora Masculina Cuerpo ,1200,NA,21,4,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,128,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-767366933-afeitadora-depiladora-rasuradora-cortadora-masculina-cuerpo-_JM,82,35,9,1,1,#767366933,Remington,1000,Bodygroom,NA,1,Batería,Ergónomicos,NA
203, Cortabarba Philips Beardtrimmer Bt5502/15 ,2499,NA,14,94,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-787692906-cortabarba-philips-beardtrimmer-bt550215-_JM,NA,NA,NA,NA,NA,#787692906,Philips,Beardtrimmer series 5000,BT5502/15,BT5502/15,NA,100-240 V,NA,NA
204, Cortabarba Multigroom Philips Mg5730/15 Cuotas ,2588,NA,103,8,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,11,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-720490375-cortabarba-multigroom-philips-mg573015-cuotas-_JM,9,2,0,0,0,#720490375,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220V,Planos,NA
205, Babyliss Pro Foilfx02 Afeitadora De Doble Hoja Inalambrica ,6290,NA,9,991,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/PELO-ONLINE,https://articulo.mercadolibre.com.ar/MLA-754008995-babyliss-pro-foilfx02-afeitadora-de-doble-hoja-inalambrica-_JM,1,0,0,0,0,#754008995,BaByliss,Pro,FOILFX02,NA,180 MINUTOS,NA,Removibles,NA
206, Afeitadora Eléctrica Philips Shaver S7310/12 Recargable ,5499,NA,10,1,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,135,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-766766447-afeitadora-electrica-philips-shaver-s731012-recargable-_JM,88,32,11,2,2,#766766447,Philips,S7310/12,S7310/12,S7310/12,50 min,220v,NA,NA
207, Afeitadora Philips One Blade Qp6510/20 Seco/humedo Cuotas ,3019,NA,24,13,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,248,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-733112291-afeitadora-philips-one-blade-qp651020-secohumedo-cuotas-_JM,158,66,18,3,3,#733112291,Philips,OneBlade Pro,QP6510/20,QP6510/20,60,220V,Planos,NA
208, Afeitadora Gama 2301 6 En 1 ,685,NA,59,4,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3.3,3,https://perfil.mercadolibre.com.ar/ARTICULOS-EXCLUSIVOS,https://articulo.mercadolibre.com.ar/MLA-737126760-afeitadora-gama-2301-6-en-1-_JM,1,1,0,0,1,#737126760,GA.MA Italy,NA,SE 2301,NA,NA,A pila,NA,250 g
209, Afeitadora Cortabarba Philips One Blade 6510 Cortadora Peine ,2900,NA,171,3,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,899,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-648718664-afeitadora-cortabarba-philips-one-blade-6510-cortadora-peine-_JM,675,159,43,9,13,#648718664,Philips,Clade,OneBlade,QP2521/10,NA,Batería,Planos,NA
210, Afeitadora Braun Mg5050 Multifunción Afeita Y Perfila 2 En 1 ,2679,NA,20,15,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,13,https://perfil.mercadolibre.com.ar/DOMADORDEPRECIOS,https://articulo.mercadolibre.com.ar/MLA-647391466-afeitadora-braun-mg5050-multifuncion-afeita-y-perfila-2-en-1-_JM,10,2,1,0,0,#647391466,Braun,Afeitadora Multigroomer,MG5050,MG5050,NA,NA,NA,NA
211, Afeitadora Electrica Philips Aquatouch S1030 Sec-humedo Ret ,1699,NA,12,44,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,551,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-780635766-afeitadora-electrica-philips-aquatouch-s1030-sec-humedo-ret-_JM,370,122,37,13,9,#780635766,Philips,AquaTouch,AquaTouch,NA,NA,Batería regarcable a 220v,Ergónomicos,NA
212, Maquina Afeitadora Rasuradora Vellos Facial Recargable Usb ,345,NA,65,934,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,2,https://perfil.mercadolibre.com.ar/01ENLINEA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=iye6wSU1GYMGhSrzymreXz8SstMOqzhTq8DAJGwAH2NQKaRKeAbUbemGUW7K%2FIlsvtoWDfVqhfMVgCbGDuMA66tt06j6s7sAqrvW%2Fn9niJGkysU0wsOsYZbcpzapmwnJGJR3OUkM3xFnS3CMxsaDzNM2By0t4nrG0rPkwSPDT%2BviwEIjC1xYPhjp6OK1wcjCdzxNG6W6Ml1bsvFvJkgGny7M9FClDTDu4OFPT0XaODKoYqjXT65A2StXbQ5rKpDp30EhPmGMUvh6PlQmB53sH7Wsp7d9jAqeXbY6nWqLy4SJXZ7rgIeNLa0qffb0pgWOW6PMkByX%2BK%2FYLKQL%2FaMFZJGrZnecPkSEwUGIaPpAgTNxufWU2RMQL3jxY%2FjR4h8ilngQ2Yg4RLS0ch93YOdgTql%2Fkbbod8PKFlkj7INojSWEzUH7JBHeoX6TmW%2F4mDoTUGO6MmyiTb44uDzflc46DWU3jz%2BlILsbcm%2Fcs1o8kZJ6OlbJDsgv646zyU4D6H%2FsvpuhB%2BkCsBywSq9EWxFwoz4drVdy2QJQ05hwF6jo6ZPPkQo1WQfz%2Fr7IY6iLNlit775tzFn3v5rtGNjkxUTbd%2BLJak8XsZ%2FI2usZRzNKPNqN7on87WJpoIkszW5lAyue99QFQa0rETxx5jDUUqkkmLk85KMtoJleAjhm59WXAj1KVGGKV14SOsFhXufK69uSseFCaZnAsHdHxAyEN3Q6oigQ2eWQ%2FTLQn5tiUIYnGCW4AjTDv9B%2BsWtt0Wi5lnBlLIJAN66dq98uHYVz3nPfApqhzCzXNYYpWmT3yZeAMaQu9htq41eWkK5W5swSr2ioVAKe3dHaKEaIK54Mdi5A6qakrVyf2%2BAhO9x4jKwaBwvuZguyMF1OtS3eezDms8bWpgIA2GVU0%2F8bWYR14AKnP%2FdD9kGi2HNBaLN4uNCnqhe9g575KowoF2PAAVHBjGetwd8fzuXJnndpHVa38pa9KNKIMBeuF4buKjhdFtjknIwHdWS51qG6Z1BWyNSCdWg6aK9HpMX6IEqmEQg39IUBiS5PRjAj6a%2FP2NSH3NYjQIaT%2BQhJjQsWaVCUNgCs%2B76fEzrfadKOe6w1BPzwfu%2Btuz6cF8M9ZmeownUSYka6L%2ByRFK3VRaOWewbWaRMd6YlorlgBl29FuLvdVlNbsEaiktVp4WGW57F4VPP60fDNx%2BfyqUM6L7P%2BGiww0X6Cs9YhAsE969Y16jL5ysqWJyb38rKVAruh%2BWh9l%2Fp%2B4nVu8LR7MWTJmnJa4dLR8XPhb8qjvQ3gHyvcS67SqX3bz1olYlUYlwleLUObqTg37rKKqaTfErf24Bnc3U3NEK8v9TLjKISHZlJQB6mNr%2BQmT92yt5SInlqt%2Fsn8vcKNscE3SYDStSq9wZuJg7%2BaYG3bWMCdJbEvh6ecVxQFPkaP%2Bh5ZpBunMjVh4FxCYVMDIqhX3cU%2Bp68ArHxiUxuYtO5NVhY087mR84MWoCHFVnqxyzOt7E8sfCP37oDtl8sbWvt17trlw77wMju791hI%2FJxbWK%2FvTcwcZUFsU9QwQQqHnXnqzeqAOvz02allzvoOUAzRpE4Miby41xgipTaPrhPUmlY1sqDPiySalVzWt5dnGbDZYeFnptLRPjo86CSTuhM3eVy7gVQm%2FiAIupTOgOmLHnnRqgVfZZxDhJYYb4WFMITp93aqVUJWq19OtfejKfNPLAZBf%2BKr5ZYhXcXJ1V0Azj%2FSJeTv2p%2FjCk8JBNACulR7%2Fj4ZZeIlBxHsCx0lsvSqtJlvZvauZfwU9Owo9VMolAw4O3lTNkjxFxwwab4%2BCpBUX%2BS49xrFzTFi3vg%3D,2,0,0,0,0,#783178998,Nanzhong,"NA",NZ-203,NA,NA,USB,Giratorios,NA
