value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Envío,,
3,días,días,Llega hoy,,
4,,,Llega gratis hoy,,
5,,,Envío gratis a todo el país,,
6,,,Envío a todo el país,,
7,,,Retiro gratis en local de Garbarino,,
8,,,Retiro gratis en local de Frávega,,
9,,,Retiro gratis en local de Megatone,,
10,,,Llega mañana,,
11,,,Retiro gratis en local del vendedor,,
12,,,Retiro gratis en local de Ribeiro,,
13,,,Entrega a acordar con el vendedor,,
14,,,Envío gratis,,
15,,,Llega gratis el viernes,,
16,,,Retiro gratis en tienda de Geant,,
