search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1, Barbeador Elétrico Philips One Blade Oneblade Qp2510/10 ,139,NA,"
			
				Novo
			
			
				
					 - 
				
				4632
				vendidos
			
		",(366 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1337
		
		 sem juros
		
	

	
		",37,NA,Frete grátis,NA,NA,4.6,427,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1048809617-barbeador-eletrico-philips-one-blade-oneblade-qp251010-_JM,328,60,22,7,9,#1048809617,Philips,OneBlade,QP2510/10,QP2510/10,Recarregável,Flexíveis,30 m,NA
2, Barbeador Elétrico Philips Aquatouch At756/16 ,269,309,"
			
			
				
				3
				vendidos
			
		",(120 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,NA,NA,4.6,427,https://perfil.mercadolivre.com.br/LOJAS+BENOIT?brandId=1539,https://produto.mercadolivre.com.br/MLB-1164220706-barbeador-eletrico-philips-aquatouch-at75616-_JM,328,60,22,7,9,#1164220706,Philips,AquaTouch,AT756/16,NA,Recarregável,NA,NA,0.29 kg
3, Barbeador Elétrico Maquina De Barbear Aparelho Barba Promo ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				1473
				vendidos
			
		",(9527 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 624
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,NA,NA,4.4,1535,https://perfil.mercadolivre.com.br/FGK+VENDAS,https://produto.mercadolivre.com.br/MLB-1120282284-barbeador-eletrico-maquina-de-barbear-aparelho-barba-promo-_JM,1054,269,102,41,69,#1120282284,Philips,3 cabeças,QP2510/10,QP2510/10,Recarregável,Removíveis,NA,NA
4, Barbeador Eletrico Maquina Philips 6 Em1 Multigroom Nacional ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				1683
				vendidos
			
		",(75 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1433
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,NA,NA,4.7,82,https://perfil.mercadolivre.com.br/SWA+MOBILE,https://produto.mercadolivre.com.br/MLB-1045425793-barbeador-eletrico-maquina-philips-6-em1-multigroom-nacional-_JM,66,10,5,0,1,#1045425793,Philips,Multigroom,MG3711,NA,Recarregável,Removíveis,60min,NA
5, Barbeador Aparador Elétrico Recarregável Goncon Prova D'água ,44,NA,"
			
				Novo
			
			
				
					 - 
				
				837
				vendidos
			
		",(21 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 750
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,NA,NA,4.0,163,https://perfil.mercadolivre.com.br/CLASSIC+VENDAS,https://produto.mercadolivre.com.br/MLB-957075883-barbeador-aparador-eletrico-recarregavel-goncon-prova-dagua-_JM,76,39,23,12,12,#957075883,Goncon,Shaver,RSCW-2088,NA,Recarregável,Giratórios,30 min,240 g
6, Barbeador Aparador Oneblade Philips 2 Qp2510/10 Original ,115,NA,"
			
				Novo
			
			
				
					 - 
				
				922
				vendidos
			
		",(14960 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 958
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.7,32,https://perfil.mercadolivre.com.br/JOVAL+INFORMATICA1,https://produto.mercadolivre.com.br/MLB-1135899020-barbeador-aparador-oneblade-philips-2-qp251010-original-_JM,28,2,0,1,1,#1135899020,Philips,OneBlade,QP2521/10,NA,Recarregável,Removíveis,30 m,NA
7, Máquina De Barbear Aparador Barbeador Elétrico Barba Philips ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				1502
				vendidos
			
		",(196 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1521
		
		 sem juros
		
	

	
		",21,NA,Frete grátis,NA,NA,4.6,82,https://perfil.mercadolivre.com.br/REDE_BH_ELETRO,https://produto.mercadolivre.com.br/MLB-695062089-maquina-de-barbear-aparador-barbeador-eletrico-barba-philips-_JM,60,12,8,1,1,#695062089,Philips,NA,S1030/04,NA,Recarregável,Giratórios,45 min,0.29 kg
8, Lamina Inox Serie 3000 Qg3379 Qg3380 Qg3327 Qg3339 Philips ,55,NA,"
			
				Novo
			
			
				
					 - 
				
				83
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 625
		
		 sem juros
		
	

	
		",25,NA,Envio para todo o país,NA,NA,3.5,2,https://perfil.mercadolivre.com.br/VALTECH+DAVID,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=9k5rQpZzRTi3PteOKZWkgf5S8kQnEOn5ejRYr%2BOeYd8xYjhJFsWCY1b6qMRCzbPQW7%2Fnf1BkN8oP7DWKK03hHSjdDy5ZaCWqeOsxVjvnkisMTDlnWNQmCYX52%2B1tZC0TaU0QqCceKPucHgBScFRCVYyMWa8g3VUKWRjqQab0IsFTSAP%2BGUQIQvNTjwivh5arwfC%2FPgILMzYYL3oH7A2r2hGU1NgiYRqMKkPQfxJNnEWNoClGXVBDbQiaRvA50BWv0M6NH%2FPs8%2BfEX1e500P7y9TyBcopR0VQ%2FBGhQBMEIbl3kS52HK2NssvHMauAbbJ4iDQfJwn1clBFY%2FRXUxathh6YHIGW78%2F5%2FR78ikyn8W8RwViPwqZeone86goe%2FSRQ0gr6KWOi5O51j7AwYSTXyosk3VNzJmApGCwRJAJicdVuzf5QyWWDQ5NYxKoCo9CYdrLTDxWQUO%2FSLcDWni%2Fb5DWhFw0%2BuzdoPkdbvbuoqym8nvWQQ%2FeOXd04gVjKqK6MxAwr9f3ayjn9MrYMjjua7ngHr3sDv7HxtN7iIQeN9o8I0lpflgBcnay6B8InNsXI2dPTlpVicg5f85%2Fuded4P0P%2BIEInwEQ5MwcKbOkNhtqDKX28PVs9F67WalKG90VKewmKW4gnjUWxIkGuduhWgFqvbZb2BtX6b3f6hN1MQskv8Eg1UaG7kyGcfUCREyi%2FPjyq1DQWBL%2F3tHPRrIuQCP0mfOvr6C3KfPz2hyYUL7i18ijp8cLU7nPMVt%2FvsyNGShfavrcGfKmPlYWIP8vXo91GIJRIWH7ovdFbbsivpq%2BksO%2BlgLotjr4fIFHBbHgfXYqgmNl8RnF3ncBBLBT1QKaVPxeDmipYDgW%2F%2BNqpx5Wn7YYU0P3cjAnBL9b5vyVHt75Hn3gcH4WO08CqRSZkSJ5ihcRUXXK1kd0GvBcHgcsmuUQe6zwzSwSln%2FGf2yANdcD8FWKEuYIK3hoM1hYfdu%2FjGV0%2B9VqnFCyioaUym%2FYTxe%2BKYY3VYagfqcvluIq6F68J8YPgGGiKR6bl%2F%2FpdV8Do%2F7OrKcm596EgNrBUcaNQ9I4T0gTRc%2BRZmFcCva%2Ffn2iTpJ%2FIwWgH9cfDlk0oCtFBMQH4Uumry7a08ngTRvILMCyAfuWb64lLSM4F%2FtNEChxgxHwhOJHJJeS29N6TEHElabyu0M1yzt7GT%2FH13voGMaFqFRwbkoqBIehV6QickTWA1DonAwn%2F2C61pNT70xRvXfo0o%2FTiJt%2BSZDNDPC%2FdpKbBNhWDa5C2GmNOIvcWP%2BFmjKHWpSDmyoicT9MyQw57Rd8aEmXOj27hLIpJ%2BaGwdeHHY0%2BGn0p9m%2B8ynYTtEBONE66Y7lqlETG7wZT9c3f754TqYWteUSrwWiBtoS%2Fw%2BYn9tYNHJzz9m6qCDv8wPEoLULoKwOOqcJ%2BdI3k7h1DkmAPevrxbIOrB5RiMfWKOdF%2BudB2bIDo%2Fq5Zw9h%2BW0ZjoKte3HkedqWM3glrFVs4s4iABDixQ5oArZ6l793E9UC5mPYuqMuV4LF4NiB%2FHAAs%2BH6O5PyZ79dGFKCpCJKRkZICWw5wg74o3KXaGeDvddp0f16ab%2FsV8A9JLQl9xeRFEw%2F2iAG9VGU7Gj%2B3TauXJU6Wu9XCDaNifqsyiL9jgh8xEuLGDFxXmG6TKd0s%2BEnzgG9bof8hHiCS24k%2F2imlDjqJHY3ZGqT5frNGU%2FV1pj4k5PSSChaU7EVYNp7bO9wQbBWG6RdgMLl7pKQ%3D%3D,NA,NA,NA,NA,NA,#1099515776,Philips,Series 3000,Multigroom,QG3364 QG3379 QG3380 QG3329 QG3339 QG3340 QG3337 QG3330 QG3320 QG3321 QG3327,Recarregável,CORTADORA/APARADORA,ZERO KM,NA
9, Barbeador Aqua Blue Bivolt Seco E Molhado - Philco ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				153
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,NA,NA,4.4,14,https://perfil.mercadolivre.com.br/EDUELETRO+OFICIAL,https://produto.mercadolivre.com.br/MLB-791556267-barbeador-aqua-blue-bivolt-seco-e-molhado-philco-_JM,9,3,1,0,1,#791556267,Philco,NA,Aqua Blue,NA,NA,NA,NA,NA
10, Barbeador Elétrico Máquina Shaver Kemei Bivolt Recarregável ,43,NA,"
			
				Novo
			
			
				
					 - 
				
				648
				vendidos
			
		",(47 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 733
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,NA,NA,4.1,248,https://perfil.mercadolivre.com.br/ARS+NET,https://produto.mercadolivre.com.br/MLB-984457685-barbeador-eletrico-maquina-shaver-kemei-bivolt-recarregavel-_JM,134,57,28,10,19,#984457685,Kemei,Shaver,RSCW5500,NA,Recarregável,Removíveis,30 MINUTOS,124 g
