search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
43, Profesional Afeitadora Eléctrica Barba Cortadores De Nari ,314,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435794057-profesional-afeitadora-electrica-barba-cortadores-de-nari-_JM,NA,NA,NA,NA,NA,#435794057,Wangmeili
44, Afeitador Electrica Portatil Pailipu Pq-206 Rasurada Barber ,25,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALEXSANDER+LLANCO,https://articulo.mercadolibre.com.pe/MPE-437029745-afeitador-electrica-portatil-pailipu-pq-206-rasurada-barber-_JM,NA,NA,NA,NA,NA,#437029745,NA
45, Philips - Afeitadora Electrica Aquatouch S5420/04 ,489,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOMAXPERUCOM,https://articulo.mercadolibre.com.pe/MPE-436836928-philips-afeitadora-electrica-aquatouch-s542004-_JM,NA,NA,NA,NA,NA,#436836928,NA
46, Sonic Afeitado Usb Afeitadora Eléctrica ,223,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435809779-sonic-afeitado-usb-afeitadora-electrica-_JM,NA,NA,NA,NA,NA,#435809779,Pure Acoustics
47, La Maquinilla De Afeitar Eléctrica Runwe Máquina De Afeit ,197,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724288-la-maquinilla-de-afeitar-electrica-runwe-maquina-de-afeit-_JM,NA,NA,NA,NA,NA,#435724288,Runwe
48," Afeitadora Eléctrica De Panasonic Arc5, Hombres De 5 Pala ",772,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433375380-afeitadora-electrica-de-panasonic-arc5-hombres-de-5-pala-_JM,NA,NA,NA,NA,NA,#433375380,Panasonic
49, Kemei 4 En 1 Rasuradora Eléctrica Recargable ,110,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/J5R,https://articulo.mercadolibre.com.pe/MPE-437131531-kemei-4-en-1-rasuradora-electrica-recargable-_JM,NA,NA,NA,NA,NA,#437131531,NA
50," Suprent Hoja Eléctrica 4-lámina Afeitadora, Rasuradora El ",272,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-434224818-suprent-hoja-electrica-4-lamina-afeitadora-rasuradora-el-_JM,NA,NA,NA,NA,NA,#434224818,SUPRENT
51, 5 En 1 Depilador Eléctrico Afeitador Multi Funcion ,25,NA,0,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CAAR676375,https://articulo.mercadolibre.com.pe/MPE-434981970-5-en-1-depilador-electrico-afeitador-multi-funcion-_JM,NA,NA,NA,NA,NA,#434981970,NA
52, Mylifeunit Sostenedor Eléctrico De La Maquinilla De Afeit ,199,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724853-mylifeunit-sostenedor-electrico-de-la-maquinilla-de-afeit-_JM,NA,NA,NA,NA,NA,#435724853,MyLifeUNIT
