search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Tiempo de carga,Peso
1603, Afeitadora Philips S5070/02 Aquatouch Inalambrica ,5659,NA,"
			
				Nuevo
			
			
		",(5 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,215,https://perfil.mercadolibre.com.ar/CONFORTDACARSRL,https://articulo.mercadolibre.com.ar/MLA-787967768-afeitadora-philips-s507002-aquatouch-inalambrica-_JM,142,56,13,0,3,#787967768,Philips,Afeitadora,Inalámbrica,S5070/02,Batería,Pivotantes,Afeitado,1 h,NA
1604, Promo Día Del Padre Trimmer Cortador Barba + Kit For Men Cml ,4836,NA,"
			
				Nuevo
			
			
		",(100 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-788111958-promo-dia-del-padre-trimmer-cortador-barba-kit-for-men-cml-_JM,NA,NA,NA,NA,NA,#788111958,GA.MA,TRIMMER GT 420,GT 420,NA,Pilas,NA,NA,NA,65 g
1605, Cortador Barba Vello Nariz Orejas + Kit For Men Lidherma Cml ,5239,NA,"
			
				Nuevo
			
			
		",(100 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-788121187-cortador-barba-vello-nariz-orejas-kit-for-men-lidherma-cml-_JM,NA,NA,NA,NA,NA,#788121187,GA.MA,TRIMMER GT 512,GT 512,NA,Pilas,Removibles,NA,NA,NA
1606, Afeitadora Gama Gsh930 Digital + Cortadora De Pelo Gc542 + Desodorante Nivea Men ,5999,NA,"
			
				Nuevo
			
			
		",(3 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/RAMONA+NET,https://articulo.mercadolibre.com.ar/MLA-788691568-afeitadora-gama-gsh930-digital-cortadora-de-pelo-gc542-desodorante-nivea-men-_JM,NA,NA,NA,NA,NA,#788691568,GA.MA Italy,Set Afeitadora+Cortadora,GSH 930 + GC 542,NA,Batería,Giratorios,Cortadora 45 minutos y Afeitadora 70 minutos,1 h,500 g
1607, Afeitadora Inalambrica Gama Gsh855 Sport ,1390,NA,"
			
				Nuevo
			
			
		",(70 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PEROZZI_E_HIJO,https://articulo.mercadolibre.com.ar/MLA-791892381-afeitadora-inalambrica-gama-gsh855-sport-_JM,NA,NA,NA,NA,NA,#791892381,GA.MA,Sport,GSH 855,NA,Batería,acero inoxidable,NA,NA,0.144 kg
1608, Maquina Afeitadora Doble Foil Fx02 Babyliss Pro Barberia Rec ,9635,NA,"
			
				Nuevo
			
			
		",(6 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,3,https://perfil.mercadolibre.com.ar/PROFESSIONAL+SHOP,https://articulo.mercadolibre.com.ar/MLA-792836983-maquina-afeitadora-doble-foil-fx02-babyliss-pro-barberia-rec-_JM,2,0,0,0,0,#792836983,BaBylissPRO,Foil Fx02,FOILFX02,NA,Batería,Ergónomicos,NA,NA,NA
1609, Norelco Philips Norelco Headgroom Reemplazo Cabeza Bg200040 ,1687,NA,"
			
				Nuevo
			
			
		",(100 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CLUBENVIOSAR,https://articulo.mercadolibre.com.ar/MLA-798902258-norelco-philips-norelco-headgroom-reemplazo-cabeza-bg200040-_JM,NA,NA,NA,NA,NA,#798902258,Philips Norelco,NA,BG2000,NA,NA,NA,NA,NA,NA
1610, Philips Norelco Cable Carga ,1156,NA,"
			
				Nuevo
			
			
		",(100 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CLUBENVIOSAR,https://articulo.mercadolibre.com.ar/MLA-798910777-philips-norelco-cable-carga-_JM,NA,NA,NA,NA,NA,#798910777,Norelco,NA,HQ8505,NA,NA,NA,NA,NA,NA
1611, Philips Norelco Sh90 / 72 Jefes Reemplazo Nuevo Versión Para ,5901,NA,"
			
				Nuevo
			
			
		",(100 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CLUBENVIOSAR,https://articulo.mercadolibre.com.ar/MLA-799264149-philips-norelco-sh90-72-jefes-reemplazo-nuevo-version-para-_JM,NA,NA,NA,NA,NA,#799264149,Philips Norelco,NA,SH90/72-1,NA,NA,NA,NA,NA,NA
1612, Afeitadora Eléctrica Philips Shaver S7310/12 Recargable ,8959,NA,NA,(53 disponibles),18 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,129,https://perfil.mercadolibre.com.ar/TC+ESTRATEGICA?brandId=221,https://articulo.mercadolibre.com.ar/MLA-806313272-afeitadora-electrica-philips-shaver-s731012-recargable-_JM,84,30,11,2,2,#806313272,Philips,Series 7000,S7310/12,S7310/12,NA,NA,45 minutos,1 h,NA
1613, Kemei Cortador De Pelo Eléctrico Clipper Hombres Nariz Oído ,1297,NA,"
			
				Nuevo
			
			
		",(7 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/SPORTSGOODSAR,https://articulo.mercadolibre.com.ar/MLA-807468436-kemei-cortador-de-pelo-electrico-clipper-hombres-nariz-oido-_JM,NA,NA,NA,NA,NA,#807468436,OEM,NA,Original,NA,NA,NA,NA,NA,NA
1614, Kemei Mini Portátil Eléctrico Barba Pelo Maquinilla De Afeit ,892,NA,"
			
				Nuevo
			
			
		",(3 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/SPORTSGOODSAR,https://articulo.mercadolibre.com.ar/MLA-807479905-kemei-mini-portatil-electrico-barba-pelo-maquinilla-de-afeit-_JM,NA,NA,NA,NA,NA,#807479905,OEM,NA,Original,NA,NA,NA,NA,NA,NA
