country,seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
MEX,MOBILESTOREMEXICO,https://perfil.mercadolibre.com.mx/MOBILESTOREMEXICO,1,1,1470,NA,Brinda buena atención,Entrega sus productos a tiempo,271,2,11,258,"Tlalpan, Distrito Federal.",4,2
MEX,BOLNEYTRONICS,https://perfil.mercadolibre.com.mx/BOLNEYTRONICS,3,1,1051,NA,Brinda buena atención,Entrega sus productos a tiempo,150,5,2,143,"Benito juárez, Distrito Federal.",4,2
MEX,TANGRAM.SHOP,https://perfil.mercadolibre.com.mx/TANGRAM.SHOP,4,1,1505,MercadoLíder Gold,Brinda buena atención,Entrega sus productos a tiempo,249,2,9,238,"León, Guanajuato.",4,2
MEX,MXGADGETSTRC,https://perfil.mercadolibre.com.mx/MXGADGETSTRC,5,1,1837,MercadoLíder Gold,Brinda buena atención,Entrega sus productos a tiempo,275,3,6,266,"Torreón, Coahuila.",4,2
MEX,PEPR8371055,https://perfil.mercadolibre.com.mx/PEPR8371055,4,1,95,NA,Brinda buena atención,Entrega sus productos a tiempo,15,1,0,14,"Aguascalientes, Aguascalientes.",4,2
MEX,FUNDASPARAIPHONEMX,https://perfil.mercadolibre.com.mx/FUNDASPARAIPHONEMX,6,1,158,NA,Brinda buena atención,Entrega sus productos a tiempo,23,1,0,22,"Gustavo A. Madero, Distrito Federal.",4,2
MEX,FAQT,https://perfil.mercadolibre.com.mx/FAQT,8,1,871,NA,Brinda buena atención,Entrega sus productos a tiempo,70,2,4,64,"Culiacán, Sinaloa.",4,2
MEX,ARTICULOX,https://perfil.mercadolibre.com.mx/ARTICULOX,7,1,1620,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,226,8,6,212,"Atizapán De Zaragoza, Estado De México.",4,2
MEX,GEEKCORNER,https://perfil.mercadolibre.com.mx/GEEKCORNER,9,1,3250,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,307,2,3,302,"Puebla, Puebla.",4,2
MEX,LAPLATADISEÑOS,https://perfil.mercadolibre.com.mx/LAPLATADISE%C3%91OS,10,1,2912,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,238,4,7,227,"Gómez Palacio, Durango.",4,2
MEX,PROTECMANIA,https://perfil.mercadolibre.com.mx/PROTECMANIA,5,1,245,MercadoLíder,Brinda buena atención,Entrega sus productos a tiempo,54,0,0,54,"Cajeme, Sonora.",4,2
MEX,GEEK MRL,https://perfil.mercadolibre.com.mx/GEEK+MRL,1,1,469,MercadoLíder Gold,Brinda buena atención,Entrega sus productos a tiempo,64,0,2,62,"Morelia, Michoacán.",4,2
MEX,ZITROJMOL,https://perfil.mercadolibre.com.mx/ZITROJMOL,18,1,2169,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,194,7,3,184,"Benito juárez, Distrito Federal.",4,2
MEX,ZUKIIFUNDAS,https://perfil.mercadolibre.com.mx/ZUKIIFUNDAS,24,3,36,NA,Brinda buena atención,Entrega sus productos a tiempo,1,1,0,0,"Cuauhtémoc, Distrito Federal.",24,3
MEX,GLOBAL GAMER,https://perfil.mercadolibre.com.mx/GLOBAL+GAMER,7,2,159,NA,Brinda buena atención,Entrega sus productos a tiempo,9,1,0,8,"Mazatlán, Sinaloa.",4,2
MEX,212 FITCLUB,https://perfil.mercadolibre.com.mx/212+FITCLUB,6,1,1271,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,181,3,1,177,"Azcapotzalco, Distrito Federal.",4,2
