search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Modelo alfanumérico,Peso,Usos recomendados
11, Casco Integral Hawk Rs1 2019 Sti Motos Envios Full ,3890,4490,"
			
			
				
				111
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,7,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-662533166-cascos-moto-integral-ls2-352-brilliant-negro-mate-_JM?searchVariation=15407937168,5,2,0,0,0,#662533166,Negro,XXL,LS2,FF 352 Rookie Brilliant,Integral,Simple,Poliestireno,HPTT,Adultos,Unisex,Integral,FF352,NA,NA
12, Casco Moto Abierto Vertigo Vintage History. En Gravedadx ,990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				929
				vendidos
			
		",(30 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,48,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-679809834-casco-moto-abierto-vertigo-v10-full-en-gravedadx-_JM?searchVariation=17182066327,30,12,5,1,0,#679809834,Negro,"L (60 cm),XS (54 cm),S (56 cm),M - 58 cm,XXS (52 cm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13, Kit Casco Cross H5 Mx Road + Antiparra + Guantes Sti Motos ,6990,NA,"
			
			
				
				68
				vendidos
			
		",(3 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,10,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-762056680-casco-motocross-oneal-2-series-rl-2019-mx-enduro-atv-_JM?searchVariation=31027522270,10,0,0,0,0,#762056680,"SLICK BLACK - Azul,SLICK BLACK - Blue,SLICK BLACK - Orange,SLICK NEON YELLOW - Black","S,M,L",O'Neal,Slick,Cross,NA,NA,NA,NA,NA,2 Series 2019,NA,NA,NA
14, Casco Moto Abierto Vertigo Vintage Maya. Full. En Gravedadx ,2225,NA,"
			
				Nuevo
			
			
				
					 - 
				
				221
				vendidos
			
		",(67 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,30,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=K%2FKP1E44pp7gUaM3usafesNQihbhjKQfFswDQeO677Y1dgF%2Fq120itoDXIOsf4ZZzBktkH8%2BruSpNkoxNBswE%2BZCVDT8gNR6JvbJE8l8L%2F%2BAObrbKtT%2BghKAVNLoawVbhKE3Oiisb2UHCHBJcYb3d0L8Bd6OYzGE%2Bfil%2BPraLEKi%2FMSRgkYVN09tdw3CT2GRzMZEaT%2FqN7GJJPPeEQzx%2BFyMU2p%2FPbR2icxR5tBdMz3tYnrSOxRNDcC0PRcxVl1SB0ZFOX42FJyArn3CzOpBY5rTgnDcNJ4ApzSImb8BX2%2Bd5Lg3zoT41QrOU25RMl1H7m3pEo77T9x0CahmT1QTXrNigSBkSt67llTazPgGuM6pg3cQF9dyjpGkZy5XrSsNQHQxROZrqnZjKN1IWYRw6nohpSYnHxe1zFG%2BkdkSsimQD4eToXGU02Ajn1c1kBOAi%2BFWESdcMm6GfxsEZSIPsSOQHLq55Ysft%2BbqOdUyopJ4LnELo9S6aI%2BhO9deejGAQLDIYE6adu0WIjNRlAM5FsUXFWsOLK04pe4hR4kgEHIEcvbg0fkFqQ0FPdgl81cD3v3iunqVWXi8kQwWFc0Ob%2FPqjI8jb0HOx6wX5iA55PI789N4m6MJUe24WaFjK6usjhjanNkX5ggmR9ZmsS88H%2FdxHMgZPTj%2F890df0ORLxokKIga%2BdnC3qr6Bk99v7ifPDcahW1DiSZUfVQ9xKeIS8N2tDXmrmvLwnsXuV76HEkrZHl9R87IqPaq%2FjoeIUnPQert%2BOB7TIctUJpCfzfzx37sRtsQo5%2FwuKro08JKxV%2B3prWs2bn1d67BeKnjs4YOOUOUWgD41ohhNJga5p7VDozsNgTsw3g954ZNgxw7fD99cJKGtk1r2BQbrNu%2FnJnTQR3opSq27Se%2FzVSK44kKEHcORiP5%2BcLVD5E9Z2FHm0aGAQet%2FqQSii2MYMNw86rsGYgJqG2oSukpDjCpiURN4TB%2FzkkEn%2FhX1a7a6JsmoR1TQ3PDCB0b75NhFZiL7Smrsi6Gr4M5W2mTYOdn3%2B1qNrVbaNVAmHbqwdt2QM3%2ByVdsQjhei10A4%2FxYexzIhj%2F6wiGauX5EIBmqqkjkkRUBeDQyYjln87BLJAp1KO3pRTeKT0jpKaDUooaKLsJCv2Z9Y5%2BdzScLCngV04yFTh10Mgytu7z5Qs8qcLKgBmRmslVtfPBmygUooN2kPCrMDK8b1VPZQXroCJ%2F1fUPeriIwDHfFIP%2BuN%2FaLjJsfzV%2F24RIJy7z2VOFpdOYowz%2F%2BnQVZ0B%2BvSTWuxa%2FaJc48LJo6Ga%2BwIef5t1hhvAi5t8IYdCv0h0DH2k7wJQDrNN4WqeAZbVkPZLTUlNV%2BC0JjRoEByHwf%2Ft38W2J%2Flmo1%2B8v%2B%2FYjVEILRYRucP0j6y1TY8rH68EuMrV7YArnbdlwvND9P3N3Z8JZOS5SHoMUwT1nN%2BmKgBlLFwtHzsPRTyTkj%2BvOetmjFbWtzP2QE6o3YxlJXTiQzdVNnv%2BThXdKJttD5EmmcbQULfk0YtOl%2F7wqKaj0Qj9CsaO0Qs9wKkaHn4amMuPHjx67E2YQufq6eIhg0fZwTYnp6jkPxUyZ3lGQhuvMhFwCidmwwVyA86a8r%2BJnHYJC7A70ILlpb%2BVCTq6pRjNQmTc%2BPP0c69OJlzJWBuPhV9F4%3D,22,5,3,0,0,#674080900,"Beige,Blanco,Bordó,Celeste,Negro Metal,Negro mate","L (60 cm),M (58 cm),M - 58 cm,S (56 cm),XS (54 cm),M (58 cm),M - 58 cm,S (56 cm),L (60 cm),XS (54 cm)",Vértigo,Vintage History,Abierto,Simple,Set Poliester,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA
15, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,3890,5446,"
			
				Nuevo
			
			
				
					 - 
				
				332
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,218,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-699693354-casco-integral-ls2-single-mono-ff352-negro-m-full-fas-motos-_JM?searchVariation=33419424213,154,58,5,0,1,#699693354,Negro - Mate,"L,XL,XXL",LS2,Single Mono,Integral,Simple,NA,NA,Adultos,Masculino,Integral,FF352,1300 g,Road
16, Casco Moto Integral Hawk Rs1 2019 Negro O Blanco - Sti Motos ,1773,NA,"
			
				Nuevo
			
			
				
					 - 
				
				495
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,295,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-636093454-casco-integral-hawk-rs1-2019-sti-motos-envios-full-_JM?searchVariation=25890123643,199,61,30,4,1,#636093454,Negro mate,"S,L,XL",Hawk,RS1,Integral,Simple,NA,ABS PREMIUM,Adultos,Unisex,Integral,RS1,NA,Urbana
17, Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos ,3499,4898,"
			
				Nuevo
			
			
				
					 - 
				
				110
				vendidos
			
		",(32 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,216,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572,153,45,12,3,3,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,L,XL,XXL",Shiro,MOTEGI,Integral,Simple,NA,ABS,Adultos,Unisex,urbano,821,1390 g,NA
18, Casco Moto Integral Vertigo Hk7 Spring One. En Gravedadx ,1104,1656,"
			
				Nuevo
			
			
				
					 - 
				
				476
				vendidos
			
		",(75 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,284,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-617071459-casco-motos-integral-halcon-h57-modelo-2019-sti-motos-full-_JM?searchVariation=35322465044,175,66,30,11,2,#617071459,Blanco,"S,M,L,XL",Halcon,H57,Integral,Simple,NA,Polipropileno,Adultos,Unisex,Integral,H57,NA,NA
19, Casco Moto Abierto Vertigo V10. Full. En Gravedadx ,2999,4198,"
			
				Nuevo
			
			
				
					 - 
				
				139
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,539,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-620583344-casco-rebatible-doble-visor-okn-10-guantes-cuello-full-fas-_JM?searchVariation=25987731727,340,135,46,10,8,#620583344,Blanco - Rojo,"M,L",Okinoi,Okinoi 10,Rebatible,NA,NA,ABS,NA,NA,Rebatible,NA,NA,NA
20, Casco Punto Extremo Xr650 Rebatible Doble Visor Negro ,2754,NA,"
			
				Nuevo
			
			
				
					 - 
				
				143
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,201,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Q1FSRzphP6R0KmQ8wCKcabWZ9Otr6RaAHyV6FDQa15%2F8W%2BoeGThJ2eV3WxnOaz8yCj5OjDpAI69Ph7hAyV1pPw2KWoNn%2BR5Io%2BdqlyYfcR0e8O4Yxq5O%2F4qNAMNjy7Qwp9bFXNuofZVmrf1WVapmIOE045eXbL5Y2O3c7Itarn7BGxH3EF6r44nMBDJIIb9KY6p5vUgnlXOXuCUy58pUTjSyxLNLdPtzLzYTV4%2Bf5l%2FP6VHzWYE6hs7%2FEQAzNMuQEuQBD7l9tujlWIMntSa6h7pMSvG84uDdBHyTbV%2F%2FMHUjQ64oMvarskO30ISjIikjWofzFCliJxGk%2FDt1g3SiMJcYY2ikSiO2U67hHduIxnzMmFWF%2FOkmg88HSkkETSXFWMbUOvnlhTX6jg2ixXk7s85mjQAj6PvDc8RYLAWrbXb4HPZzEvlUB%2FFpw%2BpzntUwLE2KUNDF3Y3FEUG8xzMZQAnqp9stnq185porIn1vLARQIw4NehxruHnHZJtiHNk3bptE%2Bm8yo6nsKLCjpcOt03POvzdhT6TZdDaPhcXjBv6oQuUY5vAN8NYuhzYB%2BC%2FQiuYV448D5WqNBdTrXEr7NVpr5%2FqbAVGZ2i0Ec7TNGiOLUFg9uY3ABThutx4Wc6LgcJTkVX3LCsIrR8YnYK8lEEnAKvwJEN2nOJEk0eBjsX%2BLpKbegcJRuMGYmUZcqcvLAL0TWiRAK1hhixY7TlllKZiAxghxFqisnpvLfo4OPuwzfhbK19rX%2FTj%2F16br4niv6XzGbto%2BJnJ3HK4RixRoLsfoMEwdjjbPkNHTcDa4rlHFhOczHRZxkAquKDJ545J6zfuo5PXCGTK7Y55r9bAkZFW0gDgaJxGTR9uPKiJRdPaFVp9rLhS6utWZTzuJ95F4%2FtkY%2FcUyp%2BCHGc0j5MegRPKJMVQBw%2BC%2FY6meAxKXkfQXybWlteESI16Xr64Jm7h%2B%2Bn3q%2B3VbmhNyNgsFMG2F3AOD8%2BjyI5Giq8gnd3JRAKjqYvhSD1TM2LG%2For1DQ9%2BRbtdVwvwP6j2cB2H%2BiZlqss9PJ5xWGRmNo6UdmbXzTHHIeY0irC%2FqMr391UWb%2FXjtY577J9iaHMgtXQBtEMf1hxAlhrFhqrYB67WY6T1uJGYpSvc8SwcAXcN34cni0jSMygruTLZ9%2BVaa1hyg8bDOBt69QTQ7UYmvNdNTIZhcX7zkqn5H7ykPtWLnHEZUrD%2Bn8vb961nwqBRD6AvkHEGcuXiLqFKamQCs3XN7C4J%2FWz82vVbS2QBAmkCGOt8MeabucgsFAAXk4Zu4psNrElvfFWkVklAiTTgfrf4RjFTKFppTK7DPh%2BCscTbu787urkBRWqiTLd9psEu6u%2BLYznu4XF9Hiwx1%2FUdUjeHJ7oevZh5OUu2XfOYYY%2BwgLZuicLep5l0IxA2%2BDHLSCFw%2FadTAe9ae4C32Tb9pMifIA6Lhs1uRtVUnDnqmNgAktXzv%2FUt0Qr7yiqsoKIzZOGJZSuynTa6paO5mI5a9GOCq7T0K8aD1mB%2BByvl5XStYczZRiZPmzUF9m7ZRK8Fef6hQrETba9lJZgMBT3pc339gzWefWP2Ogs1naZsQK%2Fiok%2FOrY%2FygWXWVblxUtITDhm4E%2FSJKeIytIcn%2BWO5oIPevLCpSKhMjf%2BXOW9ID6%2BMjaRNb5ckrLoQ%3D,125,52,17,3,4,#698754750,Negro,XL (62 cm),Vértigo,HK7,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
