value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,meses,meses,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes
2,años,años,Envío,,
3,días,días,Envío gratis a todo el país,,
4,,,Llega gratis mañana,,
5,,,Llega mañana,,
6,,,Envío a todo el país,,
7,,,Entrega a acordar con el vendedor,,
