search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Línea,Tipo de visor,Materiales del exterior,Edad,Materiales del interior,Género,Modelo alfanumérico,Peso
1, Casco Negro Motocicleta Kov Stealth Mate Abatible Mica Inter ,"1,299",NA,119,133,18 meses,72.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,56,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-669501641-casco-negro-motocicleta-kov-stealth-mate-abatible-mica-inter-_JM?searchVariation=36493162676,39,10,6,0,1,#669501641,NA,"S,M,L,XL,XXL",KOV,Stealth,Rebatible,NA,NA,NA,NA,NA,NA,NA,NA
2, Casco Moto Accesorio Kukulk Kov Dot Abatible Varios Colores ,"1,249",NA,241,6,18 meses,69.39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,81,https://perfil.mercadolibre.com.mx/LOWEN+GRUPO,https://articulo.mercadolibre.com.mx/MLM-564429987-casco-moto-accesorio-kukulk-kov-dot-abatible-varios-colores-_JM?searchVariation=29067988018,63,14,2,1,1,#564429987,NA,"CH,EGG,EG",Kov Parts,Kukulk,Rebatible,Legacy,Doble,ABS,Adultos,NA,NA,NA,NA
3, Casco Harley Davidson Scorpion Exo Covert Negro Mate Chopper ,"4,839",NA,113,8,18 meses,268.83,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,16,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-654427065-casco-harley-davidson-scorpion-exo-covert-negro-mate-chopper-_JM?searchVariation=32213498483,16,0,0,0,0,#654427065,"S,L,XXL",,Scorpion Exo,Covert,MODULAR,Covert,Simple,Policarbonato,Adultos,EPS,Unisex,NA,NA
4, Casco Abatible Para Motocicleta Certificacion Dot ,949,NA,1392,2882,18 meses,52.72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,96,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-552218947-casco-abatible-para-motocicleta-certificacion-dot-_JM?searchVariation=36753042218,65,22,4,2,3,#552218947,NA,"M,L,XL",INNOVANDO,CAS-ABA-83,Rebatible,NA,NA,NA,Adultos,NA,Unisex,NA,NA
5, Casco Ls2 Valiant Abatible Moto Visor Interno Negro 2019 ,"5,869",NA,94,13,18 meses,326.06,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,41,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-636555558-casco-ls2-valiant-abatible-moto-visor-interno-negro-2019-_JM?searchVariation=35500798462,39,2,0,0,0,#636555558,Negro mate,"Negro mate,M,L,XL.,S,M,L,XL,XXL,XXXL",LS2,Valiant,Rebatible,FF399,Doble,Policarbonato,Adultos,EPS,Unisex,FF399,NA
6, Par De Luces Led Para Casco Moto Motocicleta Seguridad Noche ,279,349,248,11,18 meses,15.51,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,5,https://perfil.mercadolibre.com.mx/MEXMART_ML,https://articulo.mercadolibre.com.mx/MLM-657032837-par-de-luces-led-para-casco-moto-motocicleta-seguridad-noche-_JM?searchVariation=31056556397,3,1,1,0,0,#657032837,NA,Unitalla,OEM,Recto,Integral,LUCES,NA,NA,Adultos,NA,Unisex,NA,NA
7, Casco Abatible Moto Hro Certificado Lente Solar Envio Gratis ,"1,569",NA,165,3,18 meses,87.17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,7,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-606561406-casco-abatible-moto-hro-certificado-lente-solar-envio-gratis-_JM?searchVariation=36972691433,6,0,1,0,0,#606561406,"Gris/Naranja,Fucsia,Gris oscuro,Gris/Naranja,NEGRO BRILLANTE LISO,NEGRO MATTE LISO,NEGRO/ NARANJA CAMOUFLAGE,NEGRO/AMARILLO CAMOUFLAGE,NEGRO/GRIS/AZUL","TALLA L 59-60 CM,TALLA M 57-58 CM,TALLA XL 61-62 CM,TALLA S 55-56 CM",HRO,3400 DV,Rebatible,Abatible,Doble,ABS,Adultos,Poliestireno,Unisex,NA,NA
8, Auricular Bluetooth 4.2 Para Casco Con Micrófono ,347,NA,80,295,18 meses,19.28,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,2,https://perfil.mercadolibre.com.mx/JSMANSHOP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=UFXDCuZ3TAp1CWyXIVv7vUDEWjmEEI7M1lUv2Akp6hCvO1YxXjfWE6SxBis5XEwTQwFutXYSFV9zoBoTMk0%2BbfiZ4SyF4wkrQRWy80SuP6DGFqIU1kgYbvJ7e5s6UTesBxC7VwrYCQAyBkFavu4EFrvD7gpwKaYYN3NioqGevjimYd2pjRSIPnz%2FvUN7uHdXd44lAaX9gUTy2pKjx30%2BIPERqf1s%2FrCsgRv7Fb7agibY3jE0jqQQlVVcp5I2oyksEsVVvR%2BmKPuTqmsOK5GP3XtA5OmmrXFzZhFhOzU8jocYMPIkqhRSuttNQ4fAQ53clCxQj3GQ2W6WhOi2vL1Lj%2B07N6TrXi3wkYCogbwp1ZNfmrI3nFjkLoSGHgC1AZayeceP%2FAQjXfpEr%2FT%2BPnLP%2FaFjBqzTYiFJ7kWMgVmG5RJWEnRqbCHYGOmL2aI4Ka2md4ToG80tFchvTL68OfsLlZFIaRxhOVUoTEpm%2BHfbk9SiC58T61hk%2FslFC9YCRo3WeRSodzyAgRv4YbBXwkX7YmkYOF7iItbOh70IyKN%2BMHbTneiM982Azl9NKpAVXztt1hhsj8cPng%2BZx5P3io%2FgxkT3K2bBAzGyEJ%2Bb4zZuCi2MhwFCwXs5%2FyM1rwHl20fm8cEaincTnhwHLp69ubPKMucNPep00vaDwS%2FHBs9dgqzuPWh4Hc46XDrR1jz2Sfh5O2ex9QjuDjc93BsI2AGbDBvbgt2Dc29%2F0o%2FgQL1IZBzXH5RGVCvz%2BDt4QYc7INwaH1CgtERu301zdjyoi9eHgCz5wTRLtR2%2F63S1%2BI1EcJYZJ2scRHgDx345DIZvCHj17F7bqXLKSQmzJFDhd4qlA0Q0nHO6R9ly3jcFEY6WCebJkxKcicWm3Rjjx4XGDABlnhVaB%2BxaZ2rKdrrR3NEeBrZM6xsBPQEupWAN1kVQgiKib4yWNJD%2FIeIJ82yPnv7YPgCGWTTbBHeAV9nDXlTY9OUvjOwQVnV6nNbc%2FT8d4AGJ0DqtQLrNLkcgwXe6l6GEjq3fGbOgrg6TFEy%2BbNGSMVP1jj0cDQm%2FVCgfp%2FfKEG9D1VBpa0m8XXyaAvliwslygXb%2FJzdov%2FGm8gu2sXdVI7%2Bqb6x6rLT13aGGr2ywOYo1PRQydTv3uwi5CyQzkPiPutWBTAKttfxWgZs89Zhqa9a9mwLXvC6GDnxVml61HeK3rQP410AnzLxnCXP6AZCrlDwWwMayLB77NlPkDbOVlZJZzlCJ6AY4B7B91B2Vjs%2FRDkwhRvsCnJqJb8rynfjlPqTkuZckj37csWevpKijveUBHR0ida6lIs365EYz5we1pTtn29KDaBpe5b2T7GhsETJsTj%2B1RsRTlGPw6P3YonoQ9AaNJMyYdI4ojsc6wjANz3QCKlCfFwS%2Fe9KGNRHlzIczCFmm6knT8FQZvPmV2NtEVaA0wrvMuDYFYAg9HwLYx%2BiH%2Fh7EXZCJZjT6mKTf2XV5pPVPsmFfIcqrf3pY0Feh1vFsQPOc2UGG9VXNJavXJijBPMB7weL40LBLnDgTdOyS1zQvKifYBU%2FScg3e3P18pDCpmTeI0c2%2BB8kAceUl4aK8tAZ%2FHOaMj0IJArhSnuQn098xK3lFZnA%3D,1,1,0,0,0,#667988493,Negro,17cm,JS-T1,JSMan-W6,NA,NA,NA,NA,NA,NA,NA,NA,NA
9, Casco Mask Moto Deportivo Iron Man Abatible Halo Rojo Fassed ,"1,599",NA,133,11,18 meses,88.83,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/ACCESORIOSEXCLUSIVOSMX,https://articulo.mercadolibre.com.mx/MLM-650438989-casco-mask-moto-deportivo-iron-man-abatible-halo-rojo-fassed-_JM?searchVariation=29633306833,2,0,0,0,0,#650438989,NA,"L,XL",Faseed,Graficos,Rebatible,Mask,Simple,ABS,Adultos,Resina termoplástica,Unisex,NA,NA
10, Casco Nuevo Shaft Aztec Evo Mate Sh-571 Rider One ,"1,799",NA,323,148,18 meses,99.94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,23,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-577998441-casco-nuevo-shaft-aztec-evo-mate-sh-571-rider-one-_JM?searchVariation=39433695939,22,0,0,1,0,#577998441,NA,"S,M,L,XL",Shaft,Aztec,Integral,SH-571_Evo,Simple,Policarbonato,Adultos,Poliestireno,Unisex,NA,1500 g
11," Casco Integral Negro Mate, Negro , Rojo, Azul Y Plata ",550,NA,660,10,18 meses,30.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,93,https://perfil.mercadolibre.com.mx/GUERREROBIKER,https://articulo.mercadolibre.com.mx/MLM-610879940-casco-integral-negro-mate-negro-rojo-azul-y-plata-_JM?searchVariation=31678827987,62,18,11,0,2,#610879940,NA,"M,L,XL",Promoto,A107,Integral,CERRADO,Simple,ABS,Adultos,Poliestireno,Unisex,basic,NA
12, Casco Tipo Cross Negro Mate Certificacion Dot Tallas ,949,NA,1683,156,12 meses,93.75,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,72,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-582660373-casco-tipo-cross-negro-mate-certificacion-dot-tallas-_JM?searchVariation=23194309270,60,11,1,0,0,#582660373,NA,"negro,S,M,L,XL",Alessia,NEGRO MATE,Cross,CAS-CRO-15,Simple,ABS,Adultos,Poliestireno,NA,NA,NA
13, Casco Faseed Fs-726x Abierto 3/4 Trooper Certificado Ece2205 ,"1,550",NA,67,1,18 meses,86.11,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5,7,https://perfil.mercadolibre.com.mx/SKULLGUARD_MOTO,https://articulo.mercadolibre.com.mx/MLM-687886875-casco-faseed-fs-726x-abierto-34-trooper-certificado-ece2205-_JM?searchVariation=38435724719,7,0,0,0,0,#687886875,NA,XL (61 - 62 cm),Faseed,FS-726X,Modular,NA,Simple,NA,Adultos,NA,Unisex,NA,NA
