search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
2009, Capacete Moto Bieffe 3 Sport New Classic Preto ,120,NA,3,2716,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,794,https://perfil.mercadolivre.com.br/SPORTBAY+2?brandId=721,https://produto.mercadolivre.com.br/MLB-988194247-capacete-pro-tork-aberto-sport-moto-788-rosa-_JM?searchVariation=21346773611,479,186,89,21,19,#988194247,"Rosa,Amarelo,Azul,Branco,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,NA
2010, Capacete Moto Aberto Barato Unissex Liberty Compact Pro Tork ,65,NA,194,55,12x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1562,https://perfil.mercadolivre.com.br/MOTO+MATSU,https://produto.mercadolivre.com.br/MLB-965464083-capacete-aberto-new-liberty-3-three-pro-tork-preto-moto-_JM?searchVariation=25638921068,1154,275,100,15,18,#965464083,Preto - Brilhante,"56,58,60",Pro Tork,ABERTO,NEW LIBERTY,Aberto,NA,NA,ABS,NA,NA,NA
2011, Capacete Pro Tork Aberto Sport Moto 788 Rosa ,408,NA,1,3199,12x,34.07,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,67,https://perfil.mercadolivre.com.br/AD-STORE,https://produto.mercadolivre.com.br/MLB-1105158522-capacete-de-moto-escamoteavel-new-attack-hsa-cores-brinde-_JM?searchVariation=27714701474,44,10,5,4,4,#1105158522,"Amarelo / 56,Amarelo / 58,Amarelo / 60,Amarelo / 62,Azul Claro / 56,Azul Claro / 58,Azul Claro / 60,Azul Claro / 62,Azul Escuro / 56,Azul Escuro / 58,Azul Escuro / 60,Azul Escuro / 62,Laranja / 56,Laranja / 58,Laranja / 60,Laranja / 62,Prata / 56,Prata / 58,Prata / 60,Prata / 62,Rosa / 56,Rosa / 58,Rosa / 60,Rosa / 62,Verde / 56,Verde / 58,Verde / 60,Verde / 62,Vermelho / 56,Vermelho / 58,Vermelho / 60,Vermelho / 62",NA,Pro Tork,HSA,New Attack Hsa,Integral,NA,NA,NA,NA,NA,1335 g
2012, Capacete Aberto New Liberty 3 Three Pro Tork Preto Moto ,135,NA,3,2383,12x,12.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MK+MOTO,https://produto.mercadolivre.com.br/MLB-1181822858-capacete-moto-fechado-r8-cromada-viseira-transp-pro-tork-_JM,NA,NA,NA,NA,NA,#1181822858,"Amarelo / 56,Amarelo / 58,Amarelo / 60,Azul Claro / 56,Azul Claro / 58,Azul Claro / 60,Azul Escuro / 56,Azul Escuro / 58,Azul Escuro / 60,Laranja / 56,Laranja / 58,Laranja / 60,Prata / 56,Prata / 58,Prata / 60,Rosa / 56,Rosa / 58,Rosa / 60,Verde / 56,Verde / 58,Verde / 60,Vermelho / 56,Vermelho / 58,Vermelho / 60",NA,Pro Tork,NA,R8,Integral,NA,NA,NA,NA,NA,NA
2013, Capacete De Moto Escamoteável New Attack Hsa Cores + Brinde ,199,NA,448,150,12x,16.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,714,https://perfil.mercadolivre.com.br/RACE+ACTION,https://produto.mercadolivre.com.br/MLB-1185500665-capacete-pro-tork-de-moto-robocop-v-pro-jet-2-carbon-_JM?searchVariation=33502653804,527,123,40,12,12,#1185500665,Azul,"58,60,62",Pro Tork,V-Pro,Jet Carbon 2,Integral,Simple,EPS,ABS,Adultos,Unissex,NA
2014, Capacete Moto Fechado R8 Cromada + Viseira Transp Pro Tork ,132,NA,21,1172,12x,11.06,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/SMART_SHOP_ATACADISTA,https://produto.mercadolivre.com.br/MLB-895868614-capacete-de-moto-masculino-5g-preto-vermelho-5860-promoco-_JM?searchVariation=25379106623,3,0,0,0,0,#895868614,Vermelho,"4G VERMELHO/AZUL,58,60",Pro Tork,Evolution G4,CAP-222PT,Aberto,NA,NA,ABS,NA,NA,NA
2015, Capacete Pro Tork De Moto Robocop V-pro Jet 2 Carbon ,521,NA,1,89977,12x,49.85,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,73,https://perfil.mercadolivre.com.br/DISTRIBUIDORA1001VARIEDADES,https://produto.mercadolivre.com.br/MLB-1114878605-capacete-moto-x11-crossover-x3-oculos-interno-sol-a-vista-_JM?searchVariation=29504764208,59,12,1,1,0,#1114878605,"58 / Branco,58 / Cinza,58 / Verde,60 / Branco,60 / Cinza,60 / Verde,62 / Branco,62 / Cinza,62 / Verde",NA,X11,X3,Crossover X3,Integral,Duplo,Tecido antialérgico e antibacteriano,Casco ABS,Adultos,Masculino,NA
2016," Capacete De Moto Masculino 5g Preto Vermelho 58,60 Promoção ",85,NA,2,28,12x,8.13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CALIL+STORE,https://produto.mercadolivre.com.br/MLB-1153072265-capacete-sport-moto-788-automatico-branco-modelo-san-marino-_JM?searchVariation=31037473801,NA,NA,NA,NA,NA,#1153072265,Branco,"56,58,60",Pro Tork,Sport Moto,Sport Moto 788,Integral,NA,NA,NA,NA,NA,NA
2017, Capacete Moto X11 Crossover X3 Óculos Interno Sol A Vista ,379,NA,1,1600,12x,31.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,312,https://perfil.mercadolivre.com.br/GRIFE_DO_CAPACETE,https://produto.mercadolivre.com.br/MLB-964700306-capacete-moto-norisk-ff391-tokyo-_JM?searchVariation=19769636411,252,39,17,4,0,#964700306,Preto,"S - 56,XL - 61,L - 60,M - 58",NORISK,FF391,Tokyo,Integral,NA,NA,ABS,NA,NA,NA
2018, Capacete Sport Moto 788 Automatico Branco Modelo San Marino ,69,NA,18,2963,12x,6.69,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1562,https://perfil.mercadolivre.com.br/SABOREAVENTURA,https://produto.mercadolivre.com.br/MLB-1058056602-capacete-aberto-protork-new-liberty-3-three-moto-cores-_JM?searchVariation=25114949394,1154,275,100,15,18,#1058056602,"Azul,Amarelo,Azul,Branco,Cinza-escuro,Prateado,Preto,Rosa,Vermelho","56,58,60",Pro Tork,"Adulto, Unissex",New Liberty Three,Aberto,NA,NA,INJETADO EM ABS,NA,NA,NA
2019, Capacete Moto Norisk Ff391 Tokyo ,379,NA,1,1600,12x,31.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,312,https://perfil.mercadolivre.com.br/GRIFE_DO_CAPACETE,https://produto.mercadolivre.com.br/MLB-1055829901-capacete-moto-norisk-ff391-wolf-_JM?searchVariation=24993131063,252,39,17,4,0,#1055829901,Cinza,"58 - M,61 - XL,60 - L,56 - S",NORISK,FF391,Wolf,Integral,NA,NA,ABS,NA,NA,NA
2020, Capacete Aberto Protork New Liberty 3 Three Moto - Cores ,229,NA,137,17,12x,21.97,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,16,https://perfil.mercadolivre.com.br/NOVAESMOTOPE%C3%87AS,https://produto.mercadolivre.com.br/MLB-794901035-capacete-taurus-zarref-robocop-motoboy-moto-bullitz-_JM,10,4,2,0,0,#794901035,"56,58,60",,Taurus,Zarref V4,Classic,Integral,NA,NA,ABS,NA,NA,NA
2021, Capacete Moto Norisk Ff391 Wolf ,329,NA,1,3,12x,27.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LEOMOTOPARTS,https://produto.mercadolivre.com.br/MLB-1175028173-capacete-moto-fechado-x11-volt-dash-preto-cinza-_JM?searchVariation=32679193325,NA,NA,NA,NA,NA,#1175028173,Preto,"L - 59/60,M - 57/58",X11,NA,VOLT DASH,Integral,Simple,ABS,ABS,Adultos,Unissex,NA
2022, Capacete Taurus Zarref Robocop Motoboy Moto Bullitz ,244,NA,7,3,12x,20.41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,201,https://perfil.mercadolivre.com.br/OMOTOCICLISTA_PARTS,https://produto.mercadolivre.com.br/MLB-1100814909-capacete-moto-peels-mirage-f21-army-preto-ou-verde-vermelho-_JM?searchVariation=27432206557,137,39,19,3,3,#1100814909,Preto,56,Peels,PEELS F-21 USNAVY,Peels F21 Usnavy,Integral,NA,NA,NA,NA,NA,NA
2023, Capacete Moto Fechado X11 Volt Dash Preto Cinza ,229,NA,2,1499,12x,21.98,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,82,https://perfil.mercadolivre.com.br/GIANZINHO+PARTS,https://produto.mercadolivre.com.br/MLB-1173059118-capacete-protork-moto-new-atomic-vintage-788-skull-riders-_JM?searchVariation=32504807146,61,14,6,1,0,#1173059118,BRANCO COM AZUL,"56,58,60",Pro Tork,NA,Vintage,Aberto,Duplo,NA,NA,Adultos,Unissex,NA
2024, Capacete Moto Peels Mirage F21 Army Preto Ou Verde Vermelho ,249,NA,9,201,12x,20.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VENDASFREEMARKET,https://produto.mercadolivre.com.br/MLB-1081212842-capacete-moto-p-mulher-new-adventure-feminino-fechado-rosa-_JM?searchVariation=26346915995,NA,NA,NA,NA,NA,#1081212842,Rosa,"56,58,60",Pro Tork,TH1,Adventure,Integral,Simple,EPS,ABS,Adultos,Unissex,NA
2025, Capacete Protork Moto New Atomic Vintage 788 Skull Riders ,187,NA,1,3,12x,15.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/THUNDER+PARTS,https://produto.mercadolivre.com.br/MLB-1209399007-capacete-moto-ebf-fechado-e0x-titanium-preto-prata-fosco-_JM?searchVariation=35152515840,NA,NA,NA,NA,NA,#1209399007,Preto - Cinza,"56,58",EBF,E0X,Titanium,Integral,Cristal,Resina termoplástica,ABS,Adultos,Unissex,1400 g
2026, Capacete Moto P/ Mulher New Adventure Feminino Fechado Rosa ,102,NA,3,1,12x,9.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VIA+FEROZ,https://produto.mercadolivre.com.br/MLB-1210109143-capacete-fechado-motosky-collection-blade-viseira-anti-risco-_JM?searchVariation=35220071972,NA,NA,NA,NA,NA,#1210109143,"Preto,Vermelho","56,60",TEXX,NA,Collection Sky Blade,Integral,NA,NA,NA,NA,Masculino,NA
2027, Capacete Sam Marino Taurus Original Promoção Automático. ,150,NA,470,86,12x,14.34,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,25,https://perfil.mercadolivre.com.br/MARIANO+MOTOS.FORQUILHINHA.SC,https://produto.mercadolivre.com.br/MLB-959081001-capacete-sam-marino-taurus-original-promoco-automatico-_JM?searchVariation=19450217785,20,3,1,1,0,#959081001,"Preto,Azul,BRANCO FEMININO,Branco,LILAS FEMININO,PRETO FEMININO,Plata,Preto,Preto-fosco,Rosa,Vermelho","56,58,60,62",Taurus,Moto,San Marino,Integral,NA,NA,NA,NA,NA,NA
2028, Capacete Moto Zeus 380h Preto Fosco K36 Laranja ,349,NA,1,2,12x,29.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LEOMOTOPARTS,https://produto.mercadolivre.com.br/MLB-996497508-capacete-moto-zeus-380h-preto-fosco-k36-laranja-_JM?searchVariation=24032610757,NA,NA,NA,NA,NA,#996497508,Preto,55-56,Zeus,380h,K36,Aberto,Simple,ABS,ABS,Adultos,Unissex,NA
2029, Capacete De Moto Pro Tork New Liberty Four 4 Promoção Cores ,64,NA,4,573,12x,5.41,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1572,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-1101085493-capacete-de-moto-pro-tork-new-liberty-four-4-promoco-cores-_JM?searchVariation=27446828950,1039,335,143,32,23,#1101085493,"Rosa,Azul,Branco,Cinza claro,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,New Liberty,New Liberty 4,Integral,NA,NA,Casco injetado em ABS,NA,NA,NA
2030, Capacete Aberto New Liberty 3 Moto Motociclista Kit 2 Cap ,119,NA,3,148,12x,11.46,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1562,https://perfil.mercadolivre.com.br/EMPORIUM+MINEIRO,https://produto.mercadolivre.com.br/MLB-1257819394-capacete-aberto-new-liberty-3-moto-motociclista-kit-2-cap-_JM?searchVariation=39181074169,1154,275,100,15,18,#1257819394,"Azul,Branco,Preto-brilhante,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,NA,Aberto New Liberty Three,Aberto com Viseira,Duplo,NA,ABS,Adultos,Unissex,NA
2031, Capacete Ls2 Ff353 Rapid Modelo Alex Barros - Amarelo Moto ,649,NA,2,5,12x,54.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAVALODEACOMOTO,https://produto.mercadolivre.com.br/MLB-1201995438-capacete-ls2-ff353-rapid-modelo-alex-barros-amarelo-moto-_JM?searchVariation=34579359809,NA,NA,NA,NA,NA,#1201995438,Amarelo,"59/60 - (L/G),53/54 - (XS/PP),61/62 - (XL/GG)",LS2,FF353 Rapid,Réplica Alex Barros,Integral,Simple,Forração,KPA,Adultos,Unissex,NA
2032, Capacete Moto Feminino Mt Axxis Eagle Flowers Preto Fosco ,114,NA,175,178,12x,9.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1572,https://perfil.mercadolivre.com.br/JN.MOTOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=BA0o8s4jsCo%2BmsmAWrKqxTjE9K0bh3mdEf3MLNEnLVknXlnNZqXi7ESbbN8sXxJVnKySh6aP1%2F6pUsFbLhrHJNZrFq5QrLgU%2BnXfmslaaAqj4Zhv%2FSKhgUv9PDzoW8RSdda4ifI8VepmRL3A2wC4LNx2TowP9Na6obKBsS%2FgvPwFtBZEZiYkBphh8Aw99kRH8KhW38Ohihb6%2FDO%2FkBJ%2FOyCzsgQ7pRCA21WhfC2ZU0P0o6x2yZuwhNdYm9hghBb7vliy7bF7VEtR%2FnI%2BaBuPoxK6XPtgekc1eZu8Nc7GkpJyaF2CsTgjG21VKKmxuBXwYtpqZ6Z0VXRZJh14kxlG2Rzn8thC1FM4tLLS9bm8CaJmS6iJbON7%2BReBHZgy2rFfO25UEeS97GyL2kUDZlkMNQ2EG5ypbt0M1oomUszTErEyYLB3JBJg9FT%2FO4QDOaTRph6K%2BlOvimUkYhifKSzmavRgOCcOr2Nv%2FgYCTabUuMYGsif7aspClh5ND97NUzPyrEd5LbdkBvucK%2BQkVa%2FX7OKnCjiCkhn8E0JeBZnniYTtnVDodiJr%2FXOxe1i1YUKPZGIyVm0N%2Bie%2FUX%2BEK%2FQLZmke8ltVhB86jYqHTQwXir6CvaKshsGVgq3V1iAlRlR%2FI6p%2BQGuD9tYq%2BAH3e3YWU1DaB%2F3YoPoGhS5CGYUdHTlJZzXcdFXtK2FoSPeeMe1KfGU%2FoFiT73LA2zecCSK5VpdAyH1w85yqVvzcpHG%2F8toWynXNl5y%2FwOZYwItgxANx%2BgOy1vRLlJWUSsZ7Gk7Jb0gDblgemtmtYwr9msHbYKJShMJAJqGoriqBhr%2BilsOmxGvMRfsG0qK%2FbO1iorKXAoYjF5sB%2B6mRjh%2BRUcXPqBQZvqdgIvyBBwW0kdlQYCo5CUwNJBGtnAD9z2x9jn46Gd87vBl7%2F4LAV%2BLnvrmRr%2BM63PeQB5IlS%2FpsUHBvX7rnCklt5BQRDyMwqOE9qUiQBaMp%2BJlN5aRGRO1GZLBIAoT%2FWQY3epLzWyERs1qEOHsyWanBXaxVpFNj2nUqQMK0Wjg9yZiluV1A4vXaQEXUpjkj2hRlEKcsyqy6NDebEg72tCWYUUx8p%2Fe%2B0ScbgD4JvY%2FY2fjJOVvGMU85YNXgEBC9YdOdIeJi399WZHJi62rnlQQauBrjHQQZMhqzm9xpdJA0aGZdhbK%2Bg6yOol3yZi8FDSk%2FW2%2FEyHQLgYv5USJM491AnHnMDiW3tBQUYQymx3xopfijB5a5mMPYUSAywXUL9exEnl4gEDlaczpbebV68quBqCKAwy%2B4enyiDzTYUl83I%2BN%2F3%2Bg3QHHHSzx9LtowIFCK%2B6gYJYuXBdGo4gFaC848dYbMG8274k0igtin8R%2BaaSDZCi%2Bt8oK%2BbmKOHxurt3VIGxPEGJzITAy1LYIfXFx6AAcVsmGvAS1RGqOsDLWHxAV%2Fs3GVq%2F6hQdw5JR2kLC5rw%2FeNgQXLHCrklJB2GcQwsD%2FPPanKuf0LFGjzdDwOTtvjcK8QQ8jJwt%2FEueB%2BOOLyfRYvwCPqVBNhtF5TxP3x3UneKdYZMTKWAdbuyUkZH54oF0pag5MgLImF7SB%2FI5gFZc93CrptLNgn5ipi4Rc5pyERwpNV7jfEjId%2FVoUhpAvtPYwbpInZrhnNVa%2BmAOlMriEx6DWTjHHAOC5tSUoA2ptMzitc72zAlaHtk7MkXN0H3tBNgnCKPtol0lagwekHXzU%3D,1039,335,143,32,23,#1122939289,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,Simple,Berço Antialérgico,ABS,Adultos,Unissex,NA
2033, Capacete Sm Preto/vermelho 788 Pro Tork Promoção ,399,NA,3,6,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MOTOPAN+DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1118434900-capacete-moto-feminino-mt-axxis-eagle-flowers-preto-fosco-_JM,NA,NA,NA,NA,NA,#1118434900,"Azul / 56,Azul / 58,Azul / 60,Azul / 62",NA,MT,EAGLE FLOWERS,Eagle,Integral,Simple,NA,ABS,Adultos,Unissex,NA
