search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Tipos de parlante,Voltaje,Altura
1278, Embassy Bq15 Parlante Bluetooth 170w Rms Mp3 Usb Radio Aux ,4499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-648659174-embassy-bq15-parlante-bluetooth-170w-rms-mp3-usb-radio-aux-_JM,NA,NA,NA,NA,NA,#648659174,Embassy,Bq15,Bq15,170 W,Portátil,Portatil,Caja,"1,0",RCA,NA,portatil,220,NA
1279, Parlante Portatil Simil Jbl Bluetooth Charge Mini ,1320,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(7 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/CINEMASOPORTES,https://articulo.mercadolibre.com.ar/MLA-785345527-parlante-portatil-simil-jbl-bluetooth-charge-mini-_JM,NA,NA,NA,NA,NA,#785345527,Simil JBL,NA,Charge Mini,3 W,NA,NA,NA,NA,USB,NA,NA,NA,NA
1280, Parlante Potenciado Stromberg Kazz Ds60j Mix Dj 45w Radio Fm ,5999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-752273506-parlante-potenciado-stromberg-kazz-ds60j-mix-dj-45w-radio-fm-_JM,NA,NA,NA,NA,NA,#752273506,Stromberg,NA,ds60j,45 W,NA,NA,NA,NA,1,NA,NA,NA,NA
1281, Parlante Portatil 12 Luz Led Disco Bluetooth Radio Microfono ,6498,NA,"
			
				Nuevo
			
			
				
					 - 
				
				55
				vendidos
			
		",(48 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,2,https://perfil.mercadolibre.com.ar/INGETEC,https://articulo.mercadolibre.com.ar/MLA-696081605-parlante-portatil-12-luz-led-disco-bluetooth-radio-microfono-_JM,NA,NA,NA,NA,NA,#696081605,Daewoo,NA,D1001,NA,Subwoofer,NA,Columna,NA,Entrada para Micrófono,NA,Portatil,NA,NA
1282, Parlante Onset Bt Vintage Colores It120 ,950,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/DODICISRL,https://articulo.mercadolibre.com.ar/MLA-715258524-parlante-onset-bt-vintage-colores-it120-_JM,NA,NA,NA,NA,NA,#715258524,Onset,NA,IT120,3 W,NA,NA,Chico,NA,NA,NA,NA,NA,NA
1283, Parlantes Bluetooth Koloss Hi End Con Cable Optico 5 M ,43648,NA,NA,(31 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,4,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=OcBiY48%2Bh8sm3LIp61uAKv2Xgd3fgfSS47LdC9PJ4qyyU4OopktWSBl%2BKcfM6W%2FdtJ2fouSC8UnJQo4qusGHuB6olQ3htsXXRhBdoAtwjGtTAEaW7CjrWwGfaG5esa%2F5qpGlR6ADZada9yUMGTWLnl1UwLilpFFjYWyk5LYiGHIYubuDbVghSAQM35Np%2FAeePRnTZrSSaG02ZWDxEgJuCsuACEX9yTpKW7QIJo%2FoDlM7425fu0cTU%2BYoX9vX0kwcpCv%2B9vz5kPTNp0LO%2BR7JPc0ZZKr19KMoFcMVvzBiO4kzpCao6VpLMk6FBqKmo1XdyCfDocTENwANWYU1L0PkyKFfDSxZ8R9wD33MzXd%2F5qvqlRYf9qOGZ%2Bm8U9VmINqq6HeYOh9bA7zYeX5QwcbPajbzZ1WkOl66jHNsUjR7kvvgCU06do4A%2BUHyu8ed8DkSkJNdnFqbSiGpUdTfX4xvSTPNPfKmbHvpxBZAkj%2BvBN%2BJRDHPYXQe29QzOW5GfWQWuTIlTRBWyoJ0lv5i6XLjuX1ULlphy9mKRDsKAlBZU8KlPWDSvIqcMx4nvrls4xvtSGvxXILEH9LLsrIhR%2BIYwZTZ%2Fk6R51WO%2FT0DrtcsiMqAkF66NYykCz%2BmGj8nn1CHA9wHhAWh%2BKrEn%2BB9U%2B6XC2WSKI0kebcoxS5VC%2BQjRA2Lvd%2Bk1L%2BuIzX7D8eiqmHIYeEqEzBSf906dOkwso8WQFAcOmMW2ycVFxfVWJdycwaGAXIyqEKNqObCMacFWv%2FWoPWLPsVzBceUfFxvdhOWYvcSAWhMnHZKkh%2FOYvNI42sH08pdXsBmiYt50tGjeMibKZjlkW4t8XxZkejNTNCI38Qj6yC3vFjm5cSbqILY01ZtVvzuCN2b4GQAkGUaWDS%2B%2BqyR8Y81faQGWskuXCliSfw9hFvZZoVkXVgN7JXRbjIu56uONADSwMbfFDhs5TsaNopA4akKpYC8XdFmJa4AJxsnmE21wUsSQdZJMQEzK6qDeqT6DoD6OeWl%2B5rrsKN5OQIh1xxWJ6FLzhzRSw58WIhhBw47qbi43kl8QMDdPwGVUtIOpH8ETw27IJwjVOSkOsU9ixZEeibUgYEXmT0eXvR%2B5S0UOViqQy%2Bn5lz7tF%2F%2F0OuHeuQEkfzc%2B9l52BaIYFPxcnvnpM9VHG1S1WJGqoIJIY6dbitoGj5K9Hz0oh3RA2eiq7ifl5RcicUh8RDF6ZPmNowD3e73NJech11qokh0%2B%2FzzcftL%2FjCTERscfN%2FtrleTnAnEOtgH%2Fu%2Fwz8HumN%2BRJ90myCHDzIfrGhcYqcA8ShV5t1kz4r22QswZ0JdQM7a5DW0WW9La5psJ3ekNh%2Fq0W%2Faq5s4TRzbNj7sITACTMPhTCYCuAlT55hHCJPCtDomRtdn55zVSeqLCcfid9Yxfgnbisil2ubtd3XCC0%2BV8zfBFTq7duaYlaaODHpmCyQPhwatYnRl9CZHWVqUACDnpaZe6QJ2CVgoibgxNvL1rxm5%2BwPGiPhZ1YK0gFg7N7HX8JAKANJ8L2XuQKVSoqTU7t%2Bycf6QO7RbMQm8v7UJjiNqr2Fbbh%2F%2BcOxLm2bHBOrHky4gecNM7Sx%2B6gnRrcKT17bjP6ESnldgjubICaLM0qIK9BAA3E%2FC%2BvJf2OpaVHJFvH%2FMQm7ChmixZ6JS6WPh4b%2B2LSq4a1ymv3BFFzwt2jxU%2BKDFrV%2FcevkCc0Z7UAFP5HTxNyHqn4%2Fu4ukm2GXtTa2lUDd3tTtltve9A6tnVenWQoEa%2FMovdnoOEH2sQFnNtnS0Qaj6W5JFSo4CxgpojNfGodc%2BlYGXTe3jVHz3Vd9GxpY2%2FMl0B3FJiBUow4VIv6ORU6mjGhneEjbESdTfViMlCDBCTeuKdSoBNXEA8vkibZPDvfzPmguAwaqnoO8n8MVYtkmaM,2,1,1,0,0,#791971522,Thonet & Vander,NA,Koloss,160 W,Par de Parlantes,Living,Caja,2.0,NA,NA,NA,NA,NA
1284, Bafle Portátil 12 2 Inalambrico Bluetooth Usb Karaoke+mic P ,8999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(6 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TODODJ,https://articulo.mercadolibre.com.ar/MLA-738489037-bafle-portatil-12-2-inalambrico-bluetooth-usb-karaokemic-p-_JM,NA,NA,NA,NA,NA,#738489037,GBR,NA,POWERED 690,60 W,FULL RANGE,"EVENTOS, FIESTAS, KARAOKE, ANIMACIONES, SALONES, casa, quintas, colonia, escuelas, profesores",Caja,1,Plug,NA,full range activo,220/12v,NA
1285, Parlante Portátil Inalámbrico Panter Sony Beat Pbb01 ,3279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/ALESTEBRANDML,https://articulo.mercadolibre.com.ar/MLA-735234338-parlante-portatil-inalambrico-panter-sony-beat-pbb01-_JM,NA,NA,NA,NA,NA,#735234338,Panter,NA,PBB01,30 W,Portátil,portatil,portatil,NA,NA,NA,portatil,NA,NA
1286, Parlante Proco 12 Bluetooth Usb + 2 Microfonos Inalambrico ,9990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TECNOTRONICOS.COM,https://articulo.mercadolibre.com.ar/MLA-764380458-parlante-proco-12-bluetooth-usb-2-microfonos-inalambrico-_JM,NA,NA,NA,NA,NA,#764380458,PROCO,NA,Portable 12,80 W,Woofer,De piso,Caja,NA,Lector SD,NA,Portatil,220,NA
1287, Bafle Potenciado Bam 150a Tecshow Activo 450w Usb Bluetooth ,15469,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(13 disponibles),12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CLAMP+SOUNDLIGHTING,https://articulo.mercadolibre.com.ar/MLA-607838630-bafle-potenciado-bam-150a-tecshow-activo-450w-usb-bluetooth-_JM,NA,NA,NA,NA,NA,#607838630,Tecshow,Control,bam150A,450 W,Woofer,NA,Caja,NA,RCA,16 kg,Woofer,"AC100?240V, 50-60Hz",NA
