search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
158, Barbeador Elétrico Máquina Shaver Kemei Bivolt Dourado Luxo ,35,NA,119,9939,6x,6.00,NA,Envio para todo o país,NA,NA,4,1,https://perfil.mercadolivre.com.br/LIJUANCHEN,https://produto.mercadolivre.com.br/MLB-1167608773-barbeador-eletrico-maquina-shaver-kemei-bivolt-dourado-luxo-_JM,0,1,0,0,0,#1167608773,Kemei,Barbeador,RSCW-5500,NA,Recarregável,Planos,2h,124 g
159, Barbeador Philco Shaver Pba03 Recarregável Bivolt ,128,NA,4,20,12x,10.67,NA,Frete grátis,NA,NA,4.5,24,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1270708792-barbeador-philco-shaver-pba03-recarregavel-bivolt-_JM,16,4,4,0,0,#1270708792,Philco,Shaver,PBA03,NA,bivolt,Flexíveis,NA,190 g
160, Aparador Barbeador Elétrico Philips One Blade 2521 Original ,167,NA,4,12,12x,13.99,NA,Frete grátis,NA,NA,4.7,482,https://perfil.mercadolivre.com.br/ELETRONEW.,https://produto.mercadolivre.com.br/MLB-1239914807-aparador-barbeador-eletrico-philips-one-blade-2521-original-_JM,387,63,19,6,6,#1239914807,Philips,OneBlade,QP2521/10,NA,Recarregável,Removíveis,NA,NA
161, Barbeador 3 Em 1 A Prova D´àgua Com 1 Ano De Garantia ,79,NA,186,3,12x,6.67,NA,Envio para todo o país,NA,NA,4.9,10,https://perfil.mercadolivre.com.br/LOJATUDOONLNE,https://produto.mercadolivre.com.br/MLB-938136423-barbeador-3-em-1-a-prova-dgua-com-1-ano-de-garantia-_JM,9,1,0,0,0,#938136423,Multilaser,MULTILASER,EB024,NA,Bateria,"1 BARBEADOR, 1 CABO USB, 1 ESCOVA PARA LIMPEZA, 1 PENTE DE PRECISÃO AJUSTÁVEL, 1 RECIPIENTE DE OLÉO PARA LÁMINAS, 1 MANUEL DE INSTRUÇÕES",NA,NA
162, Maquininha Eletrica Acabamento Pezinho Cabelo Nariz Bateria ,87,NA,58,75,12x,7.25,NA,Envio para todo o país,NA,NA,1,1,https://perfil.mercadolivre.com.br/R1SHOP,https://produto.mercadolivre.com.br/MLB-1091686708-maquininha-eletrica-acabamento-pezinho-cabelo-nariz-bateria-_JM,0,0,0,0,1,#1091686708,Philips,BARBA CABELO,Máquina Para Corta Cabelo Fazer A Barba Pezinho,NA,Recarregável,Removíveis,NA,150 g
163, Fonte Carregador 15v Para Barbeadores Philips Para Todos 15v ,40,NA,42,17,6x,6.78,NA,Envio para todo o país,NA,NA,5,2,https://perfil.mercadolivre.com.br/POWER.FONTES,https://produto.mercadolivre.com.br/MLB-1181943272-fonte-carregador-15v-para-barbeadores-philips-para-todos-15v-_JM,2,0,0,0,0,#1181943272,Philips,BARBEADOR,Philips,NA,Recarregável,Flexíveis,3,NA
164, Barbeador Aparador Oneblade Qp2530/10 Com 4 Pentes Philips ,189,NA,42,10,12x,18.06,NA,Frete grátis,NA,NA,5,1,https://perfil.mercadolivre.com.br/MANSURMARCIO,https://produto.mercadolivre.com.br/MLB-1155314359-barbeador-aparador-oneblade-qp253010-com-4-pentes-philips-_JM,1,0,0,0,0,#1155314359,Philips,OneBlade,QP2530/10,QP2530/10,Recarregável,Removíveis,60 min,NA
165, Barbeador Elétrico Máquina Barbear Bivolt Philips One Blade ,179,NA,187,62,12x,14.94,NA,Frete grátis,NA,NA,4.4,1469,https://perfil.mercadolivre.com.br/FRATELLI+BH,https://produto.mercadolivre.com.br/MLB-695631944-barbeador-eletrico-maquina-barbear-bivolt-philips-one-blade-_JM,1008,258,99,38,65,#695631944,Philips,OneBlade,QP2510,QP2510/10,Recarregável,Flexíveis,30 min,NA
166, Barbeador Philips S1070 Prova D'água + Wahl Trimmer P/ Nariz ,239,NA,30,978,12x,19.99,NA,Frete grátis,NA,NA,4.6,79,https://perfil.mercadolivre.com.br/SHOPL%C3%82NDIA,https://produto.mercadolivre.com.br/MLB-784249174-barbeador-philips-s1070-prova-dagua-wahl-trimmer-p-nariz-_JM,56,14,7,1,1,#784249174,Philips,AquaTouch,S1070,AT756/16,Elétrica,Giratórios,45 MIN.,NA
167, Barbeador Aparador Elétrico Recarregável Goncon Prova D'água ,33,36,294,4,6x,6.16,NA,Envio para todo o país,NA,NA,4.5,11,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=XTnQgchKB1jhK5nEbLELOpkdfsSQ8ndD9%2B%2B1Bq5hg1IZy94rajB%2BhFTDx%2Fs3vjGvpGjLMyae6OGH2Okfvttp%2BhoSs3y4o10Uh%2BLGOXs9BLD%2F6R5XHomaNVQzYrQr5sWBE72bK1lz0DUWbXyoaLeCUYwsp9CgsSs0754J5q6ITteKCu0GaeHVLtaGdVKnXi9umVy1om55LkeTijRt%2B5edRUDoQjexgCwgDdkUetOWFH8treUGYdLiRG6%2FXfKKLnX5n48E964IVrxAw05OG2hU7aUvgwv4%2BFouWUo5cD91%2FTjqmR3sUIDOQHyDBkHwdrwLW2fLGStVVE%2FftoekLf%2BtLr5zZIzEDiOVKIy%2FW%2B9CNMZJ5pGm1vJXlTEMWwF0zlAUc49yxHgtmwI%2B1SswYPnMkzKJraLTzAz6Z8TSQN4lrK2mxDpPc0SfpXsvvDb2%2Fn6u%2BundFNluP0i3YFsimBw7kO6Q0YaKodChjtI%2F%2FgJmHwP%2FIyx8GRhJqM0UaeCjXx4Hj0filwguqh%2B18uPSi5kEaW%2BO9%2FHxwOgSlrC22lZwfk0oeQk9ZWFiFr4G%2FQVuen%2FQ86hTNSWUXNMrL8IaA5lmyCeXA8zMPP6WHb3Fib2%2FRQH6zdW3jJPiH6h%2FMFbcTyAZwP2kMthRgPS1dW5hq%2BkMwKwj7pIQYbbNeTKV1TrUzkebVeyAKHayDpOHHu3ISm%2BiKZFJCSEe%2Bm3EJ8y3xcb7dDyAVexunZFWXwHbw%2Bva99Eha%2Fb%2B5laZ%2FFyVnyVh0pfJBWhYH0C1LiJs%2FRh50zlnrq%2FTSX7vcK2%2B1hGCfe4sP0uEx1Da7IvneJYTzvAjXdMVgp6JEWuYt30fkTnj%2BQITHsRxEkHB%2FADA98uCP%2BE1eMqveKXjONgH6IXJmBrpHAGVTSPz5KKlo6PqqilFZUkqGs5bNXprE5l2Ut3pi%2BmV5QQd4GQZ%2BHgWvbg4toRqPGA5DImhyM2azRm6En3lcPzH34Q5I%2ByM8H%2BFeaBL8dt1dGvB9zJ1SIx20FtyQotJhYbgAACs54wIReVrRolMw1ZSGBuBm24V2%2Bb85UUL1KlDA5CNj0wPCP2JhCRD%2BVa%2FthOEHGqc7RYfNokE9dff1s1gQZM2mcq6dBlrDsGPTHMPKj%2FnB0gAl8Jv61D42uXo5Qyb28unfeUG58cuUBsP%2FCrx7zJ%2F9rCs922Ij44JInNYK3xOy0XNGHv9LBd2BRwpOMajNXRvLlG0TNbd7A9kxJEHMRx7z%2Ff4m%2B0sDc7AlVXK6myLMy8cYgAZudRB0qBM8pbhkp6xjwh3F6siyviji0Jh0WKjgcA%2Fr8kPac6paZnhVdJYO9kaJdKbDIrShAVmcMOxXotDcjdd0ZNtYKspJy2iTV3No1orsON23%2FTgJldIj7r1CdjMcoop4OneVLPIM7jKJdjoNuqG5a240361zRnRsFMbzwd0yBXGV6j9tmjCuTvbVLMraIGgj1LTl0ndLjUvZiC%2BYL9eNG%2Foq3EcX4wRAicCHk3NMA9iWNZO8HPjb6I%2FTkCUlsy1KfUq2Mox1G0u3LTYPOFQODmnKjr3acODGuAoj4qdImjzTSJL1Hp0q9B40xE5oOhOq%2F67%2BAFNLEDZ5bjERWtw2uJJJInKetXsxrhRggch4xxcKh0nvWeGlyIKGrRBrjyFr0aiU4hmMU4KzzciCqWK9rfsxcrUSjmxyvcmIG009bLoNqhtuk4lLaR3YPVVTGjFhnf3HtBw5mTJbZclIEdODLvOpMSrTg0S2DQ0H78npdm2e4L%2BS8qfWbcRDTzKg7JQEtZGLlY%3D,8,2,0,0,1,#1191869219,Kemei,Shaver,RSCW5500,NA,Recarregável,Removíveis,30 MINUTOS,124 g
