search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Modelo alfanumérico
11, Rasuradora Electrica Remington Cortadora Cabello Vello 9pzas ,549,790,933,15,12 meses,54.24,NA,Envío gratis a todo el país,NA,NA,4.5,43,https://perfil.mercadolibre.com.mx/MERCADAZOOFICIALES?brandId=880,https://articulo.mercadolibre.com.mx/MLM-612753157-rasuradora-electrica-remington-cortadora-cabello-vello-9pzas-_JM,31,7,0,2,2,#612753157,Remington,REMINGTON,PG6020B (110) F,"Cortador para detalles, Peine con 8 ajustes, 3 peines para barba, Cortador curvo, Cortador de vellos nariz y orejas, Mini afeitadora, Base de Almacenaje",4,Láminas,Eléctrica,50 MINUTOS,4 h,NA
12, Philips Norelco 3000 Recortadora Barba Delineadora 13 Piezas ,589,NA,172,4,18 meses,32.72,NA,Envío gratis a todo el país,NA,NA,4.6,5,https://perfil.mercadolibre.com.mx/TEKLIFE,https://articulo.mercadolibre.com.mx/MLM-643071800-philips-norelco-3000-recortadora-barba-delineadora-13-piezas-_JM,3,2,0,0,0,#643071800,Philips,Recortadora,Multigroom 3000,NA,NA,NA,Eléctrica,NA,NA,MG3750/60
13, Rasuradora Afeitadora Wahl Recargable All In One 14pzs Nueva ,349,NA,100,127,18 meses,19.39,NA,Envío,NA,NA,5,2,https://perfil.mercadolibre.com.mx/ELECTRONICS.MEXICO,https://articulo.mercadolibre.com.mx/MLM-666698396-rasuradora-afeitadora-wahl-recargable-all-in-one-14pzs-nueva-_JM,2,0,0,0,0,#666698396,Wahl,all in one,9685-200,Nariz y Oído Trimmer,NA,NA,Recargable,80 m,NA,NA
14, Rasuradora Philips Norelco Mg7750 Multigroom Dual 23 Piezas ,"1,499",NA,31,3,18 meses,83.28,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.com.mx/AUDIOLAND+ELECTRONICS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=FFzz7pCE5ookatsXb3DlYDfG8qsafUvoXnKQxtK%2BMG8ny8n%2BPJdkOpKJXPTJH%2FRh39xWTJ4%2Fab9grj8KUF4fKk7GTLmqcc%2B0UrJxIxyW8Vx5ck%2Bo6JZuyNjNWDcqns4pls18fHl87Ml6YcrAha2BODp884DYqdtGocLpBHKTTaQ0xhZtuxz79WQGY6d72yYbHS8wG2%2FKnp1yEDoGRzaAhhDTX6S%2FMYn02Osv33pLMPIH4uo110pfQVEIqgbIS4iOknDtZvFkx3pvCyCSDm51yBILubd2u2wSTzmAzyBDeH%2FId%2B32A3leXV1CNCn4KceoEaxRvBfyB0hlGdua9YiTvVwYY0thgNuvDNYspK5UZ7%2FtxREFz%2FcPkss2ga7BTH3x%2FZ%2FjV9aE6J0DIMOyu7C%2B%2BmKD0tOLWjt4J57zuxyHRtz6HHc6%2FWpe9FA2ky2uQCXvlNhulGySPzzc1EskGGkOya7pKl6Lh1kCXqHQCIXfC%2FcyjzoTXPJTj9PH5Xr%2Fn3vpmB9Jn59RLrxUzAzsUmzvzXfPk7tdyLbfjB38JZbdxJJDu6%2Bu180a6rrnqy48lJilAebZVhuk95CBOjmz8FYyMKrArimaYa2q9O%2BgOIAwLfLejEWxdqXvOSE%2BVrpL0fOopzPXt466RhKhIBV3QcMgr3UTxkpKVMduxrENO7A1aUZRK0757kqDPe4PjAwkAu%2B5%2F%2FDQCZAbjBsHoQOr5e01ucD8pHCJUMWZQ8y1Ql1fuAd8ql2hLXu%2BaSqFybx94LfWWuAvIxwm7zSCaJSgL1qAMmsNQeo7GsIx3xaoRA3Sz75RL0aKCxajgAQ%2FGZcZndEHee04UBeP416tHTnBcUVfHsOHeapYjMi%2BxoRVdE2Fzh%2FOnlAPrb0txxjbcv1LowCsZbWULrcOCjLE4RB2EQFDZN8hlcGsb2Kd3Bg%2BWd2X%2BXezxd4LwtJrbVNcTVR4RENrm3iRJEBqM%2F47VPaJzCzN6Ap7VJbzo9WZLUzxw%2FfqwBMWSzJllixeK7EYo6AkgS8s8dvaom24ciluvh%2FLQ8z%2Fj%2Fifq%2BzLnBWCZFupSO6fES7JZMA2h4g0ycca7VVKz1Q38I7Sja3q%2BBXvt%2FNF47drP6FZCsrolz6rsF%2BVm21miD8OFc3EpiGa3sznrBKDp3h1JcEUaYlYstttM9tBXcjvJUmdzLW6qddC3ynwa9H8OrlGgpR0MJT%2FKGugzLZrLJCvs1xMvgHriygNuWwJJbw%2BK6VDPZifiUTTTnNzxR3Nw7bTm3RtRk9dzalioKNs33hx1jLQvSAdhA32yjEhyI7PZPqejpjuOU%2BaszR%2FdXi8cPup5%2FN7%2B93%2BEqEaXFAZwesaa%2BohUA8ZAoRA%2FSGB9jZOEXywTjOSOTyndkM7ms4%2F1p0nJ40ZaSZA%2BP26XYcUe4xQARsVQy1vAhvSzjQkLx017meTHLYvetlB0AmbRC85hKaWtH%2B6CuAnlt%2B%2F8fpnHQrQjJvfztv0h6sv5NZ8g1vG1Qzx%2Ble9vgMsg4HJRGov1lHx%2FCPPTkU3ZsLG2IZIsvPKhLVFrkz%2B9fawOMlMNX8flssxCnsCkJpPWAbxi9hUc6wfWsBfmMZxv%2BaMbXCGPbrxSCMbJV7QUvC7HRNUY70QDZ7tHBml%2BhEK1ITSRLoEh%2B4NK0og3LG58dEntJowaSWBWp8s5oB%2Bx9n6hdA8x0o9KediI7VVKGiABWSpPn9uwXzYnG82NWbPt13yC%2FkeQ3CFsMz7XZdUJpO8AsTGnmpLS0eeg1uK6ByZQGkoTUi797YY9MEr%2BJbTJ%2FHDtmJXKY8%2BL1eGFLan7aA%2BLGX3sBb9Lz7YWbMOiquosKb39CMp9J%2FqQkn%2F,3,0,0,0,0,#631614977,Philips,7000,MG7750,Planos,1,Lift&Cut,Recargable,5 horas,2 h,MG7790/40
15, Rasuradora Cortadora Barba Bigote Remington Maquina ,549,NA,398,10,18 meses,30.50,NA,Envío gratis a todo el país,NA,NA,4.7,87,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-658376737-rasuradora-cortadora-barba-bigote-remington-maquina-_JM,65,17,4,1,0,#658376737,Remington,Remington,PG6025 (110) F,Giratorios,5,Láminas,Eléctrica,65 MINUTOS,4 h,NA
16, Micro Rasuradora Maquina Barba ,199,NA,97,12,18 meses,11.06,NA,Envío gratis a todo el país,NA,NA,2.7,3,https://perfil.mercadolibre.com.mx/MALU8988452,https://articulo.mercadolibre.com.mx/MLM-664802590-micro-rasuradora-maquina-barba-_JM,1,0,0,1,1,#664802590,universl,barba,micro rasuradora,Planos,NA,NA,Eléctrica,electrico,NA,NA
17, Philips Norelco Maquina Barba Nariz Y Oídos Envío Gratuito ,599,NA,277,18,18 meses,33.28,NA,Envío gratis a todo el país,NA,NA,5,20,https://perfil.mercadolibre.com.mx/MANIX_ELECTRONICS,https://articulo.mercadolibre.com.mx/MLM-601194044-philips-norelco-maquina-barba-nariz-y-oidos-envio-gratuito-_JM,19,1,0,0,0,#601194044,Philips,Philips,Multigroom 3000,Removibles,3,Lift&Cut,Recargable,60 ms,0 años,MG3750/60
18, Rasuradora Multi-usos 8 En 1 Timco X-48 ,288,NA,72,15,18 meses,16.00,NA,Envío a todo el país,NA,NA,4,4,https://perfil.mercadolibre.com.mx/TIMCOWEB?brandId=1277,https://articulo.mercadolibre.com.mx/MLM-601445913-rasuradora-multi-usos-8-en-1-timco-x-48-_JM,3,0,0,0,1,#601445913,Timco,NA,X-48,Removibles,1,Rotativo,Eléctrica,NA,NA,NA
19, Rasuradora Recargable 3 Cabezas Independientes Bsk-8900 ,329,NA,107,6,18 meses,18.28,NA,Envío a todo el país,NA,NA,3.4,5,https://perfil.mercadolibre.com.mx/TIMCOWEB?brandId=1277,https://articulo.mercadolibre.com.mx/MLM-601445999-rasuradora-recargable-3-cabezas-independientes-bsk-8900-_JM,2,1,0,1,1,#601445999,Timco,NA,BSK-8900,Giratorios,3,Rotativo,Recargable,35,8 h,NA
20, Rasuradora Philips Norelco Todo N Uno Mg5750 Recargable 18pz ,"1,099",NA,92,5,18 meses,61.06,NA,Envío gratis a todo el país,NA,NA,5,8,https://perfil.mercadolibre.com.mx/AUDIOLAND+ELECTRONICS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=xcrzovsNla7hQmnFVZJOW1ecmDxXenWqJ68qxR3LZKttpBV6EcFEbXRT%2F22MJR8kVtieGxb0DvKY9IcGPyJqbdcviO8BheUHjLRv09BWBKXiS%2FuDVVanSfwkzcuGis1x3gBcniVYWwHiJ8vfG6M00VPQOJjMCsbsRq%2BgxkGbSXNpgFd2OfH5u3g1YEN0lFsujt9mKpXwD1Bs1jiCfFQrv8pNQhfhSvRvE0PNqb1wudfBaifu2%2BhWllONlTi76xehMMxLfKtu9xy%2BQ1J45w1PVnHj6FtEZVSq9I5Ld8BWqqk98pU3L%2FXZhqgD6d3jRWhbibDd%2FY%2BuWBDjAjo4WwDyHqRTYW6xIUjMYlQfR39nwfWJ8G5vtAH8zA9q9erzYkAcOPqYsq9Cl1c1JoJK%2BMReO6WKwnj28XVWIRdViFT0jnOCdvnjUKykoaKlOlefBA%2B1v9aAvZlqqryzKLMwZ69PlPvGuGtOMc5CWJu0q7NHtWqcMFoAY9zso9ZU1pgcRfd2MzKGZtQI971syeSW92%2Fx3YpzjwM%2F13%2Fi0rySXz8TH6ntcOPQlSB3xvVPEMFMaO9b3O97sah%2FkxpNdWhvbsHZr0bu0YzJvwa01zROLGVDfd%2FWk9VCmoiLENWX6CKjHCHNSGwjrHUwbsjmFalv7B4M96jpeD2tvIjzPzSOkgkfUISmrKtdz8KykJk2BWtOZf5dHQOrrQfl6sdhGmvFcS1GsXhsfLZgq%2FRjk4cBqXnqtpR3ComFNxHXwg5GhHgYkI0S7rm4hm9v2figAtcZt2nAZ7ZFhyEUK5KeW%2Bdf09dMArE55l8%2F7q115nxOIAc%2FonRMi0MXjUvoWIhP25lJMJAsDlF7HiFbTTIlmcVRu3WaXJkxwI1Mdyw2pWIMFBACdEJ9EnqR2DhzKf7JwZehWnASK1yBoFZmVdQOQntryqTNZvfRvVrxf6MCrKgh27iAqsKGyiTlVDTE%2BDCZFXTDz6qCC3NRwUJiTI695w5wQUKJBco3UZSDNqZnUrFwD%2FOWhdcIYuPQX5Rm1%2BgZLpTyM1d%2BWQC0ImU80dyZmPSFdf34j6Fb3%2FPlGCGhBrea732ZDe3wV8WsJC5E0ukDwzfKwhZLhYMxUiq9cb5BvNO65M6eEmiC0OX1k7RSxeEmreNtZ5ZjaUgnsjnhXVSuxgVIklprjqmq3pCUbvDJ6iVox%2B3Z6wVzMtQR4aDTgXYKYas8497lfIVr5HBhWFyU%2BP1gikguQJSTWP6OK4UZYRU7wPLnq4H7p%2F1TFU3y2WZicAC1Wj1TkLh1q2Y7ak9QRIj6kkcJ4cFr93qCfxeqmU%2BXCJCvlSdGdhI%2F5Fggp7%2FAalxR355BdDwn%2BGKZIMMi%2F4kcPGIxFsGXyKDjBz2p6e0S8vawFOEb3%2F%2BSRivPlVHBGq1WA4s4TdZY2kwYqU9DQv%2BBpKMNCrXmlCyAWQWIVSxvSacSHHTA9lbZo%2FEvvPz9P7JnRGTTPzZs8iBbtd50%2F4nx%2B7ttym%2FtJ1ErUnmFrigNx4NNjz9h8HuQPtk6Y4rSYIghcbledGZksUhhNahA0e0zaeEidoG6faqa2b27hJL5qTBgH8jBTctBjoVyh6lJ6v8SfVfOeZaXsxueqxpUGiFRK1j1xq3V4GPX2ocWSSjck%2BfXws4ov3ZFvr2jNtj2HxUZcyBZbHS9i7PGBsQiKXg2Kd%2BSZu5icpo5xZrODKj8Vb7WpLZw8I6g6UZUPc4stVUi87E4VtVfkc9%2F5IwzQK3hdd0Tzsr8cWqjSleccDdv4Fa5fbHkJa58qVoF55f8p%2F%2FIv7fMD%2B4KgwdqXmDN5LRXo4x3T0TsHI5RE%2BD9R9VIGCIE8IZR78j4GA%3D%3D,8,0,0,0,0,#612747886,Philips,Multigroom 5000,MG5750/49,Plano,1,Rotativo,Recargable,3 h,1 h,NA
21, Rasuradora Philips Norelco Mg3750 13pz Recargable Litio 60mn ,599,NA,1639,92,12 meses,59.18,NA,Envío gratis a todo el país,NA,NA,4.9,96,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-581331744-rasuradora-philips-norelco-mg3750-13pz-recargable-litio-60mn-_JM,88,6,2,0,0,#581331744,Philips,Multigroom 3000,MG3750/60,Removible,3,Láminas,Recargable,60 m,NA,NA
22, Afeitadora Profoil Andis Lithium Titanium Foil Shaver Recarg ,"1,429",NA,660,72,18 meses,79.39,NA,Envío gratis a todo el país,NA,NA,4.9,24,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-551340932-afeitadora-profoil-andis-lithium-titanium-foil-shaver-recarg-_JM,21,3,0,0,0,#551340932,Andis,Profesional,Profoil Shaver,Planos,1,Láminas,Recargable,90 m,1 s,TS-1
23, Afeitadora Rasuradora Shaver Finale Negra Wahl Inalámbrica ,"1,675",NA,69,NA,18 meses,93.06,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/PUNTA+BELLEZA,https://articulo.mercadolibre.com.mx/MLM-600612109-afeitadora-rasuradora-shaver-finale-negra-wahl-inalambrica-_JM,1,0,0,0,0,#600612109,Wahl,5-Star,Shaver Finale,NA,NA,NA,NA,NA,NA,NA
24, Micro Touch Max Recortadora Vellos Nariz Barba Patillas ,274,289,73,23,18 meses,15.25,NA,Envío gratis a todo el país,NA,NA,3.5,2,https://perfil.mercadolibre.com.mx/REMATELIBRE.MX,https://articulo.mercadolibre.com.mx/MLM-678019950-micro-touch-max-recortadora-vellos-nariz-barba-patillas-_JM,0,1,1,0,0,#678019950,MicroTouch,TODO EN UNO,Max,Removibles,NA,NA,Eléctrica,NA,NA,NA
25, Rasuradora Taurus Baco 3w Recar 3 Cabezas ,548,579,153,11,12 meses,54.24,NA,Envío a todo el país,NA,NA,4.6,9,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638161-rasuradora-taurus-baco-3w-recar-3-cabezas-_JM,7,0,2,0,0,#591638161,Taurus,RASURADORA,Baco,Giratorios,3,Rotativo,Recargable,45 m,45 m,NA
26, Rasuradora Recargable Wahl 14 Pzas Recontruida De Fabrica ,247,NA,40,39,18 meses,13.78,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/GWORLDEMPRESAS,https://articulo.mercadolibre.com.mx/MLM-675779088-rasuradora-recargable-wahl-14-pzas-recontruida-de-fabrica-_JM,1,0,0,0,0,#675779088,Wahl,Rasuradora Eléctrica,All-In-One,Removibles,NA,NA,Recargable,NA,NA,NA
27, Rasuradora Corta Pelo Delineadora Wahl Combo 14 Piezas C ,549,NA,73,22,18 meses,30.50,NA,Envío gratis a todo el país,NA,NA,4.6,5,https://perfil.mercadolibre.com.mx/TEKLIFE,https://articulo.mercadolibre.com.mx/MLM-634222165-rasuradora-corta-pelo-delineadora-wahl-combo-14-piezas-c-_JM,4,0,1,0,0,#634222165,Wahl,rasuradora,Combo Pro,NA,NA,Láminas,Eléctrica,NA,1 h,NA
28, Rasuradora Afeitadora Wahl Recargable 14pz All In One 80mn ,549,NA,354,16,12 meses,54.24,NA,Envío gratis a todo el país,NA,NA,4.8,13,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-581799353-rasuradora-afeitadora-wahl-recargable-14pz-all-in-one-80mn-_JM,11,2,0,0,0,#581799353,Wahl,all in one,9685-200,Removible,3,Láminas,Recargable,80 m,1 s,NA
29, Maquina Recortadora Metalica Babyliss Rose Fx Con 8 Guias ,"2,399",NA,20,4,12 meses,237.00,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.com.mx/PUNTA+BELLEZA,https://articulo.mercadolibre.com.mx/MLM-674997622-maquina-recortadora-metalica-babyliss-rose-fx-con-8-guias-_JM,2,0,0,0,0,#674997622,BaByliss,Babyliss Pro,ROSE FX,Planos,NA,NA,Eléctrica,NA,NA,NA
