search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Modelo alfanumérico
484, Recargable Hombres Barba Eléctrica Barba Recortadora Navaja ,410,NA,1,8,18 meses,22.83,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/HOMEGARDENTOYSMX,https://articulo.mercadolibre.com.mx/MLM-677685137-cortador-de-pelo-de-la-nariz-de-oreja-electrica-recortador-_JM,NA,NA,NA,NA,NA,#677685137,Unbranded,NA,NA,NA,NA,NA,NA,NA,NA,NA
485, Afeitadora De Repuesto 424 Hoja + Lmina Para Braun 5419 ,420,NA,1,2,18 meses,23.38,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/HOMEGARDENTOYSMX,https://articulo.mercadolibre.com.mx/MLM-649849156-recargable-hombres-barba-electrica-barba-recortadora-navaja-_JM,NA,NA,NA,NA,NA,#649849156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486, Bakblade 1.0 Bigmouth 3 Cartuchos De Repuesto Afeitadora ,177,NA,1,199,18 meses,9.88,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/TOMTOPWHOLESALEMX,https://articulo.mercadolibre.com.mx/MLM-669398923-afeitadora-de-repuesto-424-hoja-lmina-para-braun-5419-_JM,NA,NA,NA,NA,NA,#669398923,Braun,NA,NA,NA,NA,NA,NA,NA,NA,NA
487, Mangroomer Ultimate Rasuradora Eléctrica Para Espalda ,749,NA,2,NA,12 meses,73.99,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/PUCHIX+STORE,https://articulo.mercadolibre.com.mx/MLM-617696990-bakblade-10-bigmouth-3-cartuchos-de-repuesto-afeitadora-_JM,NA,NA,NA,NA,NA,#617696990,baKblade,BaKblade,BaKblade 1.0 Cartuchos de Repuesto,Removibles,1,Láminas,NA,NA,NA,NA
488, Rasuradora Electrica Panasonic Seco / Mojado Nanotech ,"1,275",NA,9,10,18 meses,70.83,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-584607184-mangroomer-ultimate-rasuradora-electrica-para-espalda-_JM,NA,NA,NA,NA,NA,#584607184,Mangroomer,NA,1016,NA,NA,NA,NA,NA,NA,NA
489, Rasuradora Recoradora De Barba Bigote Wahl Inalambrica ,"1,699",NA,5,95,18 meses,94.39,NA,Envío gratis a todo el país,NA,NA,4.3,3,https://perfil.mercadolibre.com.mx/MELITRONNIC,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=uV8T1IrQjGZBAZ%2FS3g3kyOVuL6ainghHToC9eMSO7ffaJsE34n5aJiPQOLXwiAKvKeUbUT6X%2Bwmpux4zgaEk7M1QUEE6I3gV5P3qq4QBgPusyo4m8eiC9l2Gn5O%2BlWIbmWT5Tg1ZsegTI4usgAwlytNjK%2BudExGjlVx1buylUg1lfAdmzP8xuguEYjxjDyrzv9KaxIL6ZiUYXmQSC7AKkhtp2Gd48j%2B8zQ562m2SQLVrnBbwO9o8cy2U%2F4NRGujaUZkN3wChRC5wsvlXKjaP4AnQeohpfFB3XLpdpwxsjIhqPEgELmYpgXryz38IzTHIWKwOtJ4x9SfyVHs2DHE5np8f1Ehhw3flaU8wejUIZwFW5YPdGKVDfiIKW4JCEGsoa0ksJenH4up3Dq6tL2bcw%2BVJkxqJnkOo9IrxFRmm3kxfOeY6rsybrlWrAIpP3A4JQ1zz%2B2AW5%2F4qe8pg%2FJ4qxZclA%2FODoa2YusYYxljWWypVFOiCurOyJTfOb2fBL62kTWNwfiT0BbmPr8bbStBzpSyKSATX0KjYTsFC6VgiR2gchFKZucs0GqviKq6VS2A8kFMpvSRu7%2FhFaRG2aQ%2FzinOheZqfIiU8vAGCLVmJ0PoQdZu8OPqGAdvz8iT9WD%2FbdMZ2%2B8sFsX1mSTBQaqd3%2BlCQNKD7sq2IdhXjBUtRwSJxT%2BtxB%2BkDIJrywA8CtOoJ0hB6cr87AQoOaCsZDlYDb18J1ODRQPX2SQ2IjLBSpa3Q47yJApeduD7HJK0a%2BkLsRiGvbZf%2FlH0tAj2aAJAwawJq63%2BxUtEV5S8241DLd1ghj1UjtWiZ%2Bkkq%2B8XO7uZbyLDlH%2By4aqE5uk4wM8uBUVSq8N4RO9gvsrB3hs5v1%2BN9pC56wnwHDn4PLMnWKj0BWxFpiCCWBLEh8d%2FcwJcRqheFPyM7QEAIz1VvzxQ3LcYgapvYU%2F9199Re1M%2FqWoZWh%2BClqWBirfEyuYv%2F3P3sTp621wOi0FYt98LdG75B9Ieisda9z%2FUCxYWqiry3qXr%2F3pL11RJCqqwxQQen479f39rBB9TmQfxmcpTDyF6WVh%2FvSGpgOEwxvcWe5%2BEjZ8w%2FAzsopT%2FXZq9umQOrWDdLmpepbfq3oUxAPGQ1ExHEqsTWMDV43om4Myiz3kndUYmi1kM3p6oC9IoWHnAcEkpBUTIU4H6bUsAQnUJfxwT74OuWG2ro8hWm52QpQbKVnzOab8zI8bCVf68r87GjSJDB569zqRIXWOscC%2B8YLuklkoRWWD853Xvz2vKWEjFT1BzxzS7wLYU7GWbvIwPXzQjp9qQ5uQi3DrANHtKa%2BFCP3TmqFmXT1%2BC3sOBlWFos3Xbz36ekVL2qCCoJJH0BgbLCweGVEtlDxzERUFHrpozy0UKFwYjkeYGPQNs%2FzD8%2FsSOLQnR0A9LNb7tKbXDcjgHZOYp8%2F7Cmpy918u9%2BhfrAt3QXZ3biEnIUzo%2BlJdOLlO3yfoKSOg84RD4AGQym2XLZSNv005NXEfujG1alKpOUOL8WFCedlfi95vmW%2BvVFr%2BMhhUGx6F9F12qoVq3o4J4BOYixq2cafFlJUqMf3mrrjnh1MaKfad2Iz9G41ZSiDZ9IVhj1ypg1Zr6yV4MVc628Agr4C336UiI0%2BwLdUveo%2F1DAzPwiCbGtT2o6zJ%2F1SiV8%2B%2BklEJwXgsxPNTPeP68kEo8A3jjLGQmz3ShHKC9yVBh9%2BxJdTdtymB%2B%2BTP8LMDaGGSie%2BFIWP%2F0cMDCbLfgarSEhvTfjKcntA1O19PdnzwnUlTYQUt%2FdDRIcu%2B4NTABP7soZL0r6G9ofWuGKpgdIysmUoJO%2FV18OEn06HhiIFyI%2FF3BYt%2BqrbnEWK0kPPef2EuR%2F9ANvd50dX0Iypyb4N1hjfQ%3D%3D,2,0,1,0,0,#623023199,Wahl,Rasuradora,8061 SHAVER,Planos,1,Láminas,Recargable,Bateria,60 m,NA
490, Philips Norelco Rq111 Smartclick Beard Styler For Sensotouch ,"3,510",NA,2,8,12 meses,346.76,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-543952152-rasuradora-electrica-panasonic-seco-mojado-nanotech-_JM,NA,NA,NA,NA,NA,#543952152,Panasonic,NA,ES8243A,Pivotantes,4,Láminas,NA,Tiempo de ejecución continua 40 minutos,1 h,NA
491, Mangroomer Ultimate Rasuradora Electrica Para Espalda ,775,NA,8,4,12 meses,76.56,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-560905947-rasuradora-recoradora-de-barba-bigote-wahl-inalambrica-_JM,1,0,0,0,0,#560905947,Wahl,NA,5537-1801,Plano,1,Láminas,NA,NA,NA,NA
492, Rasuradora Eléctrica Phillips Norelco Plateado ,"1,418",NA,2,198,12 meses,140.09,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/I-TX,https://articulo.mercadolibre.com.mx/MLM-593034095-philips-norelco-rq111-smartclick-beard-styler-for-sensotouch-_JM,NA,NA,NA,NA,NA,#593034095,Philips,Norelco,SensoTouch,NA,NA,NA,NA,NA,NA,NA
493, Rasuradora Delineadora Philips Norelco Oneblade Eléctrica 3p ,"1,749",NA,5,3,18 meses,97.17,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-604302772-mangroomer-ultimate-rasuradora-electrica-para-espalda-_JM,NA,NA,NA,NA,NA,#604302772,Mangroomer,NA,Ultimate Pro,Removibles,NA,NA,NA,NA,NA,NA
494," Braun Replacement Foil - Cruzer1, 2, 3, 4 - 2000 Series ","1,755",NA,2,8,18 meses,97.50,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-542921045-rasuradora-electrica-phillips-norelco-plateado-_JM,NA,NA,NA,NA,NA,#542921045,Philips,Norelco,BG2028/42,Giratorios,1,Láminas,NA,50 minutos de ejecución continua. Batería Ni-MH,8 h,NA
495, Braun Multi Groomer Mg5090 All In One Rechargeable And Cord ,580,NA,26,16,18 meses,32.22,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/TEKLIFE,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=JM516v7aCQOQfJKeN2ysJrIRohKCP%2Bt%2FIM25cRkQhkAaMKorbw0ZMVInVUCMZJXBv6A77853MR5uJMUSkYU40og8MjVs8IGo6%2F0bm%2FpRmeJ7CEWoFOrVNW0GGmc5Vg7DbGsLRvDsVW%2BIJnKugS6bXCa%2BGCoi9e4Y811aGule9ZovCnK0IMMat2hX%2BIk5AMabY6ZS7h9c%2B5gKfpju5qgfI54gZgdEapETTvaF2ST7CbdLn6YhUUUhFL141PpYot0gsD2BnHg%2FPDI4ETlYWkr8r8g169ze9vSDQJB9iHQs3hI%2Fbe8TLSRJ4caEPGbFOX8l0FqD4Tag0adWTyfgfzPwHmu41GRFsDf1atKkdx%2Bv9CZC2Z7dWjb5x3i6dd8qPHx6jPaE7MGfJD49NZveHevmbJafvCnFxLOzKcxNczrwOniYx0bqx9zhrzKI29a6m5kCuHDSoNlUndUM1aWLu8kay2gE2kB8vYTfDYQe8g6EVCP67O6rAB4F%2FGOQ3cBIFL10qXl9h56IDYevv%2FWzzvvGKiA6R1AEcHLEYWB3fulzdDgOqdUdCRwjyZcY8fwJrYvfK1eFVvVNqinuNiu3IUgSl5c9m7UqcvI%2FXF4IwL4YMS7d%2F2X8tsrLxpFhGU3Sod4ySd5Om3Xj6RWma82mQE3v2UPL%2F%2FgBGItenDW338zXIBFjDOXAwtbAP%2F5cOA7kWAy%2BboTNhzleJmpnmKh%2ByxhMUf5rdhj3zH5H%2F8WjQQ89IF%2Bjd%2FKknlVvjhmHcpJVbtLKpa9yn3QwiX0Eqa%2FkuH%2FNz0FhQ8wUKeYMbzXpi3KptqXQnVmOtNMsRBZkANl2oovrUVnj%2BQNtA6mfr%2FElBOkXr%2BbMmjSUbfWpkG7fyrI%2F377jqkw0bzkxAcLPIy8TvulXnh4hF15kUXfISejcqxEguUMY2WOcDrR0IGI7vIJYv4cfUzt1w6J02UenFzXmxwlZIniRUFc6GHN6MDzxJSzc31T3d8gFcmGE1N4TMcDljzexXObIckOaUa%2F%2FTQq9jveSrxbcpFnqU1TkJKn9b31bvtRuR40O%2F2KQPoq9VqF%2FGtfACRBF3rrPk%2BK5fonxQ%2BJU3YPTrT1eluoD%2FZF%2FgNvsSfBmCEDSn9O5N1G49HeCusJJ8MnT8ywL654hKSo4i5vHxW1zMRxjQazV2wZp0%2FbrN2hq7hqkzIKQ41hOEudv1y4C61N71%2BhIJilhnQ%2BXfAuItVqw%2FUIC%2BAICE1o7ld%2B7MeV7ozWBTKS%2FPpX4uK3BHLeTm%2FOmCm2yo4RjFhYBy41LjxaoR2QaAnIT1n4Njrrn70nppnqg53zkjLfoXHzhRckcr%2FkB9MqRmzW7pLNy%2FyTE0oUw5gvvOVXZZdwzq4PrNVeRGpYM%2Bp0vgW4JqZ%2FU%2ByNmDHqeVfddKKFy5LQSME9d2cAOEWsJZ%2FUWO7xM4Oa5kmHCDI3T1x%2FzqLOCsRYCPFQWuL1grXq8guA0AdTXLyyX86lCBeMMQDI51bX2vArlgMDYPwuhXRCdrspJD30aKWjKVTRm69TTjtimV4sQdf%2FPvXFoBAxd%2BgUAMCZ3nnKx0GoapzyHz5%2FJfoKBQlzBqMw9QRnhHAEBxlOym1IGrq9SAtgwl7kGhVHVuZE5CZGWcFGwZM3%2FUwbtOgtWNY4tipZj8fNOnAZ0bZjrFBdNljhgq1tc%2FP3Bgx5aJPd7qbZArtGefvCEgBoEyp1CRLxElMmeUmLF1pass1Ruj1Vsym4Vcv0%2By%2FzX%2FECt2D8GebFLJrLlH7CzeLfPdpsZ26AFhftxZ72CZQtEXV6BY7xKJuu%2Bi9LvSqqx2fQ5eNa7tMpWTwnBlfdkm308WkQmC5Hp39pHvGyAHm0YGSW5H9V5drFGHH4y%2BVwJueRbfLUlWv4HF8j6,NA,NA,NA,NA,NA,#617175835,Wahl,Home Products,5595,Planos,1,Láminas,Recargable,Rasuradora,8 h,NA
496, Kokako Eva Hard Case For Philips Norelco Oneblade Qp2530/30/ ,"1,324",NA,1,4,18 meses,73.56,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-649590879-rasuradora-delineadora-philips-norelco-oneblade-electrica-3p-_JM,NA,NA,NA,NA,NA,#649590879,NA,NA,QP2520 / 70,Removibles,3,NA,Eléctrica,NA,NA,QP2520/70
497, Rasuradora Philips Norelco - Bodygroom - Cromo ,"1,041",NA,4,200,12 meses,102.84,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/I-TX,https://articulo.mercadolibre.com.mx/MLM-593120623-braun-replacement-foil-cruzer1-2-3-4-2000-series-_JM,NA,NA,NA,NA,NA,#593120623,Braun,NA,NA,NA,NA,NA,NA,NA,NA,NA
498, Rasuradora Wahl 9854-600 Hombre Recargable Iones De Litio ,"1,515",NA,2,200,18 meses,84.17,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/SPORTAMEXIGANGA,https://articulo.mercadolibre.com.mx/MLM-671275964-braun-multi-groomer-mg5090-all-in-one-rechargeable-and-cord-_JM,NA,NA,NA,NA,NA,#671275964,Braun,NA,MG5090,NA,NA,NA,NA,NA,NA,NA
499, Philips Series 7000 Replacement Shaver Head Sh70/50 7000 Ser ,710,NA,6,198,12 meses,70.14,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/I-TX,https://articulo.mercadolibre.com.mx/MLM-617954250-kokako-eva-hard-case-for-philips-norelco-oneblade-qp253030-_JM,NA,NA,NA,NA,NA,#617954250,Philips,OneBlade,OneBlade,NA,NA,NA,NA,NA,NA,NA
500, Rasuradora Philips Norelco Bt7215/49 7200 Series ,"2,175",NA,1,4,18 meses,120.83,NA,Envío gratis a todo el país,NA,NA,4,2,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-661809121-rasuradora-philips-norelco-bodygroom-cromo-_JM,0,2,0,0,0,#661809121,"NA","NA",30528,Flexibles,1,Láminas,Recargable,NA,NA,BG2040/49
501," Braun 5s 5609, 370/575 Pocketgo Foil & Frame ","1,924",NA,2,14,12 meses,190.08,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-550730394-rasuradora-wahl-9854-600-hombre-recargable-iones-de-litio-_JM,NA,NA,NA,NA,NA,#550730394,Wahl,NA,9854-600,Removibles,3,NA,NA,3 horas,1 h,NA
502, Braun 70s 9000 Series 7 Pulsonic Prosonic Shaver Foil & Cutt ,"1,950",NA,1,199,18 meses,108.33,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/I-TX,https://articulo.mercadolibre.com.mx/MLM-598261027-philips-series-7000-replacement-shaver-head-sh7050-7000-ser-_JM,NA,NA,NA,NA,NA,#598261027,Philips,Series 7000,Shaver,NA,3,NA,Eléctricas,45 s,1 m,S7310/12
503, Panasonic Eh2351ac Heated Eyelash Curler With Comb Design ,"1,875",NA,2,3,12 meses,185.23,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/DEMARKAZONE,https://articulo.mercadolibre.com.mx/MLM-584560280-rasuradora-philips-norelco-bt721549-7200-series-_JM,NA,NA,NA,NA,NA,#584560280,Philips,NA,7300,NA,NA,NA,NA,NA,NA,BT7215/49
504," Braun Series 9 90s Foil & Cutter Replacement Head, Compatibl ",726,NA,4,200,12 meses,71.72,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/I-TX,https://articulo.mercadolibre.com.mx/MLM-610357574-braun-5s-5609-370575-pocketgo-foil-frame-_JM,NA,NA,NA,NA,NA,#610357574,Braun,NA,NA,NA,NA,NA,NA,NA,NA,NA
505, Rasuradora Electrica ,"2,727",NA,1,200,18 meses,151.50,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/I-TX,https://articulo.mercadolibre.com.mx/MLM-593256864-braun-70s-9000-series-7-pulsonic-prosonic-shaver-foil-cutt-_JM,NA,NA,NA,NA,NA,#593256864,Braun,Series 7,NA,NA,NA,NA,NA,NA,NA,NA
506, Afeitadoras Eléctrico 3d Afeita Impermeable Inteligente Xia ,702,NA,2,200,12 meses,69.35,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/ENKARGO_MX,https://articulo.mercadolibre.com.mx/MLM-623924417-panasonic-eh2351ac-heated-eyelash-curler-with-comb-design-_JM,NA,NA,NA,NA,NA,#623924417,Panasonic,NA,NA,NA,NA,NA,NA,NA,NA,NA
507, Afeitadoras Eléctrico Afeitar Recortadora Maquina Xiaomi ,"2,198",NA,1,200,18 meses,122.11,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/I-TX,https://articulo.mercadolibre.com.mx/MLM-624246698-braun-series-9-90s-foil-cutter-replacement-head-compatibl-_JM,NA,NA,NA,NA,NA,#624246698,Braun,Series 9,NA,NA,NA,NA,NA,NA,NA,NA
508, Rasuradora Personal Recortador Nariz Orejas Vello Trimmer ,380,NA,2,8,18 meses,21.11,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/JDPE70,https://articulo.mercadolibre.com.mx/MLM-572018373-rasuradora-electrica-_JM,NA,NA,NA,NA,NA,#572018373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509, Rasuradora Recortadora Vello Barba Nariz Orejas Facil ,537,NA,2,999,18 meses,29.86,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/FEIONAMX,https://articulo.mercadolibre.com.mx/MLM-664993815-afeitadoras-electrico-3d-afeita-impermeable-inteligente-xia-_JM,NA,NA,NA,NA,NA,#664993815,Xiaomi,NA,Youpin ES3,NA,NA,NA,NA,NA,NA,NA
510, Eléctrico Espalda Cabello Máquina De Afeitar De Navaja Sin ,914,NA,2,999,18 meses,50.78,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/FEIONAMX,https://articulo.mercadolibre.com.mx/MLM-664994065-afeitadoras-electrico-afeitar-recortadora-maquina-xiaomi-_JM,NA,NA,NA,NA,NA,#664994065,Xiaomi,NA,Mi Home,NA,NA,NA,NA,NA,NA,NA
511, Eléctrico Espalda Cabello Máquina De Afeitar De Navaja Sin ,399,NA,6,85,18 meses,22.21,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CKEYINMX,https://articulo.mercadolibre.com.mx/MLM-625873182-rasuradora-personal-recortador-nariz-orejas-vello-trimmer-_JM,NA,NA,NA,NA,NA,#625873182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512, Maquina Para Cortar Cabellos De Nariz Y Orejas ,397,NA,5,86,18 meses,22.08,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CKEYINMX,https://articulo.mercadolibre.com.mx/MLM-625873375-rasuradora-recortadora-vello-barba-nariz-orejas-facil-_JM,NA,NA,NA,NA,NA,#625873375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513, Xiaomi Youpin Ed1 Afeitadora Eléctrica De Mini Bolsillo ,361,NA,2,7,18 meses,20.06,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/RUEDADETIEMPOMX,https://articulo.mercadolibre.com.mx/MLM-664346356-electrico-espalda-cabello-maquina-de-afeitar-de-navaja-sin-_JM,NA,NA,NA,NA,NA,#664346356,Genérico,NA,NA,NA,NA,NA,NA,NA,NA,NA
514, Cabezales De Repuesto Philips Norelco Hq8 De Doble Precisión ,360,NA,1,7,18 meses,20.01,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/JANEEYREMX,https://articulo.mercadolibre.com.mx/MLM-664347830-electrico-espalda-cabello-maquina-de-afeitar-de-navaja-sin-_JM,NA,NA,NA,NA,NA,#664347830,Genérico,NA,NA,NA,NA,NA,NA,NA,NA,NA
515, Miserwe 5 En 1 Para Mujer Afeitadora Eléctrica Indolora Ipx4 ,175,NA,4,698,18 meses,9.73,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/HOLAMUNDOMX,https://articulo.mercadolibre.com.mx/MLM-675708567-maquina-para-cortar-cabellos-de-nariz-y-orejas-_JM,NA,NA,NA,NA,NA,#675708567,Importado,NA,Trimmer,NA,NA,NA,NA,NA,NA,NA
516, Braun 3series 380s-4 Wet And Dry Máquina De Afeitar ,468,NA,1,208,18 meses,26.00,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/JANEEYREMX,https://articulo.mercadolibre.com.mx/MLM-678192552-xiaomi-youpin-ed1-afeitadora-electrica-de-mini-bolsillo-_JM,NA,NA,NA,NA,NA,#678192552,Xiaomi,NA,NA,NA,NA,NA,NA,NA,NA,NA
517," Braun Clean Y Renovar 3 Pack, Cartucho, Refill, Un Limpiador ","1,784",NA,2,38,12 meses,176.33,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-617775053-cabezales-de-repuesto-philips-norelco-hq8-de-doble-precision-_JM,NA,NA,NA,NA,NA,#617775053,Philips,Norelco,HQ8,NA,NA,NA,NA,NA,NA,NA
518," Remington Ep7030 De Las Mujeres De Lujo Recargable, Depilaci ","1,706",NA,1,39,12 meses,168.62,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-617777654-miserwe-5-en-1-para-mujer-afeitadora-electrica-indolora-ipx4-_JM,NA,NA,NA,NA,NA,#617777654,MISERWE,NA,NA,NA,NA,NA,NA,NA,NA,NA
519, Braun Series 7 Pulsonic 70s Foil Sustitución De La Cabeza Af ,"3,316",NA,1,39,12 meses,327.65,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-556106709-braun-3series-380s-4-wet-and-dry-maquina-de-afeitar-_JM,NA,NA,NA,NA,NA,#556106709,Braun,Series 3,380S-4,NA,NA,NA,NA,NA,NA,NA
520, Sweetlf Máquina De Afeitar Eléctrica Para Los Hombres 100% R ,"1,440",NA,2,38,12 meses,142.35,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-590880212-braun-clean-y-renovar-3-pack-cartucho-refill-un-limpiador-_JM,NA,NA,NA,NA,NA,#590880212,Braun,NA,NA,NA,NA,NA,NA,NA,NA,NA
521, Profesional De Afeitar Eléctrica Rotativa Máquina De Afeitar ,"2,233",NA,1,39,12 meses,220.65,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-590882738-remington-ep7030-de-las-mujeres-de-lujo-recargable-depilaci-_JM,NA,NA,NA,NA,NA,#590882738,Remington,NA,EP7030,NA,NA,NA,NA,NA,NA,NA
522," Philips Norelco Máquina De Afeitar Eléctrica 1100, S1150 / 8 ","2,208",NA,1,39,12 meses,218.17,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-590884761-braun-series-7-pulsonic-70s-foil-sustitucion-de-la-cabeza-af-_JM,NA,NA,NA,NA,NA,#590884761,Braun,Series 7,NA,NA,NA,NA,NA,NA,NA,NA
523, Philips Norelco La Barba Y El Cabezal De Corte De La Serie 5 ,"1,827",NA,1,39,12 meses,180.57,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-590961294-sweetlf-maquina-de-afeitar-electrica-para-los-hombres-100-r-_JM,NA,NA,NA,NA,NA,#590961294,SweetLF,NA,NA,NA,NA,NA,NA,NA,NA,NA
524," Philips Norelco Máquina De Afeitar Eléctrica 3500, S3560 / 8 ","1,813",NA,1,39,12 meses,179.13,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-617777403-profesional-de-afeitar-electrica-rotativa-maquina-de-afeitar-_JM,NA,NA,NA,NA,NA,#617777403,BSW,NA,NA,NA,NA,NA,NA,NA,NA,NA
525," Nariz Pelo Trimmer, Nariz Y Oído Xpreen Eléctrico Del Conden ","1,812",NA,1,39,12 meses,179.04,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-617777739-philips-norelco-maquina-de-afeitar-electrica-1100-s1150-8-_JM,1,0,0,0,0,#617777739,Philips,Series 1000,S1150/81,NA,NA,NA,NA,NA,NA,S1150
526, Braun Bt5050 Barba Trimmer Hombres Con 25 Posiciones De Long ,"2,584",NA,1,39,12 meses,255.33,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-617780791-philips-norelco-la-barba-y-el-cabezal-de-corte-de-la-serie-5-_JM,NA,NA,NA,NA,NA,#617780791,Philips,Norelco,BT5215/41,NA,NA,NA,NA,NA,NA,NA
527," Oído, Nariz Y Pelo Trimmer 5 En 1 Usb Recargable De La Nariz ","2,526",NA,1,39,12 meses,249.57,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.com.mx/CHUPAPRECIOS,https://articulo.mercadolibre.com.mx/MLM-617782076-philips-norelco-maquina-de-afeitar-electrica-3500-s3560-8-_JM,1,0,0,0,0,#617782076,Philips,Norelco,S3560/81,NA,NA,NA,NA,NA,NA,S3560/81
