search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Línea,Modelo,Tipos de filtros del parlante,Peso,Color,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,167,249,183,933,18 cuotas,9.28,NA,Envío a todo el país,NA,NA,4.1,12,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM#position=1&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,4,6,1,1,0,#463417487,3 W,NA,NA,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,149,157,195,10,18 cuotas,306.77,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM#position=2&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,15,4,0,0,0,#452289064,NA,Energy Sistem,NA,NA,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1386,NA,1615,98384,18 cuotas,77.00,NA,Envío a todo el país,NA,NA,4.8,233,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM#position=3&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,196,32,2,2,0,#446600412,3 W,JBL,GO,GO 2,Activo,184 g,NA,NA
4, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,187,197,75,981,18 cuotas,10.39,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM#position=4&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,2,0,1,0,0,#462659823,3 W,NA,NA,NA,NA,NA,NA,NA
5, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,3499,4999,187,892,18 cuotas,194.39,NA,Envío a todo el país,NA,NA,4.8,217,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM#position=5&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,183,29,3,1,1,#458480865,16 W,JBL,Flip,Flip 4,Activo,NA,NA,NA
6, Parlante Kolke Fiesta Plus 15 250w Rms Portátil Bat Mic Loi ,87,129,18,9982,18 cuotas,179.12,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464025871-parlante-kolke-fiesta-plus-15-250w-rms-portatil-bat-mic-loi-_JM#position=6&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,0,1,0,0,0,#464025871,NA,Kolke,NA,NA,NA,NA,NA,NA
7, Parlante Portable T&g Bluetooth 10w Rms Oferta Loi ,697,990,62,999,18 cuotas,38.72,NA,Envío a todo el país,NA,NA,4.3,6,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462663421-parlante-portable-tg-bluetooth-10w-rms-oferta-loi-_JM#position=7&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,3,2,1,0,0,#462663421,10 W,NA,NA,NA,NA,NA,NA,NA
8, Parlante Jbl Charge 4 Bluetooth A Prueba De Agua Oferta Loi ,167,249,31,999,18 cuotas,343.83,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463032205-parlante-jbl-charge-4-bluetooth-a-prueba-de-agua-oferta-loi-_JM#position=8&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,20,6,0,0,1,#463032205,30 W,JBL,NA,Charge 4,Activo,NA,NA,NA
9, Parlante Portátil Bluetooth Con Radio Fm ,690,NA,134,95,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,4.4,10,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532602-parlante-portatil-bluetooth-con-radio-fm-_JM#position=9&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,6,3,0,1,0,#455532602,NA,NA,NA,NA,NA,1 kg,NA,NA
10, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,75,2968,18 cuotas,80.30,NA,Envío a todo el país,NA,NA,4.5,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM#position=10&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,4,4,0,0,0,#456920787,NA,Kolke,NA,NA,NA,NA,NA,NA
