search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Línea,Modelo,Tipos de filtros del parlante,Peso,Color,Conectores de entrada
11, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6790,NA,106,99893,18 cuotas,377.22,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM#position=11&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,20,6,0,0,1,#452532629,30 W,JBL,NA,Charge 4,Activo,NA,Agua,NA
12, Parlante Bluetooth Jvc Portable 16w Rms Radio Fm En Loi ,57,71,29,2968,18 cuotas,117.36,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463512740-parlante-bluetooth-jvc-portable-16w-rms-radio-fm-en-loi-_JM#position=12&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,1,1,0,0,0,#463512740,16 W,NA,NA,NA,NA,NA,NA,NA
13, Parlante Kolke Kpb-160 C/microfono Inalambrico Circuit ,3338,NA,102,47,18 cuotas,185.44,NA,Envío a todo el país,NA,NA,4.7,18,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449889793-parlante-kolke-kpb-160-cmicrofono-inalambrico-circuit-_JM#position=13&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,13,4,1,0,0,#449889793,NA,Kolke,NA,NA,NA,NA,NA,NA
14, Equipo Audio Parlantes Muteki Sony V90 Maxima Potencia Pcm ,1025,1079,11,999,18 cuotas,2.110.36,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=ybSWohWghXu%2BtS7uAR1c%2FGJag2wG2yu2sL5z%2BBmJAaKhpiGXNcCXysp4u3%2B2MU0kJyhywrsqJQmJJrrqiqSN6TjPk7gnMFdYNFAL92CLulddP23fNHt3m8iLF1QwYEQM%2F%2Fl3ShOTFFBuk3IauKtY0J7P9QESxbtCIbWhFFXFz4Y2dm%2FBTgNufhY%2BSTTuj1rh%2FYLa%2BhgmnlSvU4DZAuUzR9LNE7HX8jDMlH7zjOTDYsRyCo1cG5RoGIPp8tGPIhmo9r%2B1eN0rDC7HycQx%2Fg916wa33K1BPGq8TM8hfEm8GrQACkxFkpdaGS%2F8eFmPPAHMa5MCOZGVT7nMCly0aQmv53XqLysNqM306zMuTYu6uDYyAzvpETZSuU9S3jyYZhtyYIL9%2Fmsyv%2BXFLCd4j0W7VqwJnjF0%2BKMNP1gbGH95eoPfg%2BtZGOkIyJCzbZzqw6P49VpmaytHuMtlxUvAPqNIAR81wQv78Z5WUKBkW6B4jY7EZyNbGCa0Iir9DzOUG48rDloIFDwkFZOyIz8u1gXFM%2B7eHoOeyPZqhcf3VM0sbexEjNsKzu915vzXfRYX1EpPCjZdwVhYChTYErWmtwjvSVAt1JVpgidVE3QtdU26woZxCWq%2FqbvCSxGFEqy4kMOPS1vNCO3sro%2BQCaiTplHw4cWFRIiIao9P1gfUsfFjAPMk9EZnTyU0lBvU0FBnmrp1gdTp%2FTHU%2Fecd4FtJjEZEIyBvAbLNj%2FoKwAjxvldPAsyLb3rIeGMqeXYzN6RPqjFAdTMs4KYhQXcxi%2BxHa9HA4w75rK0AAdhbjQoX1CulCA7CGpWkf83EbNRAU7yry1bsrvdVWvhmAkrpWkp6I6vMrGiYV90gi7zdp8n1OOXLIOaCLG2XBkcWZTmxilem6w2fsylyJgTge6VBrCxckfHzjXnChr8STq2NjahNMLjLBawUkBcT4fiMS8DCHUpL7UVzFQt2cyU%2BIZCYiw5ZuVbDaPAwQvrwlp8xWpBCVoSNBmJMX88RCNMkfTEgNCrK%2BLkcx6dor1642Q6Taftgzz7P2R3N8kkK%2BI4BT5PGs0J9qtmU5G%2FHYhTMWM0DZJS%2BabnGuXq1rwi4LyvEaOZLKszyymCSzZtfXcNfMhemquTG4DkUbCyLVDR3JhTsP37yAKxBWbVSlSLtNB1M8SvqsnCnbVuwuhix%2F%2BjTFvnGcgytzvnP3%2B1iimVZWOS9hhDfaIqP1bzkmGzRg75Xl4wTIEwnl7iPfxFBd6fSzG4afEBEywehTsnH7u6%2BflPkwu136Th1E0DOTUeRRREihR6tnsjRjlf1pThM7FT3RTPwegH3O4bqacWQ4ABMrqKOPKQV6P%2BnC11ljunLOcSk9Wu3eyN%2BdOLcGZ%2FWqn0J%2FcKAWJeZEHqpkvC1AH6ZuS4bYffPNz%2BOrD1iJmIKvm6ppyWcLLBjYZpqkJU5dB0Jd%2BK2vE3GN2rTG7rzhJlOY8SJnFaUth%2FOXJG10rKre8Mbg%2B3jh0n2axP21aieqEW4P%2Flj35HxPNZLzLkbwVcejt4FC98v8gjsXI7hXTk0RRtToEjX6%2B3cb0pwxu5KGk%2FEqGG89CzwIeI2Kosd1l5kXDv%2FyUydomHKxp94ejQt9CEFyyedsdfcjB%2BZD217E4VTRROUMuFdy1jDQJLZbq06%2FcM2WgvHqLujqRaQlfnXg9e%2FtmiaeMFMHE8Y8cpQYZ5qLDaE7GN0McPBoCLLg7%2BMkv%2BX4MHO5uEF0qTWHH3QfF32K3trDb0yFgsRFBXGK0l8IRCpRq0ugaXm%2FKNxCdbBKfyGelY%3D,0,1,0,0,0,#450314509,NA,Sony,NA,NA,NA,50.5 kg,NA,NA
15, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,14,99985,18 cuotas,1.386.11,NA,Envío a todo el país,NA,NA,4.2,5,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM#position=15&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,3,0,2,0,0,#450750864,NA,JBL,NA,Boombox,NA,NA,NA,NA
16, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,175,190,57,144,18 cuotas,9.72,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM#position=16&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,0,1,0,0,0,#451362894,NA,NA,NA,NA,NA,NA,NA,USB
17, Parlante Bluetooth Resistente Tipo Jbl Charge Buenos Graves ,985,1090,248,83,18 cuotas,54.72,NA,Envío a todo el país,NA,NA,4.2,18,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-450615769-parlante-bluetooth-resistente-tipo-jbl-charge-buenos-graves-_JM#position=17&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,9,4,4,1,0,#450615769,NA,JBL,NA,NA,NA,NA,NA,USB
18, Parlante 2.0 Bluetooth Tienda Oficial Thonet & Vander Kürbis ,225,245,93,13,18 cuotas,463.25,NA,Envío gratis a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=I39Iwsgh24lz%2Bj3vwaKoJy9oWA1miFtbRqqwf59H8Sf7daeU1mYyAhal%2B213jXWCKowcm12ghoaQ%2FI9UzrQ%2FDnos9mZjXu4LjIAayPmp9wf3ne8zXq6Z2gD2WyiEktZN4WQDlNzYysT%2FeSQ0VQjtqfnGECxjrvApSC2OwvwbsriiDUgCBZDzaR9vvlY9VTsl6u7DgXpX%2BwYYK04nLExFKuxWlgYJfFZ4Ie6QIReYqgQbh8KPKDr%2FcXqe%2FxzX2B2lUsWE%2FkJnIK7Okih7A4Ox%2BtYjGWjEsftwfkK7%2BrRsCxOlw71P2grDPa2Z6ORGfckVvbUw4DUKrqckiOID5mGGDebfABtNaRJI4erzEqXKMqCFVjUu0j6wDRvedLdWz%2FMHuCd6tIwzMptQ52hISi4hgVz9yydygTM1NFLLQfXwKcejbxD4NapSTIq%2BVmqSKWJtIW%2FrW9dcasRLMooYewSZFfol3AlujwuIiYCvvKEjGlPR1kc%2BmbWzZ59PTZgTDj2bPhWOE%2F0nnqEsq8R%2B%2FWjJPI%2BmBywxYQJFjiwYtbfNhS61Kq73T59F%2Fkhy6AI0rM4Bxm%2FxaJTSeGpz%2BQZt0fwJMFDWWKL2U%2FFMXYQUAjgBaXVf4rWwyp6Sb0VdvhSMB13nlyIaUmo5gV08r%2F%2FdyJ2l2ek2dupf%2BwXpczETWBBu9Mc%2Bwc7VKuAMZ2%2Fn%2FcxZ9bR%2BHVxLIeCrqkjqdAdB4JkHxiWTNgo7wcC%2FUSUxAC1C%2Fq7uuTx9H%2B%2Fleqm%2B08OLVzDwZFz1DI1XBUH5KiXeSWQmBe3NSPWKk1BnjYH%2BDBmCcZCyppIFMa1sKgzdokmwT0yhRXBgSNZjYLRHxyQbnlN9co76fvTgH52s1%2Fhu40yDsM7XCtnWQXJSAY%2FB2yyC0X8GkT1cxPg9iNNOVlSUtzJmo7bpUsAODb6dVBdUQ7rHKMZWM1LucSsr2euDJCIU7Esvo8bbWVAqbbQCHl3AP8Iuf%2Brb1QIPTxgWbsUbC2yQyksMQw36j0cji2tBnFKtkmwlhlpz%2FSM8xdtFhsQeFIV0MQ7k5csRyHrWwh7DPDzwarbQdnL7OlRVXL6u1iQ1t1QuaLx%2BpJ8LnUZTE3iEYHxtc2dXmLS3uWaGcr2gg3wdB%2BzQGKTLc%2B4Im5cK0wK5VRE8194ynf1wc4qy5bvcCCvG1PHlwCxFCJk72PGz3WPPetRgjNoBUj71G%2FXwsDeENHXD3Bhz1nlrbaN9KvWrj1jjD0aMmxRwgw25BOMuNqkpR2hjG1t%2F8XSUaZlmtMipkycz9r963x1OjW6Zvv9w9cx3jEmUNfS%2BCUUTc%2Fjzw7Tt2AsGtqOoBzyqVB3qCpbUseBoT1D8VlWO4539YP79wI1n%2FC0ST4gZDKFw%2B%2Fe3lVUDVGLeqcI4wRXoz%2BKj%2BP8Foe4AO2yIPTIIznsZdlZTx2wk5Cw0YnvV8KDio%2F0oqXev%2Fsn3RfruH%2BpPKkD92bu%2BK0dqVVseQvifDCQ5oHIg8i4M251NSrRG3WAznIrrWCKsledSl5kj8am2VdjCq%2FsrQuwHw6hldPMpXkGbfIzzXyFusBhJqqffgwUU3uMgm5JxDlAmZ1EMyt75pW3tfM%2FPHGqlQK0IjqK0wPWcOrsgD4MFhwq3%2Buc2vTZv8cit56ioa7k3m7AmFXMvSx87Z1%2Bi8Yr4AxHoH4vZfk9xMm9i8uTE5CUHLN2rswaNDJAVOea8xs5B1jfsjC0ZL4yRrKb5bMH58tgQ7ckUOlb6F2VbTC%2Ffi3rVbY5lxb56a%2F9BfopfeozB7q9d8%2FdhE9dleg%3D%3D,13,1,2,0,0,#444260918,NA,Thonet & Vander,NA,Kürbis Bluetooth,NA,NA,NA,NA
19, Parlante Portatil Ledstar 6 Bluetooth Bateria Futuro21 Dimm ,1199,NA,28,94,18 cuotas,66.61,NA,Envío a todo el país,NA,NA,2.3,3,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-446606518-parlante-portatil-ledstar-6-bluetooth-bateria-futuro21-dimm-_JM#position=19&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,0,0,1,2,0,#446606518,NA,Bose,NA,NA,NA,NA,NA,NA
20, Mini Parlante Bluetooth / Usb / Lector Micro-sd® ,185,NA,141,5000,18 cuotas,10.28,NA,Envío a todo el país,NA,NA,4.5,4,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443241546-mini-parlante-bluetooth-usb-lector-micro-sd-_JM#position=20&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,2,2,0,0,0,#443241546,3 W,Genérico,NA,Compatible,NA,NA,NA,NA
21, Parlante Bluetooth Jbl Charge 4 Directo Del Importador ,6399,NA,18,9,18 cuotas,355.50,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/URU-MARKET,https://articulo.mercadolibre.com.uy/MLU-460591460-parlante-bluetooth-jbl-charge-4-directo-del-importador-_JM#position=21&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,20,6,0,0,1,#460591460,30 W,JBL,NA,Charge 4,Activo,965 g,NA,NA
22, Parlante Bluetooth T&g Portátil 10w Resistente Al Agua Loi ,649,713,23,993,18 cuotas,36.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462550224-parlante-bluetooth-tg-portatil-10w-resistente-al-agua-loi-_JM#position=22&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,NA,NA,NA,NA,NA,#462550224,10 W,NA,NA,NA,NA,NA,NA,NA
23, Parlante Bluetooth Kolke Shake A Batería Con Mic Oferta Loi ,37,39,25,980,18 cuotas,76.18,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-460487947-parlante-bluetooth-kolke-shake-a-bateria-con-mic-oferta-loi-_JM#position=23&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,2,0,0,0,0,#460487947,NA,Kolke,NA,NA,NA,NA,NA,NA
24, Parlante Bluetooth Jbl Go2 Portátil Calidad Potencia Febo ,1386,NA,124,98927,18 cuotas,77.00,NA,Envío a todo el país,NA,NA,4.8,233,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-458234258-parlante-bluetooth-jbl-go2-portatil-calidad-potencia-febo-_JM#position=24&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,196,32,2,2,0,#458234258,3 W,JBL,NA,GO 2,Activo,184 g,NA,NA
25, Parlante Barra De Sonido Bluetooth Tv Potente Calidad Smart® ,1490,NA,36,1764,18 cuotas,82.78,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-455224414-parlante-barra-de-sonido-bluetooth-tv-potente-calidad-smart-_JM#position=25&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,3,1,0,0,0,#455224414,NA,NA,NA,NA,NA,NA,NA,NA
26, Micrófono Karaoke Bluetooth Inalámbrico Parlante Usb Oferta ,645,NA,312,126,18 cuotas,35.83,NA,Envío a todo el país,NA,NA,4.1,34,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-454535976-microfono-karaoke-bluetooth-inalambrico-parlante-usb-oferta-_JM#position=26&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,18,10,1,1,4,#454535976,NA,NA,NA,NA,NA,NA,NA,NA
27, Parlante Portatil Bluetooth Jbl Charge 3 Batería Futuro21 ,5890,6249,49,4,18 cuotas,327.22,NA,Envío a todo el país,NA,NA,4.6,29,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-458974093-parlante-portatil-bluetooth-jbl-charge-3-bateria-futuro21-_JM#position=27&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,16,5,2,0,0,#458974093,20 W,JBL,NA,Charge 3,Pasivo,NA,NA,NA
28, Parlante 2.0 Bluetooth Tienda Oficial Thonet & Vander Kürbis ,225,245,93,13,18 cuotas,463.25,NA,Envío gratis a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-444260918-parlante-20-bluetooth-tienda-oficial-thonet-vander-kurbis-_JM#position=28&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,13,1,2,0,0,#444260918,NA,Thonet & Vander,NA,Kürbis Bluetooth,NA,NA,NA,NA
29, Mini Parlante Portátil Bluetooth Mp3 Sd Recargable Clicshop ,185,NA,61,21,18 cuotas,10.28,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453546717-mini-parlante-portatil-bluetooth-mp3-sd-recargable-clicshop-_JM#position=29&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,1,0,0,0,0,#453546717,NA,NA,NA,NA,NA,NA,NA,NA
30, Parlante Tipo Jbl Xtreme Bluetooth Portable Musica Waterpool ,1490,NA,69,931,18 cuotas,82.78,NA,Envío a todo el país,NA,NA,3.7,11,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-455224472-parlante-tipo-jbl-xtreme-bluetooth-portable-musica-waterpool-_JM#position=30&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,5,3,0,1,2,#455224472,40 W,Xtreme,NA,Xtreme,Pasivo,NA,NA,NA
31, Parlante Portatil 15´´ Bluetooth Microfono Con Luces Dimm ,109,NA,13,92,18 cuotas,224.42,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-449928360-parlante-portatil-15-bluetooth-microfono-con-luces-dimm-_JM#position=31&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,NA,NA,NA,NA,NA,#449928360,NA,NA,NA,NA,NA,NA,NA,NA
32, Parlante Bluetooth Jbl Charge 3 Resistente Al Agua ,6300,NA,114,10,18 cuotas,350.00,NA,Envío gratis a todo el país,NA,NA,4.6,29,http://perfil.mercadolibre.com.uy/URU-MARKET,https://articulo.mercadolibre.com.uy/MLU-459229297-parlante-bluetooth-jbl-charge-3-resistente-al-agua-_JM#position=32&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,16,5,2,0,0,#459229297,20 W,JBL,NA,Charge 3,Pasivo,800 g,NA,NA
33, Parlante Portátil Bluetooth Aluminio ,390,NA,34,66,18 cuotas,21.67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532785-parlante-portatil-bluetooth-aluminio-_JM#position=33&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,NA,NA,NA,NA,NA,#455532785,NA,NA,NA,NA,NA,NA,NA,NA
34, Parlante Equipo Audio Sony V81 Alta Potencia Bluetooth Pcm ,854,899,7,999,18 cuotas,1.758.29,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,https://articulo.mercadolibre.com.uy/MLU-458268876-parlante-equipo-audio-sony-v81-alta-potencia-bluetooth-pcm-_JM#position=34&type=item&tracking_id=3268d3e6-f1f7-4a44-9644-8e386c2dbba0,1,0,0,0,0,#458268876,NA,Sony,NA,NA,NA,NA,NA,NA
