search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Conectores de entrada,Peso,Línea,Configuración de canales,Voltaje,Ancho,Altura
11, Parlante Portatil Radio Usb Bluetooth Potencia 4000w Karaoke Luces Led Inalambrico Bateria Y 220v + Microfono + Sonido ,6999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				704
				vendidos
			
		",(416 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,69,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-680688727-parlante-portatil-radio-usb-bluetooth-potencia-4000w-karaoke-luces-led-inalambrico-bateria-y-220v-microfono-sonido-_JM#position=11&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,40,21,3,1,3,#680688727,Winco,24/7,80 W,Subwoofer,Portátil,Central,Vertical,NA,NA,Bateria Portatil,MP3,220V,NA,NA
12, Parlante Portátil Vivitar Bluetooth Diseño + Colores + Potencia + Cuotas Sin Interes! ,1709,1799,"
			
				Nuevo
			
			
				
					 - 
				
				175
				vendidos
			
		",(39 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,15,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://articulo.mercadolibre.com.ar/MLA-760433469-parlante-portatil-vivitar-bluetooth-diseno-colores-potencia-cuotas-sin-interes-_JM#position=12&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,11,2,1,0,1,#760433469,Vivitar,VF60013BT,5 W,Tweeter,Woofer,"Piso, mesa, estante",Caja,NA,NA,FABRIC COLLECTION,NA,5V,NA,10 cm
13, Parlante 12 Portatil Bateria Bluetooth Gran Potencia 5000w + Microfono Cargador Control Remoto Usb Sd Radio 12v Y 220v ,6999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				478
				vendidos
			
		",(369 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,64,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-611396474-parlante-12-portatil-bateria-bluetooth-gran-potencia-5000w-microfono-cargador-control-remoto-usb-sd-radio-12v-y-220v-_JM#position=13&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,34,23,5,1,1,#611396474,Winco,239-12,100 W,Portatil,Woofer,Centro,Caja,NA,NA,Multifuncion,WAV MP3,220v 12v,NA,NA
14, Parlante Portátil Vivitar Bluetooth Diseño + Colores + Potencia + Cuotas Sin Interes! ,1709,1799,"
			
				Nuevo
			
			
				
					 - 
				
				175
				vendidos
			
		",(39 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,15,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Q1Gdzqx3zCJiMhFX5D0rxxrWWgM3ixyyyWK8sBc7Pb3r4JeZjfDwal0%2BPMqJGfER1XVMUINl5iA8IJEb%2F5EjiBvMirfxyWZ14V1n%2FHAVR3VfCp3GRp%2BILqW8a87FiAJhwjitVUJ8P30SVRfZk%2BEFEcbSba%2F2QNtJf1mpg4Vwwf6NKxCN8iyKhkqaFZDe8ix%2Br0JuqmnbvNSrYH8Zf1%2FeGrzIeLJ26CS1yGxeZxlAEoWZLH0%2FaZiiCJefA23igEqN4hK4owWl68a8iPlEWq2xPR%2FgqKZl3Y%2BMsqxpY68m2LOTECzatCpb7tT8kqG0C8%2F6qCPSbg3ndz3%2BcHb2qF%2FMujqbk0Jm3EOdGC8lg6A7NP5%2F7dqyP0bXGm6VvUMNvpeH3PRPLtiVS8H4rg29Nn1TCUhJq8ImVIrLDHUgnhdyxD2R5VrF1%2B4drUmtBJ3YcSgHf3vm9%2BFJInjwZdMoFuxZPPDgYxvaW5OL%2BN%2FA3w97hnIRbLwUBogIkA%2F%2By4Je1934FEcObtZrgzNEUBmW3dYOL4r0VErF4bUwFHsE6Ek2eI571xyPLt8AW%2F%2FvPI%2Fn5%2BopjkD7dPnHMpb1kyAwaDB4Y29bcqhchFqhx0NEqdKkzRmIpikEny2F%2FQAg0ojwpZaEkJpVR%2BV0N%2FkpRKSNPljQMG%2FQEGUwvCnq5W2ETjiRf2FqLhpHGiWWy%2BkcnaarKzyYaPhZTmfl6K3iW0ftMTz79GhG0XpW9FL2En1wAcCLHrWR9q9sUrkVtHHrDYvNHrR%2BRXY%2BhHlkxiKyRYh0sw%2BYqZXcYsvfOMr3mCdUQJxLyuGPZICjjQJphbtshk7K7LYO5jgZz7ljmv2lW9TNOKmWuUSFDXimfSauoc6DFImT2Pd9jwdxnvvPLXy4kd61QAfc7xyOgWK0Q1Id3jZypjhOI3ku8UPLgSK%2FJZdTo4RcDQMKLlmxDT%2FfPg0XzClfSBlRt3%2Bhb6ugIisGJO5Hnmw4VJPK%2FrwmF%2B1d2eWwU6TpoclWVAWP6xuy53X4L3JUgQYW%2FfIiytGSPnfnxK9w4aPUJqNsXnf7VxdFoBClRPmGYAHjixAe9ZUOGEL7d%2FxAaNgpUOuLoKJbXBjaxsjZdcXcBoBH1e2fyNJo1Blwip%2BTvbUdOjV0CKRwTYvI3R7g%2FfD2HG24pnRgBlb6hdgwFRLf6S%2B%2BmVogN9YbiXn4whpz%2FrjJ6otNUGUx5IBxPbB7%2BKMN3ZSXWo6tWvw%2BhnfR91MWENGdCj%2F8XNCSJFpk3gfnn9FD0vTCZHABFWB7pFLRtX1OV%2BvFXTnY7%2B9W2Y%2Fx0t8tAY%2BVhOq5abchMSkUGu%2FgnY9%2BhYfBB8UTNUgn0SVhD62yrlzSz2j%2BzuaqrE0FLvSR0tXGEeLtyXHR6W5ZKgVRvYTFfHUwzjSFbiTtsTN%2FefnEYJFBRQTBjo6FDBOiy%2FCY%2Fvv0gpIh8X0U1OywFTDSPAxynVo0xKXHMIvSsYcZfAjDbTY3VozT%2BpfTEFTREXsoAOxTRDs%2FANXsqV%2Bh4efMP%2FhLBURPYR24o5X30RTPjiIoxy%2BMxbmdHiAzA0W1z0h0lA9ZtMsAnjXx5Qk%2BvWuDHd4tmryarIvafMW1m4zQTd%2BmSxNynEYsmG%2BVZiKJkN3xE3Gd09rqLvXeLvp1RRP2cTnhjn3KF3d3pe479l2FSYxqq8eYtGax3FgKuhHCfBdo%2FvjwGeUFr9RSFeVV2vXEHXuSyuKr6xX9q96xb34EAXCHxqwvj1uD2zhSybxSkEBXqhd4kgJvJXBuGkTMvn3P2gVpvntRnL3HmQZlf8nOQ7DmbcSrNrczbxScMBLs3yEM85Jr0TRRrMEi13erEy%2BjmiO87T66CeesSKO%2FUQ9eXy%2Fsiti%2BpswvupjhkyG6Teqrw7h8VRLTxOEVys0xxPxWt%2FMcKecMPubMEiSFXy9kvCzsX5m2KeeWqPDAO7C0seGjMuxdXHDwyKskLCECr%2FL7wmRVa%2F%2F4GOM5Lp%2FH0c4B%2FQ4plELw2%2B33cQOMHjb9ZFYVpg%3D%3D,11,2,1,0,1,#760433469,Vivitar,VF60013BT,5 W,Tweeter,Woofer,"Piso, mesa, estante",Caja,NA,NA,FABRIC COLLECTION,NA,5V,NA,10 cm
15, Parlante Karaoke Bluetooth Usb Microsd Aux Luces + Microfono ,3199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				197
				vendidos
			
		",(59 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,8,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-609304272-parlante-karaoke-bluetooth-usb-microsd-aux-luces-microfono-_JM#position=15&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,6,1,1,0,0,#609304272,Kolke,Kpmm 221,60 W,Karaoke,Woofer,"Exterior, Interior",Columna,"USB, Bluetooth, microSD, Aux 3.5 mm",NA,NA,2.1,NA,NA,NA
16, Parlante Bluetooth Recargable Ducha Anti Agua Con Microsd 5w ,264,NA,"
			
				Nuevo
			
			
				
					 - 
				
				474
				vendidos
			
		",(273 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,9,https://perfil.mercadolibre.com.ar/SMART-CLICK,https://articulo.mercadolibre.com.ar/MLA-789005543-parlante-bluetooth-recargable-ducha-anti-agua-con-microsd-5w-_JM#position=16&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,6,2,1,0,0,#789005543,MIYOSHI,Modelo C6,5 W,Tweeter,Tweeter,"Ducha, De pared, De techo",Redondo,NA,152 g,NA,2.1,NA,NA,NA
17, Parlante Portatil Recargable Bluetooth Usb Radio Fm Potente Sonido Y Alcance. Portatil ,659,NA,"
			
				Nuevo
			
			
				
					 - 
				
				177
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,10,https://perfil.mercadolibre.com.ar/RGC+STORE,https://articulo.mercadolibre.com.ar/MLA-702645846-parlante-portatil-recargable-bluetooth-usb-radio-fm-potente-sonido-y-alcance-portatil-_JM#position=17&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,8,2,0,0,0,#702645846,OTK,OTK 113,4 W,Mini tweeter,Mini tweeter,Toda superficie que permita apoyarlo o trasnportarlo,Portatil,USB,NA,NA,RADIO FM,NA,NA,NA
18, Parlante Bluetooth Portátil Radio Usb Mp3 Leds 1500 Watts ,2199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				328
				vendidos
			
		",(477 disponibles),12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,29,https://perfil.mercadolibre.com.ar/HELITEC,https://articulo.mercadolibre.com.ar/MLA-651682375-parlante-bluetooth-portatil-radio-usb-mp3-leds-1500-watts-_JM#position=18&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,22,5,1,0,1,#651682375,HE-SOUND,HE-710P,1500 W,Woofer,Activo,NA,caja portatil,Auxiliar,NA,NA,NA,NA,NA,NA
19, Parlante Portátil Karaoke Potente! Bluetooth - Sd - Radio Fm - Luces Led! Bateria Recargable! ,3999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				44
				vendidos
			
		",(47 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://articulo.mercadolibre.com.ar/MLA-792522316-parlante-portatil-karaoke-potente-bluetooth-sd-radio-fm-luces-led-bateria-recargable-_JM#position=19&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,NA,NA,NA,NA,NA,#792522316,QFX,PBX-811 BLK,40 W,PORTATIL,Woofer,"Piso, PARED, PATIO",Caja,NA,NA,NA,2.1,NA,24.5 cm,38 cm
20, Parlante Portátil Karaoke Radio Fm + Bluetooth + Usb + Sd + Luces + Microfono Inalámbrico! Potencia! En Cuotas! ,6499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				132
				vendidos
			
		",(62 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,3.8,6,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=AseeUebLFBfutWlkIxomP2qbpjxFseXkWyeYX8WGGwc9n1ns01iKtYFlvnAnWMxeul2kHWcwM6HzB8pbE%2FbX0aagNkdCO5R872uEfza7%2BXNck%2FHRq9DMUz0jwitSwgb%2BJ8mHOd5SJdJtk8k9eeRZZPcb%2BY5c7BAVgJdpzgQKIfIj3hwjssLlUbPNvklOdLno4qkpGuD7JPdGELA4%2FBBsd%2FX9DUlH64iwV5RS3gHQkY9bJ7wJcKfjWHqLB%2FSPr7ma%2Bzeoosf234dMiXr%2FlI%2BNSn6Dl80KQOe3rOhO7aPsFAv9XhtHWwL6XxwXZSYbW%2BAnMbKLINw7cJpVjXNqRWuy%2F05w3PDBHTPSP3pLXfeY7FudOsmXZkQshPoXyTPCH54E%2BStJhs4wzwimEcCif2ZRRWdZjXSoqLhU5edDiSiPwP8JNIu3DSPe5ChepB0Sbjj0pHuRPniEHm1VioGTBhSUP1thgcuRYU7VBdHv0KcEJQJiSrbQyFlHvQIpZwJDFl8DOb%2BQ3Kt5U2IyFzKdCmGnPTOMLiLLFb3V9KeXH7C5B20m1EsYYGZEZlzpVPJuf%2FPsXQi%2BihenNYu4qGFW1GcaITRyFT4mRLrm7BkD%2FPG6NYSRUDEFC8sONjeeHjk9WMAxklQNJSQ04hebgoqDBhw8wA5Z9%2BWd9tKyhDp%2Fc3YLtdZgqSQHzdaVQ7XGqZ%2FhFNaKHO4ScxZo1iUAQUKN8GK8Jlesmv3Ds%2FkH8IWTxIBBoPMNpdTL%2FYmM%2Fv7uAedfwHvDn6x4e3e8%2FEoVCA0ShwR7YY%2BOxOlvzJPZkMzOqTMGZJ4rlytsBYKCYgD40hWsX2YidX%2BdVmptOje1bE4D%2BYauKREEPPv%2FE%2BfjQAVBJVCiz40oRzx3Y0YgFvW1NCpNXffqqQ0gkMoF%2Fyb%2FceDAleV6K39EnX4%2B4QPlpjLAKMdnZG59MQ1rw%2BddK%2FlXRZwZ4HV%2F6MF2q1gBx8EQd%2FB%2BHLAIMqarOLpaOMqLUE%2Blw0w4fZmRlsd58kwGFrXjulLLWo69G%2FkhB02jp%2B4JvXzRagb5n9jbtOs6wcr5V0vhD3C7b9aeJ4%2BZx9ETWm3LjRng4%2B2TvnZZsVmBZJQo0ESGW6VBAYKLptapKninkIyiXScKIGSgbx5CVYIIWT4jtcPvtDo6NERBwVbnYmeXjUN3bbC5OmJPovloWENRTSb3t7a1xxbuhA6SfF7Qp37Pu%2Fv1O2JGuMlpHeVZVeolrxPyWd0l79n58bjm%2BnoEcwpNCdqElqlsIez51jcWVs1eWibmWPbJnBRR%2B7oxtsgXwAsGZSsW5dJTl1RNEvLzzdqO0FHs9wtwj9E6JmSisO5H9ydeaEzDVXd4XiDcNkmYRvpARK0E%2FiWGGZV6FfWBSlx4c4xOW75%2BCDQr4r8aTvkrRka7bi6l0y7gTNYxbNR8B7aZwEqlfWiUCzPeDY8nYA7knL9FOA58WtgXH%2FlWSzssgEUEKWfNXI27lFDvDOsphNbZ3FPlm4nZ4KAk7U9MeO9T20GsNyDYcK8UleE54LucHkvPEJ9WOp4UyrXHyAmD5faKx5UdwIx5xCEjHdmnlr7lB6oQB3mZTiJ2UDzwThmayWgDDCbR6Q6V4bQZY%2BsoQSWaagbipitPou%2Bi8Kr8%2FkMvYXM%2FfNQrjZri%2F8nbpTkxrUrDgxTCA%2BCiZPLAkSNlUUIii8O7TD1uYCDDIEtvkFdgx6WOI67qIh44Pq0CnFlziuOx%2FxoihTFUE0sDDlMEmxiDvW6oJsr4kuZ4Wu7cnJsKNV8YxXj6bN%2BjWApYeNbMOfJgrSNtOZXUDqbrmzOYCh4iswNpPFH%2FW9HtSdnfTNvJLp3A8JFJe2bMoa9gkOKyFA4MYr5fqb6kXr5rzimMD%2B4lRPtXUT5xW9EIR2iOxlMrkB3pMV27BOCN9D2Q8DFjZC%2BSTgtI%2BITdzUeqtIoor35fQ9J2x1rNZzQlfnqcO9nCpGoTQeC8mdxUkKjkBBXQOXsNauBwMdNUlb4uUScM3IavuBu3jaQahndpkSUlRoCt6MP5p0mtA9aI,3,1,0,2,0,#761047217,Otras Marcas,TAR-1512,NA,Subwoofer,NA,De piso,Caja,NA,NA,NA,NA,220,38.5 cm,57.5 cm
