value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Envío gratis,,
3,días,días,Envío a todo el país,,
4,,,Retiro gratis en local del vendedor,,
5,,,Envío gratis a todo el país,,
6,,,Llega mañana,,
7,,,Entrega a acordar con el vendedor,,
8,,,Retiro gratis en local de Frávega,,
9,,,Lo retiro en el domicilio del vendedor,,
10,,,Retiro gratis en local de Compumundo,,
11,,,Chegará amanhã,,
12,,,Vou retirar no endereço do vendedor,,
13,,,Llega gratis el martes,,
14,,,Retiro gratis en tienda de Geant,,
15,,,Retiro gratis en tienda de Mosca,,
16,,,Retiro gratis en tienda del vendedor,,
