search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Color,Tipos de parlante,Peso,Conectores de entrada,Línea,Tipos de filtros del parlante
1, Xiaomi Round Bluetooth Speaker 2 ,135,NA,NA,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/QUETALCOMPRADELPERUEIRL?brandId=159,https://articulo.mercadolibre.com.pe/MPE-436972266-xiaomi-round-bluetooth-speaker-2-_JM#position=1&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#436972266,Xiaomi,Speaker 2,5 W,NA,NA,NA,NA,NA,NA
2, Google Home Mini Asistente Virtual Por Voz Nuevo Y Sellado ,139,NA,104,87,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,10,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431301132-google-home-mini-asistente-virtual-por-voz-nuevo-y-sellado-_JM#position=2&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,7,3,0,0,0,#431301132,NA,NA,NA,Tiza,NA,NA,NA,NA,NA
3, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,50,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM#position=3&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,5,1,0,0,0,#435227656,Amazon,Echo  Dot 3era Gen,NA,NA,Wifi,300 g,NA,NA,NA
4, Google Home Mini Charcoal Smart Assistant No Chromecast ,134,NA,36,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-435158863-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM#position=4&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,2,0,0,0,0,#435158863,Google,home mini,NA,"Charcoal, chalk","wifi, bluetooth, smart",NA,NA,NA,NA
5, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,44,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM#position=5&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,2,0,0,0,0,#428636742,Samsung,HW-N300PE,100 W,NA,NA,2 kg,USB,NA,NA
6, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,349,NA,17,25,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM#position=6&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,7,2,0,0,0,#432200042,JBL,Flip 4,20 W,Como,Woofer,NA,NA,Flip,Activo
7, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,169,NA,20,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM#position=7&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,1,1,0,0,0,#434444301,Sony,XB12,NA,Como,Portatil,NA,NA,EXTRA BASS,NA
8, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,37,96,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM#position=8&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,13,1,1,0,0,#428500548,JBL,GO 2,3 W,NA,"Portátil, Resistente al Agua",NA,NA,GO,Activo
9, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,31,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM#position=9&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA,NA,NA,NA,NA,NA
10, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,169,NA,9,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-437115986-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM#position=10&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#437115986,Amazon,Echo  Dot 3era Gen,10 W,NA,Wifi,300 g,NA,NA,"SMART, WIFI, BLUETOOTH, SALIDA 3.5MM"
