search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Línea,Peso,Color,Conectores de entrada
1, Parlante Redondo Pure Surround Brightside Audio Alta Calidad ,36.900,55.900,"
			
			
				
				62
				vendidos
			
		",(54 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,8,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-502474312-parlante-redondo-pure-surround-brightside-audio-alta-calidad-_JM#position=1&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,4,4,0,0,0,#502474312,Brightiside,BSSP-002,10 W,Activo,NA,NA,NA,NA
2, Parlante Radio Reloj Brightside Despertador - Alta Calidad ,65.900,79.900,"
			
			
				
				68
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.2,6,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-507364129-parlante-radio-reloj-brightside-despertador-alta-calidad-_JM#position=2&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,2,1,1,0,2,#507364129,Brightiside,BSSP-001,10 W,Activo,NA,NA,NA,NA
3, Parlante Portable Jbl Go 2 Bluetooth A Prueba De Agua Go2 ,112.900,152.900,"
			
				Nuevo
			
			
				
					 - 
				
				618
				vendidos
			
		",(38 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.136
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,116,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-461389037-parlante-portable-jbl-go-2-bluetooth-a-prueba-de-agua-go2-_JM#position=3&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,108,5,0,2,0,#461389037,JBL,JBL Go2,3 W,Activo,GO,184 g,NA,NA
4, Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño ,14.900,19.900,"
			
				Nuevo
			
			
				
					 - 
				
				1148
				vendidos
			
		",(496 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 414
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,56,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-449583744-parlante-bluetooth-resistente-al-agua-manos-libres-para-bano-_JM#position=4&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,34,11,6,2,3,#449583744,NA,NA,NA,NA,NA,108 g,Azul/Verde,NA
5, Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch ,41.900,59.900,"
			
				Nuevo
			
			
				
					 - 
				
				633
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.164
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,39,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-455787971-microfono-karaoke-q7-bluetooth-parlante-portatil-estuch-_JM#position=5&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,27,8,2,0,2,#455787971,NA,NA,NA,NA,NA,NA,NA,NA
6, Parlante Altavoz Bluetooth Radio Portatil Ms ,39.900,48.900,"
			
				Nuevo
			
			
				
					 - 
				
				238
				vendidos
			
		",(662 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,14,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-455564403-parlante-altavoz-bluetooth-radio-portatil-ms-_JM#position=6&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,9,3,0,2,0,#455564403,NA,NA,NA,NA,NA,NA,NA,NA
7, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,478.700,NA,"
			
				Nuevo
			
			
				
					 - 
				
				281
				vendidos
			
		",(97 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.297
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,79,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-459158831-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM#position=7&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,71,6,2,0,0,#459158831,JBL,Charge 4,30 W,Activo,NA,NA,NA,NA
8, Parlante Altavoz Portatil Charge 3+/10w Fm Bluetooth Sd Usb ,69.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				152
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.944
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,15,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-464734363-parlante-altavoz-portatil-charge-310w-fm-bluetooth-sd-usb-_JM#position=8&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,12,1,2,0,0,#464734363,NA,NA,10 W,Activo,NA,NA,NA,NA
9, Cabina De Sonido Recargable Connor Bluetooth Parlante Audio ,89.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				147
				vendidos
			
		",(1947 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.3,3,https://perfil.mercadolibre.com.co/QUILLASHOPCOLOMBIA+SAS,https://articulo.mercadolibre.com.co/MCO-523511842-cabina-de-sonido-recargable-connor-bluetooth-parlante-audio-_JM#position=9&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,2,0,1,0,0,#523511842,Connor,CN500,15 W,NA,NA,NA,NA,USB
10," Logitech Z607, Altavoces 5.1 Sonido Envolvente Con Bluetooth ",319.900,349.900,"
			
			
				
				87
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,2.0,1,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=151,https://articulo.mercadolibre.com.co/MCO-509252426-logitech-z607-altavoces-51-sonido-envolvente-con-bluetooth-_JM#position=10&type=item&tracking_id=da82273e-4fa3-425d-b9fd-be6fabc65819,NA,NA,NA,NA,NA,#509252426,Logitech,NA,NA,NA,NA,NA,NA,RCA
