search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Conectores de entrada,Peso,Lugares de colocación,Formato del parlante,Línea,Configuración de canales,Voltaje,Ancho,Altura
1," Bocina Bafle Portátil - Tedge - 8 Pulgadas Bluetooth Recargable Con Karaoke, Micrófono Y Control Remoto ",545,799,"
			
			
				
				46
				vendidos
			
		",(1241 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/TEMAKLAMEXMEX?brandId=2268,https://articulo.mercadolibre.com.mx/MLM-680248351-bocina-bafle-portatil-tedge-8-pulgadas-bluetooth-recargable-con-karaoke-microfono-y-control-remoto-_JM#position=1&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,NA,NA,NA,NA,NA,#680248351,Tedge,SPBL01,5 W,Subwoofer,Subwoofer,USB,2.1 kg,NA,NA,NA,NA,NA,NA,NA
2, Bocina Bluetooth Select Sound Bt228 Bazooka Radio Fm Usb ,499,NA,"
			
			
				
				727
				vendidos
			
		",(120 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 4930
		
		 sin intereses
		
	

	
		",30,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,39,https://perfil.mercadolibre.com.mx/SELECT+SOUND?brandId=1529,https://articulo.mercadolibre.com.mx/MLM-589887600-bocina-bluetooth-select-sound-bt228-bazooka-radio-fm-usb-_JM?searchVariation=25443119914#position=2&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,32,5,2,0,0,#589887600,Select Sound,BT228,10 W,Subwoofer,Subwoofer,"USB, Auxiliar",NA,NA,NA,NA,NA,NA,NA,NA
3, Bafles Amplificados Bocina Bluetooth 8 Pulgadas Recargable Portatil Microfono Larga Duracion Usb Auxiliar Fm Karaoke ,545,"1,030","
			
			
				
				5359
				vendidos
			
		",(155 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,185,https://perfil.mercadolibre.com.mx/VENTRONIC_GDL?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-593882819-bafles-amplificados-bocina-bluetooth-8-pulgadas-recargable-portatil-microfono-larga-duracion-usb-auxiliar-fm-karaoke-_JM?searchVariation=17434285683#position=3&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,129,41,5,5,5,#593882819,Link Bits,ST-81L,4500 W,Subwoofer,Subwoofer,Auxiliar,NA,De piso,BAFLE,NA,NA,NA,NA,NA
4, Bocina Contra Agua Bluetooth Recargable Waterproof Azul ,59,77,"
			
				Nuevo
			
			
				
					 - 
				
				3088
				vendidos
			
		",(93 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 333
		
		 sin intereses
		
	

	
		",33,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,11,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665638990-bocina-contra-agua-bluetooth-recargable-waterproof-azul-_JM#position=4&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,7,2,1,1,0,#665638990,OEM,BC-BT-02,3 W,NA,Tweeter,Auxiliar,100 g,De pared,Caja,NA,NA,NA,NA,NA
5, Bocina Contra Agua Bluetooth Recargable Waterprof Negro ,59,63,"
			
				Nuevo
			
			
				
					 - 
				
				2608
				vendidos
			
		",(239 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 333
		
		 sin intereses
		
	

	
		",33,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,18,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744228-bocina-contra-agua-bluetooth-recargable-waterprof-negro-_JM#position=5&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,7,7,3,0,1,#665744228,Genérico,Waterproof,3 W,Tweeter,NA,Auxiliar,100 g,Portatil,NA,Bocina Bluetooth,NA,NA,NA,NA
6, Bocina Jbl Go 2 Bluetooth Negra Metalica A Prueba De Agua ,599,799,"
			
				Nuevo
			
			
				
					 - 
				
				1170
				vendidos
			
		",(151 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5918
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,562,https://perfil.mercadolibre.com.mx/TECNOLIBYO,https://articulo.mercadolibre.com.mx/MLM-669024398-bocina-jbl-go-2-bluetooth-negra-metalica-a-prueba-de-agua-_JM#position=6&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,520,36,5,1,0,#669024398,JBL,GO,3 W,Subwoofer,Subwoofer,NA,NA,NA,NA,GO,"NA",NA,NA,NA
7, Bocina Bluetooth Recargable Contra El Agua Full ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1016
				vendidos
			
		",(101 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 583
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,2.3,6,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-554604485-bocina-bluetooth-recargable-contra-el-agua-full-_JM#position=7&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,1,0,2,0,3,#554604485,Link Bits,QB09,3 W,Woofer,NA,NA,NA,De pared,Caja,NA,NA,5V DC,NA,NA
8," Bocina Bafle Portátil - Tedge - 8 Pulgadas Bluetooth Recargable Con Karaoke, Micrófono Y Control Remoto ",545,799,"
			
			
				
				46
				vendidos
			
		",(1241 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/TEMAKLAMEXMEX?brandId=2268,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=ZibMMrxsT2vcx8jaGJkemJDhZ0bD9%2F90xwNa2p8uLCwkq8xbEqXrg2HgieXvcg3cCRFFeliLaJG%2BgtMmorz94Ri4xUgyNKvdmdhjnI%2BMo6KCxmX6V6Mo7MLg%2ByH8Wo6A8%2FpDBg51G%2B69jEEx5VvU8LFLmOR%2BSGMbr3lcT0P9ZfWKJ6oAIrgc0j2DldBbchBUCU6wxS3ZWqnJjxWmKxNyDk4in1pZxt%2BZlxOfY8P2v7qUnxAjbXC%2FT2OWG1hSTjYp40OOUX%2BZNZrJEK3TMtqPcasKV871k3y0uSH36R26pgOKa5Fe3KwjA25CPCleU1xNsrW8hIKJwLie9ksLEf725h7HLvPQJRXArLG6jHa1pwZ4UdD3J6ucCSS6TL0FpZZA%2FPHUxExWm1TaIDu0%2BbmWo0z3sPrCn2C%2Bh5BuuW54Ao1u8iuGIsBAeozTjJ%2FijwulJLjKSEHGu0%2FoLb10WxIBDSb9qaQ6eumIEjfh77hqMQ5sxibcfL7EWgCkhkRKSPxye6dVVMHKCmp7oEob8I1uKHrHXlwhb%2BpemARwUqD7jGhLWGQXUtXAqV5pTsihmXLIz5SRWNhebpY%2BHOM2rF9cP7Qx7tFx2O9U8toXFBeceTfVlCsqNrKJCnp7so9qmMfCQnv9CUav1GMs7dZYTaH6aoeMK86R60WUXkccr048d9w1SAkie5Z%2Bg1%2Bewpr7Gsyvh9aMPLko%2BZznh5FyZVQSuC2la%2BtnjI8xY%2BzWBAaGkJ83t%2FMF%2FCNa3VwN4TvmHYCCKD7UAUhZqZLxZ1Ntl%2FHelo5HgnuMGrEHTghVoYEfuoHa6F6gpJza%2Bixu1UnoSrJtVi9%2F%2Fr3LXCknexqD9OeGql7oBm3a9Y9gy%2F%2BzDEbbmb5l6lBEJafgH8tfiohagRpcBUSVibbzbUDioZ6HlJ7GirVVu7EncM1UvLbVMRvmUp%2B5r33zS%2B%2Fzo7wIWCU5jjHNNlpnB58fGYWN1YkH%2FzDOYgkmEacQFHj9ZoDTKfV2qF8iAIwHJjQ42gA4DXLByR2Jbogz6OotJrNldSwNoZsuRUEipP%2Bxb91Ok8aAKmdDdghJYmJMU2ASq9IQr1IeplSLC4I053sgcCB82MRgER4X9t1jeYaKOUEkZ3xhy9lnvqQ5K5pzy1J2shQSp2PiBpJIxGQ%2BoZQnKOLNGkDMhLQw9AIhd3lTWWLJR7NWCYcFFCW1pTJRE3M3wxv9aTqrqmSyx%2FodY5TRCWP8P0Sx0Z4pxW478uFPL875by5Piroe0LhVfe5LVlKSXY6eHP%2FbYhBr4A6mqSe%2FwjW3nFyXqz2CmHYpeUGhUZs0XZIC1VCfTqUST%2BwwI2BKMp%2FUMTmzULhgIGPJeL%2B57dTWTkAKwVKyeg%2FS2wIyvzQw6M3J4Jxo6phvuynPFUP4kZ8lA2wgZQqIffzNd1JPSClpAlBl9MMRKU04meyz3vqC0V0%2FpGeDulCfnzGG2ZN%2FdPZ5XW23gsMYtHj2SbNsQzy8ci0andhLMQ3rmwxhZXciuWCP8e9A10smvQeJnslrvt%2BsWwzl07jQHd2J0h5w8Qsix7nhCuy3eyqHSAPC6dlLBiTr1bPYyPbYqnQji6eFpkTNKkfaLi0AB6IrWaQ5kMOiblXStXi37wWt88zcbDJ0O%2F3j3qp%2FASeJCSkHoWU02USXhCg%2FGYKJzV019IuzpQd85niHy%2BzOOoEQ7gKaUeXh%2BYnFUvM6orwYj%2FW1fiqKRqkOf3wARumB4YQyexfEjgH0vfXx%2BiRsqrYb2gkX9eOPQF5GE9aMTuptrYSDS%2BitqcBMcNBgGNpK9xmF3E7rxhIl%2Fd%2F62pUolv0ZF1uZwpsJKYhDEiY3CRUoiJFLfcRYt866hIi1DIKDTVKMEH3NkEQyct7oJQqYeruqL9NOfxUfTubCppuqo7yalw53Hsed7LdJe8P9V%2B7I2sUuS2t6r9V7juEwWUKJa4JWrRF3OCrSvy3xHOx%2BvDGJW8OAFqAiTzyvfySlZ%2BtAOiOUBRsqFLr0g3HQ3bUIlfISCrxQtad9V%2FYI12yEq%2FERXpJABBRVno16aqFZHTr8yjqOcoC%2BxG7xgJ5vzqMnx1hbqf%2F6u5L7xgnJZYwE%2FIFsTRqc8G3v6jBckcKJ574mP%2BD8q%2FglwIIuI%2B6WgSRMMv83lImeqnl2Od6dkzwwfz44EFrlK79V0s3M3sjt,NA,NA,NA,NA,NA,#680248351,Tedge,SPBL01,5 W,Subwoofer,Subwoofer,USB,2.1 kg,NA,NA,NA,NA,NA,NA,NA
9, Bocina Contra Agua Bluetooth Recargable Waterprof Rosa ,59,63,"
			
				Nuevo
			
			
				
					 - 
				
				1257
				vendidos
			
		",(310 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 333
		
		 sin intereses
		
	

	
		",33,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,9,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744227-bocina-contra-agua-bluetooth-recargable-waterprof-rosa-_JM#position=9&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,6,2,0,0,1,#665744227,Genérico,Waterproof,3 W,Tweeter,N/A,Auxiliar,100 g,De pared,NA,Bocina Bluetooth,NA,NA,NA,NA
10, Bocina Bluetooth Regadera Llamadas Recargable Contra Agua ,56,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6794
				vendidos
			
		",(55 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 563
		
		 sin intereses
		
	

	
		",63,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,34,https://perfil.mercadolibre.com.mx/COMPU_VICHIS,https://articulo.mercadolibre.com.mx/MLM-624119055-bocina-bluetooth-regadera-llamadas-recargable-contra-agua-_JM#position=10&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,21,8,4,0,1,#624119055,Genérico,Agua,20 W,Super tweeter,NA,NA,NA,INTERIOR,REDONDO,NA,MONO,NA,NA,NA
11, Bocina Jbl Go 2 Bluetooth Metalica A Prueba De Agua ,750,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2417
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4167
		
		 sin intereses
		
	

	
		",67,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,562,https://perfil.mercadolibre.com.mx/COMPUPRICE,https://articulo.mercadolibre.com.mx/MLM-633129993-bocina-jbl-go-2-bluetooth-metalica-a-prueba-de-agua-_JM?searchVariation=33454705488#position=11&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,520,36,5,1,0,#633129993,JBL,GO 2,3 W,Super tweeter,Super tweeter,NA,184 g,"piso, repisa",Caja,GO,No,NA,NA,NA
12, Bafles Amplificados 8 Pulgadas Bluetooth Recargable Bocina Vorago Audio Profesional Usb Radio Micrófono ,799,"1,070","
			
			
				
				1166
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4439
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,89,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=359,https://articulo.mercadolibre.com.mx/MLM-613533664-bafles-amplificados-8-pulgadas-bluetooth-recargable-bocina-vorago-audio-profesional-usb-radio-microfono-_JM#position=12&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,77,12,0,0,0,#613533664,Vorago,KSP-300,30 W,Subwoofer,Subwoofer,USB,3 kg,"De piso, Poste, De pared, De techo",Caja,NA,1.1,NA,NA,NA
13, Bocina Bluetooth Recargable Premium Bateria Extendida ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2962
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1883
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,299,https://perfil.mercadolibre.com.mx/IDEAGLOBALMX,https://articulo.mercadolibre.com.mx/MLM-541621537-bocina-bluetooth-recargable-premium-bateria-extendida-_JM?searchVariation=34568212454#position=13&type=item&tracking_id=6ef9ba48-d27a-4b84-9e5e-79553104fc1e,205,71,20,2,1,#541621537,Idea global mx,Plus,6 W,Subwoofer,Subwoofer,USB,300 g,Na,cilindro,S9,2.1,110V,NA,NA
