search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Potência de saída (RMS),Tipos de alto-falante,Quantidade de alto-falantes,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Conectores de entrada,Peso,Resposta mínima em frequência,Resposta máxima em frequência,Distorção,Voltagem,Largura,Profundidade,Altura,Cor
1683, Caixa Bluetooth Pbs200bt Recarregavel Festa Churrasco Philco ,529,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5065
		
		 sem juros
		
	

	
		",65,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1186748793-caixa-bluetooth-pbs200bt-recarregavel-festa-churrasco-philco-_JM#position=51&type=item&tracking_id=4b10e5b9-a4e4-4758-ae68-dd7156f66369,NA,NA,NA,NA,NA,#1186748793,Philco,NA,PBS200BT,180 W,NA,NA,NA,NA,Caixa,NA,USB,5.53 kg,NA,NA,NA,NA,NA,NA,NA,NA
1684, Auto Falante Caixa De Som Jbl - Xtreme - Original (2 Peças) ,380,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3632
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1971,https://perfil.mercadolivre.com.br/PRODUTOS+PREMIUM,https://produto.mercadolivre.com.br/MLB-1158419643-auto-falante-caixa-de-som-jbl-xtreme-original-2-pecas-_JM#position=52&type=item&tracking_id=4b10e5b9-a4e4-4758-ae68-dd7156f66369,1262,346,188,69,106,#1158419643,JBL,NA,Xtreme,40 W,NA,1,Passivo,NA,NA,NA,NA,NA,70 Hz,20 kHz,NA,NA,NA,NA,NA,NA
1685, Conector Usb Caixa Som Jbl Flip 3 Original C/placa Serial Nd ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1520
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,673,https://perfil.mercadolivre.com.br/PRODUTOS+PREMIUM,https://produto.mercadolivre.com.br/MLB-1195365706-conector-usb-caixa-som-jbl-flip-3-original-cplaca-serial-nd-_JM#position=53&type=item&tracking_id=4b10e5b9-a4e4-4758-ae68-dd7156f66369,578,69,12,4,10,#1195365706,JBL,Flip,Flip 3,16 W,NA,NA,NA,NA,NA,NA,USB,NA,85 Hz,20 kHz,NA,NA,NA,NA,NA,NA
1686, Caixinha Som Bluetooth Tws Metal Amplificada Mini Speaker 3w ,43,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(194 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 733
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ROSIMARSOUSAOSMUNDO,https://produto.mercadolivre.com.br/MLB-1267058883-caixinha-som-bluetooth-tws-metal-amplificada-mini-speaker-3w-_JM#position=1&type=item&tracking_id=fdc16717-2961-4608-af2b-c72f71a0e0c7,NA,NA,NA,NA,NA,#1267058883,JGL,NA,JGL 001,3 W,NA,NA,Subwoofer,Portátil,Subwoofer,5.1,NA,70 g,NA,NA,NA,NA,NA,NA,NA,NA
1687, Mini Caixa De Som Bluetooth A Prova D'agua Bts-06 Promocao ,23,NA,"
			
				Novo
			
			
				
					 - 
				
				54
				vendidos
			
		",(48 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 627
		
		 sem juros
		
	

	
		",27,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-918579058-mini-caixa-de-som-bluetooth-a-prova-dagua-bts-06-promocao-_JM#position=2&type=item&tracking_id=fdc16717-2961-4608-af2b-c72f71a0e0c7,NA,NA,NA,NA,NA,#918579058,Yes,Portatil,BTS-06,3 W,NA,1,NA,NA,Caixa,NA,Auxiliar,NA,NA,NA,NA,Bivolt,NA,NA,NA,Branca
1688, Jbl Go 2 Caixa De Som Original Bluetooth P2 Garantia E Nota ,194,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1624
		
		 sem juros
		
	

	
		",24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1675,https://perfil.mercadolivre.com.br/GSMIXIMPORTADOS,https://produto.mercadolivre.com.br/MLB-1138444476-jbl-go-2-caixa-de-som-original-bluetooth-p2-garantia-e-nota-_JM#position=3&type=item&tracking_id=fdc16717-2961-4608-af2b-c72f71a0e0c7,1538,106,19,6,6,#1138444476,JBL,GO,GO 2,3 W,NA,NA,Passivo,NA,NA,NA,NA,184 g,180 Hz,20 kHz,NA,NA,NA,NA,NA,NA
1689, Caixa Caixinha Som Portatil Bluetooth Mp3 Usb Cartao Fm 106 ,59,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(42 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 676
		
		 sem juros
		
	

	
		",76,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-916829139-caixa-caixinha-som-portatil-bluetooth-mp3-usb-cartao-fm-106-_JM#position=4&type=item&tracking_id=fdc16717-2961-4608-af2b-c72f71a0e0c7,NA,NA,NA,NA,NA,#916829139,YES,Caixa de Som Portátil,MS-140BT,15 W,NA,2,Auto-falante com caixa de madeira selada,NA,NA,NA,Auxiliar,NA,18 kHz,80 kHz,NA,110V/220V (Bivolt),NA,NA,NA,NA
1690, Caixa De Som Bt520 20w Rms Bluetooth C/ Radio Fm/sd/usb/aux ,184,NA,"
			
				Novo
			
			
				
					 - 
				
				39
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1538
		
		 sem juros
		
	

	
		",38,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/TRP+STORE,https://produto.mercadolivre.com.br/MLB-939778995-caixa-de-som-bt520-20w-rms-bluetooth-c-radio-fmsdusbaux-_JM#position=5&type=item&tracking_id=fdc16717-2961-4608-af2b-c72f71a0e0c7,NA,NA,NA,NA,NA,#939778995,Lenoxx,NA,BT520,20 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1691, Caixa Som Portátil Infinity Sumay 300w Bluetooth Microfone ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(43 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6690
		
		 sem juros
		
	

	
		",90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJAVALENCIO,https://produto.mercadolivre.com.br/MLB-1069892425-caixa-som-portatil-infinity-sumay-300w-bluetooth-microfone-_JM#position=6&type=item&tracking_id=fdc16717-2961-4608-af2b-c72f71a0e0c7,NA,NA,NA,NA,NA,#1069892425,Sumay,Infinity,SM-CAP08I,300 W,"Alto-falante 12”, Subwoofer 12"", Tweeter 5”",NA,Ativo,NA,Caixa,NA,"USB, cartão sd, Entrada para Microfone",7.5 kg,NA,NA,NA,NA,NA,NA,NA,NA
1692, Caixa De Som Bluetooth 5w Subwoofer Com Lanterna - Tg-501 ,60,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 573
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MIRAO+DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1215704195-caixa-de-som-bluetooth-5w-subwoofer-com-lanterna-tg-501-_JM#position=7&type=item&tracking_id=fdc16717-2961-4608-af2b-c72f71a0e0c7,NA,NA,NA,NA,NA,#1215704195,TG,NA,TG-501,5 W,Woofer,NA,Ativo/Passivo,Portátil,Caixa,2.1,NA,385 g,NA,NA,NA,NA,NA,NA,NA,NA
