search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca da Capa,Marca de Celular,Modelo de Celular,Modelo da Capa,Tipo de capa,Material,Cor
1, Apple iPhone 8 Plus 64 GB Ouro ,NA,NA,NA,NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolivre.com.br/p/MLB8752451?searchVariation=MLB8752451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Capinha Armor Para iPhone 8 Plus - Gorila Shield ,11,NA,13,88,2x,6.18,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1189824344-capinha-silicone-ultra-fina-casca-de-ovo-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1189824344,Hrebros,NA,NA,NA,NA,NA,NA
3, Capinha Silicone Ultra Fina Casca De Ovo iPhone 8 / 8 Plus ,33,NA,813,4485,6x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,13,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797226,10,2,1,0,0,#1248683581,Silicone,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
4, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,22,NA,837,80,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,15,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=25994987550,10,3,0,0,2,#1026051169,Bumper,Apple,Iphone,Silicone,Slim,Silicone,NA
5, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,16,NA,968,16,3x,5.65,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,27,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029726,20,4,2,0,1,#1047628140,HR,Apple,Iphone,TPU,Capinha de silicone,Silicone,NA
6, Capinha Casca De Ovo Ultra Fina iPhone 7 8 Plus X + Pelicula ,54,NA,437,7517,10x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,10,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,10,0,0,0,0,#1213994623,jk capas,Apple,iphone,Magnética,capa protetor,metal e vidro,NA
7, Capinha Anti Queda Silicone Resistent iPhone Xs 7 8 Plus Xr ,35,NA,286,10942,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,9,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,9,0,0,0,0,#1197368219,jk capas,iPhone,iphone,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
8, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,32,NA,369,821,6x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,7,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2Ers544dQfcd4jbxcmQqz4yFrPp7nG26spQNgyt0ECBAQPb5v8oVFS2nYYY4W7a9obx2gNxLz4Dq1WRbTzVoNtFXrCwaS%2BD6tXnXCxm4QQSlPtN%2FD9Icx0RDxRA5xlb2cUMXU9Q282Bmcuf8EN5L6SHjdkXc3Rt2lHWtheoefz13jxtqJyZa5CJF32bw9x6XpmbxdRbdQODFFx70jz2bWbV2BfnONOByJWEOmlY8DZlnLsrQp1pb%2BKGd4%2BEZR%2FaBM0MCxgUb6VLLFPCJRvD32%2F5SSA9EVvB6TGLQ4qjHDL0uctevaVIn9xpiYdW%2B6YbAzi09A2%2BgWmbhA8YarPftF4SJvehMBdH5f2l1iIRH3XkyMmZUmF4VkpFOY7B5FhlBprG0n1pdNuUHHx9tB6Jvn3xP6tnPyG8KpNedwZ%2FzlC9RXgQq0OCJujWbN6FGSe6hDF%2BuAwwIazfLIVacxUDEuNIA6eDFdcr5wxXXWBDw9wvTuCpJ5xYlU1lEwgDX7IebKdCgbIwumzv6MqGbXo8W9Sntv48s4p%2B7Ph0e3jinihJVQJxZRwEqwqsi5r2Atzxwnkk%2B%2BAORf9gPHa8UHDLxNL1chsI%2Bhk5Xg9ZdJquxICjmMl5i1okGIa2qeG3RBCIBtRzTcELLiP2ndjRXw8gT%2BwI8zcSamxNySYGCfKNlLm6BBC0TqBF8j44oKn3FZwMdDkug6R%2BmhnNRtndzW8zf3fw5Z9USfpm3b6im3HgLxAiaYI5ESsWwKVe%2FkYLQ%2BreOV8FoQgL51weTzcod84YAUCbf%2FOCqZMwFDLWOhABs6c6AbJFVrykUZ3ltp4xHZiaNk3c9YjI%2Fu%2B5qv2rWNIu8kPsPKJjZop%2BcMN9JZCoGjRd95fz9vL18szaGq7uLmp9DugjlCLzqxF2rR1JtNwkNWPFtDNPR1rKhqZzp1YkH%2Fq5e5rysNr3LE8rmgI751SHdIpecudgOd6n5Ky3h52KP59Jh1p8EPFUT9AdqfSYGqew1aLEpvB42wk58aLV79S4fajIcZ5VM1rpZ%2FWhGMOZZnakkCzR2Z55aoS1kZ5SYypqpOJtx2ygyenHGP9YioyL1xP8cBQtnlGpIGwX008YT9yZ1riRBO9RcUUK7pwwGEnv25NTgI4dgpMRvRl9Bn46Hv0uLZ6Jr1EuyDgNlnR6jG7lFvJXg%2BQ0D83f%2FcMSyvP3ECVkhY2C9xv7wUNk%2BhlYI0RjkvO35wflepLWItySoJqoFzPQBTqhfDRW1upVKVvZ%2FNUExSnOZ6w6tkVBtw8LzQtL%2FU46OtVtr5Uno5hF%2Bb8glpavO4xYJAK5wn8niPVPY75128q36W%2Fsvd7y0akmg4sBBHC4Iu%2BA2CuT4W8nSr96cSOr6tvCjycJbnmXB19G4HWyP3yj4c2nnh6V1NL5MpQ5Jjru29ZysZWDOL01dNKHRxO0srEFLyG9W299KeAj%2Fq1N2NmxwSD7meAyJ1HGUb32py3SxUelABMrGMw%2FIzP4b%2FBFnKB4WG71gw85VRIAFEIbUk4QSBYiG5ui9McpEPcO4VREnQu27WUHcQECQuuntm0Qb0LxukCbK8GbDxCkoYUto8B%2BTjFC5XLde2uq7WZG5ZeU%2BdIJxLUtJehwkkNHHFw%3D%3D,7,0,0,0,0,#1246923437,Silicone,Apple,iphone7 plus  iphone 8 plus,iPhone,Silicone,Silicone- Aveludada,NA
9, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,22,NA,449,78,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,10,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=23594227857,7,2,1,0,0,#1026034649,Bumper,Apple,Iphone,Silicone,Slim,Silicone,NA
10, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,29,NA,211,289,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,8,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,7,1,0,0,0,#1165539317,Apple,Apple,Iphone 8 Plus,iPhone 8 Plus,Silicone,Silicone,NA
11, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,49,NA,248,16503,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,13,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107406,10,2,1,0,0,#1210095124,JK CAPAS,Apple,IPHONE,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
12, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Branco ,34,NA,5638,40331,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,497,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-682539065-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8plus-x-xr-xs-max-_JM?searchVariation=22563854091,398,60,25,11,3,#682539065,JK CAPAS,Apple,IPHONE,ULTRA FINA,CAPA PROTETOR,TPU,NA
