search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
1, Capacete Moto Robocop Escamoteável Pro Tork V-pro Jet 3 ,149,189,4071,608,12x,12.49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1711,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1234,332,92,23,29,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,Nylon Pluma,"ABS, Policarbonato",Adultos,Unissex,NA
2, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,59,NA,3813,1714,10x,5.90,NA,Envio para todo o país,NA,NA,4.6,1600,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-808714522-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=19635871969,1184,280,102,15,19,#808714522,"Preto,Amarelo,Azul,Branco,Prateado,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Capacetes,New Liberty 3,Integral,NA,NA,ABS,NA,NA,NA
3, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Lançamento ,120,NA,1959,29,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,71,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133429702-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=29861517008,41,12,13,1,4,#1133429702,"Verde,Amarelo,Azul,Azul-escuro,Cinza-claro,Laranja,Rosa,Verde","58,60",Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,Unissex,NA
4, Capacete Protork Coquinho Moto Custom Couro Boulevard Harley ,62,NA,570,6,12x,5.93,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,42,https://perfil.mercadolivre.com.br/BEE-STORE,https://produto.mercadolivre.com.br/MLB-852374852-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=22590316605,22,10,6,2,2,#852374852,Preto,Grande/58cm,Pro Tork,Custom,Coquinho,Aberto,NA,NA,Revestimento em Napa,Adultos,Unissex,NA
5, Capacete Para Moto Protork R8 Fechado Viseira Camaleão Loi ,120,144,703,17,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2115,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162758324-capacete-para-moto-protork-r8-fechado-viseira-camaleo-loi-_JM?searchVariation=31714629230,1400,399,183,62,71,#1162758324,Azul,"56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
6, Capacete Para Moto Protork R8 Fechado Viseira Iridium Loi ,120,144,769,35,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2115,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1162746915-capacete-para-moto-protork-r8-fechado-viseira-iridium-loi-_JM?searchVariation=31714122516,1400,399,183,62,71,#1162746915,"Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,"espumas de memória para melhor absorção de impacto e conforto, tecidos nylon em pluma anti alérgicos e com alta resistência abrasiva",injetado em polímero abs de alto impacto virgem,Adultos,Unissex,1.27 kg
7, Capacete Para Moto Protork R8 Fechado Resistente Oferta Loi ,120,144,2203,33,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2115,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1071430308-capacete-para-moto-protork-r8-fechado-resistente-oferta-loi-_JM?searchVariation=25824453651,1400,399,183,62,71,#1071430308,,"56,58,60",Pro Tork,Sportiva,R8,Integral,NA,Antialérgica,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1.27 kg
8, Capacete Moto Axxis Eagle Preto Fosco Lançamento ,399,NA,193,4,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,29,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=uO8ISCvGSBvf88XmS30mTIQDbmhWWPWF7e5A9Og26IUpXd%2BX05olGpWBe0GQMRrIF2BNC%2FSIKRCDP9H621UoQvw5hHV%2FrgQjjaHt1zDXTtBJnggqoDaBFG03YIpIVN2GV2YGe3TYvsfxDT%2FYGuqTLvqmhiTPdHUtohoQND%2FRmpOw%2BWTumlFAjv3vK3iiAjWXdEjr3Wh4wLG7Wh7i4TQyjjV%2FbiO2hMcub0Wcqlh7z%2B4R7D57lYrGwpEojdv9Nt%2F8YzCVR7CpaE61svc5aG93hn%2FxLkPeL9VO2ExOE%2F3yt35NB8d9gHoFG0eqJ%2F%2BphJS8vr1C1w%2FbjkpPiYVxKjW%2BQZu%2B0L3qOGxSPkJ2a4CxarghWMZIFEWtdGuKyXzDtmAIw%2FL3i00QrwEufncLb%2FYPPV9bV016QT69d4zA8SnpMkI%2FJsnJM2360Y%2Fam3W6kCuMYL0lmUYSzJr%2BKufVED1kEGFyCT%2BjjD9o%2F87wSl8fQlK9YdJgD3ZQqY8bYnKc6Or6iXY1tCm%2B9uui0h45iTRuIOqxpHEGbT12gtlXRyGCYBvytxwprvnRZcH6NHt%2FD7lUa4z3eSa7F2LYoJ68UIJOdLUCpTDnQ%2BvMo%2FLpwK0X11rLPwlt5YsBlVfG7Nd45FODI79Zf1A6NQoZLTWMVVtAPe7mR2o8qEqT09ulT%2BZj1vJQHfLEJPPKqYSzo%2B9JTJwXQgDkKpnP4xegdEUM7Rcqa0JRfI5Jn%2F44SgHIVbXtGtSkJ3SfLtFy70q%2FHRzU81iHD8OUVJCkLklmVLfOuvSCIY8%2BSji%2B6MVy0lqR59TphErCrkyIvPwLf5WssNrE3VfQNjau6HN3OdSxJ7Tz6ZYEtgGqb%2BGBdqyMudKDKDAj5SupEYAs5r7JpbBuf6IJq3B81%2BR4JhLGzFq7gRFDwU27BKhczBsHt5y2N9%2BXbS8hyIIzEecnX%2BZuvlZvlORBVqtEx0O5v1w8y522YsAVQmtK%2FkC7aso%2BxcCqiwu42zzlZqPHbpA4IKLecKJpcLEKBcK9u4p7JSEyPZ2qF7Yhj33d0u0sEMFrOM8ktn10pok47nszPag0yyUGt%2ByuTOYxCOqgZWWoa4pbJ03yUoy5mMDpqSBMSU9Hd%2FhQ9HyhPv7zoutf0K5RZXnOpIbT7TvFKwVYDHFnlpurCOh7NRTY%2FtfIIjzXTKpufRpvi0oBl%2FXZ9mZNabj%2B7qJkL1xHjX12mZPhwVWORRN2EQ7cbpsCIa12mEJIq7xNwfx8RTffiNzrveYcN8Lq5KBPNGzwUP9CTs2GOPDetNKaJBVI6gplmTuSqWIm%2B6pOxW436%2BXNRKiT%2FU6zUn6NgiguVzc%2B%2FMj6iyYY7cf4Yam9wr3yu1bTQIzsf6EUD1zCTAJuJMqefMKBeAcpUgUGA4XLaq8aQ1R2VukulX3HkIK%2BYCNMSl1ChYr514SPJnRYoj2zj5K7x3ihB%2F0LmPyfMahoPqUfpC%2B9sig2eIO2QSI8UlOTfWkNa4u8srt1t0XKHudXiTGP6vqMAAQ3XoBoBqmVWEank6uip0NsFnUOmhC%2BG%2F00yEsbeYciR0WCyrR2I2yJfvtusou66kuaen2L9z7BHMQL4cH%2FJVTZjlQdDuBbouAi3gCaZI4uQbaUk3W8VJjUWAUDEM4iBfL%2B94c83lwJVgX6qkBlpAzinQ91Mk%2FNVVWseRKwbcxIPq5Zc9aQ5Ce7xR3T3jrU3HuqGjE7p4T9kaVB2eaaFC3BX9Bw0h6FsfcQpGg%2F8DkP7lWjcd7NuvXuXkl9eVAQCozGq70dZrumq7JWv186RKoAuK9w69XsmrRROnFuQ4rvCLBl%2B5x1%2FlC0fmFX0xax9pHEPQiO9hkxcwY95xt8%2BQkAbnO%2FnOIn0YpRX6xExOZqHsAHvKxu6SHZ,20,8,0,1,0,#1107073421,Preto - Fosco,"60,62",Axxis,Axxis,Eagle,Integral,Simple,NA,ABS,Adultos,Unissex,NA
9, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,98,NA,827,1404,12x,8.24,NA,Envio para todo o país,NA,NA,4.4,2115,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1108201423-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=35910915051,1400,399,183,62,71,#1108201423,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,NA,NA,NA,NA
10, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,133,NA,897,43,12x,11.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,212,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-824544027-capacete-moto-feminino-fechado-ebf-varias-cores-e-tamanho-_JM,169,31,7,5,0,#824544027,Branco e rosa,58,EBF,New Spark,New Spark Borboleta,Integral,Simple,NA,ABS,Adultos,Unissex,NA
11, Capacete Moto Protork New Liberty Four Varias Cores Escolha ,57,NA,1644,571,10x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1586,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-871667175-capacete-moto-protork-new-liberty-four-varias-cores-escolha-_JM?searchVariation=27219629615,1050,338,144,32,23,#871667175,,"56,58,60",Pro Tork,New liberty,New Liberty Four,Integral,Simple,NA,ABS,Adultos,Unissex,NA
12, Capacete Sm Moto Automatico Marino Pro Tork Motoboy ,60,NA,2877,20984,12x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1562,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-939522798-capacete-sm-moto-automatico-marino-pro-tork-motoboy-_JM?searchVariation=25199373283,969,338,149,57,49,#939522798,"Preto-fosco,Amarelo,Azul,Branco,Branco Flor,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,sm 788,Sport Moto,Integral,NA,NA,ABS,NA,NA,NA
