search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
1173, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Prata ,129,NA,"
			
			
				
				28
				vendidos
			
		",(1790 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1075
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2115,https://perfil.mercadolivre.com.br/SPORTBAY+2?brandId=721,https://produto.mercadolivre.com.br/MLB-1060824696-capacete-moto-fechado-r8-viseira-fum-pro-tork-prata-_JM?searchVariation=25259666695,1403,397,183,62,69,#1060824696,"Prata,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,ABS,NA,NA,NA
1174, Capacete Masculino Moto G6 Jaws Pro Tork Evolution Fechado ,141,NA,"
			
			
				
				7
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1183
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PFSOLUCOESEIRELI?brandId=2047,https://produto.mercadolivre.com.br/MLB-1211592948-capacete-masculino-moto-g6-jaws-pro-tork-evolution-fechado-_JM?searchVariation=35312644360,NA,NA,NA,NA,NA,#1211592948,Amarelo-néon,"56,60",Pro Tork,NA,G6 Pro Jaws,Integral,Simple,EPS,ABS,Adultos,Unissex,NA
1175, Capacete Moto Mixs Mx2 Fokker Storm Fosco Lançamento ,60,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(300 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 573
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1580,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1139470500-capacete-moto-pro-tork-aberto-new-liberty-3-barato-_JM?searchVariation=37127523052,1169,277,100,15,19,#1139470500,Preto-fosco,"56,58,60",Pro Tork,New Liberty,New Liberty Three,Aberto,NA,NA,NA,NA,NA,NA
1176, Capacete Moto Pro Tork Aberto New Liberty 3 Barato ,60,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(894 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 573
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,43,https://perfil.mercadolivre.com.br/AD-STORE,https://produto.mercadolivre.com.br/MLB-1190291347-capacete-feminino-pro-tork-sport-moto-for-girls-_JM?searchVariation=33794758434,25,15,1,1,1,#1190291347,"Branco / Tam 58 (M),Branco / Tam 60 (G),Branco / Tam. 56 (P),Preto / Tam 58 (M),Preto / Tam 60 (G),Preto / Tam. 56 (P),Rosa / Tam 58 (M),Rosa / Tam 60 (G),Rosa / Tam. 56 (P)",NA,Pro Tork,NA,Sport Moto For Girls,Integral,NA,NA,NA,NA,NA,NA
1177, Capacete Feminino Pro Tork Sport Moto For Girls ,104,NA,"
			
				Novo
			
			
				
					 - 
				
				121
				vendidos
			
		",(31 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 994
		
		 sem juros
		
	

	
		",94,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,154,https://perfil.mercadolivre.com.br/MOTOLOPES.COM.BR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=i4%2BDJRzZSeKLYAwOF3t4mOILA8ks3%2BF6pb%2BvsmB%2BjPF0dLRMoT7%2F83n%2F39gG8AkhJuYR%2Bt32U67ZKMiEz6LvY8ARLJHS1ZJdcO2Zw0V4wiQiH2wzmNFKBVrpbkSELcm9PvZO6TiKfT1ED9aaFrhUlPNC7%2FeMzo2tj9YpDmec6OX9h3DIeA3FX2vW2Y63pL5Ss2mYJHB5X3QnHqjCIxEwG%2Fy%2Bh%2FaN8gTlP%2BbGBdCiRg5DSiMBRHJ%2B8WTpxnN5NiOgY1l8wBsoflaiMahEq02Vx5GUONd81%2F%2FdimUhVBPhO%2BNK6GFLa7OyoJKSDE%2FE1vn2uoRmUMLL9ZZfdy1hosFvoZZbd7RqlKay3FSGPK42j7LkfwqKWpDoEh5NRO6wfXW2nLUMp%2F%2Fhv0LqMzVc11SqGnVps6uJ7tCQ4Nz7I%2BSoOzG3goK%2BeSzeBoTtldIMwFPEtsyC34cLrrROncIoGYBQxCKSUUktxHfGACd0G50JLtQoSxgUWPC9tHs8pbTy3FkS8qwoWvhichLI5RVAYDwPje0jlfeZGHDcWBv623GnI9MG1ISV3TovMQ4O9Pj1M0%2BiWlUQ2UN%2Frrjt8zNfiOw%2BHumhefTiR4tiIvPmqVUe3J3m1PjQmOu21A3XFGcISnUdwNt2o3YWTcudj0hStb21l0fnxACT9fvjKG49yF0Na0d51csdsfwIQB9pF5YHe7sJVjltDBI3Jhj54X1LA19GpWscRdxG7i3vRL6gPEuJnlgaJBQulkgxXokhtGQ%2FLRzeUAZtF51NENWXDuWq%2B1QstMzTivHKM0W3LKnM%2FuvJ5eM1sPaPpuQQKpX2Yw652h84hdJQAe%2BU%2FtbL9llp8Q0DicJIgxlZsfUizLdDXMkB8Lpz2fx2hVBvshA08DhAyh9919MaEkEbUhHAaUHAxd9tFvdr%2B8ZFoUDGuteuR4hK%2B%2B9zEzvabNacqr76hzvFoeHJ%2FYtJhxuI05uFxAQdLOXMqAJAspvz3U81wsJ3tUJu%2FST9a2l09x3mH%2BCilQg7y9jb%2Fn2Q0hkJGagVcR63BaQqytNrK%2FjEIUeL6%2BSCxA%2BBMwn1oidO6%2FDDLjRiC%2BwrT5Qxc%2BdbMBdCvKFnYMzyQ6WMKNAsK8QTiQkwdYdc7gm0PSMZV3Iy1i7NhE6ntOtq6n9Fu3oMaHUQM3YGUj%2Fueidns0VxAIqd7xnF1HWXpUuMckf2ztvj5COgFpX3WyiIzxLWKIEfNS1RcuTDhnJS2%2FFnO2wjNFhRr4tlVLXN2fDZp6ojsKg1I55gJg2kSD2jFTzXq%2BGp5wWuNE9DM%2BZkWYPKgxitt%2FTNVT8z%2FHCIUTURu0WgaLv5EFXmH5nGvGLoZH%2Bg0ulcLZ0WQuM097K%2FUlY%2FcO6gCW8Z1HMG61zVV2ytquJlx2MNtlk8hxSzuAkppNSU04CkiAUws%2BJehcrDFw9AUXx5TStiXUQ1osNC5QVLRdvxEpnoglEQ33X25YdT0nS5durqi%2BOSkliRyR4tdyL%2FiW3WYROf3w2rPO96Mf9xrv2nh9BSL9Kx5hEW8rzN0zeVSa8LFLalq2GyU5bY8COOgdFv94EjUGJgQcumDFZG4yedeeLotKQ9ANozVrkXl2XZL6Jo0ubYZaolbIAT8VWTMu%2FfcrPNj26YkdPC4%2BZo4OtZct31SW3%2F68xX2ij8FABU%2FqMfRKiXnv7Bhindg%2BCcJq978FBiSBh19RdsCZYYpKrCWjG%2B55RTZsK2hWlN%2F3lgIQ0nDcSQQDpeqTH345OR14ahWXnVzr8IYJVeTqvjUimchmFFruIXICqUsDZ26ZHLf0wPhEK6gjwmp0FRJ96e2%2BuYENp64MH4qioHp%2B3pG0mAG%2FyHFsPN1RHQ%2FeM7pSrkVRaHTg2tcAJrHZPa41tTzewrUq81Y1bBciyMJWuqCJvgwpz4Zpd1Xf8IAfJXqZmZR%2Bj9M7I5TxsOIHDC%2FwkI%2Fg%3D%3D,117,19,12,3,2,#1182789928,"Grafite,Amarelo,Azul,Azul/Vermelho,Cinza-escuro,Grafite,Rosa,Verde,Vermelho","58,60",Mixs,NA,Fokker MX2,Integral,Simple,Poliestireno,ABS,Adultos,Unissex,NA
1178, Capacete Moto Custom New Atomic Vintage Preto Branco Protork ,210,NA,"
			
				Novo
			
			
				
					 - 
				
				11
				vendidos
			
		",(12 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2007
		
		 sem juros
		
	

	
		",07,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,83,https://perfil.mercadolivre.com.br/KMMOTOSHOP,https://produto.mercadolivre.com.br/MLB-759567528-capacete-moto-custom-new-atomic-vintage-preto-branco-protork-_JM?searchVariation=34818694118,62,14,6,1,0,#759567528,"56,58,60",,Pro Tork,Custom,New Atomic,Aberto,NA,NA,NA,NA,NA,NA
1179, Capacete Moto Pro Tork New Atomic Highway Dreams ,209,NA,"
			
				Novo
			
			
				
					 - 
				
				22
				vendidos
			
		",(128 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1749
		
		 sem juros
		
	

	
		",49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,229,https://perfil.mercadolivre.com.br/RACE+ACTION,https://produto.mercadolivre.com.br/MLB-693815851-capacete-moto-pro-tork-new-atomic-highway-dreams-_JM,177,43,7,2,0,#693815851,NA,NA,Pro Tork,Atomic,New Atomic,Aberto, , , , , ,NA
1180, Capacete Infantil Moto Pro Tork Liberty ,59,NA,"
			
			
				
				6
				vendidos
			
		",(916 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 590
		
		 sem juros
		
	

	
		",90,NA,Envio para todo o país,NA,NA,4.6,1048,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-778925810-capacete-infantil-moto-pro-tork-liberty-_JM?searchVariation=20282022079,756,199,63,12,18,#778925810,"Branco,Amarelo,Azul,Branco,Prateado,Preto,Rosa,Vermelho",54,Pro Tork,Capacetes,Liberty,Integral,NA,NA,ABS,NA,NA,NA
1181, Capacete Moto Norisk Ff302 Destroyer Fosco Viseira Solar ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				37
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1719
		
		 sem juros
		
	

	
		",19,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,35,https://perfil.mercadolivre.com.br/DRAGON+RACING,https://produto.mercadolivre.com.br/MLB-802802471-capacete-moto-feminino-ebf-super-motard-fada-preto-e-rosa-_JM?searchVariation=28049973422,26,7,1,1,0,#802802471,Preto - rosa,60,EBF,Super Motard,Fada,Cross,Simple,Resina termoplástica,ABS,Adultos,Feminino,1500 g
1182, Capacete Moto Feminino Ebf Super Motard Fada Preto E Rosa ,59,NA,"
			
			
				
				11
				vendidos
			
		",(902 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 590
		
		 sem juros
		
	

	
		",90,NA,Envio para todo o país,NA,NA,5.0,2,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-925700419-capacete-moto-infantil-liberty-kids-pro-tork-_JM?searchVariation=19920906353,NA,NA,NA,NA,NA,#925700419,"Azul,Amarelo,Azul,Branco,Prateado,Preto,Rosa,Vermelho",54,Pro Tork,Capacetes,Liberty Infantil,Aberto,NA,NA,ABS,NA,NA,NA
