search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Usos recomendados,Modelo alfanumérico,Peso
11,Casco Moto Integral Doble Visor Vega Rs1,2840,2990,174,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,23,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-770829978-casco-moto-integral-doble-visor-vega-rs1-_JM?searchVariation=32988912564,23,0,0,0,0,#770829978,HI-VIZ ORANGE SLINGER MATTE,"M,L",Vega,RS1,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Kit Casco Cross H5 Mx Road + Antiparra + Guantes Sti Motos,8540,8990,38,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,8,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=GlDXggvqs6qysYU0j5Yh7dm1zRr2cE5s5v13uKGzMKZ3PEF2GGyyxh9gf8Cg%2FAlRlHxNOfFsW4yHhnkQwbA1Ls1x1faulEnCirrzC%2FQF7gv3NP7dbHZSXLOTma2eIFi%2Bib3nMu14Ae1Oisy3LikPwF8o2JPfLu0M%2FCbqucONBcAFdBvpSkN7H3SbEHodnJ%2BGroUPVUGjMn%2BQhs8xZWtwL9uZZ4JJSOx6WkG5uMCcB0UH6WZZ83Ms5m7Vlr4VKl5liQwqpujRxMseNU47c8iHsyCvnH2gFkTFE7QgXoMOTGbu9wecLdRWQB9GqUVBSv3RCpmZoJwI19vkGihM6Zg1O0if8VulrCDykRcIGkNm%2FscdUbiDvWT1ZQQC58sndh%2BLvmYytde3pDkKzEMz2R5lHxC1HhYqzh5QET2dZBN7omk8obSup%2BcrgVWiRX44lDZF4u11Ye4cnc7siGyhkAPxwHGg97g3vUubnbYzE7x5ZlTRO3uvcMObJbjla5RuABOXGrjWKzP6wBYZ9R99DbiWyj9tXfhmf9Z3A8mFJRlXP0BXpoqg924Zet2dOfjj1LjSEDoEFyMJU%2B5UbzJYC2ThyEasBOSRM3Ccw1tGJCmZfZQOdaDDRJH1lX6PbiJOG6Xz6SLAAI%2BS2tGkIHyre5qzWnMFenfCGguxq3w69YeK07RW5%2FRvj9%2FykJWNeRfsLRJ7z%2FoZv9yQetagFXgyeqUdpHLrVSFHoMAIuLwMbRGSASMGCs9YazLuKyuA4TS7XqrwDR%2B8snzjTThmbCRw7Bnr4OrqctKGNE8ibBB8blauBjt7mLoKv2dz5rmWQu%2B3LIzKRW7SWMr2HBwR8N4Y2BUU0WZ%2BTkVhZe%2BkiWNjwl%2BDeYWfSPmlfLhQMWaF67ZScGtsRg09%2F2iKe2eiVRL0KtZpCJJZyc1faPoBtaB%2FwQCAMU0OGZReOn%2FOTmxMq3Zk0Wka1WEgpSeU4NmtRi%2FafyHi6mO1JuIr3q0xGowr8VA3YLHWIQ4Zh48EnTw0GKcD8%2B0VAf2WlH3JtwyMQhkLsJJ10vIUmni9%2BhmIBW%2BOjBTYBr9%2BXaXalLFxDX1%2BYd8ZTX9abWizZTGw5%2BtEbv0t3czbBfyfGGaqHPi9XD9NaiMU0ZneDRcrd9AO2ZPGbEtovlhI74AMmUg%2Bw83Voec7DAuE03RIbV2buYrvqh%2BRBaVsQpL3Ozgpv324I0OBKHHFVFwWhUYy3JBoMKdTVQF2tsQ22hrw8IacrdqoSUzfm3HTkC8YdvyC1pb5Pkxi%2FtkoOnkworNluXCCwB%2FQzj4A3%2F1iV0UvVPE8%2BjX2NAbUn%2FTBB%2Bl6OHLXiP2nJqUj4RLrCf77NfQw9D%2B%2BWA5Q%2FRvtsPDvE1Z2s%2BPBUdKbHOqjSDRSIPp4bxAzkybaoZyzq%2FKg7t92QRWXUxsf0HqCcL7eLOip4ZW3DxHp1fLhZfkOpXGkW8rqSSLZBPW1vXag%2FmadYpbpBkAh2vo%2BVO8sqK0%2FseT7h1Lwk6FaAnB6w2aBRnLwtAAfBAbyWecuYt6EpFSa7BVs77XJlu7cf4rkSDIILXjE4aUoetxR2%2BcuB5TBerDibg7QMlaPvBnXpRn6P%2B5%2BbNnMUOvfad%2BAp7J3uFVuI8T4OmFoFPsET%2BuhA0GW6Vcirp%2BbqdE6xSs%2BOtz0VJWqnBlS8IAmN5qfdyOeUXhzWoVBMJecMCpvkvtv2KaOZs248CEaui%2FH2yzUxgX1aoUH3ZMnZxtnkYYmOI%2FN2plaxfMRDEO6ezzvN8nSrGuy1sj7tInlMhTmB5VM5O0l1FGgB5HWOf3fW%2FC8njOiezi6FkCOVumzR5JgebYZy3802D5yfUF44H8%2FcLZqupZK%2BmgZ,5,2,0,0,0,#762416184,NA,"S,M,L,XL,XXL",O'Neal,Comb,Cross,NA,NA,NA,NA,NA,Sierra II,NA,NA,NA
13,Casco Moto Abierto Vertigo Vintage Maya. Full. En Gravedadx,2150,3225,658,3737,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,101,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-745949532-kit-casco-cross-h5-mx-road-antiparra-guantes-sti-motos-_JM?searchVariation=32278932606,64,21,14,1,1,#745949532,NA,"S,M,L,XL",Halcon,MXROAD,Cross,NA,NA,Polipropileno,Adultos,Unisex,Cross,NA,NA,NA
14,Cascos Cross Oneal Sierra 2.0 Mx Enduro Atv,2132,NA,773,43,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,105,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-full-en-gravedadx-_JM?searchVariation=17140773994,70,28,2,2,3,#674080413,"Beige,Celeste,Negro","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,Vintage Maya,Abierto,Simple,Micro Fibra,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA
15,Casco Punto Extremo Xr650 Rebatible Doble Visor Negro,4590,NA,119,21,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,133,https://perfil.mercadolibre.com.ar/MARELLI+SPORTS%21,https://articulo.mercadolibre.com.ar/MLA-684785717-casco-punto-extremo-xr650-rebatible-doble-visor-negro-_JM?searchVariation=29203451786,91,36,5,0,1,#684785717,Negro mate,"S 55-56 cm,XL 61-62 cm,L 59-60 cm,M 57-58 cm",Punto Extremo,XR650,Rebatible,Doble,Goma Espuma forrada,Policarbonato,Adultos,Unisex,XR650,NA,NA,NA
16,Casco Integral Hawk Rs1 2019 Sti Motos Envios Full,1999,2999,501,3,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,309,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-636093454-casco-integral-hawk-rs1-2019-sti-motos-envios-full-_JM?searchVariation=25890123643,208,64,32,4,1,#636093454,Negro mate,"S,L,XL",Hawk,RS1,Integral,Simple,NA,ABS PREMIUM,Adultos,Unisex,Integral,Urbana,RS1,NA
17,Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos,3499,4898,141,26,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,218,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572,153,46,12,3,3,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,L,XL,XXL",Shiro,MOTEGI,Integral,Simple,NA,ABS,Adultos,Unisex,urbano,NA,821,1390 g
18,Casco Moto Hawk Rs1 F Integral Naranja Tienda Oficial Full,2735,NA,149,134,6 cuotas sin interés,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,7,https://perfil.mercadolibre.com.ar/LETT+STORE,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=F01hGzZqcQSfhccwZAg9707Aut4%2BGA59lNoI%2FyX9DsOfABu0pvVe3QCzdROWm7zRkYGLzyCBF4Mm1s3xJGQwv39aTmQW6KW4daNxC7lS695Ro7FPbpEOEG0%2BE4OCZn%2BeMpFFKtOL0n27FcOJ5GSyCOMHF22HKToMmGGSVUiS0g0HHOvjNEr1ecsEtkT0wZhYai%2FjK0hFRQApEYBbU7CKINf8ju33H9b8TJqB2%2F09TfxXX%2B2CfGwjCTZgaPDxxNsZYhDlKC%2FYXPuzV1%2BGMrgt57WN32WoU9P6q0gnVClUGHFL2f9MgxfL7Ycn1v5%2FIHRV1Alpt9FS3CLbEoJxp%2FN6f0C6DCrKEvap7alW2%2BF2QtM5TtdGcD5CbFg%2BalN40QcHM2GwjAU8r5taI%2BcaBwKwqFqoL0UDTAJuYtCoY5n8n3G7O6MeNjddHjM8hPswSt1eUr4rt3xfUTJLkEuVt%2BUlPPBaLq2BQXqtQBpX82ZdG477rop96n9a9po3lVZOXV0cNumaXJ9%2BooCSrXhaTzT668uw9n4pZiINog%2BdbHlIY7F%2F9CZ9%2Bbr9iwM%2BIBsst96ra1L2CgHRps3qLONMQ%2F927bTn6JNlAveLKZfg%2F5O81xhstwDfvJueYJujxmuPW2cLvtA5vOHYivD4K08q3KsMhoLdYm4tzTytQTevc5KZnVMVLEB6u9bKb%2Buv6iZ3Le5JqMEkkpStCd%2BMIRx5ZNKsAlGuoaq0AvE9AIhY1okCcuXRrpMcTXEHiAXUo%2BO4loMnGHfgnsUuOszEA%2BX6cw6LetkHJIJRXfRnXkrKhy13p%2F%2FfXbnFJO8et%2FvFMf%2FnSWYQYPiuRTlEEgLm9jGl0GIInsQjEKiH%2FxMUm1risOTmNovegcY18I%2FPvm9GaHqg5YCmBR0FqpCqejIHl7%2FsgOA%2FB9ja6%2Fmr8mGX34HedDSzOu%2FclIfR0LQ%2BTODdskoxIA4kB3vus%2B3cMEaRbOamrw41MY0mRZ3w%2BUL1NimS9GvLFqjz7zXpEv9GF9I8so8UVHpX9RA4mc6zblg0ALukuv%2BIokSerU%2FUO%2FrvJYIDTqhs81pCcNTl%2B4aomblhBmgqNVlhgB1s3Sou0VgyfQNpI3f95SVVDmbeteU%2F12wU16BHchuqtKduam7aUrJAAJhqiWUPsFvwrm8qfaajUMZRdhg3sLzdaVCHwTaaLFM2ewld0wiSrxShBmSG3VwhsXW%2BCHA90u0iNTymEHMh2ZMxIS6hsnXGGechth5b7pVApSdJlpBb7tWaApSH2YdEaeJVScJ7ETnfIAT%2BEHY7QLr6Tp6tPHbzzda9zCchOrMWv%2BkRoSHuzkcp6yxH3bxTxJILTG2VNvpPUxzwLQ7ZN%2FG9MEqL2owthJPqpV0xwfU4vDbtMuKQEBZNGXRNPMCdIW1JSwn1UoPhGLkvxc0yCnoq9ypLvDW%2B5yznw97N7SLBa0Ylqii%2Bdzqa1sPuAEzUdc7g3iyPR07uNzHMw6ptCpTCciolSWWyIKW3cNj8QCgOBJoe1kwEu4rccSqGv7AsR6s9gGTDRGz3%2B%2ByGc7XCQB9piOXG4hu2GP88OjWSY2GKhaVFeppd0u3qVMkWrCbq1ebMsWxwiXVa2fcYlVrAbumvyTJTcSmqQSs5c6lERN3PHDN6LJ0ruR%2BmmVFds70JGY76ZLINGgaG3oxtjdCSQini747v0iU9jD8Y5bSRnJiBbRMr5dfCZqvDY3QJtILb5PX5tOIdJd9JwV8eyh1hznPLs5Ah80vRSTtni8RNYQhhaW540jSMh1FzTY8t%2BRyQIoPbN8Fx5r4Y05U%2BNVkILjPgLdIe6mPjh7CHrmKjbAppRLJLkB5yR5PHdVXl1tQoMY3PAmdp,6,1,0,0,0,#751765547,Negro,"S,M,L,XL",Hawk,DR46,Rebatible,Simple,Cuero sintético,ABS,Adultos,Unisex,HTL,NA,NA,NA
19,Casco Moto Abierto Vertigo V10. Full. En Gravedadx,1990,NA,115,21,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,309,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-786125556-casco-moto-hawk-rs1-f-integral-naranja-tienda-oficial-full-_JM?searchVariation=36950360890,208,64,32,4,1,#786125556,NA FLUO,"S,M,L,XL",Hawk,RS1F,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
20,Casco Moto Hawk Htl Dr46 Rebatible Lett Store,891,NA,939,31,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,48,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-679809834-casco-moto-abierto-vertigo-v10-full-en-gravedadx-_JM?searchVariation=17182066327,30,12,5,1,0,#679809834,Negro,"L (60 cm),XXS (52 cm),XS (54 cm),S (56 cm),M - 58 cm",Vértigo,Basic,Abierto,NA,Set Poliester,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA
21,Casco Moto Integral Hawk Rs1 2019 Negro O Blanco - Sti Motos,1999,2999,562,142,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,309,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-642846851-casco-moto-integral-hawk-rs1-2019-negro-o-blanco-sti-motos-_JM?searchVariation=26383822678,208,64,32,4,1,#642846851,Negro,"S,M,L,XL",Hawk,RS1,Integral,Simple,Resina termoplástica,ABS PREMIUM,Adultos,Unisex,Integral,Urbana,RS1,NA
22,Cascos Moto Integral Ls2 352 Brilliant Negro Mate,3890,4490,111,2,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,8,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-662533166-cascos-moto-integral-ls2-352-brilliant-negro-mate-_JM?searchVariation=15407937168,5,2,0,0,0,#662533166,Negro,XXL,LS2,FF 352 Rookie Brilliant,Integral,Simple,Poliestireno,HPTT,Adultos,Unisex,Integral,NA,FF352,NA
23,Casco Motocross Enduro Just1 Edicion Limitada Chupacabra,4999,NA,162,9,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,33,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,https://articulo.mercadolibre.com.ar/MLA-683981943-casco-motocross-enduro-just1-edicion-limitada-chupacabra-_JM?searchVariation=20998787194,30,3,0,0,0,#683981943,"M,L",NA,Just1,CHUPACABRA,Cross,NA,Termoplástico inyectado,ABS,NA,NA,J32,Carrera,NA,NA
24,Casco Motos Integral Halcon H57 Modelo 2019 - Sti Motos Full,1104,1656,501,67,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,290,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-617071459-casco-motos-integral-halcon-h57-modelo-2019-sti-motos-full-_JM?searchVariation=35322465044,179,66,32,11,2,#617071459,Blanco,"S,M,L,XL",Halcon,H57,Integral,Simple,NA,Polipropileno,Adultos,Unisex,Integral,NA,H57,NA
25,Casco Motocross Oneal 2 Series Rl 2019 Mx Enduro Atv,6640,6990,73,3,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,12,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-762056680-casco-motocross-oneal-2-series-rl-2019-mx-enduro-atv-_JM?searchVariation=31027522270,11,0,0,0,0,#762056680,"SLICK BLACK - Azul,SLICK BLACK - Blue,SLICK BLACK - Gray,SLICK BLACK - Orange,SLICK NEON YELLOW - Black","S,M,L,XXL",O'Neal,Slick,Cross,NA,NA,NA,NA,NA,2 Series 2019,NA,NA,NA
26,Casco Rebatible Okinoi 10 Doble Visor + Guantes+ Mascara Fas,2999,4198,2867,8,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,547,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-652740513-casco-rebatible-okinoi-10-doble-visor-guantes-mascara-fas-_JM?searchVariation=39630576068,343,137,48,10,8,#652740513,"Azul,Negro,Negro brillo,Negro mate,Rojo,Rosa claro","S,M,L,XL",Okinoi,Okinoi 10,Rebatible,Doble,NA,ABS,Adultos,Unisex,Integral,NA,NA,NA
27,Casco Integral Ls2 Single Mono Ff352 Negro M Full Fas Motos,3890,5446,334,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,220,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-699693354-casco-integral-ls2-single-mono-ff352-negro-m-full-fas-motos-_JM?searchVariation=33419424213,155,58,6,0,1,#699693354,Negro - Mate,"L,XL,XXL",LS2,Single Mono,Integral,Simple,NA,NA,Adultos,Masculino,Integral,Road,FF352,1300 g
