search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Usos recomendados,Modelo alfanumérico,Peso
1,Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full,1773,NA,297,13,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,309,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668371,208,64,32,4,1,#777255941,Negro mate,NA,Hawk,RS1,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
2,Casco Moto Hawk Zx7 Mx Cross Negro Mate Tienda Oficial Full,5995,6595,NA,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-negro-mate-tienda-oficial-full-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,NA,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
3,Casco Moto Integral Vertigo Max. Full. En Gravedadx,799,949,715,129,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,45,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-full-en-gravedadx-_JM?searchVariation=35477314606,32,9,4,0,0,#683109534,Negro,"L (60 cm),S (56 cm),M - 58 cm,XL (62 cm)",Vértigo,Vertigo Max,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
4,Casco Moto Integral Vertigo Dominium. Full. En Gravedadx,2399,2699,805,58,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,206,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-full-en-gravedadx-_JM?searchVariation=32109894632,128,53,18,3,4,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),M - 58 cm,S (56 cm)",Vértigo,DOMINIUM,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
5,Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais,2736,NA,974,13,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,889,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,https://articulo.mercadolibre.com.ar/MLA-639034451-casco-rebatible-hawk-rs5-flipup-negro-envios-gratis-al-pais-_JM?searchVariation=27160362786,565,235,56,17,16,#639034451,Negro - Brillo,"S 56cm,L 60cm,M - 58 cm,XL 62cm",Hawk,RS5,Rebatible,Simple,NA,Acrilico,Adultos,Unisex,Rs5 Rebatible,Urbana,NA,NA
6,Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos,6640,6990,73,16,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,12,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QtAHWB8m9m4%2Fs9apGeNaiXINukBPVdkrxNcwMoOo%2BKzOHe5D9%2BIvlvUhUUVCdcOzlTG7W7N9Jr99PGh9nUTlBNnT8LdKePTT%2FDg3oGcgJQ48%2FFuQ4Oepo03CU6JymcL2RXqyLGcYkD9Vu%2BFJ4qjTetYNASQJ10wqiwz23fTshu9FSPVbzVi5Gf%2FY%2B12%2FstEcA5lqyN%2BnqxUNBPrQAfk%2BwY1OozkTuDck0YoDRCyc93GMULzjEsvAJpAdevCnk5BeAd7kXzKQGLXaBkA7fJ%2BZiKTH%2Be8nmo3EWKZ2wGfpHfC%2F3vSXrN5GkwZMX9FTx6R8GaJiJJiSM4cUfL2H4ZdLWc92e7%2B74%2Bmlg0pAoLmUL0kMesMx9GA0xTGjzptkRjXJJfprCseZf3ztfiOMeGBIhiGPCvUvRZiDiy4BXxty5P9aS%2FZBupJVMLCAn1d%2FS18EBldjgtoOswVQ5X7E%2FzySVsdrrjxWU4%2FZOcaqH0E12HHF0N0%2B7cnBR7L670AWqfsP9URqQu0LGAc8R8Ee5jOMF5%2B%2BFMcicAR3RaOXKlkZ01X0aMjDQ5IiKrDUK7ivGhAce4YUuwHvsuoEr9oPGQNf6G%2B7HTeF4u8YiHHa79Ro3rkLR0qPxxqgQWxcioJCk0vFxz1r2Qy2PO6V%2FNUUFxJ2em7AEBBdNLy7UnDGDxvKCYqBIwtnoq3GCFBlJ7Ycj1bAmQbKAFTql%2FlBo4MF73rYrmWtQzcZtso2adUF6RHzpqCHalfuGpcPUEpB1DINU%2FYw5jgE0u1AHFhgeA%2B49HaX6D8bhvJakNCQ3wSgkk6Q8zaq4oDVnsJhuWTtiDCQYYaw7kQRl3wM2tyVcDs0qQnLckERUaSqn7E3eaxLdolPmk7pG9YenHVn6tiknMxcJgJQbhpgNf1efDlhSRcw3pVRPUNvKu7Nv1DXmEWcqTmxJ87IvPSEsp6XfMFua%2FjY2R5eebgYHVg4CyaAdlyS2AKBmJkPhTZUEaNGD1YCpu4hV5fPsUJUFwaOsA5%2F2wrUpSQ3Bz1ZhUgJLDk92Tad90zlqMq56wGDjoT%2F2hUElccOdIpND7aalUpeSECt4LO%2F31GyVVkY2wtNQstVn5qxEpSmU%2BQu4vPcJHn8XQLxJCRFqnZL2w8fHyMhqxPsTl4I3VSA3rkZ1zAId0EIiVmni21HiLJYRa0djWEpRpfhz37l4hKErzhJJIspKtsr4uVbPmWHE6hDfSVKvNYBlNd0t%2FaDyhY%2B3WI5pyDH9odFuo2BOmaO9QLTncIDI3O4sGTiGPnZwW46n5LXHpkdWtuhVWZRDahlwsPcd0ljvY6pS9TxTENqY1kQYuVCJByEEawLvRq5JnsbMap%2FZHYQe%2BKmEndq7c9oY8Z0iroxCpmG1CSiuCpxd%2F%2FRBge6kD3ZOmJhGQ6X1S71On%2BfN1I4GnrWSEuEjPrtBqrgKCJvL%2F9x7CWLZRYIiJbe8Knsm2Rm%2FniRbTjRD91MogWhTyg3po1XdStQX0nAgHWjcWzrB24bf0w98ZYWGxki1BXCjGAxsmdVYL0VLTIHI17KEPqcgyMEoZVFEZayboVDPJh8Zmqdi3v9m8uDinVWMJ32%2B74csIsx4rZOAYpZd4Qinn64nRn3JZ1UD6Th%2BZQx%2FCtE%2BxFJNcBbY84uzmxg4KLJR%2FmvRWGnWtZcc17FPBlL1IKO%2Fn6o2cPDrS0RlPI0H4BJNsFNpCOwGfO%2Bl2uj5YpepJOrXlLHvq2gS%2BuU5EwvmwbBZKGg%2B6ydWRAvT2fbLJXpi5fQ%2BlXqlXeanC3LCoB9ND%2Fif9C4H7Lq9ztI7KLao%2BT3Neh%2Bc9Ue8JoOYBxTJj7yiOOGqEWsZU5eV5NKH5oGX3s9WJVLTXVCqK634Otg,11,0,0,0,0,#762056680,"SLICK BLACK - Azul,SLICK BLACK - Blue,SLICK BLACK - Gray,SLICK BLACK - Orange,SLICK NEON YELLOW - Black","S,M,L,XXL",O'Neal,Slick,Cross,NA,NA,NA,NA,NA,2 Series 2019,NA,NA,NA
7,Casco Moto Integral Vertigo Hk7 Mate. Full. En Gravedadx,1405,1967,665,1369,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,290,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-744827612-casco-motos-integral-halcon-h57-cuello-guantes-fas-motos-_JM?searchVariation=26854120381,179,66,32,11,2,#744827612,Negro,"S,M,L,XL",Halcon,H57,Integral,Doble,Resina termoplástica,Polipropileno,Adultos,Unisex,Integral,NA,NA,NA
8,Casco Motocross Oneal 2 Series Rl 2019 Mx Enduro Atv,2754,NA,1390,24,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,206,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-full-en-gravedadx-_JM?searchVariation=25749397874,128,53,18,3,4,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XS (54 cm),XL (62 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,HK7,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
9,Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Motos,1405,2108,2255,18536,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,290,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-motos-_JM?searchVariation=27050402200,179,66,32,11,2,#616668706,NA,"S,M,L,XL",Halcon,H57,Integral,Simple,NA,Policarbonato,Adultos,Unisex,Integral,NA,H57,NA
10,Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles,2930,3999,330,119,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,889,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=41084926794,565,235,56,17,16,#755651553,NA,"S,M,L,XL",Hawk,RS5,Rebatible,Doble,Cuero sintético,ABS,Adultos,Unisex,Rebatible,Urbana,RS5,NA
