search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo
1623, Scorpion Exo-r420 integral Sólido Street  casco De Moto Bla ,251.99,NA,0,3,12,20.999,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470765893-scorpion-exo-r420integral-solido-streetcasco-de-moto-bla-_JM,NA,NA,NA,NA,NA,#470765893,NA,NA,Scorpion,EXO-R420,Solid,NA,NA,NA,Integral
1624," Joe Rocket R1000 x Lithium Full-face Casco De Motocicleta, M ",261.99,NA,0,3,12,21.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470768605-joe-rocket-r1000x-lithium-full-face-casco-de-motocicleta-m-_JM,NA,NA,NA,NA,NA,#470768605,NA,NA,Joe Rocket,R1000X,Lithium,NA,NA,NA,Abierto
1625, Cascos Enduro/cross Ybk Fullpower Moto ,34.29,NA,1,5,12,2.858,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FULLPOWER+MOTO,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=JNZk6yZtJp%2BRP3rEE7e8tNsvN6tRRUdfJviqTe4GQsqTqx99GB%2BgXOa%2FX7dRivGQCyZr0zBqmdJIb0CRvzvlIHXOyczXZ36vo135JoAT2l6o6JyZcMtZ626W519q0%2BpD72ISp8EksxcqC6uDrmmV7kxxg3SOeu2%2BDkmNpFaLh8NoBbFhtEXGGBgeh3rYkoT0PlVOxiVUyOcBUgmTo5y8i%2BM75PMEDUGThK1jhlQLC3Wt4f54aeWC5XfP8sK9NnlC3YxR3MjMc2J%2FZFXbWJQbinzUPb3Z3tuK7QFGWGUUQW899TK752n%2FaC5%2FDx7HAEdnKyuBHaoD59XafazeVOAAaq%2FjyVhgjKeDIk07M5rpUzK6YOv%2FbdGYl2eAr7llmABZLqpB%2FK73THaowSf%2B8Fi3dRl7fVM1zToSLxfco%2BluRe7xJw5NmkytDbN8%2BL2kL%2BPa6vjGvYU97vcCjyNMdKagnwGcdVLXXMVZTMCRRk0LyEWh40tLTvFZ%2FWJc1CWNUov9mEO33VzweRNUy5vA6RHw6q1MFlM3toihUhpk2dmsns0QqJe%2FcOWxHAObq0%2B2ODdX9FG9Li2tqmSXgckleqFEEwga70PbgL1kN71xKtD7ZGpW11RypbsImrtb0NeW26I8tCKHjhC5PhOjzWeCiccTK23wCuu8ZJx%2FqzLbJuo9OLhMNDsfVwR1Z3B3D4wW2cy8xNaQRWbm0zYYCQsHQnYtoNDwcfO0Al%2FuRMyX2p%2BVyav%2B8pBnEAN8%2BJezN29udnQAn4FtZNIc33XQENF3Mu9eqjlsnIRG2roLZYOywSoU4pRzg8NzDrDJdBxcWKEXKYXP3BtT8qNP3ui4Cp1z9TLJmULLWv5nicfGju0AnL4pqv40y3Xfe1Z8WHhzWnUJjMS5scFHq4zHJ7hZp2qOZA79tGt%2B4oocs47UIfeDQStrOIL7827vZCDX1E6JquT4IU6xl7ebI8ls22m%2BSSIaBqIMNju3CYQQfRwl8WgZrDOfOu7iA7Xq9gEixPA9ydmu5OeXcFhvk6sle%2BkLrAQHbOHr4JDTP1%2BKLfejvfVDQ3RpidzoJqBSVGpKlI4wM9%2FZ6y7EDqWtekEWfFD70MRSxihqwK7A4TrRJ4thDAEaKlVysnmiAPyg86tLjK3bNLR8cz04yqoO1JLZbECKupeWFVg95QEQXTIBtPoAHDmOR%2FgbJk7k94pa3aJcp7nC%2FgxF1h%2BcoAQTrPyUzrlazdIMvJ82NnFrbqC4%2FYzHeuAgJb0nRmm4BVkW8hfP2eTGEClt4%2FsAruONzSoY%2Bg8DsStAVHd71XwsCAYhSgLAf%2F8%2FXL5m9L6kRZnht65qE2kSf2RAi9pgtmXnTUUBMOovFea4mRNtHNG2XKxtn5fGXh3nipujs15tjcsfe%2Fq6iI8qCy0NQQ0QxihAL7qu73SpVR0XT8bO3zYucSzKNLM%2FDm3wroHmT1PYYH9KobUa9YvOpfpGu1BdoemCYNESPTfFRVkICJjubLqFlNJt3lOHpono9rKmWFiSob%2B0oBo93kWLyheNPFfgz2laUoEjUTbVjI9kb6TyFev48PI%2F5yfkjc3e%2FC8vS9zG0w3q21eo0vh2Td9LrprZKdNzauG1zYRsB6iLtw4%2B74Ok%2FmNCly2O62mMP%2F1Y7%2F7cyF34A0J4fucREQ4sP7RgVnkxoedhZKMCotCviKkjDToh3FahDhoqfyV1hzFH7a6QS%2B1zO8EODMn6o80ijAXlngHPHNmXunVuizC5QXYSlKpanUYlpQs%2FrgXpxUIxfC1hj25wLAw2yU6tPnjqCQ%3D%3D,NA,NA,NA,NA,NA,#460297983,Negro/Rojo,L,YBK,NA,Monster,Cross,NA,NA,NA
1626, Hjc Ingesta De Los Hombres Is-17 street  casco De Moto Mc-3 ,195.99,NA,0,3,12,16.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470769379-hjc-ingesta-de-los-hombres-is-17streetcasco-de-moto-mc-3-_JM,NA,NA,NA,NA,NA,#470769379,NA,NA,HJC,IS-17,NA,Integral,NA,4.85 lb,NA
1627," Arai Corsair-x Ghost Red Casco De Moto, Med, Rojo Up Shop ",1302.99,NA,0,3,12,108.582,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470780020-arai-corsair-x-ghost-red-casco-de-moto-med-rojo-up-shop-_JM,NA,NA,NA,NA,NA,#470780020,NA,NA,Arai,NA,Corsair-X,NA,NA,NA,Abierto
1628," Fox Racing Race Para Hombre V1 motox Casco De Moto, Color Ne ",248.99,NA,0,3,12,20.749,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-470842935-fox-racing-race-para-hombre-v1motox-casco-de-moto-color-ne-_JM,NA,NA,NA,NA,NA,#470842935,NA,NA,Fox Racing,V1,Race,NA,NA,5.45 lb,Abierto
1629, Casco De Motocicleta 2017 Shift White Label Tarmac Helmet-wh ,135.82,NA,0,99,6,22.637,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239344-casco-de-motocicleta-2017-shift-white-label-tarmac-helmet-wh-_JM,NA,NA,NA,NA,NA,#478239344,NA,NA,Shift,NA,White Label,NA,NA,NA,NA
1630, Casco De Motocicleta 2018 Shift White Label Helmet-matte Yel ,136.077,NA,0,99,6,22.680,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239362-casco-de-motocicleta-2018-shift-white-label-helmet-matte-yel-_JM,NA,NA,NA,NA,NA,#478239362,NA,NA,Shift,NA,White Label,NA,NA,NA,NA
1631, Casco De Motocicleta Agv 0301o0f000410 Unisex-adult Full-fac ,398.887,NA,0,99,6,66.481,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239563-casco-de-motocicleta-agv-0301o0f000410-unisex-adult-full-fac-_JM,NA,NA,NA,NA,NA,#478239563,NA,NA,AGV,NA,NA,NA,NA,NA,NA
1632, Casco De Motocicleta Agv Unisex-adult Full Face K-1 Mug15 H ,380.869,NA,0,99,6,63.478,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239640-casco-de-motocicleta-agv-unisex-adult-full-face-k-1-mug15-h-_JM,NA,NA,NA,NA,NA,#478239640,NA,NA,AGV,K-1,K-1,NA,NA,NA,NA
