search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo,Color
430, Casco Moto Jiekai Abierto Cara Carreras Equitación Vendimia ,29.962,NA,0,200,12,2.497,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPRALEGRECL,https://articulo.mercadolibre.cl/MLC-484701427-casco-moto-jiekai-abierto-cara-carreras-equitacion-vendimia-_JM,NA,NA,NA,NA,NA,#484701427,NA,NA,Jiekai,NA,others,NA,NA,NA,Abierto,NA
431, Casco Moto Ls2 Ff352 Gold Negro Gris Amarillo ,52.99,NA,NA,25,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-480406855-casco-moto-ls2-ff352-gold-negro-gris-amarillo-_JM,NA,NA,NA,NA,NA,#480406855,Negro/Gris/Amarillo,"S,M,L,XL,XXL",LS2,NA,FF352 Gold,Integral,Unisex,1350 g,NA,NA
432, Casco Moto Abatible Certificado Helmet Hd Casco De Moto ,37.99,NA,1,99999,12,3.166,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-478604686-casco-moto-abatible-certificado-helmet-hd-casco-de-moto-_JM,NA,NA,NA,NA,NA,#478604686,Blanco,"m, l, xl",helmets,NA,HD,Rebatible,NA,NA,NA,NA
433, Casco Moto Ls2 Ff352 Touring Negro Gris Rojo Matte ,52.99,NA,2,46,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-481811099-casco-moto-ls2-ff352-touring-negro-gris-rojo-matte-_JM,NA,NA,NA,NA,NA,#481811099,Rojo,"S,M,L,XL,XXL",LS2,NA,FF352 ROOKIE,Integral,Unisex,1350 g,NA,NA
434," Casco De Moto Vega Vintage Para Hombres Y Mujeres, Diseño De ",102.24,NA,0,100,6,17.040,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-483847660-casco-de-moto-vega-vintage-para-hombres-y-mujeres-diseno-de-_JM,NA,NA,NA,NA,NA,#483847660,NA,NA,Vega,NA,NA,NA,NA,1.45 kg,Integral,NA
435, Casco Oficial De Policía Para Motocicleta Con Visor Ahumado ,329.99,NA,0,3,12,27.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-465880210-casco-oficial-de-policia-para-motocicleta-con-visor-ahumado-_JM,NA,NA,NA,NA,NA,#465880210,NA,NA,NA,NA,NA,NA,NA,NA,Abierto,NA
436, Casco Moto Abatible Ghb 160 Blanco ,45.99,NA,1,20,12,3.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME+STORE,https://articulo.mercadolibre.cl/MLC-468104886-casco-moto-abatible-ghb-160-blanco-_JM,NA,NA,NA,NA,NA,#468104886,"S,M,L,XL",,GHB,NA,160,Rebatible,Unisex,1400 g,NA,NA
437, Casco Moto Givi X01 Fluor Total ,167.9,NA,0,7,6,27.983,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/REPSUD,https://articulo.mercadolibre.cl/MLC-450020264-casco-moto-givi-x01-fluor-total-_JM?searchVariation=29186876337,NA,NA,NA,NA,NA,#450020264,Flúor,"M,L,XL",GIVI,X.01,X.01,Integral,NA,NA,NA,NA
438, Casco De Moto Polarizado Abierto Tipo Aviador Piloto Jet ,49.99,NA,47,3,12,4.166,NA,Envío gratis a todo el país,NA,NA,4.5,4,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=5gvbVm9lv%2B0jfzZQUbzp40ZoPlU%2BXe1v%2F8ARkkPeXIXOlZMZZt4o8UHWd%2BpsU8BlM%2B7UCXM311BAoUeAIYwD5fBsRQYuhqV3lYfw5GVaYPYnHnNNyX6gniqa6A%2BqkkH1gg7Nsk9tlTtKO2nFG1lUSV%2FUVzc1bSd6P4POmUnWgqWCwGaEAOj8lE56TbIiKJ6VUb%2BSB1nH6ntZsXa5oeE7ZtRh0OD2%2BuTBGRWKn72z60aqG5tCIncVkzmr47BKecqrozdj8zOuQ%2FiNXB7W026DneRqquyHQPmuKIq7ywTCZDxE1SjvWyrMyTVIre%2FBysWy6PgMQxJ1%2BeYWRFArcs1HwMIw9zDJ6RAPv6aXRXd%2F6BO3hurP3VZ3Oq9GkZVbSkdN6J0QTUeqGhQHmdY4f2D0DOaU03MpepCbTvhETesHSUAcFNgmERTsVEuiZKPKvAcHlpCtFdG2i0WpOQzLB%2FOrwqNXeZPgZ7GBibPLU5H6gbszvuAl6imVADeVV8dEpyWdEIyLoaykClBnIF5eElKxVndnYRJu8PRFTXQrAmQgflOmlk05JpWNJlWGRXy%2BBY678s%2FKfiO43OhVxrop%2BCOPhTEXR3sWNv%2Fah8LGqzvnrUbvGYFdfTrvIndtkUjikUkCZmhOT8HqG%2FighfThkEEpPLzf14fjHO13gxHP3tTfZnOwm1qR4AoTVuQdOn9BcEOBymzwhE7msFx3dmNa3dtzGVB92M6PoWUZdRCXpiX7Xuvt3hApgId5wY87RjM%2Bt5nR%2FIg8yRz%2Fta4GppBWfJxY1si41vOWTav7GqiHeFVHVwrqX%2FGsAOIYRKORJUfTmdAuJXl%2BBpn0osNuMECSg%2FFpySe5HhbqamgwHDqOsiCFODJOWVOw4WkbUWPp3goMtpueG89A5eK%2FnMG7jW9UIKJVmF%2FNzInsCsfmHlAPfDlO4MQUZYQ6I37S%2BUs2zlRYl5G%2BxE07YTYqyM8a0RZbGP0CDAEiZPdbVkft2bdYKC8EgNc5TZpYCz6twk83aVSjCzUrsuuaZfrPIxMDOGFHe%2Bp82oaEz9uoGRsFCNT2F%2FwVtvGTCR%2BMDXYGajJD%2FHg6BAyyEXMwQRQOr%2F3ZOgdCzGxbdD8P%2Brz0sF4dp7O%2BHTKeCyepBwLKbZSyFRDGXcAHHR7yuzMd4B0%2FdN6roebBa7z57e9Qr5k%2FPsdLpQ%2BQCErPCmyXLZVBmPY0V8RIK2xvcHc3Nkmjl%2B%2BvoE7mfdGl6ETHT0zZxwfsb2AWAfK6ZMYzzFDjRqed8uQKx6NWK64g9LLR8peFBoucQHICPQbkJEpGWGmPYKB37dmm3BfcUz7NDzZkjD%2BBXEVoGGnEd58xqZT2aXcPXkbq2QNqONrBYay2qU%2BKsnPDAv%2FxWGewLNc9bMvKq9DRITkuv8zXZePqnY8TMgZO8M6MYz6Fh9ZdWBPLCM1a5C5K3peVrTv0au8HV%2BIvPH4Eeq3gLCRFga8uNGBCUr5EIjnHCZgRYny8eu6KmAjCL0I1WRZVs0VO9I9GZTriK37dqfxfol1s9tyaxlhRIEWnY5xukMZC%2Bk3goDmOYeF07q%2BbLp5hmwHZU3jji%2FHRt20HsiP5vUtphy9isqyAZq6x6qNRkKtX1luryWFPCa3WtnzcW9k20Ks8siskeOuqnL9MTKfvg3Woz6u7Rx8TeKO0hhYNqtykuUXh9ydEJyIRiYgy2UFKbWE6k69kVsigpz8P4PnhuoVyqyD51IJ3%2BLC6sGEDcUhb%2BbLqdBwwE9sJ6gVZEsP5%2FMg2ODaj%2BFlNzRfFtAksWoZJH6NAjd7dZbKX0r7%2BB0bhiDVE,3,0,1,0,0,#435085925,NA,NA,NA,NA,NA,NA,NA,NA,Abierto,NA
439, Casco Moto Ls2 Ff352 Rookie One Negro Naranjo Fluo ,52.99,NA,3,11,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-467381971-casco-moto-ls2-ff352-rookie-one-negro-naranjo-fluo-_JM,NA,NA,NA,NA,NA,#467381971,NA,NA,LS2,One,FF352 ROOKIE,Integral,NA,1350 g,NA,Naranja flúo
