search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
354, Casco Proteccion Integral Moto Hjc Cs15 Space Negro Mt Gris ,360,NA,0,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-522875284-casco-proteccion-integral-moto-hjc-cs15-space-negro-mt-gris-_JM?searchVariation=40111352809,NA,NA,NA,NA,NA,#522875284,Negro,"S,M,L,XL",NA,NA,NA,NA,NA,NA
355, Casco Integral Moto Ls2 320 Kub Rojo Negro Mate ,360,NA,0,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-523262324-casco-integral-moto-ls2-320-kub-rojo-negro-mate-_JM?searchVariation=40215043238,NA,NA,NA,NA,NA,#523262324,Rojo,XXL,LS2,Kub,Integral,50 g,NA,NA
356, Casco Moto Certificado Integral Ls2 323 Arrow Tecnho Negro B ,800,NA,0,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-509048666-casco-moto-certificado-integral-ls2-323-arrow-tecnho-negro-b-_JM?searchVariation=35069341021,NA,NA,NA,NA,NA,#509048666,Carbón,XL,LS2,323 ARROW TECHNO,Integral,50 g,NA,NA
357, Soportes Para Casco Moto Diseño Minimalista Soporte Pared ,17.9,NA,38,10,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TULADOVIRTUAL,https://articulo.mercadolibre.com.co/MCO-477256257-soportes-para-casco-moto-diseno-minimalista-soporte-pared-_JM,NA,NA,NA,NA,NA,#477256257,NA,NA,NA,NA,NA,54 g,NA,NA
358, Casco Abatible Para Moto Shox Atom Verde Musgo ,299,NA,0,6,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PUNTOMOTERO,https://articulo.mercadolibre.com.co/MCO-525749567-casco-abatible-para-moto-shox-atom-verde-musgo-_JM?searchVariation=40798947955,NA,NA,NA,NA,NA,#525749567,Verde,"M,L,XL",Shox,Atom,Rebatible,NA,NA,NA
359, Mascara Careta Modular Casco Color Amarillo -cafe Racer - Hd ,78.99,NA,2,3,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/EDINSONCARDENAS,https://articulo.mercadolibre.com.co/MCO-468515322-mascara-careta-modular-casco-color-amarillo-cafe-racer-hd-_JM?searchVariation=22911038591,NA,NA,NA,NA,NA,#468515322,Amarillo,NA,NA,NA,NA,NA,NA,NA
360, Casco Integral Moto Certificado Ls2 320 Stream Ixel ,330,NA,0,23,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-525779621-casco-integral-moto-certificado-ls2-320-stream-ixel-_JM,NA,NA,NA,NA,NA,#525779621,"L,XL",,LS2,NA,Integral,50 g,NA,NA
361, Ich 501 Casco Para Moto + Eco Regalo ,109.5,NA,1,159,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-455861197-ich-501-casco-para-moto-eco-regalo-_JM,NA,NA,NA,NA,NA,#455861197,"S,M,L,XL",,ICH,500@,Integral,0 mg,NA,NA
362, Moto Espejo Para Casco Casco Ajustable Espejo Con Crystal ,98.99,NA,0,12,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/GLOBALMARKTRADINGSERVICES,https://articulo.mercadolibre.com.co/MCO-463107111-moto-espejo-para-casco-casco-ajustable-espejo-con-crystal-_JM,NA,NA,NA,NA,NA,#463107111,NA,NA,Bike Helmet Mirror,NA,Rebatible,NA,NA,NA
363, Casco Agv K1 Soleluna 2015 Dmoto Integral Certificado - Omi ,726,NA,1,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/OUTLETMOTERO.COM.CO,https://articulo.mercadolibre.com.co/MCO-498990297-casco-agv-k1-soleluna-2015-dmoto-integral-certificado-omi-_JM?searchVariation=32995145254,NA,NA,NA,NA,NA,#498990297,Amarillo,MS,AGV,k1,Integral,NA,K-1,NA
