search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
607, Enthur 4 En 1 Profesional Afeitadora Electrica 4d Flotante R ,225.99,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/BURUNELO,https://articulo.mercadolibre.com.co/MCO-505670181-enthur-4-en-1-profesional-afeitadora-electrica-4d-flotante-r-_JM,NA,NA,NA,NA,NA,#505670181,Enthur,NA
608, Máquina Afeitadora Eléctrica 3 En 1 Gemei 3 En 1 Gm-595 ,39.9,NA,0,12,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MYTHNGSONLINE,https://articulo.mercadolibre.com.co/MCO-507995521-maquina-afeitadora-electrica-3-en-1-gemei-3-en-1-gm-595-_JM,NA,NA,NA,NA,NA,#507995521,Gemei,NA
609, Afeitadoras Eléctrico Afeitar Recortadora Maquina Xiaomi ,132.654,NA,0,999,12 cuotas,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/HUIYUCO,https://articulo.mercadolibre.com.co/MCO-508916969-afeitadoras-electrico-afeitar-recortadora-maquina-xiaomi-_JM,NA,NA,NA,NA,NA,#508916969,Xiaomi,Mi Home
610, Navaja Afeitar Eléctrico Xiaomi Mi Casa Portátil Barba Afeit ,132.654,NA,0,999,12 cuotas,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FAGESIWEICO,https://articulo.mercadolibre.com.co/MCO-508930190-navaja-afeitar-electrico-xiaomi-mi-casa-portatil-barba-afeit-_JM,NA,NA,NA,NA,NA,#508930190,Xiaomi,Mi Home
611, Afeitadora Eléctrica Barba Kalley Max Flex Alto Rendimiento ,59.8,NA,0,50,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NOVEDOSOSLOS,https://articulo.mercadolibre.com.co/MCO-509876552-afeitadora-electrica-barba-kalley-max-flex-alto-rendimiento-_JM,NA,NA,NA,NA,NA,#509876552,NA,NA
612, Mini Afeitadora Eléctrica De Limpieza De Xiaomi Youpin ,58.531,NA,0,179,12 cuotas,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FACILIDADCO,https://articulo.mercadolibre.com.co/MCO-510199475-mini-afeitadora-electrica-de-limpieza-de-xiaomi-youpin-_JM,NA,NA,NA,NA,NA,#510199475,NA,Afeitadora eléctrica
613, Philips Norelco - Afeitadora Eléctrica En Húmedo Y Seco ,513.644,NA,0,50,36 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DELIVERYSASUSAME,https://articulo.mercadolibre.com.co/MCO-514597623-philips-norelco-afeitadora-electrica-en-humedo-y-seco-_JM,NA,NA,NA,NA,NA,#514597623,NA,NA
614, Afeitadora Electrica Roziapro 5 En 1 A Prueba De Agua ,216.9,NA,0,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PUROESTADOFISICO,https://articulo.mercadolibre.com.co/MCO-515555544-afeitadora-electrica-roziapro-5-en-1-a-prueba-de-agua-_JM,NA,NA,NA,NA,NA,#515555544,Roziapro,NA
615, Afeitadora Electrica Recargable Para Hombre Gctown 4 En 1 ,154.9,NA,0,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PUROESTADOFISICO,https://articulo.mercadolibre.com.co/MCO-515729205-afeitadora-electrica-recargable-para-hombre-gctown-4-en-1-_JM,NA,NA,NA,NA,NA,#515729205,NA,NA
616, Afeitadora Inteligente Electrica Humedo/seco Wahl#7061-900 ,386.9,NA,0,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PUROESTADOFISICO,https://articulo.mercadolibre.com.co/MCO-516017670-afeitadora-inteligente-electrica-humedoseco-wahl7061-900-_JM,NA,NA,NA,NA,NA,#516017670,Wahl,NA
617, Afeitadora Electrica Giratoria Remington R3-4110a Negro ,196.9,NA,0,15,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PUROESTADOFISICO,https://articulo.mercadolibre.com.co/MCO-516067278-afeitadora-electrica-giratoria-remington-r3-4110a-negro-_JM,NA,NA,NA,NA,NA,#516067278,Remington,NA
618, Afeitadora Corporal Cuidado Personal Eléctrica Recargable ,89.9,NA,0,24,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/HEROSIMPORTADORA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=Lk7eQZrA8hh3hYHQnQh%2BabST4kHeImnQzwXM2vjRhNo3HTEArRgKJz9pIxJnpd%2B%2B3fdQ3%2BrYoQPM%2Fc4YQsX63XJq96iOADfzGL65Rg0Lqous6U3Xy5uCgdsCLzzQgrBJ8WRk%2FiIN5XbBmNAGaYJQgv24BM7nHs6gtABNAPVG2gIb1nb%2BZoyrCA3y1T%2FzMp%2FwIt6S0PkqgigfmQcYwGAMEv%2By0OtBaTrnOr9ocetvBNFDOkXP%2BQSww42iv1BOF8MVxjSyyt2x2mdSZ2p8HKtNWevVjPnoiF85UaEzSQHwJ8MHrhOF4c5c5JHr1km6bJ6oQScgT3KMtvGLKfIePLuwkWabU5XwzmnB08g3wRod0s4fxRIbqNpLjMhnwWi3tOTyn8RDnH7a9CnnQM1swR5dehYHtJ9W0Z7kKrxFNvxSflRGDQzQkdpRcHYOf9wa3AhxEqA1BowbVP0X1oaaJWiJSVQuJmUM8SoU69No5Ca0t3BN849%2BBiBBl%2BPoFifm%2FwU7M%2BGC6Ln0HPj4gukoAXL0hLQSAA2E0Yk2uTGNSGwvo842B6xdSwGga1oaLfwXtBu%2BrSzftFyxJFmdFY2%2BmangOyKwq5HDh5Dn%2FRUpLHZeVRNj3rFuOj9s72ITBJILBdk3y1hu2kRf33ImXI5gqgMXyQkTzR2oMuTcRXb1DEeEjbGTJTaN0a%2BALl8LkPiTk9lFPlwLQxq%2BspraZ90erkb0ppigyshIp2B2TTbwWyNVzzfWlhJjWMLfnbY0%2B49uJCt4xrJ%2Fb94DEOuERsC7RxPV%2FVwjnmC5bPiuOS7WX7Ek8NwdF955Cfd1K4I1AmduQI67iaTDON9W0x%2BnfbLrhLr2XAQ5z6%2BqywkwJ4g4Oamvd0Vn39570TL213j2H%2FZICdDExo62xKirQhCMiBzk2kRItXnHqOrB6A5CGyC9B5iy9sV%2FozOifdY2OHoaycU9qNcrMptnqs3LU0wLw4u%2FnTP%2BAsQLc2KeBaYgIgz%2FkGcUsBQLKyAkc9hxoJF0dz9wVZ4TvFjBNZU0LrXJsqiONu3XUhV7h%2BET%2FQ9i%2BdNYAv54kjfXSeg82ih9gYC8TLUMvzgvqfxYbfBQVCCJTx6HaMzXBYHaTfxOfD8tyUf6aeP8nwBluuYjhVr9WAHAMQop7m3BOIQzwoul8DPwllswFLQ6itU9RBHz02E3LrGIRXVbkeCcNooZTcbaqUYOEzybiSc8jEF93bC9KW%2BrM4AuVkIrxq75PgD4wzWs1gG92zsRRaMFSwdWLpuKw0x45hggMKDYvBlJPqjesiUfHjxcV19XjYVNoTQmKiD50QdoqHAzg%2FshVO9wrSxRstHo95%2BuLUM0J3mwvOk5jbT8%2Bwtq9QHhRMUR3I%2BSV9OyBLNi%2FQKg5X4hH4g70eEw8R7ISB48OnZmh2kaiuFVUnjI9na7QgTLX3VnasQFdmLH3UDYRld%2FjXj6URSEjfLNsWOdhPgpJWLRdBiiPyLpmT%2B09eaG7maTZ2M%2Bz3WjxUfwOmF4rZFFi8NX%2BL4Lz5y1YwkxjKgXkO4nTOjCNyDIILUIxKbMz85fUPtSPoxFebjZOlmAa1N%2Fo4kZehMgnObRSV3AaqWfImKVg9m3lZRvkwngiSX%2F3IDpkmoGULKAaAVYEbwdtcJtgLayvOW1jYgsWGONyCZl2YNnZOZItRp35trxlUNxT%2BJaKR2i2RF%2FBKzzGLnNBQbHgvqvCH29ySBkSkE0aewAbElNUrko9r%2FzUQ%2Baybi49KzyDjA%3D,NA,NA,NA,NA,NA,#529161253,NA,NA
619, Cabezal De Recambio Para Microtouch Solo Electrica Afeitador ,82.99,NA,0,12,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDAROCI,https://articulo.mercadolibre.com.co/MCO-517498619-cabezal-de-recambio-para-microtouch-solo-electrica-afeitador-_JM,NA,NA,NA,NA,NA,#517498619,Shave Right,NA
620, Remington R4000 Afeitadora Eléctrica Rotativa Para Hombres ,189,NA,0,999,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/GREYBAQUEROLEZCANO,https://articulo.mercadolibre.com.co/MCO-520500872-remington-r4000-afeitadora-electrica-rotativa-para-hombres-_JM,NA,NA,NA,NA,NA,#520500872,Remington,NA
621, Maquina Afeitadora Eléctrica 3 En 1 ,45.9,NA,0,NA,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COMPRASAQU%C3%8D19,https://articulo.mercadolibre.com.co/MCO-523822494-maquina-afeitadora-electrica-3-en-1-_JM,NA,NA,NA,NA,NA,#523822494,NA,NA
622, Máquina De Afeitar Y Afeitadora Eléctrica 5 En 1 Para H... ,322.998,NA,0,999,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATIENDAXPRESS,https://articulo.mercadolibre.com.co/MCO-524846615-maquina-de-afeitar-y-afeitadora-electrica-5-en-1-para-h-_JM,NA,NA,NA,NA,NA,#524846615,AsaVea,NA
623, Afeitadora Electrica Cabello Barba Gemei Gm581 ,63.3,NA,0,5,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/VARIEDADES+SOFI,https://articulo.mercadolibre.com.co/MCO-525720100-afeitadora-electrica-cabello-barba-gemei-gm581-_JM,NA,NA,NA,NA,NA,#525720100,Gemei,NA
624, Removedor Electrico Para Mujeres Afeitadora Sin Dolor 2 En ,164.99,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDA+PANDAR,https://articulo.mercadolibre.com.co/MCO-525773266-removedor-electrico-para-mujeres-afeitadora-sin-dolor-2-en-_JM,NA,NA,NA,NA,NA,#525773266,ElectriBrite,NA
625, Touchbeauty Señoras Afeitadora Electrica Las Mujeres Maquin ,61.99,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDA+MALU,https://articulo.mercadolibre.com.co/MCO-526452560-touchbeauty-senoras-afeitadora-electrica-las-mujeres-maquin-_JM,NA,NA,NA,NA,NA,#526452560,TOUCHBeauty,NA
