search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,"
			
			
				
				1720
				vendidos
			
		",(200 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 3942
		
		 sin intereses
		
	

	
		",42,NA,Envío gratis,NA,NA,4.5,66,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,49,9,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,255,284,"
			
			
				
				1114
				vendidos
			
		",(51 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2519
		
		 sin intereses
		
	

	
		",19,NA,Envío gratis,NA,NA,4.2,68,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,39,14,10,2,3,#591638162,Taurus,Minos,Minos,Planos,1,Láminas,Recargable,45,45 m
3, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,244,NA,"
			
				Nuevo
			
			
				
					 - 
				
				470
				vendidos
			
		",(101 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1361
		
		 sin intereses
		
	

	
		",61,NA,Envío a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM,5,0,0,0,0,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA
4, Máquina Philips Norelco Rasuradora Terminadora Barba Nariz Y Oídos Con Envío Gratuito Full ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1648
				vendidos
			
		",(133 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,NA,NA,4.8,102,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-rasuradora-terminadora-barba-nariz-y-oidos-con-envio-gratuito-full-_JM,86,13,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA
5, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,244,442,"
			
				Nuevo
			
			
				
					 - 
				
				567
				vendidos
			
		",(190 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1358
		
		 sin intereses
		
	

	
		",58,NA,Envío a todo el país,NA,NA,4.3,17,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,9,4,4,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA
6, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,987,NA,"
			
				Nuevo
			
			
				
					 - 
				
				107
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 9751
		
		 sin intereses
		
	

	
		",51,NA,Envío gratis,NA,NA,5.0,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM,NA,NA,NA,NA,NA,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h
7, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,780,NA,"
			
			
				
				138
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 7706
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis,NA,NA,4.8,13,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,10,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h
8, Rasuradora Wahl 5 Star Shaver ,244,442,"
			
				Nuevo
			
			
				
					 - 
				
				567
				vendidos
			
		",(190 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1358
		
		 sin intereses
		
	

	
		",58,NA,Envío a todo el país,NA,NA,4.3,17,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=wBNukzOqv7Aaid%2FeCAKwYUvEBY6OKT4nnK1BGKWMu%2FRoCpX%2BRC9RezDnrNr4PA1zfGylquVbxO7vxkwpasXjtwX8A%2BP%2BSk8KDniMOI0GRaskO9dcuurKw4UJHMKhIYAUHpIi1MzG578ejjP%2FMAnhzCDEtrxx0BGA1D1uLZatO6kNcafSkPwOaIQBKkO4lNEWMs7OVEEpeDicZtW1u%2FA3sTNqYyO7hDe%2Fg6I6mNUc8ADw4kCC356UElzI2Suohj%2FbctfVcNo4eiSe5b8q4XfMh5TjBvABhH9ioWhGrCd9Dkfg4NNoRXV4ya7gGCBzVdt0qbRutuJTcmsr5TazLdLzjoVBDjumm74dv4VP3PArtX0aN7T2XdG%2FZQIZIeIkDJ%2FESiGZ5o02CJOt578PmMQMO7xOUc75dO4h%2FjChBUipXaJD%2FX%2F%2BrPA%2BAnsvCJC1hYvQkhX56JacJFRyGp%2Flx2rPGUNs0a4Xq%2Fn3bTPLa3%2F%2FqH%2BZ1qNk8Ztbof497TPBXScwSyuPxYne1OnwbSkNwfENlWblqXrRWes3uzdM2YlL47v%2Fg4Gt0hKK1WK4psTGvomnq1bv%2FRV4hBsGQln0sDAxNK%2BB2AVisj1eWNy6sSxj0tKTGWzaC1LsmGMi3W%2FH9o8gaaRMnJGTSm2%2BDqchHmsRzdxzzAwZgATbJlhWHVSMHNeKfpS37pa5NcUzXu9ErdGI5tfm4aECyxEEMyzrciC80fZ1a6nSuok7v9x8BuYkVtYBj1jNpO5H6HHoeLg3TKvFo3KMXKP9n7hhZvKw%2B3YXZ1kt6yxr%2F2Tl9U26YEYy%2B6niJg6Zm1EvyQ8PAsRdgjYAzqOmNKY3TAW6czlWSGnVFOhGQvCwj2GmoeEVJxnIrGNKCg27dWC6qxC2czA0ZOK73LsGkjLSS217Zt0vkAFcFrSfMjmDRHjcTMOTIzxYKBKHeXPtFjufvjdG7n%2BFwEvvtrOF30xXkvJjNu89RBhhnTTFDYHEUW3Zg21Ok%2Bls6MzSlsWQwV7Vc%2FSq4OIfAuWJDGdrpMjgDVAK8ovH9opbZI86Uzhir57KtqB3tGyLIbO6ukdDxSf6vuvwrKJp4m21ehFMkco8IQ7fZ6YoFdYFrOcUoJmVa3KIzmjEaE4wpse2kAIGYbKAcCbR68AH43HrWvizQzVQPVw9rl0sGpvn6bzxnu0s1R%2B9SasdHlX0XIUO%2Fpc6DtS8x6oV6GZIlMCRnlOa7i7cmue2iChMFhKZQNIHLLJ5xeTn6IZ2aEiamvekQJp%2BN5UCA5Ig%2FrAl8BWnNM9nGMVfK4HRH%2BuuZQhLUimgkMgzpI%2FhHJQ9gPYXbL9dbRIBFfMb%2BavOioRF%2BtM5slDi9wjB%2BGSuv%2FqwzBqnIqmAVl27SO7FVGDKFSG7dEU1nqMhS5n5Wv%2FzQEZCf4xAkW8G1S%2BSvRCOtrP0fjhuxuUhKvMMJoEb8QwOgsJlDzR2Ai8DW%2F%2FBLmwQigWnLiNnWCkMETkIBWhk2V2KtEJRYUOLgnxA%2FxiqRlTp%2BbX3c08wEKq0Kz9Jtpi9UkX%2F5BovJy7k1Df%2FKRUNj2Zl%2BO8m%2Bg3PLxAxk1cRos8GESbqDPR4rFBFQnXc1cpFQfmZGTs%2Bqgp3oRxwZJQiJ6bet2clZHBbhzb5g37Na5H12zDWzovcz6LS8uDMlphbYLtk22gTtIL5TCX87BLtygbRBd4I7cVv6APLI1pUf%2FCnYJpRd8DqJRkTrPnMzgNBeNb11IUtJdA%2FzzidcdQkmrCVftd8%2F49Tsgz0HKmMQa4My%2FOrAMPJeAzUi7TnMHcMQUVlmmryyPbF08VlNWBOQkwO%2FmjqyxGu4LfXieHomrDgJV2D2OQUZPzNUyjfcIvLn02mJ8XpU79ka%2ByGhC%2FUFyww,9,4,4,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA
9, Rasuradora Cortadora Barba Bigote Remington Maquina ,899,NA,"
			
			
				
				752
				vendidos
			
		",(278 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis,NA,NA,4.9,23,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,20,2,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h
10, Maquina Rasuradora 3 Cabezas Independientes Recargable ,389,NA,"
			
				Nuevo
			
			
				
					 - 
				
				159
				vendidos
			
		",(138 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 2161
		
		 sin intereses
		
	

	
		",61,NA,Envío a todo el país,NA,NA,4.8,4,https://perfil.mercadolibre.com.mx/ELECTRONICS.MEXICO,https://articulo.mercadolibre.com.mx/MLM-666698396-rasuradora-afeitadora-wahl-recargable-all-in-one-14pzs-nueva-_JM,3,1,0,0,0,#666698396,Wahl,all in one,9685-200,Nariz y Oído Trimmer,NA,NA,Recargable,80 m,NA
