value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Envío gratis,,
2,meses,meses,Envío a todo el país,,
3,días,días,Llega gratis hoy,,
4,,,Entrega a acordar con el vendedor,,
5,,,Llega gratis mañana,,
6,,,Llega hoy,,
7,,,Envío gratis a todo el país,,
8,,,Retiro gratis en tienda de Geant,,
