search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1337, Xiaomi Mijia Soocas S3 Maquinilla De Afeitar Elctrica ,25.154,NA,"
			
				Nuevo
			
			
		",(500 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.096
			
		
		 sin interés
		
	

	
		","
				$ 2.096
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CASATECNICACL,https://articulo.mercadolibre.cl/MLC-493937295-xiaomi-mijia-soocas-s3-maquinilla-de-afeitar-elctrica-_JM,NA,NA,NA,NA,NA,#493937295,Xiaomi,NA
1338, Juego De Cortapelos Elctrico Recargable Cordless Hair ,7.734,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 644
			
		
		 sin interés
		
	

	
		","
				$ 644
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BUENSUERTECL,https://articulo.mercadolibre.cl/MLC-494171282-juego-de-cortapelos-elctrico-recargable-cordless-hair-_JM,NA,NA,NA,NA,NA,#494171282,NA,NA
1339, Flyco Afeitar Eléctrico Barba Flyco Fs377eu Con 3 Flotadores ,3.920,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 327
			
		
		 sin interés
		
	

	
		","
				$ 327
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TONGTAOOCL,https://articulo.mercadolibre.cl/MLC-495102573-flyco-afeitar-electrico-barba-flyco-fs377eu-con-3-flotadores-_JM,NA,NA,NA,NA,NA,#495102573,Flyco,no model
1340, Maquina De Afeitar Electrica Depiladora Corta Vello ,7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",(99991 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 666
			
		
		 sin interés
		
	

	
		","
				$ 666
			",NA,Envío a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=YoVqWKyw9RIquGkM5TH7G91YBfmIe1M%2F%2FWzBsDS3L27JiazUiWm1uXXYGgxwlOLtb%2BpODg2lUW0iyplEMBw8PLfzuEimpZAw1QbXAmn5swyei7%2BeZC%2BBFbWzcTM%2BPcAeTLjoLoyLzqlT6KYuGHiOiaeQTAX1hTLG%2BLWVcLxiBnXTQpHQwWJaJb7A%2BgtpGtlnnpiYcqCTpo%2BLmR0qoQs3RdVb6X%2FaJmMXIeeHd%2FgzOMFU6ribaqJ76x56PXS89TsTP8jswemvhlQ%2B5NN1rDzOZ%2FZLShARAB0OEFt%2Fq5Lq6GqJyFV77y5iC3vJHz%2BESp6lKSOYERQx9TAyAhx73ZdZuCX%2Fm8REgR4Vp%2FfSuQjtHYC0EZoU2hFK0EoSx%2FCFnXVikacYyr%2B4OEKE5pHSzx54ex366M3u4KIjV88MP%2B0dRaIPAaxolDjuTPwquU8gJayXZB6Wk%2FnrbIDRQhCLjtO1PVGZVIXx9iVk%2FztEfZLDvXGp8ElQXo83ThQFh0LQIKcI9CoB1qt4OGtuP5a%2F%2Bm7cVLIOMf%2BNnD3LOme%2FV8%2FAZcfMWXtWcz6ncCkrLQudqGfiBDPU6cQIOU5XEbkLo%2FGnckPxyHcg5eqbiK%2FW1DIg%2Fj22%2F5wjwYS2kFQwCY4PeFsj%2BbTCU3oQ6tp4espSDJ4lGSs4DtW7Raj3cyXJkexaOP5KOx1S5c9q4TzuQuDekOKG%2F0Nw%2BHU8vIQoSnQDylWwsigOfE6XH6kBZYMJyeQHfKBbOAgAllDcVbHvT6L%2BZL9jrrZd7kPSETXoqZFJeCaSgNFhu87r9Ajb59qOHTi7iJ8IZf2zvE6pHv2hE3T7z41bO5NAhjiOq2ytGvpd4ukpDr%2FsKMmVty85zrxU5w4n7BeJkEEitkVipN9mlGYkS%2FaBCmzrd5zu7T5ICjTmnvorVSWqoLiEcswDaUviLawA0uG%2BpWke57pW2iPsY5YGRYBKcNJ2Wakoru9B0KpZ%2BrmJ%2FPHGYc6FlHlvM2TZ%2FHSYdzMOAmzsPqnUBqo9b4rrs4zPftKp6os0RO%2BV1VOds2HCse8dIK%2BtembT8%2FzcDGSS06CjwviAWm259dOuxY7yPid8jR7mqELns%2FbbgMNtKUS2lcdxh9FEOwYKLekWEjl0Q0UAWqdYvmU2e%2B%2B9TRf8hpawXH2hk%2B5lIlcKZl1ElXdn9v5eBGIG0%2BQifWAacMirqXH%2BTiuW2tHaIXhFngwhlEhfSxs9hkTPu9IKgrGNGKJfLO%2FUucmf%2F9FVByxMXK71Ne7H5FF5CsT077KjocbezBNKiekqCVE96kiE1jFYUyEeuccIgADtaDvqPv69XaZwRQycX5R%2FeZ%2BK7dWAGwQ2fGyvXMjyaUe8WrtAnQdWiubp5%2BFF%2F4VsHLx5PV7euLj7cqtiSbQAANQXX502M4Qn65RSZFRISF7exOHVn3WtZh%2FC2%2F9z7tMtmzyuHO3Tl%2BFKZj54Z9%2BB1O5oTrjF1gekBl2v7NZFr7U5l8VV60mf8vWEjcKTGTvaH0t%2FzU3QD72fgQWxB4tcL6DH5gAQCVHJAEnQoqs5WG0oSQUSEleUD6%2BsA8lOT1EZUtypN7V5rRfg%2FphPlg1rgenVafdqGaVL%2FKtPLzGoppy0y5G22e3ZzR3D8w0U96sJn1j9EtjJ%2FgibNAKTnA%2Bqaop%2BMtOBiKqwU9ALVj5xnDHnnsEr4qDx7yJiU555pMn6oJ6UEZCsyDK0kWqbSsXCAYS1XOxezo9aGXLn,NA,NA,NA,NA,NA,#479673735,NA,NA
1341, Inalámbrico Cortadoras De Cabello Eléctrico Recargable Recor ,8.620,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 718
			
		
		 sin interés
		
	

	
		","
				$ 718
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FANSLADYCL,https://articulo.mercadolibre.cl/MLC-495243970-inalambrico-cortadoras-de-cabello-electrico-recargable-recor-_JM,NA,NA,NA,NA,NA,#495243970,no brand,no model
1342, Navaja Portátil Eléctrico Máquina De Afeitar Titular Caso Re ,3.253,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 271
			
		
		 sin interés
		
	

	
		","
				$ 271
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FANSLADYCL,https://articulo.mercadolibre.cl/MLC-495525742-navaja-portatil-electrico-maquina-de-afeitar-titular-caso-re-_JM,NA,NA,NA,NA,NA,#495525742,no brand,no model
1343," 4- En -1 4d Triple Cuchilla Eléctrico Máquina De Afeitar, La ",17.698,NA,"
			
				Nuevo
			
			
		",(989 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.475
			
		
		 sin interés
		
	

	
		","
				$ 1.475
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UNIONMALLCL,https://articulo.mercadolibre.cl/MLC-495716906-4-en-1-4d-triple-cuchilla-electrico-maquina-de-afeitar-la-_JM,NA,NA,NA,NA,NA,#495716906,Electric Shaver,4-in-1
1344, Multi -función Eléctrico Máquina De Afeitar Recargable Corta ,5.083,NA,"
			
				Nuevo
			
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 424
			
		
		 sin interés
		
	

	
		","
				$ 424
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/3CELECTRONICSSTORECL,https://articulo.mercadolibre.cl/MLC-495922281-multi-funcion-electrico-maquina-de-afeitar-recargable-corta-_JM,NA,NA,NA,NA,NA,#495922281,NA,NA
1345, Mini Máquina De Afeitar Eléctrico Cuidado Cara Eliminación D ,3.264,NA,"
			
				Nuevo
			
			
		",(14 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 272
			
		
		 sin interés
		
	

	
		","
				$ 272
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/3CELECTRONICSSTORECL,https://articulo.mercadolibre.cl/MLC-496026489-mini-maquina-de-afeitar-electrico-cuidado-cara-eliminacion-d-_JM,NA,NA,NA,NA,NA,#496026489,NA,NA
1346, Pailipu Multifuncional Máquina De Afeitar Eléctrico 3in1barb ,4.880,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 407
			
		
		 sin interés
		
	

	
		","
				$ 407
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YOUNGERCL,https://articulo.mercadolibre.cl/MLC-496133230-pailipu-multifuncional-maquina-de-afeitar-electrico-3in1barb-_JM,NA,NA,NA,NA,NA,#496133230,No Brand,no model
