value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Llega hoy,,
3,días,días,Llega gratis hoy,,
4,,,Envío,,
5,,,Envío gratis a todo el país,,
6,,,Entrega a acordar con el vendedor,,
7,,,Envío a todo el país,,
8,,,Retiro gratis en local de Frávega,,
9,,,Retiro gratis en local del vendedor,,
10,,,Llega mañana,,
11,,,Envío gratis,,
12,,,Chegará amanhã,,
13,,,Retiro gratis en tienda de Geant,,
14,,,Retiro gratis en tienda de Mosca,,
15,,,Retiro gratis en tienda del vendedor,,
