search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Voltagem,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
11, Caixa Som Bluetooth Jbl Potência 16w Ios Android Preto Flip4 ,457,NA,2970,1379,12x,38.15,NA,Envio para todo o país,NA,NA,4.9,507,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-914225881-caixa-som-bluetooth-jbl-potncia-16w-ios-android-preto-flip4-_JM,456,37,7,3,4,#914225881,JBL,Flip 4,16 W,NA,Ativo,NA,NA,NA,NA,NA,Flip Series,NA,NA,NA,80 dB,175 mm,66 mm,66 mm,NA,NA
12, Caixinha Som Potente 80w Bluetooth Caixa Amplificada Mondial ,207,NA,774,19,12x,17.32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,28,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,https://produto.mercadolivre.com.br/MLB-1147417505-caixinha-som-potente-80w-bluetooth-caixa-amplificada-mondial-_JM,22,3,2,0,0,#1147417505,Mondial,MCO-07,80 W,Subwoofer,Subwoofer,Alça para Transporte,Caixa,Digial,NA,NA,Thunder VII,Bivolt,NA,NA,NA,22 cm,12 cm,32 cm,2.2 kg,NA
13, Mini Caixa De Som 8w Rms Bluetooth Rádio Fm Sd Auxiliar Usb ,32,NA,1169,40,6x,6.09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,31,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019314215-mini-caixa-de-som-8w-rms-bluetooth-radio-fm-sd-auxiliar-usb-_JM,21,4,5,0,1,#1019314215,Importado,QS-505,8 W,NA,NA,NA,Caixa,NA,150 kHz,18 kHz,NA,NA,1,USB,80 dB,NA,NA,NA,387 g,NA
14, Caixa Som Torre Amplificada Bluetooth 500w - Usb Fm Oferta ,189,NA,311,15,12x,18.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,12,https://perfil.mercadolivre.com.br/123INBOX,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=R7NuZz5g7pqjy0v9pDXU%2BF%2Fu5N2cv%2F7Qr31nl9HAAV266Bt5vExu4%2FudqPSLLTuFjAXctwSx4e4V6p8FfLNcvce6pqrFn3HR0juA38CMs71lBBvZHwuG4vchlNFTqhVbmAL%2B4gRCtzqK953qQhbesKweDoYPPI7mFG%2FMJJCWLNU8URt0wql0kUBEQQJLSyWnJ36bz2l4K1mg9YmkttWukqmWTYPvevhHP%2BoHbVJfyoN2UfzEYUod091pFFALel534yopLdR5aWMbaa73phz3mirC8GhzNVaX9vzSEK%2B52x3FNInIIMfboIkTadQdJPSYLoIdmYogxlze9JbINFY5OIHq3JoKtC2LXx5IL9LB42Gj5o29PnBjPJoAg3nqIhK%2BxGuigN5%2F3p9bHsCoftEgQgm2rgG0tAGhn%2F245wHBhRahyb5DKJpG0t0gnlTVaqYZYdqx3lJiPykoTtxHV1a7Xc1eEMQH%2F8mgk71K77IPbfy%2FJHBPz2EnCp7KlCccubiD34k%2BGcG10YZd%2FNE%2BpBtqFShEekAviULyFVDCky6efA1uMYnrWMWA%2BR6z3SpQCNVylfa8WDfcGsLZa88Cvyk8%2FqUQeUnu2x9JOTFhDkfGBkuKb58P4niTe8WZGW7ysarA6sO1%2BQfR8IuLbBwm9gxQcr78F%2F%2FYWauWN3oRmYpPCETcp73oYWn9iQtzpxeQwb6q1NZyAQQVcAJckA0PDB6GwMu07PK1mvUriXh3cWT8zhrxTEFgugo0nJiYnT2wJHhEzExJb1t91ipz4SD6CtCKTc4c7q4mUq2NW7lBCNxmEX6uCf0ImUvKL6DR3tBa6dFsSmMemDa287i0UI7BZIYmJMkpooiNeJ0VFvw3VrJKL7qGETU4WLP2oCsOYom1wYzzbk2J1oikQOPj%2BCEsM%2FjIRatBjGG7q1UdfGLv%2BqT5HrMRBM49NlHLiaId7oOOufxBZITZhJsFnsm3T53PC0u1zikJOeWSHcBOeegqZyX82qRDp7u3qbGC9YjhxZ3xEaD%2FNhWG9sHeXXfAx19zrhSV3cSvn9ct%2FZ3PRjFGcNPu3d5cuITFBzYKcGcKGOaynONQEcoT1KzZSng49RcVqYJ7lrUAP%2FFkRnPftY5GTPghKsZSGU3zyk%2Bj9QYvVOcH9fTM5ET%2F6Mv8fF8TP37sDOkb5K9koU4YCfHrbFLBBG7ugE0uZ4YBUQQ8tQ1V%2BSoPHYOhp9BF8Jo%2F8MNXbq%2FhCCrQobM%2BD%2F%2BLElG6gff4YjKyo1Zr%2FmyuW%2FXJ3gvT2HNkOhTE7TaoYtuISKTwky%2BxV95wbZ3OPJRDkuP%2FwS9AUVCjzUi2XYrFkWSoW%2FQh3CoiymOUNRXRRT173KQtF37Oz8oFgOt4LX6jm2ouDP958WwSsFMuztx3cbgurqBWXIJEUPI8XRnSjkU9XWDqPbHLq8%2Bg1lqT3s0vTMZUs1s3GxsGvNRdyH9okxozPEohZLvdbi9rPjgTacyC1GRFLbx1JDk4HCK34ylXRnfPwEEvPMdkYNh3NXuubXKiz331VEFSyJ3zJL7Z1isl3%2BaIIyI8IPXBm5ElxMtPu4EaNsWz2HW6d3yaYnAcPy5V8mIryEZrLRv7bjmu2N9JG06WB1JSOuCKo3bon0pz9FJ5%2BU2ZMVZhFwvfinzZiPzytwnGfUOhbTtu6HIQCckIJHh%2FYBjBfLCO7yS0rPy0jxXWwUztPlz1ola8prjcgIn73i6QZDEutQaJuOOihA%2BV1HUC6pPITvZxl%2FqPdZLcWDKJfW1o1wLOSNDtJq0s9ZdRTGEPeUZFxAPGxXywfAwUYWbZr9Dmbr%2FaK%2FHJl5V1AvvKfRSv8E9v0kUAwebnMrujFg6qt%2BCJqsp2HpJFBoXVNaV84xjGkGE%3D,11,1,0,0,0,#1097047029,IMPORTADO RPC,FBX-103,25 W,Subwoofer,AMPLIFICADO,"Festas em Geral, Praia, Sítios, Eventos",Torre,BLUETOOTH,NA,NA,BLIETOOTH,BIVOLT AUTOMÁTICO 110/220V,NA,Entrada para Microfone P2 e P10,NA,NA,NA,NA,2.4 kg,Preto
15, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,27,NA,3002,3,5x,6.13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,93,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,79,10,3,0,1,#1169578372,SPEAKER,MS-302bt,5 W,Subwoofer,Subwoofer,Portátil,Redondos,2.1,1500 Hz,150 Hz,Bluetooth,NA,1,USB,80 dB,NA,NA,NA,318 g,NA
16, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,699,NA,822,20,12x,58.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,73,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,65,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,200 W,NA,Ativo,NA,Caixa,NA,NA,NA,NA,110/220v,01,USB,NA,NA,NA,NA,7 kg,NA
17, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,32,NA,1255,3,6x,6.10,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,55,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM,47,4,2,2,0,#1174117073,Goldenultra,GT-515bt,10 W,Subwoofer,Subwoofer,Portátil,Redondos,2.1,15000 Hz,150 Hz,BLUETOOTH,NA,2,USB,80 dB,NA,NA,NA,NA,NA
18, Caixa Som Bluetooth Jbl Xtreme 2 40w Preta Jblxtreme2pto ,975,NA,248,221,12x,81.26,NA,Envio para todo o país,NA,NA,4.7,142,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182693732-caixa-som-bluetooth-jbl-xtreme-2-40w-preta-jblxtreme2pto-_JM,112,21,5,1,3,#1182693732,JBL,Xtreme,40 W,NA,Passivo,NA,NA,NA,NA,NA,NA,NA,1,NA,80 dB,136 mm,132 mm,288 mm,NA,NA
19, Mini Caixa De Som Rádio Fm Am Sw Portátil Mp3 Player Usb Sd ,54,NA,364,21,10x,6.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,22,https://perfil.mercadolivre.com.br/PLACECOMPRAS,https://produto.mercadolivre.com.br/MLB-1189229037-mini-caixa-de-som-radio-fm-am-sw-portatil-mp3-player-usb-sd-_JM,20,2,0,0,0,#1189229037,Briwax,BX-667 / BX-670,3 W,Tweeter,Tweeter,De piso,Caixa,2.1,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,830 g,NA
20, Kit 3 Caixa Som Bluetooth Torre Amplificada - Mp3 Usb Fm Top ,35,43,4622,4,6x,6.51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,197,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=T6PsjkLHHJ9h4FWB1nA913Fr%2BQbfXb2xLwPEZWpCaoCZTQCexK0%2B%2Bi73ESRqFX%2BiUmI%2B8BcQMLidA63Fp3KAadx9i3SkMxkya0hZBDV9tfxPNQE%2Bb6nYs4Olm4dxZ3mMJm3ptzTICcGCAPgYC%2B3BrMG%2F50k1s1SAPNba50i3mRx71vIUjnvax2Gm8pMokvfZT%2FdF8ZpocLSFePIM9gJEwKUS9OTjcY50Zysddk%2F4UGfyy48UphoEkNWJeX2EBg7NGLPfnYkIPleDtuo0lwqdNCZ0Gzi4PdcmqcuHbhISNOlscsuEFGRUsuCBagJJgqDFJxQSfjJKdS2Eo7W4AqnHI8v6QhgugoUYTU%2Bs27ogNHWJDx%2FBHPWWw4NQCGYWzMnYLMuPyyPX78Ku9xksrZwLKT1c5byUnT4KhhQ8ORmJtDwQ%2BWXnCcim5rVMPbpFZyID0luxMjpH95Wd72WXBKTS%2BzOf1aqLS%2Bhj%2BhGiUh0OldxLriJer5nPzoBzQDMmD%2Fjy71zSqXoSbOtgGSP%2Bt4xBL4CJl%2FNcITlA6pYD%2BLV3CxtjFdS9TPMSiEwDc385crcLxF1clit%2FCD4PzTfXjpfmvGL5dBluTqHQDDS03z%2Bx05YasDur7tJ9K0LJhqOl%2BV7sAGLlsUGZap9GBGUAT%2FnVFVItBR%2BIj63zPMLZ15e912ySuG%2FpT1ykhtlb2Tl1PSBJ2cACK3ECmfv8AqJ94dposyZKi0vPArJ83%2B0WEqk%2FybE5O2UFEUcNPOsaqaRo1JTe1Be5io%2B3laOkR4YFXU7A3CWH7K35NMnurF3X2JN7z4fivsyMYMEuiv9pT7HLEzgCp0bpjlzq8IitNCFNMCNq62OtLHlTQLD32M%2BRd50sRZ6N9pKWNVdNhbrXsBSGjwcWoQM3uZwTdWpVRjKv%2B9MkdG7Y5sW%2BKvisnrzRD2yR8Md8mWC5MjBBczY20cM7f60tYZSc%2BbFWzC8IVgHxkOl8vCfyeO6GsKbxGfMRQrc0i43KNiTpQUhuSPN0hytdyElTlW8kXIvcCfpR6Y58w3PGq2PgcDqzeIRd%2BtC0wy0Rhl6Fbnlk%2FUO4DVDh2uu8WZMbUTf4RNUE7LEktvV6D9O5KmnwI31ncjGOoAuu9CBYaSV4csO%2BdS%2FoKLW9YP5xBp%2BKhwPFsFnlufxEIJe72OWAT6v1HrM2j429gkNgBYjjSSiC74vGyRTT2piOqX5ZfDlnPHrTRZCnlUQcoGkT8PCA5fwCWSsLZKfyQEhhIzDTfs3DKRE97UU3p%2FST1r%2B4JsC7XxgIqSA9xeyxlC97JJTfd70lrIysX%2Fey2Yeoe0yDpaKelMHYggGG6HBMVd6N1qWZ1gIuNqfOK8F%2B1aijDxKKziGkeD3qng%2Fa%2Flyt0dAn23dvCKvThOZaStSF4kSMkfpilpusewZ2lkVYn%2FtIvZDc2UqlF6TFAPsSHxtt4AuIuY8MkFvRht4INuDYNl871AsZfgWuUtMVy6%2BJ54LImkqxdCD%2F%2F8Fhs58Xn4tI3mL0nqXyteAlRT4TYpxxI3AfHQNB9pPPZ2cDAsHCN35gyb3pu7EC8DzRCMdEj5uyf5Bt5ICoHtY4ZR8hkrGNVNtriXJw6LEpgpr4AFNUiKvZ1yedo8OmXoEFmok4QwgheZYi%2FG2gK3z3kJEKA1y3WgGy4VCgRpAWAF9xPw9xQFODCRSwUQkr29BWpQ0Dc8PZ5ihdpQp0vfnYZ5Gwnns6lCZtA3PBNx8Sq%2Butk%2BLpxz4UWeOwPub0FKs56gXf47MX23LzFmHPoCM0tlORg1RlIqofCrMk1tddbQFLdff%2B0IwIwPlf33Td3bxLzC5YtTvaA46kHCwF20Iw%2BRe%2B3oI9rekRgYzUSC8pPuSXZHT6nKdPig%3D%3D,154,17,15,3,8,#1154024173,Goldenultra,Torre,10 W,Subwoofer,Subwoofer,Portátil,Torre,5.1,NA,NA,Caixa de Som,NA,NA,USB,NA,NA,NA,NA,NA,NA
