search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de filtros del parlante,Conectores de entrada,Peso,Potencia de salida (RMS),Color
1, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb21 ,229.9,329.9,235,21,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,27,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791732-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb21-_JM,23,3,1,0,0,#474791732,Sony,EXTRA BASS,SRS-XB21,Activo,USB,530 g,NA,NA
2, Parlante Radio Reloj Brightside Despertador - Alta Calidad ,65.9,79.9,62,22,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,3.8,4,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-507364129-parlante-radio-reloj-brightside-despertador-alta-calidad-_JM,2,1,0,0,1,#507364129,Brightiside,NA,BSSP-001,Activo,NA,NA,10 W,NA
3, Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño ,14.9,19.9,1124,20,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.2,54,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-449583744-parlante-bluetooth-resistente-al-agua-manos-libres-para-bano-_JM,32,11,6,2,3,#449583744,NA,NA,NA,NA,NA,108 g,NA,Azul/Verde
4, Parlante Portable Jbl Go 2 Bluetooth A Prueba De Agua Go2 ,110.9,147.9,583,54,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,108,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-461389037-parlante-portable-jbl-go-2-bluetooth-a-prueba-de-agua-go2-_JM,101,5,0,2,0,#461389037,JBL,NA,JBL Go2,Activo,NA,184 g,3 W,NA
5, Parlante Altavoz Portatil Charge 3+/10w Fm Bluetooth Sd Usb ,69.99,NA,146,6,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,14,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-464734363-parlante-altavoz-portatil-charge-310w-fm-bluetooth-sd-usb-_JM,12,0,2,0,0,#464734363,NA,NA,NA,Activo,NA,NA,10 W,NA
6, Parlante Altavoz Bluetooth Radio Portatil Ms ,39.9,48.9,204,696,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,12,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-455564403-parlante-altavoz-bluetooth-radio-portatil-ms-_JM,8,3,0,1,0,#455564403,NA,NA,NA,NA,NA,NA,NA,NA
7, Parlante Bluetooth Cabina De Sonido Activa Recargable ,159.9,NA,154,8,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,5,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,https://articulo.mercadolibre.com.co/MCO-452765139-parlante-bluetooth-cabina-de-sonido-activa-recargable-_JM,4,1,0,0,0,#452765139,NIA,NA,AN-2062,NA,Auxiliar,NA,NA,NA
8, Parlante Recargable Bluetooth Radio Fm Manos Libres + Obs ,17.9,NA,203,66,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,16,https://perfil.mercadolibre.com.co/MERCADO+CLICKS,https://articulo.mercadolibre.com.co/MCO-446590928-parlante-recargable-bluetooth-radio-fm-manos-libres-obs-_JM,11,2,1,1,1,#446590928,NA,NA,NA,NA,NA,NA,NA,NA
9, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,462.4,NA,270,74,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,80,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-459158831-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,72,6,2,0,0,#459158831,JBL,NA,Charge 4,Activo,NA,NA,30 W,NA
10," Barra Sonido Bluetooth Led 10w Usb, Fm, Sd 40cm Pantalla ",54.99,NA,99,26,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,11,https://perfil.mercadolibre.com.co/VENTASBOGOTAOFICIAL,https://articulo.mercadolibre.com.co/MCO-463493504-barra-sonido-bluetooth-led-10w-usb-fm-sd-40cm-pantalla-_JM,7,3,1,0,0,#463493504,NA,NA,NA,NA,NA,NA,10 W,NA
11, Cabina Sonido Bluetooth 250 W + Micrófono + Control + Obseq ,179.9,299.9,177,47,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.1,11,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-494413843-cabina-sonido-bluetooth-250-w-microfono-control-obseq-_JM,6,2,1,2,0,#494413843,NA,NA,NA,NA,USB,3.2 kg,250 W,NA
12, Sistema De Sonido Logitech 5.1 Z607 + Obsequio. ,291,NA,222,11,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,30,https://perfil.mercadolibre.com.co/EXPOCOLSUMINISTROSSAS,https://articulo.mercadolibre.com.co/MCO-495285483-sistema-de-sonido-logitech-51-z607-obsequio-_JM,25,3,1,1,0,#495285483,Logitech,NA,NA,NA,RCA,NA,NA,NA
