search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Conectores de entrada,Peso,Potencia de salida (RMS),Tipos de filtros del parlante,Altura,Color
1, Parlante Bluetooth Bose Soundtouch 20 ,279.990,339.990,"
			
			
				
				19
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 46.665
			
		
		 sin interés
		
	

	
		","
				$ 46.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472179479-parlante-bluetooth-bose-soundtouch-20-_JM,NA,NA,NA,NA,NA,#472179479,Bose,Parlante Bluetooth Bose Soundtouch 20,NA,NA,NA,NA,NA,NA
2, Parlante Bluetooth Soundcore 2 Select Anker ,32.990,49.990,"
			
			
				
				323
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.498
			
		
		 sin interés
		
	

	
		","
				$ 5.498
			",NA,Envío gratis a todo el país,NA,NA,4.9,56,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-455898956-parlante-bluetooth-soundcore-2-select-anker-_JM,51,4,1,0,0,#455898956,Anker,NA,Auxiliar,360 g,NA,NA,NA,NA
3, Amazon Echo Dot 3 Generación Alexa Español Latino Original ,33.990,69.990,"
			
				Nuevo
			
			
				
					 - 
				
				157
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.665
			
		
		 sin interés
		
	

	
		","
				$ 5.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,4,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-482258081-amazon-echo-dot-3-generacion-alexa-espanol-latino-original-_JM,4,0,0,0,0,#482258081,Amazon,NA,NA,NA,NA,NA,NA,NA
4, Jbl Go 2 Bluetooth Portátil Resistente Al Agua Loi Chile ,21.890,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				247
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.648
			
		
		 sin interés
		
	

	
		","
				$ 3.648
			",NA,Envío gratis a todo el país,NA,NA,4.8,49,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-466753692-jbl-go-2-bluetooth-portatil-resistente-al-agua-loi-chile-_JM,41,6,1,1,0,#466753692,JBL,GO 2,NA,NA,3 W,Activo,NA,NA
5, Parlante Ducha Bluetooth Portátil Agua Piscina 71603 Gocy ,2.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				530
				vendidos
			
		",(97864 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 482
			
		
		 sin interés
		
	

	
		","
				$ 482
			",NA,Envío a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/GOCY+EIRL,https://articulo.mercadolibre.cl/MLC-439441873-parlante-ducha-bluetooth-portatil-agua-piscina-71603-gocy-_JM,3,0,0,0,0,#439441873,Gocy,71603,NA,NA,3 W,NA,9 cm,NA
6, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Impermeable ,24.990,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				332
				vendidos
			
		",(38 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,4.8,49,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-470706708-jbl-go2-parlante-portatil-bluetooth-inalambrico-impermeable-_JM,41,6,1,1,0,#470706708,JBL,GO 2,NA,184 g,3 W,Activo,NA,NA
7, Ld Systems Maui5 - Line Array Audio Portatil Activo Parlante ,439.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 36.583
			
		
		 sin interés
		
	

	
		","
				$ 36.583
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-ld-systems-maui5-line-array-audio-portatil-activo-parlante-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,MAUI 5,NA,NA,NA,NA,NA,NA
8, Parlante Bluetooth Karaoke Mlab 60w 8 + 2 Microfonos ,39.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				209
				vendidos
			
		",(32 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,4.9,13,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-465278552-parlante-bluetooth-karaoke-mlab-60w-8-2-microfonos-_JM,12,1,0,0,0,#465278552,MLAB,7806,NA,5.8 kg,60 W,NA,NA,Negro
9, Parlante Bluetooth Bose Soundtouch 30 ,375.990,465.990,"
			
			
				
				27
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 62.665
			
		
		 sin interés
		
	

	
		","
				$ 62.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472184462-parlante-bluetooth-bose-soundtouch-30-_JM,NA,NA,NA,NA,NA,#472184462,Bose,Parlante Bluetooth Bose Soundtouch 30,Auxiliar,NA,NA,NA,NA,NA
10, Mini Parlante Bluetooth Usb Sd Con Luces Led ,2.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				94
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 249
			
		
		 sin interés
		
	

	
		","
				$ 249
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-486318322-mini-parlante-bluetooth-usb-sd-con-luces-led-_JM,NA,NA,NA,NA,NA,#486318322,NA,NA,NA,NA,NA,NA,NA,NA
