value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Llega gratis hoy,,Você tem 30 dias a partir do recebimento
3,dias,dias,Envío a todo el país,,Tienes 30 días desde que lo recibes
4,días,días,Envío,,
5,,,Envío gratis a todo el país,,
6,,,Entrega a acordar con el vendedor,,
7,,,Llega mañana,,
8,,,Lo retiro en el domicilio del vendedor,,
9,,,Chegará hoje,,
10,,,Envío gratis,,
11,,,Llega gratis mañana,,
