value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Envío gratis a todo el país,,
3,días,días,Envío a todo el país,,
4,,,Entrega a acordar con el vendedor,,
5,,,Llega mañana,,
6,,,Llega gratis mañana,,
7,,,Retiro gratis en local de Ribeiro,,
8,,,Retiro gratis en local de Frávega,,
9,,,Retiro gratis en local del vendedor,,
10,,,Retiro gratis en local de Compumundo,,
11,,,Retiro gratis en local de Garbarino,,
12,,,Llega gratis hoy,,
13,,,Llega hoy,,
14,,,Chegará amanhã,,
15,,,Envío,,
16,,,Retiro gratis en tienda de Geant,,
17,,,Retiro gratis en tienda de Mosca,,
18,,,Retiro gratis en tienda del vendedor,,
