search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso,Tiempo de carga
1, Cortabarba Multigroom Philips Mg7715/15 ,3839,NA,1182,175,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,116,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,81,27,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA,NA
2, Cortabarba Multigroom Philips Mg5730/15 ,3199,NA,1957,43,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,297,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-687451947-cortabarba-multigroom-philips-mg573015-_JM,219,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,4499,NA,646,15,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,212,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,141,55,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,40 m,220v,NA,NA,NA
4, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,2499,NA,403,21,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,22,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,15,6,1,0,0,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,40M,220v,Planos,NA,NA
5, Cortadora De Pelo Y Barba Electrica Gama Maquina Gm562 ,1469,NA,19,54,6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-788700027-cortadora-de-pelo-y-barba-electrica-gama-maquina-gm562-_JM,NA,NA,NA,NA,NA,#788700027,GA.MA,Afeitadoras,GM520,NA,NA,NA,NA,NA,NA
6, Afeitadora Philips Aquatouch S1030/04 ,1999,NA,700,53,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,43,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,31,12,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,60 M,220v,Planos,NA,NA
7, Afeitadora Corporal Philips Bodygroom Bg3005/15 Apta Ducha ,2499,NA,2502,103,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,193,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,144,44,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA,NA
8, Cortabarba Multigroom Philips Mg7715/15 ,3839,NA,1182,175,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,116,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=63roIvFauAXZOmLm6x85%2F2WdIP7CGpbT63ZUCIUvF8pHFK2Lm5aOSL%2Fj4sruSovKetRnXvsNm7x6rOBgULI%2Fy2WJStfuqzOE3MVH7OF3ksiF0LstVE8QqUJZtk9ht3EyUtFpWV1AzCdDISUkA1w4BWIaYhr8%2BLFa%2FicPi3iFD43KhXW6qWbd68Z5eav5DvIaVrC5L9ovUcOydlrKNj5qmhYU824sESy0NzPQPeZDiLmyw%2FDwuyW3dOKVcEOO9JAoib7LXeJe5svQvHQnIs10GnD7PVqJCaKxeML1H%2Fg%2Fu1XixrrXtxloGBtM4Mkre3%2BOAF1LrMf%2F%2FpiwBC%2B%2BCMu7Rv6pPT1o3QMdt1EcsVYJc8SKd%2Bl3lb8JP9R5h67K%2FWStK%2B4fo%2BMDTgny0ETnWopgLQwNqAqgvx7TOpYCXtJba%2FAYHWiMERIbM5Jtzse2QUcAemHvp2OA4Gf3hnXJS4XirFi8EVhAE%2F8sXJtkAKRCaQBcA68QndCFogqycY5APYE4nnjQWo7Lduk1c5CWY7WvEkxFFoLSGUfwnGU2LSluSI3a8zapkNijdlJackIgGS4APZLrn1I59MBLk5Frij2o5drXuN%2F%2BwtjnxdEaJF0PB5wusUvcSL26DJ0yy9KG1vEwfI3nHKwa5YE7aujyKTwb9gtxNeAeGWdRW3oCWAQ%2FrWg0IUrsGEaPqGrliht3WOwmQq0TIiqqeaygUz8lCildel8TNtvKd9%2F7vd%2BUIwYHGtvKuxxiv%2ByNjl4km2u8BYqM5WySR8RhcgGux2XYwe6bmnbriHCCW3ZlTMDFosE1STMaVL%2Bzjf5ALl0BSC1j4ArjudE5Mdgp1qbWLd7KOK2BEe1P0vjZqa4cGtjBZQBNYyjttbXlt9KFy3OoPK77u%2BkKLomWDizAUJWe1TGYsqKegsZNdxbjJ8jC1vmWM70aBO0%2BcSW9V00PkzYU2gy3x4pjJTTHyTPI9dwKCokKTCH9XF7Gqf6kgCG1CZLHrSTGt59Ktn9QrRO1ZVZkKaejj%2BpHTD49AKYy7kLPKIwGG45NFvjBqaHbE3oG4cpLG3yDmbRzC7%2B4eFsaOw6%2BPgxwa%2BHmRC2qyZJmKeU30LgXfjkR%2BEWnizMc3tR7pvw3DNciv7VMidfgmWuUE2dVhYcPkM%2B%2FEeYx3qfmOprdV7KWv8E44fNe247MkRVzxBs%2F%2BIbhofw9U39J1T0ebyWPNgpf5nbCfnAYRt6NQtIyw59NQUHYrnKZzG%2FwmF24KfF1Jj1FdjXMmXrdLUL2VLmwJBF5q8Z7wYGxJKmcz4W%2FUShFGO7DhFMvP3bRw6eeDxgItwYLWWj8XdA%2FEcV9Sf9mpwMwm9tVGIiE0Tz9mWKsYjLV%2Bp08DOMErKAmr6qEV4%2BCKXBp8dRXoqN6q2r45WGrB4ywZZVFwrm1REQafb0hN9r0%2FuniqxcZ%2Fe%2BeFkw1CnkXG7mW6orgTTMgqv11i3qJXDw1bKtiV32V1lktm7R8kRGqqELvpHBC7oG89srDl%2FkLGVT5C8j6SY8fCe2Tvps94NohuVNQR6z9AFOiqQeadEdCElm60xkxpC1o8%2Fe7Ix2Ap%2BniTuCm1PWAEIg3E35bjOmo4NfV9FYN5DkVcaRdaPMwUuJywKQrX6XxfnMKUGFESOeA%2F%2FKMriMnASybNEARGyuUh7S4g%2BrSN8k%2Fl7Ncm6Lwg7B7dZvZWxvEhO3fQTWRVgkW70DaIY754wVsX%2B5RjGzAEoV7Cz5PtaJPM89ezJAbSbUJZSt8BpdiSbNrLyE%3D,81,27,5,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA,NA
9, Afeitadora Recortador De Barba Phillips One Blade ,1799,NA,925,5,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,561,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM,378,123,38,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,45 m,220v,Flexibles,NA,NA
10, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,1399,NA,710,76,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,68,https://perfil.mercadolibre.com.ar/FARMA+YA,https://articulo.mercadolibre.com.ar/MLA-731504888-afeitadora-recortador-de-barba-phillips-one-blade-_JM,52,10,1,2,2,#731504888,Philips,OneBlade,OneBlade,QP2520/20,30 minutos,NA,NA,NA,NA
11, Corta Pelo Y Barba Afeitadora Gama Inalambrica Y Electrica - Garantia Oficial - Incluye Accesorios ,1669,NA,3966,2,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,442,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-y-barba-afeitadora-gama-inalambrica-y-electrica-garantia-oficial-incluye-accesorios-_JM,278,123,29,6,6,#618507579,GA.MA,NA,GC 545,NA,NA,NA,NA,NA,NA
12, Afeitadora Gama Corta Patilla Inalambrica Gsh Sport - Luico ,1035,NA,125,12,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,28,https://perfil.mercadolibre.com.ar/LUICO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-624061468-afeitadora-gama-corta-patilla-inalambrica-gsh-sport-luico-_JM,18,8,1,0,1,#624061468,GA.MA,GSH Sport,GSH Sport,NA,NA,A batería,3 Cuchillas de Acero,0.144 kg,NA
13, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,3058,NA,393,76,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,50,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-614330177-repuesto-afeitadora-braun-32s-32b-foil-serie-3-320s-340s-380-_JM,46,4,0,0,0,#614330177,Braun,Series 3,32/S,NA,NA,NA,Flexibles,NA,NA
14, Cortabarba Multigroom Philips Mg5730/15 ,3199,NA,1957,43,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,297,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=NlztbDXTUKDlR7oDszxd9QB5CYjuIX7F2ddZVFzoKOxIDSfGvcuZUIWCCIORGxvbNqoQUzrKTiavsmHbTwnYPm6HKPufeK%2B4JiSlSkZD13MAEM5I%2BI3SdRuEbo5fq0duM7IfBBrizMCEeRzg4G8yRvp%2BmcD5TabkOMzjARBM%2B%2FJO8OItCXktyZ%2FS8xIBT4pupvavJe6wbH62lZZRJtfBKT2qJdxDRbxvEu5wnC9VgOD9zha46O5IKX1%2FHj0E5jcGjNsPG%2B%2F6kwh9XnYAoSn4dV9wCvbu19qZy6SXvNrYtx%2B7lfiTlvK55aAdG62yOwZ4fXD1JpBleexSycsI%2Fb3cI2FEo0Djepy%2BMV51phoMXDiGLK988jb%2Bk%2BesecsM0jWfJEp9bnZ8agIVhtAf5CuBhZYFdx%2BXPHWuWdzqx9tHD8DfPp%2BKipugwd5AR74HK2hM8ROkOOdi2NxpoEuPuy264NMWA2QknfwqiQ3PxVG3OZJPwpK6hyXUpkzTZiY1Et%2BNNtwkzw2Ws2FIWdAVrtDyBnUdgGt%2FkTeplfbCOEQVvr8oSDFI2KCIsFoyHVrVJbQf0%2B81RRYb2QRFHF7XXGpfISHQbOLWj1QoPz%2B%2FvHMgNulH6a%2Fdj64Db626QekB3ih866gbnKK6vO0Army%2BuRuu2dpo4iwg%2FBhO8UjngI5b18yf27Un6w03RJytMfZmdYSn9Wbq3NqoT51UorUQWrfjD7RaVybEumNlq%2BzGl%2BtnAXUdo8ANj%2FzPEgcG2uK3Uqrcz4SvF8%2FcXPJO2jKEQ1DVzPUvp6CiqBD4Vl2972e7BNsrpjeHpgZIz19rw4mIqA%2BhQ1%2FSeSUbhrAVQ8kCSB6RmkknW0JlSgzngvfpxepyFYMUmp4uFcTeqLRLkd3OYlNMtQWDXePdGBQaeQl7AXfm5sHOglfM1bsc7g5ePYOlaybUIRKTzUXCbCN6KK3XuddjeXhUm7yh9uKV%2BFhRae0BD9ssUAJTZLUolXBG%2FqoGMFhhyj37KmQzLRrJ%2BT4XMVXeztBg6h%2F%2B4GhsGWGdpdjJZfLq8LdP8W0L%2FTxEj6gzd5d1PSIpDPkkQQOg4%2FcOlq8nLRykM5KtJVgk5Yh5fXOiREWrFZqUg1m3D5SXd6JsyI4jQiIpY96wXW%2FMLmXpveRddlaIQomMh0CyJKBRtRDP6F9A0j49wB599r%2BRZVh55W1avIO9Vvnf0wRMW0idhdgUTE8fC6jUC%2FM3uh0Sop3qWmWw4rdxnKdxLMwyV07qBKVUkiIS%2ByTsJIdyR68Tnz2O4MiwhSIERkxhklx3CGn0HGglAqbY8W1UIFGPOZm0SANMiN0tEXJR8FNjs2WRj%2FsRspAQ6xeikoYweA%2FAU%2FjiP0hMnb%2FLG7r5qKFbC6Gfm6dFwJTiu2EE4cvKIMaoJjlDKjm4yAF4kah%2FILymg1ZcUeTZaKZhTj3yalWmpWnw2FILaTb4Abq070mmXmtqGaMmd%2BKnnCixlaYr6pgXRIYgxubixGNWsPgoiEMDost1a5PfRO5tUE68Yc9nkJN%2FhsQPrsUiCMYATitNYVdMTQ5BtyKrXfrjk%2BOYwDsCa1O4rbrwHGxYUzCgON20Tsmy386jWDe2tozRcT5fLf3Lv1fc4RCpWQUMyt9QNWjBdBHK9kKi%2F6GClv0QQm25JzNUtfhMYhJPQbCoY9JFYcrnIXhFemyEIQBNcLYU6soeqs7lo95CTs7e1nxPxE%2FOa5Oc6hnaR4NOihJjKL06XZsTxSEOGiYbp%2BMsVhuZjVEM,219,72,4,1,1,#687451947,Philips,Multigroom series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA,NA
15, Recortador Multigroom Philips 11 En 1 Mg5730/15 ,3617,NA,64,42,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,34,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM,23,9,2,0,0,#624059346,GA.MA Italy,AFEITADORA,GCX 685,NA,NA,NA,NA,NA,NA
16, Recortador De Barba Philips Oneblade Qp2510/10 ,2299,NA,3881,41,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,753,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694476063-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM,567,129,42,5,10,#694476063,Philips,OneBlade,QP2521/10,QP2521/10,45 m,Batería,Planos,NA,8 h
17, Philips Oneblade Qp2521/10 Recortá Modelá Y Afeitá ,2990,3590,460,12,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,41,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-741917410-afeitadora-teknikpro-maquina-shaver-barbero-recargable-usb-_JM,27,12,1,0,0,#741917410,Teknik Pro,Barber,Fading & Shaving,NA,40 minutos,Batería,NA,NA,NA
18, Repuesto Afeitadora Braun 32s 32b Foil Serie 3 320s 340s 380 ,1349,NA,99,50,6 cuotas sin interés,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,244,https://perfil.mercadolibre.com.ar/BREN_OVIEDO,https://articulo.mercadolibre.com.ar/MLA-784339589-philips-one-blade-afeitadora-recortadora-qp2510-devoto-_JM,174,50,12,3,4,#784339589,Philips,OneBlade,Qp2510,NA,30 m,Batería,Planos,NA,8 h
19, Afeitadora Braun Serie 7 7840s Wetdry Alemana Sonica Premium ,3599,NA,152,4,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,10,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-757903232-cortabarba-philips-mg773015-_JM,6,2,2,0,0,#757903232,Philips,Series 7000,MG7730/15,MG7730/15,NA,NA,NA,NA,NA
20, Recortador De Barba Philips Oneblade Qp2510/10 ,2299,NA,3881,41,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,753,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=m0SOzwnj4CQfu%2FbtQT33hWyDIYdr2CCiE8ye6wBlnpjr8Xk44h3dCA%2FlzYl0rq%2BmX2gG5QA9Hr2Q0Z7Bw%2BRW3B6ure8G2eAvmuqUschofVtb4gSpDx4rhpE0n0IWMvyH2%2BJ3a3Ox32%2FH3kj537W87d2x%2FiYPzJxhc%2FEFtwCpNfwHc5xpnZzteRMGF7anRAPvn9npd3vTvPFJSzK4w9pHkBIpmTUX35aWp29RTrLZV4%2Bzt%2BJ2vorjAfdeql9W3gj61PKlb1A%2BpmtcYImsxZ8G9xAXeFQMk%2FxGAYvRK%2B9Y9AAQAcCINZYaFSs9JYEVDLOkO71787O22jk99duD6U0Q0l8qkwqDxBT2GOJ%2BALofaYTneCUTII9TuwGpLlcwwx2YD7LcJIMweMYuRzPNO3gkzfNDL0jkzKJJXAc23nnv%2BDGonUeSCgngabKUerZszUvetFKONdItpxCOppzMPBs64Ni7MjLIcVVgLwf5VgRvOCLBLS0ANusdGx1Fdl779QY6XGLUqSxvLaQg%2BTG98Lu%2FHew9xuByTrJSD14Xa8WMJHQgSqedJwDhT2y7qMrH2fVr%2BILmb6USGjpHKyTXw7yLX7p2ysvj6NqLAlxhxMC3jQsl6B5pNnikQWw6xADgMLEDH0E4h%2FeQCFezcbnhT0PtwvBK5ShaD8Q4huhYCa%2BCWxaNII92c70dzH18Mpy8Z%2FbSltzg4EokjhDHZ%2BsVkbIdUezoufIz4i9sht0%2BXLgH6nhZbpycyPn6PA%2FJkMT%2BbvKvGD2nr4zw299b%2F43v2HBsYweqHfLZc0FwwpD6bYonHDQ6Xwdh%2FidwD9AQ9dreTsl3nMxVX9DB9HXQenGqt0uyVEqML56S4cONQsehLiqti%2BGiSHq3XmnhBom7k68MYu7caagrgPTpj2B7xqxCmTl7Iu%2BoGVduuitUIKOmkj6Zdlcxc1XtunUfDO50fHUxmBC01akWN6SBl9vwFJO26ahFZ%2Bqe0A3z1RASta15Leo8e1yzw6LzCoS4zWco%2BXLtuK%2FrBMmyBR1dnWMYFe2wjLu%2F5iqhXQKyFBd3RpYPXMudhUrWR6925fzPjaTd8jYwaKj9gZER4sjio1mlXnkSTEBB3CgexPZvVoTpr%2FkHUzp9vnm21UV8pws5qe0cPhqFuV1w86godgEjBcW9N6F5N8CAJG6Dn5sH%2FFH3qpujyuJ1fIe6DDmdo4PN7BY1CMxOrXqMiUN1OHJthyqWfLjP2paPjLV9u%2BBCDQqP5yeCnoK3m6TDF1ooJUwnO5CnwW8MlnlW1RRW0DkAqKidi68h70mx3KJ9LlxTIh60T0ZoQfiKicw28Oh4YILxgjNBdmZwG8hzV2Yx0eKE%2FP9Uggv71Z%2FakfzImg%2F76bZRAM%2F9HzGfZRVwCnJyeCqCrtdmcyQCSg9%2FT%2FRpZuOMNBQ077ZcE%2F8cnhTePy4NXFrmYMINcN1lRze5uVgMQLJF6j7CNbij2HbQvNjovVjrOjfLSs04%2BmH84tftzI4u7SRZrbOCgHtgOOVNBaWhOuoip21Cr05K2w6zRpzBBcpTsQtVVxgMl%2B3Bhj1se%2Bu2gKUAjDDx9z6fT0U%2BcAovdhd5wTc6xGYOQC4uoRQa4GJpklkTS31UDqyAxn5Hxv9fJIw5ZPJcs%2Fv96oVGBS0rgRyQz8%2Bkhe4UzO1Zu5JTPyR3vpG20wVdjpNvkAkhqD8ksy8pTkyeEiNSHQ8z1QPxb%2BoWYJddb%2Fn2culT23DZVwIus8aJEWhRBgsDKahNdC2AofGV7ktHizHUv0VMIiNO%2FiQ%3D,567,129,42,5,10,#694476063,Philips,OneBlade,QP2521/10,QP2521/10,45 m,Batería,Planos,NA,8 h
21, Rasuradora Electrica De Barba Y Patillas Trimmer Gt 555 Gama ,2950,NA,3,97,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,93,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756788500-rasuradora-electrica-de-barba-y-patillas-trimmer-gt-555-gama-_JM,62,20,6,2,3,#756788500,GA.MA Italy,NA,GT 555,NA,NA,NA,NA,NA,NA
22, Afeitadora Teknikpro Maquina Shaver Barbero Recargable Usb ,3599,NA,631,414,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,21,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-747481161-maquina-de-cortar-pelo-y-cortabarba-bodygroom-philips-mg7730-_JM,17,3,1,0,0,#747481161,Philips,NA,Multigroom,MG7730/15,120 MIN,Batería,Planos,NA,NA
23, Maquina De Cortar Pelo Y Cortabarba Bodygroom Philips Mg7730 ,7100,NA,223,61,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,15,https://perfil.mercadolibre.com.ar/E-SHOP+PELUQ,https://articulo.mercadolibre.com.ar/MLA-674516231-afeitadora-razor-shaver-andis-profoil-lithium-_JM,15,0,0,0,0,#674516231,Andis,ProFoil,Pro Foil,NA,80 min,220v,Ergónomicos,140 g,NA
24," Recortador Philips Para Nariz, Orejas, Cejas Nt3160/10 ",2999,NA,85,4,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-779763785-cortabarba-multigroom-philips-mg573015-cuerpo-y-rostro-_JM,NA,NA,NA,NA,NA,#779763785,Philips,Series 5000,MG5730/15,NA,NA,220v,Planos,NA,NA
25, Philips One Blade Afeitadora Recortadora Qp2510 Oneblade ,2699,NA,108,6,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,561,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-736982489-afeitadora-philips-aquatouch-s103004-recortador-nt316010-_JM,378,123,38,13,9,#736982489,Philips,AquaTouch,S1030/04,S1030/04,45 m,220v y pila,"Planos, Giratorios",NA,NA
26, Afeitadora Razor Shaver Andis Profoil Lithium ,3599,NA,329,15,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,29,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-734476821-cortabarba-multigroom-philips-mg773015-16-en-1-_JM,20,7,2,0,0,#734476821,Philips,Series 7000,Multigroom,MG7730/15,2 hs,220v,NA,NA,NA
27, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1459,NA,6,12,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,1,1,https://perfil.mercadolibre.com.ar/PPSTOREPEPPERSRL,https://articulo.mercadolibre.com.ar/MLA-737092131-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,0,0,0,0,1,#737092131,GA.MA,NA,GC 545,NA,NA,NA,NA,NA,NA
28, Cortabarba Philips Mg7730/15 ,2149,NA,91,29,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,244,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-734543755-philips-oneblade-qp251010-afeitadora-2-cuchillas-recambio-_JM,174,50,12,3,4,#734543755,Philips,OneBlade,QP2510/10,NA,30 m,Batería,NA,NA,NA
29, Philips One Blade Afeitadora Recortadora Qp2510 Devoto ,13078,NA,232,4,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,142,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-617927378-afeitadora-braun-serie-7-7840s-wetdry-alemana-sonica-premium-_JM,110,30,3,2,1,#617927378,Braun,Series 7,7840s Wet&Dry,NA,50 minutos,Batería,Flexibles,400 g,1 h
30, Philips Repuesto De Cuchilla Oneblade / One Blade Pro ,1699,NA,114,19,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,753,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-755041912-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM,567,129,42,5,10,#755041912,Philips,OneBlade,QP2521/10,QP2521/10,45 m,Recargable,NA,NA,8 h
31, Cortabarba Y Cortacabello Philips Mg3730 Kit Profesional ,3799,NA,338,14,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,38,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729155884-afeitadora-philips-2-en-1-s152042-recargable-cortapatilla-_JM,30,6,1,0,0,#729155884,Philips,Shaver Series,S1520/42,S1520/42,45 M,220v,Flexibles,NA,NA
32, Cortabarba Multigroom Philips Mg7730/15 16 En 1 ,2499,NA,86,124,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,11,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-777861630-afeitadora-philips-multigroom-10-en-1-mg573015-water-retiro-_JM,8,2,1,0,0,#777861630,Philips,Multigroom series 5000,MG5730/15,NA,NA,Batería recargable a 220v,Planos,NA,NA
33, Corta Pelo Afeitadora Gama 545 Clipper Electrica Inalambrica ,1650,NA,26,4,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/TOMASSA+ONLINE?brandId=1449,https://articulo.mercadolibre.com.ar/MLA-749275441-corta-pelo-afeitadora-gama-545-clipper-electrica-inalambrica-_JM,1,0,0,0,0,#749275441,GA.MA,NA,GM 560,NA,NA,NA,NA,NA,NA
34, Cortabarba Philips Qt4015/16 Uso Con O Sin Cable ,5499,NA,138,5,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,14,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-733418375-afeitadora-philips-s507002-recortador-3160-nariz-orejas-_JM,10,4,0,0,0,#733418375,Philips,AquaTouch,S5070,S5070/02,40 M,220v,Flexibles,NA,NA
35, Repuesto Afeitadora Braun 21b Foil Serie 3 310s Original ,999,NA,35,8,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-785000530-repuestos-cuchillas-afeitadora-philips-oneblade-qp22050-_JM,NA,NA,NA,NA,NA,#785000530,Philips,OneBlade,Qp220/50,NA,NA,NA,Planos,NA,NA
