search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso,Tiempo de carga
250, Braun Mgk3020 Afeitadora Recortadora Pelo Y Barba 6 En 1 ,2436,NA,26,4,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4,5,https://perfil.mercadolibre.com.ar/PEDIDOSFARMA?brandId=1359,https://articulo.mercadolibre.com.ar/MLA-711337648-braun-mgk3020-afeitadora-recortadora-pelo-y-barba-6-en-1-_JM,2,1,2,0,0,#711337648,Braun,NA,MGK3020,NA,NA,NA,NA,NA,NA
251, Cortabarba Multigroom Philips Mg3730/15 Serie 3000 Tio Musa ,2199,NA,59,11,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,2,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-722195493-cortabarba-multigroom-philips-mg373015-serie-3000-tio-musa-_JM,1,1,0,0,0,#722195493,Philips,Series 3000,MG3730/15,MG3730,60,220V,NA,NA,NA
252, Afeitadora Gama Gsh855 Master Sport Recargable Inalambrica ,1459,NA,6,4,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BH+HOGAR,https://articulo.mercadolibre.com.ar/MLA-790914823-afeitadora-gama-gsh855-master-sport-recargable-inalambrica-_JM,NA,NA,NA,NA,NA,#790914823,GA.MA,AFEITADORA,GSH 855,NA,NA,Recargable,Giratorios,1 kg,NA
253, Afeitadora Philips S1520/02 Recargable Cortapatilla ,2399,NA,8,10,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,56,https://perfil.mercadolibre.com.ar/PANA5222628,https://articulo.mercadolibre.com.ar/MLA-791588242-afeitadora-philips-s152002-recargable-cortapatilla-_JM,40,11,3,0,1,#791588242,Philips,Shaver Series,S1520/02,NA,NA,220v,Flexibles,NA,NA
254, Maquina Afeitar Corta Barba Patillas Electrica Recargab Yoko ,449,NA,9,21,12 cuotas,NA,NA,Llega mañana,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CONEXIONCE+SA,https://articulo.mercadolibre.com.ar/MLA-790895695-maquina-afeitar-corta-barba-patillas-electrica-recargab-yoko-_JM,NA,NA,NA,NA,NA,#790895695,Yoko,NA,NA,NA,NA,NA,NA,NA,NA
255, Philips Oneblade Pro Qp6510/20 Recortá Modelá Y Afeitá ,2299,NA,22,115,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,251,https://perfil.mercadolibre.com.ar/FLADIMAR,https://articulo.mercadolibre.com.ar/MLA-719041789-philips-oneblade-pro-qp651020-recorta-modela-y-afeita-_JM,161,66,18,3,3,#719041789,Philips,OneBlade,QP6510/20,QP6510/20,60 minutos,NA,NA,NA,NA
256, Maquina De Afeitar Recorta Barba Peloz Naris Afeitadora 3en1 ,1799,NA,8,48,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/KIEROUNO,https://articulo.mercadolibre.com.ar/MLA-757827183-maquina-de-afeitar-recorta-barba-peloz-naris-afeitadora-3en1-_JM,NA,NA,NA,NA,NA,#757827183,Surker,Afeitadora - corta pelo - saca pelo nariz,SK-721,NA,45 Minutos/Carga 8 Horas,Recargable,3 Cabezales intercambiables,NA,NA
257, Afeitadora Electrica Philco Ae5100pn Cabezal Flotante Cuotas ,1688,NA,19,3,6 cuotas sin interés,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-749677197-afeitadora-electrica-philco-ae5100pn-cabezal-flotante-cuotas-_JM,NA,NA,NA,NA,NA,#749677197,Philco,AFEITADORA,AE5100PN,NA,50 MINUTOS,220V,Giratorios,NA,NA
258, Corta Barba Philips Oneblade Qp2526/10 Recorta Ahora 18 ,3077,NA,6,35,18 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,4,https://perfil.mercadolibre.com.ar/TIOMUSA+AHORA12,https://articulo.mercadolibre.com.ar/MLA-806056122-corta-barba-philips-oneblade-qp252610-recorta-ahora-18-_JM,3,0,0,0,0,#806056122,Philips,OneBlade,QP2526/10,NA,NA,Batería,NA,NA,NA
259, Afeitadora Philips One Blade Qp6510/20 Seco/humedo Cuotas ,3857,NA,23,21,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,251,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-733112291-afeitadora-philips-one-blade-qp651020-secohumedo-cuotas-_JM,161,66,18,3,3,#733112291,Philips,OneBlade Pro,QP6510/20,QP6510/20,60,220V,Planos,NA,NA
