search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
1, Cortabarba Y Cortacabello Philips Mg3730/15 Kit 8 En 1 ,44,55,527,2,18 cuotas,90.59,NA,Envío a todo el país,NA,NA,5,20,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-460600506-cortabarba-y-cortacabello-philips-mg373015-kit-8-en-1-_JM#position=1&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,19,1,0,0,0,#460600506,Philips
2, Afeitadora Corporal Masculina Philips Apta Ducha Bg3005/15 ,50,59,138,9,18 cuotas,102.94,NA,Envío a todo el país,NA,NA,4.6,11,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-458232589-afeitadora-corporal-masculina-philips-apta-ducha-bg300515-_JM#position=2&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,8,2,1,0,0,#458232589,NA
3, Rasuradora Afeitadora Electrica Corporal Y Corta Pelo Barba ,349,NA,27,16,18 cuotas,19.39,NA,Envío a todo el país,NA,NA,4,2,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259418-rasuradora-afeitadora-electrica-corporal-y-corta-pelo-barba-_JM#position=3&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,0,2,0,0,0,#458259418,Nova
4, Afeitadora Electrica Philips S5070/04 Ideal Piel Sensible ,118,139,92,2,18 cuotas,242.95,NA,Envío a todo el país,NA,NA,4.9,18,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-449012315-afeitadora-electrica-philips-s507004-ideal-piel-sensible-_JM#position=4&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,17,1,0,0,0,#449012315,Philips
5, Afeitadora Philips Mg5730 11 En 1 Rostro Cabello Cuerpo Loi ,62,79,43,2954,18 cuotas,129.69,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-461181873-afeitadora-philips-mg5730-11-en-1-rostro-cabello-cuerpo-loi-_JM#position=5&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,1,0,0,0,0,#461181873,NA
6, Afeitadora Portatil Micro Touch Solo ,998,NA,24,26,18 cuotas,55.44,NA,Envío a todo el país,NA,NA,1,1,http://perfil.mercadolibre.com.uy/ME+GUSTAN,https://articulo.mercadolibre.com.uy/MLU-464577321-afeitadora-portatil-micro-touch-solo-_JM#position=6&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,0,0,0,0,1,#464577321,MicroTouch
7, Rasuradora Afeitadora Electrica Maquina Afeitar + Accesorios ,449,NA,12,49,18 cuotas,24.94,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TODO+ACA,https://articulo.mercadolibre.com.uy/MLU-458259395-rasuradora-afeitadora-electrica-maquina-afeitar-accesorios-_JM#position=7&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,NA,NA,NA,NA,NA,#458259395,Nova
8, Afeitadora Recargable Philips Uso En Seco Y Humedo S1030 ,55,65,110,19,18 cuotas,113.24,NA,Envío a todo el país,NA,NA,4.7,17,http://perfil.mercadolibre.com.uy/PHILIPS_TIENDAOFICIAL?brandId=173,https://articulo.mercadolibre.com.uy/MLU-444960118-afeitadora-recargable-philips-uso-en-seco-y-humedo-s1030-_JM#position=8&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,12,5,0,0,0,#444960118,NA
9, Afeitadora Eléctrica Resistente Al Agua Punktal Pk-ms733 Oy ,38,NA,137,21,18 cuotas,80.28,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/OFERTAYA+UY,https://articulo.mercadolibre.com.uy/MLU-448668993-afeitadora-electrica-resistente-al-agua-punktal-pk-ms733-oy-_JM#position=9&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,18,7,2,0,0,#448668993,NA
10, Afeitadora Electrica Philips Recargabable 5070 Patilla Dimm ,117,NA,55,96,18 cuotas,240.89,NA,Envío a todo el país,NA,NA,4.9,12,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-448370701-afeitadora-electrica-philips-recargabable-5070-patilla-dimm-_JM#position=10&type=item&tracking_id=470094d0-4d52-45da-a16c-f3f7aac4747d,11,1,0,0,0,#448370701,NA
