search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Cantidad de cabezales,Tiempo de carga,Peso
11, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,4699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				654
				vendidos
			
		",(19 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,219,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM#position=11&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,146,56,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,220v,NA,40 m,NA,NA,NA
12, Afeitadora Philips Aquatouch S1030/04 ,2499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				989
				vendidos
			
		",(25 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,576,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729696881-afeitadora-philips-aquatouch-s103004-_JM#position=12&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,389,125,39,13,9,#729696881,Philips,AquaTouch,S1030/04,S1030/04,220v,Flexibles,45 m,NA,NA,NA
13, Philips Oneblade Qp2521/10 Recortá Modelá Y Afeitá ,2199,NA,"
			
			
				
				3891
				vendidos
			
		",(31 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,755,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694476063-philips-oneblade-qp252110-recorta-modela-y-afeita-_JM#position=13&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,567,130,42,5,10,#694476063,Philips,OneBlade,QP2521/10,QP2521/10,Batería,Planos,45 m,1,8 h,NA
14, Afeitadora Ga.ma Gsh 900 Inalambrica / Recargable ,1841,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,3.8,6,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7Jr0LbTM3syDkEPd57ijKrhqDIcLMwGRMQJygRfuRNKR3LI5ZPjGqvKPWQxCKZZkTTre14VXlB2hZmBVkORSCk2YlrmBGTDcRVQlRzKBy0Y1Wo2vggbsUNslxPznEN6d1PXSUsUSB2AKVKMM7a5t9RQBVhzfYNHeK8jzfBwubplyOBO8KOSx6x4%2Bt1jkHLQxX0wAdcCDu9qJfJc51MGPkVtezFk2zBYk42OIhWS5%2Fm66xmPS%2FviWqm5N57HJYBsu9BqI8dKYeTUyw0Rx%2FajlK0bLGNAyw4KCylSI84YSkKxzEGONp7gIhGqaUuBVx5zOPMACiBZwvUUmoeZnR2T%2F%2Fto%2FTfOLSLRIiBxiUep1g4q502mOYGGBs%2FraEhMc3AaZgSROYmjJlPmKg7aluwYm4rTnbaE89rFKTA5PZmBclNLA5xJlsZmpMn7UNlTifkCsWt9ZAK%2B3Ck5rIBeR4H71GZaNmztjCBL4pY2KcSFvrCIodOPnZYEh%2FNY%2BXhUthsY6KMd7sKee8Y3TEolhbhQpZZe5I8ZBzsdYAsxfrt83Xu4WYWywoNIflRI41fMcYtTm7YF7n5RLLrx66V3ivV4lnu%2F%2Br1zMvJAyuN2Kr0m7poo7XpZmSsgR%2BCXHOHPgjO2t3rXBaB%2BnCkfxkkfxrNtvxdt6uqhdMNVn77SH9Pj4bSVFn05dRXuF1BizLYA%2BWb7JCBkoXegaffhVbFtprSfB1vmBaFEVp8YCWyB3KnMx36kH%2BHeLBxE5yp2Ll%2Bh2xgKx6b4afW2aMTf2Z3bqtLH5%2BEn%2FXqrGM%2F%2BwnglZHABrMFssiHlrbhp%2BjSIMsCQcZtcBdUeXxo5mOPGI1LrqOfqnN3C8e4o7Yd22rNNNsX7AkbE%2FHu62UOSQSpRr71KTRuOz0QKFg3pU9KG0xpBXJCdDStuU32LFnceJaf6HsoKvqb21dCV6uyVCkGYLSEBL52lKCHEO%2Fdad1U0VaPt8FPKwVj6g4Jsfhkf6PnTtHsLL9tza%2B%2FekIhhN3uEX4Rs%2BTNJrENhm3VrNSn5jXZNpFck5rVYvFjU1I8oigshfZRjt%2FzTK4wL%2BMXuKYZpLbke3DlFLXAijhG%2Fc4NJTB%2BdKFOsTHwjiDR%2BltexHS%2BA%2FU1kFbDjL%2BePhtL7IzNKYtRmboQbgAgp1Qj5t4dsIWN5Z43VS%2FrWyhBy6toAe9Keo04FQBiX5LAx6K8h7bFEEkLsh5DmVjdxzJ4Cz0u8bb3ybzWx2aGl0mPyFIAyz%2BBlYj30XJdEihU8p9KzC2HFJW7rqAoVe%2B7dPxvsACIwbKmfVVFIK1jI7pdOam5zE1mlH%2BP9qA0Qayad32rfbPvxgkhPp7VD8v9GHXsJSRxsGZvgtcSIGKRuk52LGcVjRDiyNx4LH8nwBkyfZ59Fbp7g%2BXn1N1idBE0BhDdDZWwwLKImcz7nG59LE9W%2FZ18bywHJZUuSSzNBFGGldNKO5%2B9lXNkSAZAZTkbpndOPR3JNizti9KAC8rvUmsJ3%2Bkzu3ti1uHVGSSG1J%2Bxk3q2%2BfdMwlyMqwEHFPa8cuK8wQllrt%2BIGdnbGbX0torXYAmh30jzhnshNxaVURV8Fg6%2BI6YLHGdEKHXzJi5Reey0Mx07v6rEokSK5XuQzy3LYvMrjKFFP9er0lMBwiSR8iTrRFTfoVlAsxtR8ySTJAs5eARFeojBbORhghAAc%2FN40gpaoZjT6FQtqKX01yVrZtWVC3Z%2FqmplQF4d4Jx8tM9kPBVOoP6vAkgJzwSx9Xx3PxesaMSLl2dvOQHlgvp1WoysOdPLX5OtiHwO2w0XN12%2B1zPMGDL2aou1Z44Q6bDizMGNV0KBZUiFtNE75fEOCH4miFYkFK1cvOHo3gNuEvpnOYwcSbwXyn2YbWJcr7ktg%3D,2,2,1,1,0,#753922782,GA.MA Italy,Afeitadora,GSH 900,NA,220,NA,70,3,1 m,177 g
15, Rasuradora Electrica De Barba Y Patillas Trimmer Gt 555 Gama ,3540,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(96 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,95,https://perfil.mercadolibre.com.ar/FULL_PROF,https://articulo.mercadolibre.com.ar/MLA-756788500-rasuradora-electrica-de-barba-y-patillas-trimmer-gt-555-gama-_JM#position=15&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,63,20,7,2,3,#756788500,GA.MA Italy,NA,GT 555,NA,NA,NA,NA,NA,NA,NA
16, Recortador De Barba Philips Oneblade Qp2510/10 ,1599,NA,"
			
			
				
				1801
				vendidos
			
		",(33 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,257,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-694466683-recortador-de-barba-philips-oneblade-qp251010-_JM#position=16&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,181,54,14,3,4,#694466683,Philips,OneBlade,QP2510/10,QP2510,Eléctrica,Plano,30 m,1,NA,NA
17, Repuesto Afeitadora Braun 32s 32b Foil Serie 3 320s 340s 380 ,3099,NA,"
			
				Nuevo
			
			
				
					 - 
				
				401
				vendidos
			
		",(68 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,52,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-614330177-repuesto-afeitadora-braun-32s-32b-foil-serie-3-320s-340s-380-_JM#position=17&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,48,4,0,0,0,#614330177,Braun,Series 3,32/S,NA,NA,Flexibles,NA,NA,NA,NA
18, Recortador Multigroom Philips 11 En 1 Mg5730/15 ,2599,2999,"
			
			
				
				420
				vendidos
			
		",(65 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,30,https://perfil.mercadolibre.com.ar/WALMART+ARGENTINA?brandId=176,https://articulo.mercadolibre.com.ar/MLA-780584124-recortador-multigroom-philips-11-en-1-mg573015-_JM#position=18&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,16,12,2,0,0,#780584124,Philips,Multigroom,MG5730/15,MG5730/15,Batería,Cuchillas Autoafilables,NA,NA,NA,NA
19, Maquina Afeitadora Profesional Wahl Finale Lithium Ion ,6890,7790,"
			
				Nuevo
			
			
				
					 - 
				
				89
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,50,https://perfil.mercadolibre.com.ar/TIENDADEPELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-713758106-maquina-afeitadora-profesional-wahl-finale-lithium-ion-_JM#position=19&type=item&tracking_id=b632638a-898d-4b99-8500-18ce28292c8b,32,12,4,1,1,#713758106,Wahl,5-Star,Finale,NA,Batería,Planos,Inalambrico,NA,NA,NA
20, Afeitadora Ga.ma Gsh 930 Inalambrica / Recargable ,3699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(36 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,42,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=zsMBDrak4KfUT4SFG8mhgIJeUZbzaFp0fRozA8GsEZX3UKUzsg3n5hMHaQlLTIs5DvyFLtVGuTrq1VUn5r%2FeHErc0HJ%2Bezb2azgPrUnsSRpNfeQO7Up0PNdO1DPznSgDf92%2FLua8vNOFqH99iIODAJ6Ze3n%2FEnYF8OfHOGFFcptx2Yv69Pj4OpDJRiCKi%2BUZI%2BpWmYPhB1oMUl3qV%2Fl9snL%2FbtHmxj7ZPFHIDj79sXzfQz2AboRJpw178HJcHgQvNzwRpO%2BoJZeJDr4VuC%2FdzyvtGkkTZ1yHeqp4Q4BTUIfXfZhdOXiiehze6Np3FdVKCwfYnCPM99mupmWtWwJEDdASXawFAIGGbqpvqc7Vvn%2FMaOk%2BJhG%2F%2Fye5L9S4pDMnSairjtno%2BJQRawdMRrPS%2BiTTzagrsKA7V3K1kmmgfYAf7m8vvb6ir2tiaot%2BN%2B80ehix65Eks6ktVJplgieFxpEWYQiKfIbjEzLtbEuhgSZSPJHsoXLbSgVq%2F8XAuzz7NpyBMeaAQ7btFvrNRLzz3b5xMmzymKCxIb4QcLTS%2FhU0xUy2KLDyI973u%2B44j4mhVVSQU0VfRFmUbwyGa7ZrDKwDGMoSJ9zrpi3cW5T9F6ZyVgZFzX4vGk0NsPeA3V3xVhGC3f6kmstgJQd2QUMjTRlWCQjBjy57kz0Q8WBhYCBD5NOaarujaomi1M%2FgL0mbeanmAcc2F4iIJckaieaREcaQuTbF0XcL59AtslBuQTVch1FiB2V%2FXGkSeIEkNZYkmacP7qk1RDEIBsP8Yl9KPAiWRgQIa6tLkEnZ5rdZPBBESqN4ifNp4ta9NttX2aqmyY%2FSmjlcHJTB7Arog0B3GonymSKp%2BVhXea5r5ta0zgo0fYMYEWUbivk9ZKk4iK89ZnBRz6slEFu6fyItc5aeuQHefPu3X%2BjLwsonuyjO2hH2LoDowSyArNMshQpjbx3pr3oA8gIeTTxuKexqa%2BxHLLKL5qUTKHvZbfGh4rUvaSTKDNvYSfj3aeJ24HpYFe1zyMhFVbnwic9YoKMO3cc0EZIgZe87OlSUIDOR8E7rv8vROvjcyGxTZbXYy%2FaTekChbr5GTH4%2B%2BOgOyejlt3XEFl3mB0%2BTghWg9fKjwZ01aOxXGg54S%2FRFdijLVPR%2B%2BrrbWB3ua8XbiRHEpW9Mg8raju9BwfTI9jo4U3%2F3N3ui6sJx3QRjDahJrQhKeeNBJUBP4Io20wUuSrUCL8HVnY%2FgD0KSeuyAOHYFqV9SmV9q4KJzIX1uDCiBoIGB83JPVrYjoyhBLlPfV15XC4xRqyjiv4iXEfjR4z4dfoaiFfC4PL2hucF%2BqdrCMLptr6GMTCd2LVWz1y0SA6PEe%2BdUCE4z3aXXB4hgG2AikHGyZeU9J3AaW0lI4SuzbkYwe7CkaEFmiUJ5QOzUzK0qC8zc%2FH%2BUoxbT93NVKU5fTusORt7yJj6ZD2idrKY6R8%2BADRbxhI0%2FAA3ayR1VJM2ltoeXeK3D54cdWLPDrvqgUk0jUr7gGkfvSpOqZTObUGK9VMonUV7cdlRwNHMqOcjAiQYQJYjZ2HSnt8MnpmAiLztpz1mDo0%2Fji%2BeKeCGAVazHfrhbavZseqLbe5ZJokaAyIK%2F92QDXam6r2UcN7KvhViDNRR4OtH4lLoudiimzRmZndLW%2FETokAZFnWozv61A9%2B%2FyWlSkqTO8RcZB75HA7pheS2VPi31RUdIEY1mha1gNVGmG5ZFfQ5VdtwLjUr%2FPd5xD9GoLeP38QIdI2U%2BaBraqfrV6sysc%2FP7A54%2FHMxAh0EAaKzPana9kxFPHVy8fXcyEMmVvCn%2FrvAszTunKxgKbkxewQxrx4c3dDh%2BtYgCcpuTAp%2FVZ7NVQXqCr2thAcYUGRIYYKkw%2BuM0%3D,27,10,4,0,1,#753923584,GA.MA Italy,Afeitadora,GSH 930,NA,220,Giratorios,70,3,1 m,500 g
