value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Llega mañana,,
3,días,días,Envío a todo el país,,
4,,,Envío gratis a todo el país,,
5,,,Retiro gratis en local de Frávega,,
6,,,Llega hoy,,
7,,,Llega gratis hoy,,
8,,,Retiro gratis en local de Ribeiro,,
9,,,Retiro gratis en local del vendedor,,
10,,,Retiro gratis en local de Megatone,,
11,,,Lo retiro en el domicilio del vendedor,,
12,,,Entrega a acordar con el vendedor,,
13,,,Envío gratis,,
14,,,Llega gratis el martes,,
15,,,Retiro gratis en tienda de Geant,,
