search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
923, Cocomii Tank Armor iPhone 8/iPhone 7 Funda New [heavy Duty] ,38.120,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.177
			
		
		 sin interés
		
	

	
		","
				$ 3.177
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485730564-cocomii-tank-armor-iphone-8iphone-7-funda-new-heavy-duty-_JM,NA,NA,NA,NA,NA,#485730564,Cocomii,Apple,Bumper
924, Funda Para iPhone 7 Owl/funda Para iPhone 8/iwone Designer N ,29.809,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 2.484
			
		
		 sin interés
		
	

	
		","
				$ 2.484
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485730577-funda-para-iphone-7-owlfunda-para-iphone-8iwone-designer-n-_JM,NA,NA,NA,NA,NA,#485730577,IWONE,NA,NA
925, Funda Para iPhone 7 Elephant/funda Para iPhone 8/iwone Desig ,36.299,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.025
			
		
		 sin interés
		
	

	
		","
				$ 3.025
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485730588-funda-para-iphone-7-elephantfunda-para-iphone-8iwone-desig-_JM,NA,NA,NA,NA,NA,#485730588,IWONE,NA,NA
926, Funda Para iPhone 7 Dreamcatcher/funda Para iPhone 8/iwone D ,35.041,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 2.920
			
		
		 sin interés
		
	

	
		","
				$ 2.920
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485730850-funda-para-iphone-7-dreamcatcherfunda-para-iphone-8iwone-d-_JM,NA,NA,NA,NA,NA,#485730850,IWONE,NA,NA
927," Dimaka Funda Para iPhone 7 And iPhone 8, Geometric Design De ",32.989,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 2.749
			
		
		 sin interés
		
	

	
		","
				$ 2.749
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485731527-dimaka-funda-para-iphone-7-and-iphone-8-geometric-design-de-_JM,NA,NA,NA,NA,NA,#485731527,Dimaka,Apple,Bumper
928, Kate Spade New York Protective Hardshell Funda Para iPhone 8 ,91.921,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 7.660
			
		
		 sin interés
		
	

	
		","
				$ 7.660
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485731725-kate-spade-new-york-protective-hardshell-funda-para-iphone-8-_JM,NA,NA,NA,NA,NA,#485731725,Kate Spade New York,Apple,Carcasa
929," Microseven Compatible With iPhone 8, iPhone 7 4.7-inch Funda ",36.291,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.024
			
		
		 sin interés
		
	

	
		","
				$ 3.024
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485731755-microseven-compatible-with-iphone-8-iphone-7-47-inch-funda-_JM,NA,NA,NA,NA,NA,#485731755,Microseven,NA,NA
930," Zvedeng Wallet Funda Para iPhone 7/8, iPhone 8 Card Holder F ",48.887,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 4.074
			
		
		 sin interés
		
	

	
		","
				$ 4.074
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485731985-zvedeng-wallet-funda-para-iphone-78-iphone-8-card-holder-f-_JM,NA,NA,NA,NA,NA,#485731985,ZVEdeng,Apple,Flip Cover
931," For Iphone7-plus,iphone8-plus Liquid Mermaid Kickstand Funda ",36.320,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.027
			
		
		 sin interés
		
	

	
		","
				$ 3.027
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485732208-for-iphone7-plusiphone8-plus-liquid-mermaid-kickstand-funda-_JM,NA,NA,NA,NA,NA,#485732208,Goodaa,Apple,Carcasa
932, iPhone 8 Leather Funda / iPhone 7 Leather Funda Black - Kanv ,56.005,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 4.667
			
		
		 sin interés
		
	

	
		","
				$ 4.667
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485732902-iphone-8-leather-funda-iphone-7-leather-funda-black-kanv-_JM,NA,NA,NA,NA,NA,#485732902,KANVASA,NA,NA
