search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Color
1, Audifonos Bluetooth Táctiles Brightside Alta Calidad ,99.9,119.9,295,30,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4,22,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-498314603-audifonos-bluetooth-tactiles-brightside-alta-calidad-_JM#position=1&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,11,5,2,3,1,#498314603,NA,NA,NA,NA,NA
2, Xiaomi Redmi Airdots Audífonos Bluetooth Originales ,97.9,NA,529,5694,36 cuotas,NA,NA,Lo retiro en el domicilio del vendedor,NA,NA,4.6,59,https://perfil.mercadolibre.com.co/CASESHOPCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-523095422-xiaomi-redmi-airdots-audifonos-bluetooth-originales-_JM#position=2&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,43,12,3,0,1,#523095422,Xiaomi,Mi,AirDots,In-ear,NA
3, Mini Audífono Inalambrico Bluetooth + Obsequio ,14,NA,793,11,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.4,10,https://perfil.mercadolibre.com.co/COMUNICACIONESID,https://articulo.mercadolibre.com.co/MCO-495064791-mini-audifono-inalambrico-bluetooth-obsequio-_JM#position=3&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,7,1,1,1,0,#495064791,NA,NA,NA,NA,Negro
4, Audífonos Xiaomi Redmi Airdots Bluetooth 100% Originales ,97.9,NA,418,182,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,22,https://perfil.mercadolibre.com.co/PROVEEDOR123,https://articulo.mercadolibre.com.co/MCO-522280654-audifonos-xiaomi-redmi-airdots-bluetooth-100-originales-_JM#position=4&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,17,3,2,0,0,#522280654,NA,NA,NA,NA,NA
5," Audifonos Inalambricos N65s Micro Sd, Fm, Bluetooth Lcd 1.5 ",28.999,NA,685,2,12 cuotas,NA,NA,Lo retiro en el domicilio del vendedor,NA,NA,4.6,23,https://perfil.mercadolibre.com.co/OFERTA+USA,https://articulo.mercadolibre.com.co/MCO-453313132-audifonos-inalambricos-n65s-micro-sd-fm-bluetooth-lcd-15-_JM#position=5&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,17,5,0,0,1,#453313132,NA,NA,NA,Over-ear,NA
6, Audifono Auricular Manos Libres De Gotica S530 Bluetooth ,9.4,NA,899,353,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,13,https://perfil.mercadolibre.com.co/EULALIAGIRALDO,https://articulo.mercadolibre.com.co/MCO-514308368-audifono-auricular-manos-libres-de-gotica-s530-bluetooth-_JM#position=6&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,7,4,1,1,0,#514308368,NA,NA,NA,NA,NA
7, Audifono Bluetooth I7s Tws Tipo AirPods + Base De Carga ,30,NA,558,93,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,3.4,15,https://perfil.mercadolibre.com.co/VYH+TECHSOLUTIONS,https://articulo.mercadolibre.com.co/MCO-498995590-audifono-bluetooth-i7s-tws-tipo-airpods-base-de-carga-_JM#position=7&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,3,7,1,1,3,#498995590,NA,NA,NA,NA,NA
8, Audifonos Touch Bluetooth Auriculares Inalambricos Manos Lib ,118.99,NA,619,208,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,35,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-479127462-audifonos-touch-bluetooth-auriculares-inalambricos-manos-lib-_JM#position=8&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,23,8,2,1,1,#479127462,NA,NA,NA,NA,NA
9, Audifonos Bluetooth Inalambricos Magneticos + Estuche ,21,NA,719,2,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.1,26,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-502127141-audifonos-bluetooth-inalambricos-magneticos-estuche-_JM#position=9&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,14,4,6,1,1,#502127141,NA,NA,NA,NA,NA
10," Audífonos Sony Bluetooth 950 Bt, Llamadas, Sd, Fm + Envío ",70,NA,84,13,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,4,https://perfil.mercadolibre.com.co/CORALLI+SHOP2,https://articulo.mercadolibre.com.co/MCO-468838457-audifonos-sony-bluetooth-950-bt-llamadas-sd-fm-envio-_JM#position=10&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,2,2,0,0,0,#468838457,Sony,NA,NA,Over-ear,NA
11, Audífonos Hbq I7 Bluetooth Inalámbr 2 Auriculares-blanc ,29.9,NA,244,93,12 cuotas,NA,NA,Lo retiro en el domicilio del vendedor,NA,NA,3.3,7,https://perfil.mercadolibre.com.co/VENTAS+CRT,https://articulo.mercadolibre.com.co/MCO-513544770-audifonos-hbq-i7-bluetooth-inalambr-2-auriculares-blanc-_JM#position=11&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,3,1,0,1,2,#513544770,NA,NA,NA,NA,NA
12, Audífonos Hbq I7 Bluetooth Inalámbrico Los 2 Auriculares ,39.9,NA,280,47,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,3.7,10,https://perfil.mercadolibre.com.co/MARIAARACELLYSALAZARDUQUE,https://articulo.mercadolibre.com.co/MCO-494087700-audifonos-hbq-i7-bluetooth-inalambrico-los-2-auriculares-_JM#position=12&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,4,3,0,2,1,#494087700,HBQ,NA,NA,NA,NA
13, Audífonos Bluetooth Deportivos U8 Anti Sudor Original Nuevo ,49.9,NA,1104,373,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.5,60,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-468795741-audifonos-bluetooth-deportivos-u8-anti-sudor-original-nuevo-_JM#position=13&type=item&tracking_id=8bc4d9ec-9120-4da1-9948-29740fba635f,38,20,0,0,2,#468795741,BlueKatoom,NA,U8,Clip-ear,NA
