search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Formato,Marca,Color
13, Auriculares Bluetooth Inalambrico Android iPhone Jogger ® ,330,NA,449,3986,18 cuotas,18.33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-449191430-auriculares-bluetooth-inalambrico-android-iphone-jogger--_JM#position=13&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,NA,NA,NA,NA,NA,#449191430,Jogger,In-ear,Jogger,NA
14, Auriculares Bluetooth Control Táctil I12 Tws iPhone Android ,1980,NA,2,4,18 cuotas,110.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DESTROSTORE,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=4Px2p%2BHpLSvZ9RKFwOyjgs3I%2BUXBO3%2BQ9kwEIvQn4oiZWdXVqy%2FtPm1m3YC3tM6KKhlwdj97h0dwx24DkXzDBRpsr1kd8g29sUB0Orzb52RAWW9LTCcr1N7xkS%2BpHpyklollMNGP1ql%2FpWijAPGxKJK9hkQZa2NoaIOaQxDBTpYkCjKW7TLLeTfhHqMMIO8%2BVsS%2FBr7CFYhLgyjxGbMrfMnXZcZc9Eob7zbbSPdmQFAT7fZCKwN0fhvrLcU%2F9VyeTzGn3wVkEUZGlpoRY6Ghj9uVyH5BQi18w5CkXG5ofa7%2BtIYR23dcgSYXmTG948OoCzK%2BE4ZW%2BC1Rz57huoCJwsXuQgfQhYkVlKk8KIipwuSb3CBgzC6Iz6CBvkalxDakKY3aYn8gDi2U5A1h09hDumUzEozvsFN1OxwDMr2aCkS03EULQEpBISRxgfnLEMs3D1Y9FSOUVkMaGOQlHu0T5TjUU2ib7kD3A1w6BJexz%2BAkYiNxHFLMStW98U0VYSQ%2FD3QMmODERLFhYnAqt4FZ6KFIBG2PXM%2FYr9Z7EvFIB9%2FSG0vjShHi6%2Fi93QDM4QIqsZYInMxcOWcqBMSo%2BZR6gHVKnF6H3fBHylnHG9eUqQjMAkOL9QhbgbMMsubSlNw%2BbJJzoZiOFX9sRykVQ%2FJUPyc8LUTr2ASNsa3cfc3fkRrME4olu%2F9jP8et6C0i5M63vGXuWq8e0zXhU5RfPk7aztkh2%2BY9zwiNp3WMu%2BLgAstuMw%2FZd9rAirFowPf1jqWFyXpWar6wDs213TrR%2Fgo7Cim5KBlCdDIHwP919r6HYxGVDVBdxNTd%2BDnNkKmyYHjTKlTe0FJVgyzi7KLySrDJpcVkljq09n3TSO9DEW3kxSYWrrscDq8nc5TSGV%2FBqw4wCvzp9Atw3B4WU3vbyuR5s3kRo7Tt2sjyXvUChkYGRcER4MypdHen3UoJ7fWN61%2Bmg4fwFBky4msAtHux3JrWGzVuOE8LflUETZC3s74TgntIvlocjrdKZ95oybT%2BVHchCD9vcDQ9zzSrTK23%2F9cEmdBUMYpYolO7%2BBmfvYK5pinfm%2FmCmp9Riq%2BNu0LCCKmBzeoE%2FnU%2FKVZJ8lNWiEQCGlPBPcwpFkOay9xIMYV%2BgLLe892%2BTJErvfbJZ1jD2N6ew78iNNbHcrejOlQ%2F8ztU7ZTOPFIH7IJXa0vwWXszm69pgfYbEZPSYiq9hPDsPahjIh3Qs01nV0XG6Yw6sXiFftpP1DEXK63EVYk22romQsVRGQvFgT9Sbtup%2FZi%2FoMYlH97BswRc6cDzhDwnfAB%2FLG4rj7jLvWG17LJ4jYZTO1qZ0Tg%2B6bV9NNdkus%2BL1%2FOziD2Xo%2BEF%2F2LVK7QEo3OaxOSn2M%2F6gY78S69KAA%2FOaYIb5ST8a25A0u9Xa05RZTWTGCJc77nmla9Rzb63agiS462F%2B5fxXIDz7AshJd%2B%2F%2FWQwVJgSG%2B6nk5t50mBgE8q2shY04bd605JZ58CYAiCdhoB1eTz7UpBXUe0aAqMOZvouJlUlVbL7is9%2FWic5gWXTBXNWPuUx6E3eY3E9gwm125%2BhPx1WcQWkvzzWrckVgSGYtH3KvMZd7Q1eTnpvELaB2KNquU5qxr6nGpwzp5GX8vrmiih2HO%2FlNiSEe33Ym710cJc3Owq0WF8hWTGEUg41RdqBXnoawXvnPHCZPdCwSAiCKo%2FkT69BO2q03TrZr2Fw7WuXGpIalRCWUohPGJtZYZIa51I0hkUhnizZU9isLIJhMxNOkYpjSGsQtwLxbfZIqXhv9ZK3HksuLWHj96Ce,NA,NA,NA,NA,NA,#465769026,i12,In-ear,NA,NA
15, Auricular Bluetooth Manos Libres ,160,NA,54,46,18 cuotas,8.89,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/DISCBOX,https://articulo.mercadolibre.com.uy/MLU-462802945-auricular-bluetooth-manos-libres-_JM#position=15&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,1,1,0,0,0,#462802945,NA,NA,NA,NA
16, Auriculares Bluetooth Deportivos V3.0 Calidad Premium ®tc.uy ,347,NA,81,928,18 cuotas,19.28,NA,Envío a todo el país,NA,NA,3.7,3,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-452512494-auriculares-bluetooth-deportivos-v30-calidad-premium-tcuy-_JM#position=16&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,2,0,0,0,1,#452512494,NA,Headset,NA,NA
17, Auriculares Bluetooth Inalambricos Tws Touch Two iPhone Clic ,57,NA,57,20,18 cuotas,117.20,NA,Entrega a acordar con el vendedor,NA,NA,4.5,4,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-458899528-auriculares-bluetooth-inalambricos-tws-touch-two-iphone-clic-_JM#position=17&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,3,0,1,0,0,#458899528,NA,NA,NA,NA
18, Auricular Inalambrico Sumergible Natación 8gb Bluetooth ,58,NA,2,27,18 cuotas,119.25,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=F0I7gd%2B82DOvpMJNiYGePzUzQxEQ71g3LH3qO7KzXLNO4TpJxaMvThZ4bt%2B0l5c4uGNR89v7DTtpa0SNTYvUb4fNxlU4IzeJcofxfvxnfimyQlgMSqAJxkQCJsaoFZMQeQWrkalszErct6XKWYvFoTIMOd%2BO8g4wmLEOPrlTJsZ4583BIrM%2BA6wjpWVkUF7%2FxMpIxYDnGzSPeSxJ1S92yqGO%2Bdh5p8mcuxLw1KAFEFnCR0ylif2R1ZCvUQU7CLvs%2BZ525V5tsUzsHP56W44ahT3JFNzf9f6OaRhKjhANdQShZwuznrCW6nzRXppjnS0M8zDg4bJHGuuivTjRejN4%2FAuvlCJBjUOgp9%2F2dNS5C%2BubcRSk89LM1hXkZc%2FnNydnBcHluHSH0aVxVUDNRY%2BbS08HWQCTfl5APbu1ES3IZiI25oZuqso13PrGW8JKLpgQAmlL7wPzXfHlXgJW%2FgJO0oknCfDxNjIoc9k%2FhHM1sd5nu%2F8Pvfqdp%2FaCLXSMOSodHBCNTQ2WAgMD%2FPKid8Clne%2BeqIyBytTOIeOL9Uj8%2ByMoSdHduzrSo8KO4d5BwDRlFN8o0Y5tO%2BwoZHQgO3hcSYrmeXvQAeCpBPtjiwYmgE5igZPhoSoC5H3Fn6Xvbw6teZrCYFx8plRju1dMZ3i%2B%2FnJkaoBy196CrYscZZGtmu0kkagkud%2BhDuhpKok9FOZxOnEZYoe0mAEn73V5rIIEh72XG3xzYgTvRxe2KXHVjAMLp36ALdpEHJN6stwkbkys3vAP88upxxnOTd%2FIJ%2FPDD4rPL7G1hYK0xvn7Ph6LbJ1POTeDbSeAkQ3T9fcJwSAAXGO6DAYUTeyZa2OiYyyBKN8J%2FlDe9bfgUWQXWYpybWRt2Nsujf9OMCtDhKL0zLI5lTRjArH7PnXBM0Zv7jroKyauzokbnFXsyGSuZlw0iCAgAcS%2BItCGh3tz44taOVmOQrHbozsFViv0Ivztp5H2J3LfNs44VJr3hJ5fYPnvecJTYvsiRF88tmtyRTtL45Gi%2Ftk9oODgviMu1LdWVdZQaGD05ZfWxwQk9orWfZGUtCMXuXKptteGujM3pwegLAhq1XyHR%2BnYMopYMRJe%2FsA6j%2FCdlWDu8gr9F%2BT5pTa0%2FDDVbpZHPlBZIkeoqDUFIHmqn6VxgCyfkyD9cm9DYNgNR6Sn1LxVAuF8O2zMUil76wpnMvzoYkLFQFTZKlrvf0OteUFJVKBgJIVfmfHS0qQoT5hFZqXgyBRT2E6ecWDpEQXWH9BS7yRsLGA5Iq5OumP9azxDhuwx9w6U2XSkaI6%2Bz4IMt3tlGX1GdIbOEEvv3A%2FcH6nCI1JqKggOiOugR5j9Tg8XsQIp8z9dmxRImSav0QcqBsVcWPBlPnIZj1yPoitRCHEqhG9EkBGzWp7b7QtwHeTaNDvNY90vOkWybuqdMRfUftwS8nVyMOSlEKS4aN1L5oTPArvLiK6mBq0Kxp1Eg1kEyW5gS6BHyMl5Ht1EjmrwAeQ8CvdOeXFux1gFLDvopQcI4Of%2BW6p35D2iVGDUzbjg5%2FXm198uccwaMS1W%2FOEdiSx2B%2FpGFBgwlA3R6%2F%2Fqfq%2BpfMDkwA12H48fME%2Fq%2BCkFEFtvg5TAePlnp%2BLUUMRw5qFHtaBA6D%2BDL%2BTBwMxbNoXlvRZItIKWwhaq8561gFJLZoefmEBb7vr3mR3GUoRwcBV6s8DrZNfDLOwrAG1X8waf3xxi2gktM6UgN%2BoQy9L4%2FqqBVj3HJP2dTYl0w5y7aGJ0AlWDzBzUmv1eHrLnBMC5CaDwZ7M8qkk%3D,NA,NA,NA,NA,NA,#465244555,S1200,NA,LiderTek,NA
19, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,450,NA,13,7,18 cuotas,25.00,NA,Lo retiro en el domicilio del vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-465483447-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM#position=19&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,1,0,0,0,0,#465483447,NA,Inalambrico,Apple,NA
20, Auriculares Bluetooth Stereo Manos Libres Wireless Magnetico ,380,NA,202,5000,18 cuotas,21.11,NA,Envío a todo el país,NA,NA,4.1,29,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-450505995-auriculares-bluetooth-stereo-manos-libres-wireless-magnetico-_JM#position=20&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,15,7,4,2,1,#450505995,NA,NA,NA,NA
21, Auriculares Bluetooth Simil AirPods iPhone + Caja De Carga ® ,689,NA,42,8,18 cuotas,38.28,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-456547613-auriculares-bluetooth-simil-airpods-iphone-caja-de-carga--_JM#position=21&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,1,0,0,0,0,#456547613,NA,NA,NA,NA
22, Auricular Bluetooth Jbl T450 Circuit ,2470,NA,29,19,18 cuotas,137.22,NA,Envío a todo el país,NA,NA,4.7,83,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449856852-auricular-bluetooth-jbl-t450-circuit-_JM#position=22&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,67,13,1,1,1,#449856852,T450,Headset,JBL,NA
