search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso
1, Mlab Parlante Bluetooth Street Voice 2 + Micrófono ,24.990,NA,"
			
			
				
				2
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496895734-mlab-parlante-bluetooth-street-voice-2-microfono-_JM,NA,NA,NA,NA,NA,#496895734,Mlab,NA,NA,NA
2, Parlante Bluetooth Bose Soundtouch 30 ,465.990,NA,"
			
			
				
				6
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 77.665
			
		
		 sin interés
		
	

	
		","
				$ 77.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-499656545-parlante-bluetooth-bose-soundtouch-30-_JM,NA,NA,NA,NA,NA,#499656545,Bose,Parlante Bluetooth Bose Soundtouch 30,NA,NA
3, Parlante Soundbar Irt 2.0 Bluetooth Envío Gratis Tecnobest ,22.490,39.990,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.748
			
		
		 sin interés
		
	

	
		","
				$ 3.748
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/TECNOBEST+CHILE,https://articulo.mercadolibre.cl/MLC-492065659-parlante-soundbar-irt-20-bluetooth-envio-gratis-tecnobest-_JM,NA,NA,NA,NA,NA,#492065659,NA,NA,NA,NA
4, Parlante Activo Ld Systems Maui5 Caja Line Array Bluetooth ,439.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 36.583
			
		
		 sin interés
		
	

	
		","
				$ 36.583
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-parlante-activo-ld-systems-maui5-caja-line-array-bluetooth-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,MAUI 5,NA,NA
5," Parlante Portatil Kolke Funk Microfono Bluetooth,fm,sd,usb ",24.990,30.990,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.082
			
		
		 sin interés
		
	

	
		","
				$ 2.082
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/LOI+CHILE,https://articulo.mercadolibre.cl/MLC-496549900-parlante-portatil-kolke-funk-microfono-bluetoothfmsdusb-_JM,NA,NA,NA,NA,NA,#496549900,Kolke,kpm 220,50 W,NA
6, Parlante Karaoke Bluetooth Master G Spbt5w + Pendrive 16gb ,47.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+MULTIELECTRO,https://articulo.mercadolibre.cl/MLC-499482655-parlante-karaoke-bluetooth-master-g-spbt5w-pendrive-16gb-_JM,NA,NA,NA,NA,NA,#499482655,Master-G,SPBT5,30 W,NA
7, Barra De Sonido Soundbar Bluetooth Sensewave Master G ,15.000,21.990,"
			
				Nuevo
			
			
				
					 - 
				
				156
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		","
				$ 2.500
			",NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM,4,1,1,1,2,#456354330,Master-G,Soundbar MGSB110,NA,NA
8, Parlante Bluetooth Recargable 30w Usb-sd-mic Puntostore B208 ,23.400,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.900
			
		
		 sin interés
		
	

	
		","
				$ 3.900
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PUNTOSTORECHILE,https://articulo.mercadolibre.cl/MLC-489731868-parlante-bluetooth-recargable-30w-usb-sd-mic-puntostore-b208-_JM,NA,NA,NA,NA,NA,#489731868,NA,NA,30 W,NA
9, Mini Parlante Bluetooth Cylinder Manos Libres Usb Microsd ,5.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 998
			
		
		 sin interés
		
	

	
		","
				$ 998
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-495699620-mini-parlante-bluetooth-cylinder-manos-libres-usb-microsd-_JM,NA,NA,NA,NA,NA,#495699620,Microlab,Cylinder,NA,NA
10, Par Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,620.000,800.000,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 103.333
			
		
		 sin interés
		
	

	
		","
				$ 103.333
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487403975-par-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,NA,NA,NA,NA,NA,#487403975,JBL,EON615,NA,NA
11, Parlante Altavoz Bluetooth Bulldog Frances Nuevos ,16.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(42 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.416
			
		
		 sin interés
		
	

	
		","
				$ 1.416
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GERARDOZ08,https://articulo.mercadolibre.cl/MLC-499793082-parlante-altavoz-bluetooth-bulldog-frances-nuevos-_JM,NA,NA,NA,NA,NA,#499793082,NA,NA,NA,NA
12, Parlante Karaoke C/mic Inalambrico Bt-usb-aux Audio-pro ,32.900,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.742
			
		
		 sin interés
		
	

	
		","
				$ 2.742
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-497099859-parlante-karaoke-cmic-inalambrico-bt-usb-aux-audio-pro-_JM,NA,NA,NA,NA,NA,#497099859,Audio Pro,APO2014,23 W,NA
13, Simplicity Mini Parlante Robusto Bluetooth Line In Micro Sd ,9.999,NA,"
			
				Nuevo
			
			
		",(40 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOPICADA,https://articulo.mercadolibre.cl/MLC-471414218-simplicity-mini-parlante-robusto-bluetooth-line-in-micro-sd-_JM,NA,NA,NA,NA,NA,#471414218,NA,NA,NA,260 g
