search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso
14, Parlante Speaker Bluetooth Soundcore Anker ,32.990,49.990,"
			
			
				
				329
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.498
			
		
		 sin interés
		
	

	
		","
				$ 5.498
			",NA,Envío gratis a todo el país,NA,NA,4.9,56,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=Yux8RKqSy3pPAgl2RwHYyKXTYB1U2uDXfFrrQJazdMOqcq9iC%2FqGIw9wPeujhfCb3WXa58UnDjNt78oXuVKTCKeYgN5u%2B0EzMth%2BdR7TKkCNxXxiFAuMCBoB5lqUZKmw%2FXYDvArDLNSLsfp01EOtp8GMq1oVYx%2FtfpEqJ5UIFFzpavkMb%2BVR1N0B10kPWwMJ3DVSsSZ0YWpy9w%2BnOuPv%2F0Ty4fT6osI6e3F2y5dbPibKzthjsTLzmr17Kr3lNMypVcKae%2FOM%2BUZQl1b0xGXg%2FWKk999d7Ncfjq29uiAqcNxf%2B%2BldHrCGKKYcmryMCyf6kzn8Y4T3U0ObjcPkMh08hmW26qwKjlPvEQlm%2F4eOXhQ%2FvMJuLS2EETM5gweqHFP9opFvRY77Giqg52j63znz1AkggOcU%2FRmUSJneqG8iJIvozdh55rqPChk%2FbEPnvoefnR07jgeY2L3kdIrrTA4aZnYOOLQx40plO7dUV0JpF%2FZvLdTfcCZGsE6MiqVyZBCpp7TJxmPOBut0OUr4UoITLUYFKMeJcbU0BGCNc%2BIOXH0npBLc53FxK%2BJ9nMijIZaZAcWFcDqgwtpmxZcTNJ4ZNACKFQu%2FemvYhAZMnl9EFZ%2Fgmz4nLx%2B4jvwZjlO0YjK0TVab5dRWuDkAZGDg8frl42R9eIRa3KQeYPKdkQaRBXFm0lpXiprQ9R98urkLgwWRZyJS0H44kFipMiI7ani1P%2BTwIwcxrrI4e2V3%2Bj4nCgG70dU66fAXJuVL8GzcvRy%2Fz2kNxwk3JUZzVcBhKpG%2F7dRh2Qsec320svVcaQm%2FJX2UZleT7WrvG8Pigmhf%2FawY3%2Fa8NaBu9oUlSseUQF6ZLPR5JqSd5cww7LW4T61g7ZecTR7umL7qh8A7e4T%2BiagdZWni04nyOzIqFQzWnUpyS70YMsv3IjTx%2FSQVR7L69TB71Hiq50JiMyelg5Iac3Fypj7NPOmyT%2FwWLH29khtwOITp0fPP8Ky%2FjZYltyPuLyKGWpsRhgc7zPFyeGC%2BiVv8ShDP%2Bv1aJP3DsavNXwCO8g1ywEPc5GgkO2m%2FTYQqRX1%2FzPfyp2amBpWHumLjVw6CBAQwyOUOE1HwDl7axLtLwywJM%2B7qy%2BGIU1dJWx8sV6Tz9qyqyUv2ziO%2FfURDiNYnyxTHyMvuESzYFpME2qZBMzUDSN3uDLQw1%2BS7kXYXT%2FORY9KcQvPr9vRir0UD7QLjsxo2Vj%2F32DKz3lxzAXTju6FdL5dhAtoDbM8Y%2BJ6QKcLtSOAkPO3K1sqsx%2FW4NMrlgWmJxxTnflx3BDr5QKYjbgWcr4KdNsGm3KYnLxk6Yl0CNTmud1H81P7ByGCm5e10ZQx9wLkqRXu%2B3be%2BVdUzHH%2FolqupNVyaOvr0%2Bto3WMfqbVMqtUd1IWL%2Fbs4T03BbpMEAN6kaC%2BgwYV8G2LeOGtHrFSfpFuIwCr0HEi%2F2h%2FPQCmxujXw6nsGIMcn8x6fOgT5K7ANC9fOUpf%2BJentobwWuw3i6L7hh0sCxlHD9w2o5%2Fdb%2B5G0Pkv%2FhKU5dXaiRzszlHs6DNu4QDfj%2Bh3nhBvM%3D,51,4,1,0,0,#455898956,Anker,NA,NA,360 g
15, Parlante Bluetooth Monster Camuflaje ,14.990,NA,NA,(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.249
			
		
		 sin interés
		
	

	
		","
				$ 1.249
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+MTEK?brandId=34,https://articulo.mercadolibre.cl/MLC-487060269-parlante-bluetooth-monster-camuflaje-_JM,NA,NA,NA,NA,NA,#487060269,Monster,NA,NA,NA
16, Parlante Bluetooth Inalambrico Impermeable Ducha Agua ,3.990,4.990,"
			
				Nuevo
			
			
				
					 - 
				
				676
				vendidos
			
		",(317 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434759217-parlante-bluetooth-inalambrico-impermeable-ducha-agua-_JM,4,1,2,0,0,#434759217,NA,NA,NA,NA
17, Parlante Portátil Bluetooth Yamaha Wx-030 ( 2 Unidades ) ,459.990,NA,NA,(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 76.665
			
		
		 sin interés
		
	

	
		","
				$ 76.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=393,https://articulo.mercadolibre.cl/MLC-493650236-parlante-portatil-bluetooth-yamaha-wx-030-2-unidades--_JM,NA,NA,NA,NA,NA,#493650236,Yamaha,Parlante Portátil Bluetooth Yamaha Wx-030 ( 2 Unidades ),30 W,3 kg
18, Parlante Karaoke Bluetooth Fiddler 50w Micrófono Inalámbrico ,21.990,39.990,"
			
			
				
				588
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío gratis a todo el país,NA,NA,4.9,64,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=m9zLRpC2BpZH%2FogbGgSIx5VIaBwTB%2BzPAE1JMr%2FTHN%2F0lnLjCt5p963RiEQWoAwoFcIoBOL1DNSbfaOKGvITKPSdN7Sg5oSjIrdhR5NPcJUaoG2XFtdHSm%2F2Y36Y%2BC4qW2dfC%2FEBCnoVk8nlZ1B4gDrWWnRzylQ%2FBK24xURmFyX0YrgdkUqPaCyje3ncqe8Uso%2Bg8Wtyv0wsa9iubetobxvYoBtvhBxbcyEmlgptCqA%2FWit5kX0rkKI8qQVy2aoqU5cIW9%2FonZYUPzvjlYCqRxkqUreRjno7NTo3SVciWLAHfyV1TONJ%2BwCw0oyfaBtmw%2B8cYx9yujYn4HbBIeHGOD0fti%2Fd7UGVDlDi04XK65pQ8RRbwv71DMsi6tbUm1aHuc%2BB1RPAZly%2BcxmYgPHJ5wMYjqEDQsArjosnFBdZ2LP4rxM0Ji7l8%2BTbbDqmxmnKZny3VaUYZ60hXwd35XlkjcQczzR%2BIKDT%2FSk9Q2ydQVxXDYrUFPGVmhS5e9Shk8Ig2CymTn1%2BIZ15oelgRdxBg6QVGgBMiV%2FEvqLQNQKGRIoC6ZQjVbC5BcKOarIAeTuzo93k5pNd00PinggDLK9VEsGDbUZb3Ft6B5SZ6q9CvcJclC%2FZEe4Ep4ZSYrZVbLsADj%2BCCSTgB9T5NIIaTnNtx7pljKgtmoEEIgEpoLX%2FwFC1%2FpYziPnbvN1YM2SxVtVTSvUOF%2FabBBTrPPeKKKGj4qzOjkrz2ipg7puuH7gCiRRGWWEsZiPUXC1zCo1jjckyrMk3%2Bo7CC4cOwEodOyfp2AMOh2bknl3%2FJ21HrhDwhq9wS6HJQWwyQuWJZyo3U3UvuRsPGfjfs5aZyVflbQU9fIY6xvql8JXXSLsr53M0Urs2OuH733DqL2xZ3OSgc8YDaBTYW989dlJnuhZiHuQifWgm4rL%2BWPh5Q1d%2BYSWuquyMmhZa3lvPAzqFXnwY%2Bx0SG9oEwwzjdT9%2Fy8AcGCC1ENa%2F9DeDPbwWGPy7RAUw%2Fq2rlaWXxQrrsqlXl7n8FowBZVcnQbFjAnu7rrr54k4dr50Lns5gUqZURvWN6DndKBdsThv%2F8cc%2B4zdJLKvgCvcd96lHbAP7w1Yq6r14VmhuiMrRo6oatJpsgjvJqguameQaeBQvwPkc6sW7LLWWiTGnKOVo61F3F%2BzWXO5ybCiC02qwsC3pGlUf4dRj6GZdvIJAaD6SBQQKwB%2BRcREvBs9gJ%2BYMwNVX1vhqW4bYIpvbiuao3KZVgwqrUrtaATA%2F1DsmiXCKHYBbgDOYseM4ddk5psNvdVwyToZw%2FMeOmnVexqFa2e7xsrx5Gtw%2B9CvhIXRlJPOrE%2BAaNZdIwzNAelTH7r2HB1aEkbdGjH3cz355cnFw4dARSTYURPQcV5Pkr9z0A9PmmcBzJ217NNGqIkyu92r6XF5P8ygz6r3ysdKcLXM0yZHIWJ2ZyyZ%2BKSMxMH7NsMqLjUtiMPwA20VcUOf%2FpFqsUuZYpCP0kDlw7aqD5m37frpyebt1TDAIBXAOyp6mLnGO6mooi8Kh%2FNf7UrQAULd6E0j15v4SIHQeAUYxWQ%3D%3D,58,4,2,0,0,#444708073,Anker,NA,NA,360 g
19, Parlante Jbl Bluetooth Jr Pop Kids Blue - Electroplay ,29.990,NA,"
			
				Nuevo
			
			
		",(20 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ELECTROPLAY+OFICIAL,https://articulo.mercadolibre.cl/MLC-489445578-parlante-jbl-bluetooth-jr-pop-kids-blue-electroplay-_JM,NA,NA,NA,NA,NA,#489445578,JBL,NA,NA,NA
20, Parlante Bluetooth Samsung Scoop Splash Resistant Portable ,56.858,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 9.476
			
		
		 sin interés
		
	

	
		","
				$ 9.476
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GESATLTDA,https://articulo.mercadolibre.cl/MLC-480685766-parlante-bluetooth-samsung-scoop-splash-resistant-portable-_JM,NA,NA,NA,NA,NA,#480685766,Samsung,NA,NA,NA
21, Pendrive Receptor Transmisor Bluetooth Usb Parlantes Auto ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1239
				vendidos
			
		",(64 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,3.5,51,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-435146526-pendrive-receptor-transmisor-bluetooth-usb-parlantes-auto-_JM,24,6,3,6,12,#435146526,Importado,Pendrive,NA,NA
22, Parlante Sound Bar Bluetooth Barra Line In Usb 24w Irt ,39.990,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GANESHELECTRONICS,https://articulo.mercadolibre.cl/MLC-499869094-parlante-sound-bar-bluetooth-barra-line-in-usb-24w-irt-_JM,NA,NA,NA,NA,NA,#499869094,IRT,NA,24 W,NA
23, Parlante Soundbar Irt Bluetooth 24w Rms Nuevo Envío Gratis ,24.990,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/TECNOBEST+CHILE,https://articulo.mercadolibre.cl/MLC-453169030-parlante-soundbar-irt-bluetooth-24w-rms-nuevo-envio-gratis-_JM,3,0,0,0,0,#453169030,NA,NA,NA,NA
24, Parlante Bluetooth Ultimate Ears Mega Boom 3 Night Black ,139.990,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 23.332
			
		
		 sin interés
		
	

	
		","
				$ 23.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-498644215-parlante-bluetooth-ultimate-ears-mega-boom-3-night-black-_JM,NA,NA,NA,NA,NA,#498644215,Ultimate Ears,MEGABOOM 3,NA,912 g
25, Parlante Cara De Perro Bulldog Bluetooth ,21.500,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 3.583
			
		
		 sin interés
		
	

	
		","
				$ 3.583
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/NETSURONLINE,https://articulo.mercadolibre.cl/MLC-489823286-parlante-cara-de-perro-bulldog-bluetooth-_JM,NA,NA,NA,NA,NA,#489823286,NA,NA,NA,0.46 kg
26, Parlante Bluetooth Recargable ,12.500,NA,"
			
				Nuevo
			
			
		",(1 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.083
			
		
		 sin interés
		
	

	
		","
				$ 2.083
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAMYH,https://articulo.mercadolibre.cl/MLC-494240864-parlante-bluetooth-recargable-_JM,NA,NA,NA,NA,NA,#494240864,Megabass,NA,NA,NA
27, Parlante Bluetooth Bose Home Speaker 300 ,219.990,NA,"
			
			
				
				3
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 36.665
			
		
		 sin interés
		
	

	
		","
				$ 36.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-500569383-parlante-bluetooth-bose-home-speaker-300-_JM,NA,NA,NA,NA,NA,#500569383,Bose,HS300S,NA,NA
28, Parlante Bluetooth Resistente Al Agua Bts-06 ,3.990,NA,"
			
				Nuevo
			
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WISAT_LTDA,https://articulo.mercadolibre.cl/MLC-487281647-parlante-bluetooth-resistente-al-agua-bts-06-_JM,NA,NA,NA,NA,NA,#487281647,NA,NA,NA,NA
29, Parlante Bluetooth T&g ,49.900,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.158
			
		
		 sin interés
		
	

	
		","
				$ 4.158
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/REINGARSHOP2018,https://articulo.mercadolibre.cl/MLC-494340030-parlante-bluetooth-tg-_JM,NA,NA,NA,NA,NA,#494340030,T&G,116,NA,NA
30, Parlante Portatil Huawei Am08 White Bluetooth ,22.990,NA,"
			
				Nuevo
			
			
		",(20 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.832
			
		
		 sin interés
		
	

	
		","
				$ 3.832
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/ELECTROPLAY+OFICIAL,https://articulo.mercadolibre.cl/MLC-489448480-parlante-portatil-huawei-am08-white-bluetooth-_JM,NA,NA,NA,NA,NA,#489448480,Huawei,Swan,NA,NA
31, Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,320.000,400.000,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 53.333
			
		
		 sin interés
		
	

	
		","
				$ 53.333
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487386671-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,NA,NA,NA,NA,NA,#487386671,JBL,EON615,NA,NA
32, Parlante Bazooka Bluetooth 30w Recargable Puntostore B077 ,33.500,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.583
			
		
		 sin interés
		
	

	
		","
				$ 5.583
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PUNTOSTORECHILE,https://articulo.mercadolibre.cl/MLC-488611277-parlante-bazooka-bluetooth-30w-recargable-puntostore-b077-_JM,NA,NA,NA,NA,NA,#488611277,NA,NA,30 W,NA
33, Parlante Mini Bluetooth Portatil Baño Ducha Resistente Agua ,4.980,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 415
			
		
		 sin interés
		
	

	
		","
				$ 415
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-489698904-parlante-mini-bluetooth-portatil-bano-ducha-resistente-agua-_JM,NA,NA,NA,NA,NA,#489698904,NA,NA,NA,NA
34, Parlante Barra Hi-fi Recargable Bluetooth Con Reloj ,48.670,NA,"
			
				Nuevo
			
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 8.112
			
		
		 sin interés
		
	

	
		","
				$ 8.112
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/LONGCAST.CL,https://articulo.mercadolibre.cl/MLC-478694060-parlante-barra-hi-fi-recargable-bluetooth-con-reloj-_JM,NA,NA,NA,NA,NA,#478694060,NA,NA,NA,NA
