search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de filtros del parlante,Conectores de entrada,Peso,Potencia de salida (RMS),Color
1, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb21 ,239.900,329.900,"
			
			
				
				244
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 6.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,29,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791732-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb21-_JM,24,3,1,0,0,#474791732,Sony,EXTRA BASS,SRS-XB21,Activo,USB,530 g,NA,NA
2, Parlante Portátil Sony Extra Bass Con Bluetooth - Srs-xb31 ,335.930,479.900,"
			
			
				
				192
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 9.331
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,37,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791740-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb31-_JM,31,4,1,1,0,#474791740,Sony,EXTRA BASS,SRS-XB31,Activo,USB,890 g,NA,NA
3, Parlante Portable Jbl Go 2 Bluetooth A Prueba De Agua Go2 ,110.900,147.900,"
			
				Nuevo
			
			
				
					 - 
				
				594
				vendidos
			
		",(50 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.081
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,112,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-461389037-parlante-portable-jbl-go-2-bluetooth-a-prueba-de-agua-go2-_JM,105,5,0,2,0,#461389037,JBL,NA,JBL Go2,Activo,NA,184 g,3 W,NA
4, Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño ,14.900,19.900,"
			
				Nuevo
			
			
				
					 - 
				
				1135
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 414
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,55,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-449583744-parlante-bluetooth-resistente-al-agua-manos-libres-para-bano-_JM,33,11,6,2,3,#449583744,NA,NA,NA,NA,NA,108 g,NA,Azul/Verde
5, Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch ,41.900,59.900,"
			
				Nuevo
			
			
				
					 - 
				
				621
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.164
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,39,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-455787971-microfono-karaoke-q7-bluetooth-parlante-portatil-estuch-_JM,27,8,2,0,2,#455787971,NA,NA,NA,NA,NA,NA,NA,NA
6, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,462.400,NA,"
			
				Nuevo
			
			
				
					 - 
				
				276
				vendidos
			
		",(68 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 12.844
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,80,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-459158831-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,72,6,2,0,0,#459158831,JBL,NA,Charge 4,Activo,NA,NA,30 W,NA
7, Parlante Sony Extrabass Bluetooth Resistente Al Agua- Xb01 ,99.900,124.900,"
			
			
				
				194
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,17,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-491523025-parlante-sony-extrabass-bluetooth-resistente-al-agua-xb01-_JM,14,3,0,0,0,#491523025,Sony,EXTRA BASS,NA,NA,NA,160 g,3 W,NA
8, Parlante Altavoz Bluetooth Radio Portatil Ms ,39.900,48.900,"
			
				Nuevo
			
			
				
					 - 
				
				215
				vendidos
			
		",(685 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,12,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-455564403-parlante-altavoz-bluetooth-radio-portatil-ms-_JM,8,3,0,1,0,#455564403,NA,NA,NA,NA,NA,NA,NA,NA
9, Parlante Altavoz Portatil Charge 3+/10w Fm Bluetooth Sd Usb ,69.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				149
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.944
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,14,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-464734363-parlante-altavoz-portatil-charge-310w-fm-bluetooth-sd-usb-_JM,12,0,2,0,0,#464734363,NA,NA,NA,Activo,NA,NA,10 W,NA
10, Parlante Bluetooth Cabina De Sonido Activa Recargable ,158.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				159
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 13.167
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,5,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,https://articulo.mercadolibre.com.co/MCO-452765139-parlante-bluetooth-cabina-de-sonido-activa-recargable-_JM,4,1,0,0,0,#452765139,KROMBI,NA,KB-SS8732,NA,Auxiliar,NA,NA,NA
11, Parlante Portable Jbl Flip 4 12 Horas Sumergible Original ,309.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				131
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.608
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,38,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-467204584-parlante-portable-jbl-flip-4-12-horas-sumergible-original-_JM,33,5,0,0,0,#467204584,JBL,Flip,Flip 4,NA,NA,515 g,NA,Agua
12, Cabina De Sonido Recargable Connor Bluetooth Parlante Audio ,79.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				89
				vendidos
			
		",(911 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.658
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/QUILLASHOPCOLOMBIA+SAS,https://articulo.mercadolibre.com.co/MCO-523511842-cabina-de-sonido-recargable-connor-bluetooth-parlante-audio-_JM,NA,NA,NA,NA,NA,#523511842,Connor,NA,CN500,NA,USB,NA,15 W,NA
13," Barra Sonido Bluetooth Led 10w Usb, Fm, Sd 40cm Pantalla ",54.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				103
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.582
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.3,12,https://perfil.mercadolibre.com.co/VENTASBOGOTAOFICIAL,https://articulo.mercadolibre.com.co/MCO-463493504-barra-sonido-bluetooth-led-10w-usb-fm-sd-40cm-pantalla-_JM,7,3,1,1,0,#463493504,NA,NA,NA,NA,NA,NA,10 W,NA
