search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Conectores de entrada,Peso,Modelo,Tipos de filtros del parlante,Tipos de parlante,Color,Potencia de salida (RMS)
867, Parlante Klip Xtreme Bluetooth 1600w Jetwave Kws-710 ,419,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-435502516-parlante-klip-xtreme-bluetooth-1600w-jetwave-kws-710-_JM,NA,NA,NA,NA,NA,#435502516,NA,NA,6 kg,NA,NA,NA,NA,NA
868, Parlante No Bounds Em-ja015-gy House Of Marley Bluetooth ,225,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SERPROCTI+SAC,https://articulo.mercadolibre.com.pe/MPE-436571777-parlante-no-bounds-em-ja015-gy-house-of-marley-bluetooth-_JM,NA,NA,NA,NA,NA,#436571777,House of Marley,NA,NA,NA,NA,NA,NA,NA
869, Moto Z2 Play 64gb 4gb Ram+ Mod Parlant Libre De Fabrica Gris ,1239,NA,"
			
				Nuevo
			
			
		",(901 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/TOUCHKING+PERU,https://articulo.mercadolibre.com.pe/MPE-432708125-moto-z2-play-64gb-4gb-ram-mod-parlant-libre-de-fabrica-gris-_JM,NA,NA,NA,NA,NA,#432708125,Motorola,NA,145 g,Z2 Play,NA,NA,Gris,NA
870," Parlante Inalámbrico Logitech Ue Roll Volcano, Bluetooth, ",298,NA,"
			
				Nuevo
			
			
		",(13 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/WWW.CORPORACIONDASH.COM,https://articulo.mercadolibre.com.pe/MPE-432429107-parlante-inalambrico-logitech-ue-roll-volcano-bluetooth-_JM,NA,NA,NA,NA,NA,#432429107,Logitech,NA,330 g,NA,NA,NA,Negro,NA
871, Parlante Cafini Con Bluetooth Recargable Con Micrófono Vinch ,65,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NAPOLEONGARCI,https://articulo.mercadolibre.com.pe/MPE-436171924-parlante-cafini-con-bluetooth-recargable-con-microfono-vinch-_JM,NA,NA,NA,NA,NA,#436171924,Cafini,NA,NA,NA,NA,NA,NA,NA
872, Parlante Nuke Bluetooth Portatil Y De Alta Potencia ,60,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NANDOXSM,https://articulo.mercadolibre.com.pe/MPE-426191491-parlante-nuke-bluetooth-portatil-y-de-alta-potencia-_JM,NA,NA,NA,NA,NA,#426191491,NA,NA,NA,NA,NA,NA,NA,NA
873, Oferta Parlante Bluetooth Para Ducha Resistente A Agua ,24,NA,"
			
				Nuevo
			
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONATECPER%C3%9A,https://articulo.mercadolibre.com.pe/MPE-426609632-oferta-parlante-bluetooth-para-ducha-resistente-a-agua-_JM,NA,NA,NA,NA,NA,#426609632,NA,NA,NA,NA,NA,NA,NA,NA
874, Parlante Móvil Bluetooth Con Micrófono Klip Xtreme Kma-600 ,170,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CAPTIVA-STORE,https://articulo.mercadolibre.com.pe/MPE-427377620-parlante-movil-bluetooth-con-microfono-klip-xtreme-kma-600-_JM,NA,NA,NA,NA,NA,#427377620,NA,NA,NA,NA,NA,NA,NA,2 W
875, Liquidacion! Parlante Creative T3250 Bluetooth 2.1 Black ( ,207,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REMATESYLIQUIDACION_PC,https://articulo.mercadolibre.com.pe/MPE-434661492-liquidacion-parlante-creative-t3250-bluetooth-21-black--_JM,NA,NA,NA,NA,NA,#434661492,NA,NA,NA,NA,NA,NA,NA,NA
876, Parlantes Inalambricos Maxell Bt-boost Bluetooth Waterproof ,161,NA,"
			
				Nuevo
			
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERUSTEC,https://articulo.mercadolibre.com.pe/MPE-433626621-parlantes-inalambricos-maxell-bt-boost-bluetooth-waterproof-_JM,NA,NA,NA,NA,NA,#433626621,NA,Auxiliar,NA,NA,NA,NA,NA,NA
