search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Conectores de entrada,Peso,Modelo,Tipos de filtros del parlante,Tipos de parlante,Color,Potencia de salida (RMS)
1, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb41 (negro) ,599,NA,"
			
			
				
				18
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904355-parlante-sony-bluetooth-extra-bass-inalambrico-xb41-negro-_JM,NA,NA,NA,NA,NA,#431904355,Sony,USB,1500 g,NA,NA,NA,NA,NA
2, Bose Parlante Soundtouch 30 Serie Iii Bluetooth Wifi Negro ,2399,NA,"
			
			
				
				3
				vendidos
			
		",(62 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071308-bose-parlante-soundtouch-30-serie-iii-bluetooth-wifi-negro-_JM,NA,NA,NA,NA,NA,#434071308,Bose,NA,11.7 kg,SoundTouch,Activo,NA,NA,NA
3, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,"
			
				Nuevo
			
			
				
					 - 
				
				48
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM,5,1,0,0,0,#435227656,Amazon,NA,300 g,Echo  Dot 3era Gen,NA,Wifi,NA,NA
4, Google Home Mini Charcoal Smart Assistant No Chromecast ,136,NA,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-435158863-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM,NA,NA,NA,NA,NA,#435158863,Google,NA,NA,home mini,NA,"wifi, bluetooth, smart","Charcoal, chalk",NA
5, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				42
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM,NA,NA,NA,NA,NA,#428636742,Samsung,USB,2 kg,HW-N300PE,NA,NA,NA,100 W
6, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(25 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM,7,2,0,0,0,#432200042,JBL,NA,NA,Flip 4,Activo,Woofer,Como,20 W
7, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,NA,NA,NA,NA,NA,#434444301,Sony,NA,NA,XB12,NA,Portatil,Como,NA
8, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(99 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM,13,1,1,0,0,#428500548,JBL,NA,NA,GO 2,Activo,"Portátil, Resistente al Agua",NA,3 W
9, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(19 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA,NA,NA,NA,NA
10, Parlante Sony Bluetooth Extra Bass Ip67 Acuatico Xb12 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444306-parlante-sony-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,NA,NA,NA,NA,NA,#434444306,Sony,NA,NA,XB12,NA,Portatil,Como,NA
11, Parlante Portatil Maxtron Urban 8 Bluetooth Karaoke Fm Usb ,123,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434666277-parlante-portatil-maxtron-urban-8-bluetooth-karaoke-fm-usb-_JM,NA,NA,NA,NA,NA,#434666277,NA,NA,NA,NA,NA,NA,NA,NA
12, Jbl Flip 4 Parlante Bluetooth Original Acuático Tienda ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(993 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429636474-jbl-flip-4-parlante-bluetooth-original-acuatico-tienda-_JM,NA,NA,NA,NA,NA,#429636474,JBL,NA,NA,Flip 4,NA,NA,NA,NA
13, Receptor Bluetooth Adaptador 3.5 Para Autos Parlantes ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				268
				vendidos
			
		",(740 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.9,7,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-419076361-receptor-bluetooth-adaptador-35-para-autos-parlantes-_JM,3,1,2,1,0,#419076361,generic,NA,NA,aux,NA,NA,NA,NA
14, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(296 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=OMCesj60eFHfz5S3m1h8O7u6Ch3ZZ7dId9ZMV%2FzuNU9XReD3FAuw21h0%2BbgJj2rZAt9PdgK70zT7%2BRs7vzRh0MuuV11dl8%2FiqoNP59IBVhE3B%2FZGwL1TfBt7pyw7FSET7bvv4BJCi34iZiLgIGtwp8Q748qPxnx82jK7kpBH5MW0QYFPiBnTvXH3Yyep92RksmCHmHnOpIkrqr0jeb%2FR5xodlJqpdej2G%2B80j8bWGf6NOcpWw3dMNxWUeBWRArMchOR5Sef%2BSqR841PtQCYgN1zezGzC5qA1uRrtIO1RhdvjUAb%2B5lHICBxZFutq4Rg8zuDYP3RRmNyJKLFatQiyDu8tCV2ijj1RV4mLb2sMxZK3Lx6S6kM0EVn3ugjxcGXY6Y7H%2FuqoJ3vBP4V%2FVmEBmAGLk07jZlCc4WWRZ%2FRmqpmGCA83DOaN6d2yy8sIX5nz499TihntrxK3Q4sLFfhd4HNVF6itHp6LLWUfL3J6WZ%2FON8Gx12OPRbvv3qaBnMGxUtrp9P3ObrARURpZzxdPkVR5VqNzml0%2FbV87ibwW70%2B1z5jwZT0A38ThT%2FHG%2Bcgpea4OtiU%2BLRLSYrR%2BU2tLPPddf6wjo%2BJnjsZewNwcfr1k%2FlD8uQ%2FY%2F2Ihc8Bgc8qZHG0icttaT9AwznkmEjv6%2Bu5P4ET6WuHy3Z%2BNsLoZKjzZQYgEJZQ7LIDreivmSe%2BBAh0YcUZa6gnw%2ByNTgY0BA7vPngtCrXA%2FqzV%2BcszIvfd1fb%2FxRptZkdYzCJVt%2FxyNqp%2B71qN1XV%2FqSPgQqQp54VydnfQJ6S%2BWG9EwRhG2pGabmmdgMQ1hIxfpm5G%2BhFnWy%2Fil9v4jvtAHPHh2KJg0BLfltMfknKCNRqX5NcSCH%2FJr6OunoRuNrgGgns3KwQo1CjR0R27Ij4Ig3F9AMBKh76s1u3XpKuXsqJfmRyhyiitRpiMr4MceJtjENX7KL%2BNENU8H69WjY%2BOhKehIVmyKUodOH%2F7Fg4A8SooZknUdldS%2Fhm80gDyERMHKpADC8og2LeOHwitXLO325tmxCUZP5VZQeU2Yt4DcBoYMUXcAh9EkU71ktMUGz7t0ITyRaria8xPPXcdPsohqxAyxRBo532yRXmuonEa7%2FvkvKAEcBGkuQVCJ5Xdbz6p4fwstTnWLT%2BOOePPj%2FKkwnO%2FhwiM%2BMlvtK2gNIECIZrpfa%2Bxd3R6z%2Bcl5GVjblqMwtZYTSnurDdNg0E%2BPQR0uEOOpxcrA5xtcdQKSMwtiEzJmE6mwTyQhGYis5ZrQMmHHZE7wNQLJ6Nj6vXTZcum0h%2B60lrEtXtR34kaRlSJFADBuy8uDPd1hEXmXfdNhsdDKdlGI5aCsdHSRp7PX9WhRUr%2FpNz7uWXRl8U%2BWfv3E5j%2Baw9ux8pf03AoPZ0rDOeiG8DCNIZ87UK019KfF5cIXziX7X09PFPl5HUJDSf6%2B7sOHVu5YhvC8Ir0o8aPwkBg3qVsTu17J4I5HEQpysqWDoDscovKjl6dnx%2Bhgj7IePUUvj1s6G8BaCw%2F%2BOLiZU%2BDe6NPkTuFzhy914EmM2sYiLUvqKL9WbNO4MRwCOpJfmPlxzJMI%2Fn0PS%2F08mXqt3pHFB%2FeM7am1rg%3D%3D,NA,NA,NA,NA,NA,#437378262,JBL,NA,NA,Charge 4,Activo,Woofer,NA,30 W
15, Parlante Tronsmart T6 Plus Bluetooth 40w + Estuche ,340,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-estuche-_JM,NA,NA,NA,NA,NA,#436941118,NA,NA,NA,NA,NA,NA,NA,40 W
16, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(42 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM,7,2,0,0,0,#429687772,JBL,NA,NA,Flip 4,Activo,NA,NA,16 W
17, Oferta! Pk08 Parlante Karaoke Bluetooth Radio Fm 8 Pulgadas ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(91 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/VELBRO+PERU,https://articulo.mercadolibre.com.pe/MPE-433317574-oferta-pk08-parlante-karaoke-bluetooth-radio-fm-8-pulgadas-_JM,NA,NA,NA,NA,NA,#433317574,NA,Auxiliar,NA,NA,NA,NA,NA,NA
18, Combo Auto Radio Bluetooth + Parlantes 16 Cm Bowmann ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/COMERCIALCAPABLANCA,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=Js34n3cOjdZfMgQMW5vZlQhMMGXZf4CKxDAsCDcHiDHRTwLA5c9XXUxO8%2For6nbZmhYxKvUS4DWMsN53vy9Gw663rJDiWmunE%2BsYPsXTdDZ5xVwkkfcUGyZEm5%2B1VfLWUl6KmdDW58XjW7yHK%2BP6AoOG98xl5PqzLvpZ3THUWfUg8%2BYblAS83Ew%2BL9mXGSlYI1N4o5b1E17J44YS%2B78ig9iM8nd%2BK8q3WS4B1YEqSwQrJIw9Xk5Ysc7awz1N4FMEm33%2BiyZehJIRZAlfjkEeACVCEHbxVgKIwnPiLVnWzlbkauI3z%2BzEzMHbxhRPysvqGgwyKCSrM57U1LSCaHt1ejwSpxMa4xbhLv9CJkgiODbEF9II4jJujxL3Ua%2Fgg3sBsiWvRyj4xotPGQkhQ2jEN3CG0ZBCmzMOW3cWBMb6E%2FIJeuqNvFjaqMYd2RIQaLlp5a2OnSNBhjHDFIbW6Zo0vvRDvQIzErcQoYVpPsL%2BWUVZn4ID3bzLy7aN%2FU548zACRFRtYN0buLTy46tpaRL8OhGB64Bu%2FAdNpJTAEg46DSw5CcHNBicMUAWiFnuKBQc%2BAWLTGH%2BUEwwPIyN%2BU%2FmBBVTMrF3EubL1GJd3F2sOV0itul9eE0Ys6Ec0%2Fn5%2B55iygOII9cZOLYyOoBNYMDc0rPSo2mNVPxZw34iQDzQT9zC1ixceQSjOBXLR%2B0nofBJ2hV2DwpMJcG4fTpDqNWEd79hOsLuRoFm89W2fquciw3kqVSVuC0IY3ATjnBRJrMVVqoqhw%2FVN9LHuhNO6Chonw1LX4LiVjDd38QviiBcjKLEz0C%2B428x4JSWwlN552XeDRwLWMv10slgB3ZEbCfk6sCSFGU%2F%2BryhRiY%2BTRO%2BcGiq0lZzUWhuq7cImchZghDRUvzYFsZzppqpAxgwS8iaR%2B0bCK%2FPMzGrNWhRt5S7WwDmOfyRhrIOjCAIWbWe7g3h3R0Bn7OXiJTDubBsVyxSEqFep0KRb3bigxKd9WQrwdtimdKKqr4pRPg9aFKfVPhMacDoihsHJ9YcWvcP7OoX2KZoipHo%2FvjyhYa9zVE2D4UyKZawznQREePgn6BpDsIhDM0WYfgBpbAT3M9E50xeCMe%2F8oKiVPU4%2BDPR0iMb6Zf6XGQzXtDrhE%2Bc%2FsqXVgL%2FYQ1raxM2FnBvtQmsCYJYSzRlojtzzbcD7S%2BIVE71772XKBdkzMScKORUP1OzslnnmijeFQMIBmiXBXqiRIQDTKGqo5I9BXNBS8yqdC7p4nVRrvuEsaBwu3nclWsbA2mo2bd8n4UMC48YFGP0OjOR4md5TRRucMj9ShT%2BVEgPBqfyoDXrtpRbYlw0zvyaPbfOO3AwHihvoPm71DmeIyMtBM0LQWECH94Hz2fG%2BeAlkKvWzJCKT%2F%2BLbH9%2Bj0CQmLc4wU%2B2Np9o1V740Ts%2FeOV3HEmBM%2BUUl7fZKmfxQUBo0Q49eIUIxg%2FEUpn1EHMqARxqgKepNZfZG8wV0lg9EzT5FR%2BV0TczhYQeOdtGePGhJjADUzAmtllKpGz16uAR7z40YQY0i96ZJj2j%2Fys8T8XLxDDa37h%2BkshLI6e8uEutPiLl%2B%2FtFrH0G1iQ%3D%3D,NA,NA,NA,NA,NA,#436815734,NA,NA,NA,NA,NA,NA,NA,NA
19, Google Home Mini - Masplay ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(9988 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-434654884-google-home-mini-masplay-_JM,NA,NA,NA,NA,NA,#434654884,NA,NA,173 g,NA,NA,NA,NA,NA
20, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,559,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(18 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#434111505,JBL,NA,NA,Charge 4,Activo,Portatil,Como,30 W
21, Parlante Activo A Bateria Mpa200bt Bluetooth + Envio ,1599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-435495287-parlante-activo-a-bateria-mpa200bt-bluetooth-envio-_JM,NA,NA,NA,NA,NA,#435495287,NA,NA,NA,NA,NA,NA,NA,NA
22, Parlante Acuatico Bluetooth Manos Libres Microfono Ducha ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				48
				vendidos
			
		",(52 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,4,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-421447296-parlante-acuatico-bluetooth-manos-libres-microfono-ducha-_JM,3,0,0,1,0,#421447296,NA,NA,NA,NA,NA,NA,NA,NA
23, Amazon Echo Dot 3ra Gen Altavoz Alexa Nuevo Y Sellado ,180,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/EDISEL.TS,https://articulo.mercadolibre.com.pe/MPE-436628951-amazon-echo-dot-3ra-gen-altavoz-alexa-nuevo-y-sellado-_JM,NA,NA,NA,NA,NA,#436628951,Amazon,NA,300 g,NA,NA,NA,Gris oscuro,NA
24, Parlante True Wireless Soundcore Motion B ,139,199,"
			
			
				
				19
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,3,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434836116-parlante-true-wireless-soundcore-motion-b-_JM,3,0,0,0,0,#434836116,NA,NA,400 g,NA,NA,NA,NA,NA
25, Jbl Go 2 Parlante Bluetooth Portatil Acuatico Ipx7 Original ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(43 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444185-jbl-go-2-parlante-bluetooth-portatil-acuatico-ipx7-original-_JM,13,1,1,0,0,#434444185,JBL,NA,NA,GO 2,Activo,Portatil,Brillante,3.1 W
26, Parlante Bluetooth Jbl Boombox 60w Mejor Portátil Del Mundo ,1569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(50 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-432426065-parlante-bluetooth-jbl-boombox-60w-mejor-portatil-del-mundo-_JM,NA,NA,NA,NA,NA,#432426065,JBL,NA,NA,Boombox,Activo,NA,NA,60 W
27, Parlante Jbl Charge 4 Bt 100% Original 20horas 30w Acuático ,565,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NO2125288,https://articulo.mercadolibre.com.pe/MPE-436598987-parlante-jbl-charge-4-bt-100-original-20horas-30w-acuatico-_JM,NA,NA,NA,NA,NA,#436598987,JBL,NA,NA,Charge 4,Activo,"portátil, impermeable",NA,30 W
28, Jbl Charge 3 20w Parlante Bluetooth Acuatico Original ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(994 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429572439-jbl-charge-3-20w-parlante-bluetooth-acuatico-original-_JM,NA,NA,NA,NA,NA,#429572439,JBL,NA,800 g,Charge 3,Pasivo,NA,NA,20 W
29, Autoradio Pioneer Dxt-s4069bt Bluetooth + 4 Parlante Pioneer ,569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-434645186-autoradio-pioneer-dxt-s4069bt-bluetooth-4-parlante-pioneer-_JM,NA,NA,NA,NA,NA,#434645186,NA,NA,NA,NA,NA,NA,NA,NA
30, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(296 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://articulo.mercadolibre.com.pe/MPE-437378262-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#437378262,JBL,NA,NA,Charge 4,Activo,Woofer,NA,30 W
31, P Parlante Bluetooth Logitech Ue Megaboom 3 Ip67 ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435567205-p-parlante-bluetooth-logitech-ue-megaboom-3-ip67-_JM,NA,NA,NA,NA,NA,#435567205,Logitech,NA,925 g,NA,NA,NA,NA,NA
32, Parlante Portatil Altavoz Bluetooth Charge Mini ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(183 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.pe/PRECIO.PE,https://articulo.mercadolibre.com.pe/MPE-429000664-parlante-portatil-altavoz-bluetooth-charge-mini-_JM,2,0,1,0,0,#429000664,NA,NA,2 kg,NA,NA,NA,Fiesta,NA
33, Parlante Jbl Charge 4 Acuatico 30w Bluetooth Portatil Harman ,559,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436114782-parlante-jbl-charge-4-acuatico-30w-bluetooth-portatil-harman-_JM,NA,NA,NA,NA,NA,#436114782,JBL,NA,NA,Charge 4,Activo,Portatil,NA,30 W
34, Jbl Xtreme 2 Parlante Acuatico Bluetooth Portatil By Harman ,1049,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435224647-jbl-xtreme-2-parlante-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#435224647,NA,NA,NA,NA,NA,NA,NA,NA
