search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Cor,Potência de saída (RMS),Formato do alto-falante,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Linha,Voltagem,Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Configuração de canais,Quantidade de alto-falantes,Resposta máxima em frequência,Resposta mínima em frequência
1, Caixa De Som Bluetooth Jbl 60w - Jblboomboxblk ,1499,NA,58,79,12x,124.92,NA,Envio para todo o país,NA,NA,5,1,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1028982824-caixa-de-som-bluetooth-jbl-60w-jblboomboxblk-_JM,1,0,0,0,0,#1028982824,JBL,JBLBOOMBOXBLK,Preto,60 W,Caixa,Auxiliar,80 dB,260 mm,180 mm,460 mm,5.18 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Caixa De Som Bluetooth Jbl 60w - Jblboomboxblk ,1489,NA,8,79,12x,142.31,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1028962679-caixa-de-som-bluetooth-jbl-60w-jblboomboxblk-_JM,NA,NA,NA,NA,NA,#1028962679,JBL,JBLBOOMBOXBLK,Preto,60 W,Caixa,Auxiliar,80 dB,260 mm,180 mm,460 mm,5.18 kg,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Caixa De Som Bluetooth Amplificada Portátil Microfone Grátis ,159,NA,12845,15,12x,15.29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1295,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM,798,262,122,45,68,#757364044,Infokit,VC-M874BT,NA,12 W,Torre,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",80 dB,17 cm,14 cm,36.5 cm,NA,Bluetooth,110/220v ou USB 5v,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Bluetooth,3,NA,NA
4, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,168,NA,783,68,12x,16.15,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,922,https://perfil.mercadolivre.com.br/GIRO+R%C3%81PIDO?brandId=2104,https://produto.mercadolivre.com.br/MLB-1073888661-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-e-bluetooth-_JM,745,120,39,6,12,#1073888661,JBL,Wind,NA,3 W,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,falante,Ativo,bike e motocicleta,5.1,NA,20 kHz,20 Hz
5, Caixa De Som Amplificada Portátil Bateria Bluetooth Usb 500w ,169,NA,3007,279,12x,16.24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,120,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1089428322-caixa-de-som-amplificada-portatil-bateria-bluetooth-usb-500w-_JM,74,26,7,6,7,#1089428322,Grasep,DQ-9,NA,20 W,Torre,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,NA,NA,NA,NA,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",5.1,NA,NA,NA
6, Caixinha Som Portátil Bluetooth Fm P2 Mp3 Cartão Pen Drive ,29,NA,3757,4,5x,6.56,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,239,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175510231-caixinha-som-portatil-bluetooth-fm-p2-mp3-carto-pen-drive-_JM,207,16,8,4,4,#1175510231,Goldenultra,GT-356BT,NA,8 W, ,"P2,Leitor SD, Usb, Auxiliar P2",NA,NA,NA,NA,NA,NA,(Bivolt), , , , ,NA,NA,NA
7, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,205,NA,1205,214,12x,19.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,46,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM,30,9,3,1,3,#1114227033,Grasep,D-Q10,NA,30 W,Caixa,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,NA,NA,Voxcube,Bivolt,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",5.1,3,NA,NA
8, Caixa De Som Bluetooth Amplificada Com Microfone Mp3 Usb ,189,NA,968,40,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,168,https://perfil.mercadolivre.com.br/123INBOX,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=pEqs0w%2BsJEwwdPuWreM%2FwT9Phiz8X6NI11jlmKUPiJY0nHNu3D7sshd0zgrIfFbxOlrgSaYv%2BNyZiEGqA9l7J47xAYMlmvRa%2FAwTBA0IpaYXE2ssnneQQHeibVHf10djN5NvZg%2B1pMTLgNgKsA7eFUOe4lwejSClyRtWsI788Z%2F%2BuFAbhnfCMQj%2FoAI%2BBEcHK%2FL1iG91XRrrqaNMuza4Q2ytzk82CpsXNIpcFPyWJpUm2ah44lT21jT4s5VL7m5Zv2PWgX5eEarpVfhnPYxbgaXB2K8SQ6LMD7HC%2B1wZfFMwByXbh4uIQZtBdEG83vX1lX59rno%2FMcNJq1xqRDRZTB1aKBhVOlH4013LPDT3QmiSB8v8cx8RaRl%2BA0svaymLBO0VUL%2Ba%2FQrzLoW2R80v5MJQu4wkgz662OePumugTNS13JdishrcZj9fBCfKTIN4LylzCYBtWvQaOpNwnuvu1KFpKVe6K%2F6ODjayQox1Ll14BC%2FVXruHz6tn8D6TaPvdxTqj4b4U9Weri3UaGx7TPXcWIY%2BKD52V24%2B8BD0N6kY2pA9BQTd%2FbsER0qrA4QDEyUlflVHS5Lm3etMnDNYmAUNWUIDzjjgbeA%2BimnDWN1%2Fcesldmx6u%2B0lSElD0TJPzPpyTDVfLJTKJ98NpJ0wkeRptfSsmiJdqfOXL4OLHZvJq1n8OOEawO21uT5YZLRM7%2FbSbGjExugitJaJqNdJOLbBZaV9Ndm3wSMxqXulOYO7XX9BYlRUe3rVZ8JxKEVuPnrulTeiAjwsCD46K0QQyvFtmJrVoyxaaCH6FfiJg9LcNBOFdxp994kfmkBQDgWMxA5nwbXXrKxL7SJO1sxbsvgQAYYWgXpEFb%2B0xvyP08ZQ7CUanvih0C24RFWxfXxsyLOL7Aapi5IILxuGk8q4qJaKTrm2NvDFEvFSt2rVf2dIOnwd7joIgfmGh2YtGtnj9DUFx8ZjuxqbETd%2Bm41uDdR%2BIYrtky9ghM6a9QBNbHBYrsj0qeBu856t2VGoANyDzXyXC%2BkgaQE%2BR5RRNmMAhgS0JDfsCGbfK8T7RhwrEow3HQZLCQipFnu%2BZ6FFbT7nSt87belBK4uEib5hej5irUqCDV1SqjfD6k4JZbLuf6ZQv%2FRevl3LRwwIBJO3ah6X7iaeSEIFrPVvxgvTfvjJ1r6VevkxqVIJezKUv7f7%2BXDTluCoD7mM7ImQn%2BCl5HnEVNHy%2F5yga0i64BPD6OH%2Begn9AgzWyRjRli3veA0Eugx0mczqgkqa2uPP8Q8K9s2GpDv%2B2dEHUDghLUms%2BBZTJdcjUh4TDbl%2BuKYQC2coh65ts6BEma2U%2Bm3GSYGGhJgyoDRbI8UHDnHwKBsjOEolp3AkrmAeQP8EM1fncdGLQ3oeBouNX8XniXueGIaXFDSqFqKrfZ9KPXZhGd8gMetGn%2Bv5l%2FRHz1IzOpYA3O5dMXmR5hkPirui34VqAVSEmx3VIVh5M3WZeUBQOQuS7fdt5mYK0bXONUYWW6oaRBvN0bC%2BvHHwvkdFp418M37XLW3o5UNcsY%2B4oWhbblAr%2BOFqNKb9OmKgSH59OiLu%2FfmFknDcMK2jn2EMcDZ42PrDc8w72a4jeMeRJBkQyl6u0VZlZc3aOOp4TD75A6OyuMCCs84IEEfbQBCaAqoenRSALT4MkgIlF4CZz4g9RZLOtHVk%2B%2BtpwohSDfvhl0b0axYhvGQsicWYFuiUFE1hFje5IvLeuoY%2FIlVG%2Bvn1ouUHuNICoscv2oNpk6DgFeQd%2BvCrVLKBtqkmli31GMa6YFbuilmjqPlmFm5T%2BdL2wlHDF991SCtFpx8FqQq5mDCGWB%2BjqMlxFhmIWCi%2BIC%2FIvN7ws7cEGIMfS0eoKodc6h1N5,117,27,14,6,4,#1097049569,IMPORTADO RPC,FBX-103,NA,25 W,Torre,"Entrada para Microfone P2 e P10, USB",NA,NA,NA,NA,2.4 kg,NA,NA,Subwoofer,Subwoofer Embutido,"Festas em Geral, Praia, Sítios, Eventos Diversos",BLUETOOTH,NA,NA,NA
9, Caixa De Som Jbl Boombox Bluetooth Preto Original Full ,1799,NA,192,4,12x,150.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,113,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-986918342-caixa-de-som-jbl-boombox-bluetooth-preto-original-full-_JM,99,5,2,3,4,#986918342,JBL,Boombox,Preto,60 W,Caixa,NA,NA,NA,NA,NA,NA,caixas portatil,Bivolt,Subwoofer,Subwoofer,De piso,5.1,NA,NA,NA
10, Caixa De Som Portátil Bluetooth Jbl Wind Resistente A Água ,179,NA,65,50,12x,14.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,922,https://perfil.mercadolivre.com.br/AUTORAMAESTAR?brandId=1796,https://produto.mercadolivre.com.br/MLB-1127655639-caixa-de-som-portatil-bluetooth-jbl-wind-resistente-a-agua-_JM,745,120,39,6,12,#1127655639,JBL,JBL WIND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
