search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
14,Auriculares Inalambrico Bluetooth 5.0 I11 Tws iPhone Android,1100,NA,5,10,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VENTAUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=j28CafpBJ2ALAZF5714aHeE43wG%2F0GKGmjsmTF2T3J1LbXPdLGWjLqekLyvlvlGI%2Ff%2FiAnlmHy5%2BGS3j0Ys7hrzONLsptBMXDjgDGYhzGO66zMp4tcmxS8R%2BbeAu0gZe44NjA0UM8ctaaQSA5sgBdYf3%2BBezNRhqVNHxHBlwfTDwCBmaEs%2FTVWe%2F5l4gNmuIaIcDfDbLrtGm2TH7ng7cI0zNoRHA6FQegK4EeXXYffdSKVVbtjOIznRUA4t5BRVn%2FV21laDWclsDLSQItbDtU1B5RpqaZihQwWUc6LvxaCerf2r30TJFZJRmf4HtIOpMsSKz4Dy%2F1MYrgCN408FdCK65EEdc2XFOZ5cEr%2Bv78AROsO03dbnQtG7658QapwkToB3XhmnlRieDi6yj8tSJJX6pnWrkLv0%2BuADLOSOHzNj3Az2BTtfezLmrlKdLqZy%2FM%2BMBdG2uZ5tpfcnpCi2EbWMWo9qBiyKq8HnthfV7xm27RszOv2slci6xEkuiL7eK4lkRXB9ZVcc2zh9t7fCIgzmOTIpPGjWzKLkykv1%2Fow2NRfv%2BpQfjNSre6bD8zFXtww3TcmPC1UNtslnTOS8H56DIWYfwky5FHtu4n6lLOYgGvZ%2BvAaFLbIdQVnQPFVaoFVxHpBp7OtMmD3cI%2Br5W3oUmHHZH5oIklUkvwLUl0zUNBpp4xVDEdliKDvZANH92QYHB4FZu2zjThQUEMhQrU2h4bimDsLRT%2F%2FSFUkW8GmOAJy29PXeEQObWzPYIxCzp2sRb%2FeF58R9BaGeXWHfBEFBlbh7ogvcqRozbB23V9clX6G6zDoRamd4TLU6hLOunSky1FAzhpRipr4DDqzmp9YfypZg0VkEC4k%2B3CpYbLjp7qVnIMm5nSyIVqHjV%2FGNttpFJmFTIqt0kqwtC4cSGRLWhcEA%2FDaAJqgsyFD5G3bUeUkoff%2FvGkBYNM%2Fn6P6UCOPOFeer4Eg0PAEyP0uoYpGl1AyPc%2FoGBSW90Asdn0xlAuyy6T0iBxG%2Bk%2BV4UmZj%2F26QctYrLA2XUdB9VHK3AeUDOCF9CGcdK0lP6KhI355o28PSbzp6qhDVSOjBt3E8e2g80AYG%2F0x%2BQEP%2FkmIhvZkqC4WVduV8x0MTjay20hlI6XoOcrtnQdzS16QQrxp%2BQZ2o2%2F13xDTeJRuQhCxp%2BdQlqN1NXn%2BWZHvXyBEsQnqfuGb%2BR5OgaZlWiO16wWXV09eAWVoQ%2FemW%2Bi3S0Aud3W0bQtvMjKqfF39EMmY10mHBXjdwkVQtymfCzhHYchF2wljr48P9Zr6xO%2BjJyE0loiG1N5JWqvzwanctR64%2BrSj9ETU2KO%2F%2F8hrJa3kvxC7m4TR%2Bc3YGOHO1aKbl8DHAKQIOf7mjPzNzd2LT2utvlzchVyFjytGnN%2F%2BaVVDZHoYiDsrHhBeuQHSLtS%2BhCetPB0%2BpyL6WWNLvNAzfZuZwTu4FAeoqaXNTb%2B0RI%2FvMtsykYSDcNglvjmPstEj%2BoqPtxZDzaXPkE3PRH0D4Y8euYQGd8GI%2Bg2yHDLqbP4SiDAnSXIGcUM00%2BejFb%2FmI2H00TbLUYeCABjrBwbkfMD1YbXaGKm7fsJgSVE71kPXKdkTgDuIhpnhQa1xY1ynLSSNaGn8WZhe0DscXT3qCDBqopbiMXvki%2BO3tmlkJCk9bUKQRv4Pu42mv1fB%2Fs8zE%3D,NA,NA,NA,NA,NA,#464537102,Generico TWS,NA,Sin Vincha
15,Auriculares Jbl Endurance Sprint Bluetooth Celular iPhone,2400,NA,31,99968,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.7,3,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459244517-auriculares-jbl-endurance-sprint-bluetooth-celular-iphone-_JM,2,1,0,0,0,#459244517,JBL,SPRINT,Sin Vincha
16,Auriculares Inalámbricos Tws16 Bluetooth Iph/android Ebuy,50,NA,15,85,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/EASYBUYSHOP,https://articulo.mercadolibre.com.uy/MLU-456715106-auriculares-inalambricos-tws16-bluetooth-iphandroid-ebuy-_JM,1,0,0,0,0,#456715106,NA,NA,NA
17,Auricular Inalambrico Sony Mdr-xb950bt Rosado Bluetooth,900,NA,35,65,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,3.6,14,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,https://articulo.mercadolibre.com.uy/MLU-457762556-auricular-inalambrico-sony-mdr-xb950bt-rosado-bluetooth-_JM,4,6,1,1,2,#457762556,Sony,MDR-XB950BT,Con Vincha
18,Auriculares Bluetooth Manos Libre Deporte iPhone Android,18,NA,58,19,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=UfPi8Gqq1D64RhhiTK6HCG4rlrO0zrqWGPdwxBrKRlgymoU%2F4QI4Rh7rRmTPwlLWmrb1Kv5zu3XBjN%2BiGyUcWNTJHX%2Bzfy1Kc0stCUFA5hkJfoVluSU%2BAeREXPJV3F6H6bZjjod2tLOnS5KHSJhVHMvVUAm6WqCPQt6%2FiDd4TI7VUGibsHpNDGLsUYY3sdZpd8CjdDNlgPdyLga32xFVGegZ1RXD99IK9w1RJ1cV9FGYzH8xOvnXy%2BN1P1twgEwULaeDZnCC10VGEYQYdEAyNvh3X%2F%2B8kHpVfY2ocWVTJcFZyYtIJO2WJF9IUxBQqML44RCWk2i8vwNFPjknZnB63T9m6VQKDwrRkPYHlwW4NQlzrIGNYMTGLtfUjfgvq%2FtcUHAjoiaJW7pJxeogj8q%2BaYecbxRkFw4bw6pjiw2flg5Yu7oqV9UZT71mOekEcxYd%2BFZN1DNKvfAy%2F1Chl%2BBUnMzt6Blat594Q%2B8xV%2F5MPdHeGktA9sNpebWL2WPOs%2BwOcACcYF0Ezfjf1jOgeUOjeFCyM21m8g9GUxWHki7O9tqo8w39eLIA%2BbJ2bgasgq9svOQOKObm%2B5oENvK8QjQmY0GiJLirJ8KGA6kZqrsohjytcATZvtHP4o%2BV3AmF7n5Qghw%2FCAv6MNZqw%2B021q6s4OmVUcpzSUwMKulgMmUJ5w3zCcveaIYtFH2Bv2TVW8CXLbdVPbKUEgjZchFrHKqaZdH%2F3v1bVp59x%2FUbBREzATV0JavDzwNO8G7db9OK%2BiUc6MwesATxQXv%2FLqoR82O96Z9iN%2Fwp7PSQyVI4N7une6ITQvs3odODXaG36yij5NBanUSq%2B9qpG946dgxeErPX6RMPjMGgHAwLqE7xugUy27RTPuWHAOM5ZIGiXpFcCZ5ADN8KhvdGIMYDhX3cUo%2B%2BLlZmY3y8CiLTcH53Ss3sc%2F4gCE5dKsPChoM87e3KQ0Hbyd7a%2FVbbR3ua6flNZ7AvgL%2Bwc9eaNKOo1JlNQ7AORg41eWV26t61EhdVmWSILUbe5mPe0KQxD3%2Boqq88orzWyse0Axj2YsjYTeQX8gThmQyUhsL%2FJXGXoMyi9tdWk4m%2B2aXpPpVyt0%2FPaT8%2Fk1xIOpPhJQJ%2FEwm4Y8tqKY75nTH4FnuV5HB1wQ8n8WztO75mmePQ4VVgkhHkbriwIDmu%2F6x4iTynCQP0LPQ9yuEkA6yQFCgDk9juUQDzsCqsYjpcZQNT1wE7iJTG%2BNpj2%2BlaFNmZMAoOCh6zaHVYPc9Mp2qbqvW%2BPs52KzET77Rr4nyXk9jnaLPObnKR0YnHZ6H%2FpNzavfjG0etw7RVjcGdhAnq6k71fDlOjKRjvfK0ahsqH%2FQBmfo2Vv3Yd4xmAXlVtg9EyWeEL8KVrNI7IcwF2wfvrHq%2FaMxqgUfpO15j5eLAb5zLgYz6IMsItwu4H7Gzj0chYJlVJDJ9zd0aIgnLnGybyna2OJRda%2BMdw1rGpbLF3D%2FKRsQG44xZQbmoOqSNyanI%2F6MG3EUSRP5mtz9GvkgCTCHyWkc7vB%2Fhu2LZ%2FnENmlsPKk3LN%2FtOIgmldg6Q7yzX5BPzBfJ08Y8QZ7OpkHCOVPyfAen7ozuz0IJKk658%2BuvYliBYwAl%2BqHxJj9se050Q8UnaBY4HXcQZVIyF9xbFsjgcWzpfYBppxCu%2Bu8qbLtlgMCqjW8yA%3D,3,2,0,0,0,#450309766,LiderTek,No Aplica,Sin Vincha
19,Auriculares Inalambricos Bluetooth Tipo AirPods iPhone Febo,710,NA,30,99969,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4,49,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-456789089-auriculares-inalambricos-bluetooth-tipo-airpods-iphone-febo-_JM,20,16,9,1,3,#456789089,Apple,AirPods,NA
20,Auriculares Bluetooth Stereo Manos Libres Wireless Magnetico,380,NA,171,5e3,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.1,27,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-450505995-auriculares-bluetooth-stereo-manos-libres-wireless-magnetico-_JM,13,7,4,2,1,#450505995,NA,NA,NA
21,Nano Auricular Manos Libres Bluetooth Ultra Pequeño Comodo ®,190,NA,117,5e3,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,3.8,9,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446287032-nano-auricular-manos-libres-bluetooth-ultra-pequeno-comodo--_JM,4,1,2,2,0,#446287032,Samsung,NA,NA
22,Auriculares Bluetooth Manos Libres Envio Gratis.,390,NA,56,124,18 cuotas,NA.NA,NA,Envío gratis a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/VENTASUY+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-457117278-auriculares-bluetooth-manos-libres-envio-gratis-_JM,3,1,0,0,0,#457117278,Supreme,BT 10,NA
23,Auriculares Jbl Manos Libres T110 Bluetooth Celular Febo,1698,NA,109,99890,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.5,55,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-451102841-auriculares-jbl-manos-libres-t110-bluetooth-celular-febo-_JM,38,11,3,0,3,#451102841,JBL,T110,Sin Vincha
