search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Material,Marca,Modelo,Modelo del celular
280, Estuche Funda iPhone 7 Plus 8 Plus ® Blister En Silicona ,450,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(24 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2500
		
		 sin interés
		
	

	
		",00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VENTAUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=QzGhRqe9rZ6taK6T%2FmO7teGty8%2BbKPDaTeOVywcTrmm38H0toPzj8Q8hptIiJ3ZR4L2r%2BgtNvYvmsKV4%2BkRyCvyiVX9Zi9jABuQq84GoBfy0x7qN9Suei03xZyOSufcyxo4hXEXPMQGX55pJTQ5TrXw2iE1f0TeXZUKYaPHAkxq1lXvz2dOLYVCngwp9YU2gFg1DIz9g2po6zKLBaY%2FfTAVs6F3R8kJS2yr3m6h88omiZiH3Z3J8d3juwdrDbLRFM0p3hqcZhvajKTfmhf%2FaA5g6zxNtzs8LLYFe70bRi%2BLBX%2FXk9ZktKr2SSiJn9VDYeiCVUg0x344NzMw308iFqVX9rOz%2F3NJ4p0bk9heE3m2dE%2FNpdkk0D13yeJYbUf0xO729992xGz4%2BX61Sd%2F6fo%2BUsD0KkDAlWPmCLBK%2F2x0YGLOhFI87gI%2Bjdxixd%2Be%2FiU%2F%2BGdabHQC6xYA4leL7TsIF2VkyclkuYQnSxGevMEbOAc0qI%2BIv6r7mvsaKfqO4LCjAwIZIqX7IDnAFbAAkSA7Gtq5DtfTG78I7fIP1v5q8tMPjv2lX6jiPduFnHjwOMhtFnqM4jqhNkw%2Boooa2jo%2Fgj%2BqIHoBbqFksYSCBYNDNblJAnK9j2YtMBHMl%2FD3M3LfPLQGPNv1oz059LcM0%2BVUWWzVCFrYdevKJu9qoTRdQM7fSoQ8Ak61K6BPNbRETqy%2BRD8hHok2J1pceGrYGwpjCc2W9h18v0KkUxyDMv8UwYCkZ4EZyO9BJvmlnSdjNDKndfZhtI%2BVAYW%2F0FoA5t2S78AN%2F8VNvCWV2xZWgpjS7Th4XU6vf93Si32zgYvOeMmp1LZaYI4OXzMjh%2B5aR8laVvugOzoAG8daWesNcAEfr2CXhfpUfMXEStq%2BRX9LhcGoXrxZk6lfMbo7B8jmAG5UVztUcBB0rnncvyS0u7DtzWpjJ8KPXQdOTqPd5K9SqC3h%2BFmEqmPznSXp4D6uSTBsnv%2FZ6W2RfO03aPdXddjyDQcr4mrGNtpj8vZriH6YS1KtKtLJpAZJP95uEHv%2B7oxrXixqm2%2BSX8XvThLUnjwksvKprFWg6aUCceHGCSMAYmNgCaXqP2QoCiY0bAtVdGw12dc2vlvw%2BqCh58gZEyRprPu0BwYVekoUi7DnekNCiQjtmRWfn0LfNR94NAX%2BcX1DfFh09Mdk8X2wY03PnFkjr15cVkLJqirc1MkPyjcRJyD6ioCHwlOUBcxULucg90oOB9JDyy9LzCfQs28URj9t4EWHaXltBRthUBknvn8mqnKEz1paihqbMRNyzSeTFRW9fukJIEr5AhTd9Oyfnz1tJcTQTfrKvCweBDkI61zPW8n9q2iC1HB%2FYQD3EEI%2BDxUj7OFx%2B1cVBR3v567GuCKIcMwS9g7blxipFV0RbjEH8EiGQ%2BQGKNhwisCq6CToFFcHnoufXSBZRE1WzeLmUSO9Lyz7EcwdpcZnwhVgdE%2B2d84cUM7e91rCbMTe8%2Feg%2BI96tg%2FsP90r4%2F3DCo20uc58Hk%2BUHk6Hivf5RLV41Ik6Rz%2B8PSfuKfosBLWCaDh7X5K9iuRVqpPRFeOrg3%2Bfp3q1aoPDdzHDnj5g8JnodHu6LaE%2FXxsX7dkkim40G9m%2FQO6Z7LIiISL4ypzvduA7RvARvcs8IWPL%2B1VXvrQ5EfHzl3daWprHh%2FlOEslp7ZJdLbELmb0gIo%2BlmZ3Y2ZN6yf%2Fqha0xotpzxAX%2B0Q0U3yGTvdpsxIeboGiDypzCDvw12C1mWsONkB96%2FR%2BZtT%2FxTtVGD1Ra88ajt7mxAdBjVVgMbWN2Fg1iheZMYFbX7xV45brdcpFJpHg1EK%2BplAAmAGP7BTV9OV%2Fa0xc7zp%2BP4S6uBT5mEKhWH9CstKcQTG6Su5Tz4%3D,NA,NA,NA,NA,NA,#455406861,Apple,Silicona,NA,NA,NA
281, Protector Funda iPhone 8 Plus 7 Plus Silicona Sp Negro ,399,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2217
		
		 sin interés
		
	

	
		",17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448333769-protector-funda-iphone-8-plus-7-plus-silicona-sp-negro-_JM#position=19&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#448333769,Apple,Silicona,Apple,NA,NA
282, Protector Tpu iPhone 8 Plus 7 Plus Cute Funda ,199,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1106
		
		 sin interés
		
	

	
		",06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449016596-protector-tpu-iphone-8-plus-7-plus-cute-funda-_JM#position=20&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#449016596,Apple,TPU,Apple,NA,NA
283, Protector Liquido iPhone 8 Plus 7 Plus Bytch Funda Carcasa ,250,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1389
		
		 sin interés
		
	

	
		",89,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448325527-protector-liquido-iphone-8-plus-7-plus-bytch-funda-carcasa-_JM#position=21&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#448325527,Apple,NA,Apple,NA,NA
284, Protector Neo Hybrid iPhone 6 7 Plus 8 8 Plus X Funda ,200,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1111
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-454374130-protector-neo-hybrid-iphone-6-7-plus-8-8-plus-x-funda-_JM#position=22&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#454374130,Apple,NA,NA,NA,NA
285, Funda iPhone 8 Plus / Funda iPhone 7 Plus - Zizo [serie Shoc ,1283,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7128
		
		 sin interés
		
	

	
		",28,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457417383-funda-iphone-8-plus-funda-iphone-7-plus-zizo-serie-shoc-_JM#position=23&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#457417383,NA,NA,Apple,1SHK-IPH7PLUS-SL,NA
286," Funda iPhone 7 Plus, Funda iPhone 8 Plus, Doujiaz Funda Prot ",998,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5544
		
		 sin interés
		
	

	
		",44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457703910-funda-iphone-7-plus-funda-iphone-8-plus-doujiaz-funda-prot-_JM#position=24&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#457703910,NA,NA,Apple,iPhone 8 Plus,NA
287," iPhone 8 Plus Funda, iPhone 7 Plus Funda, Jwest Marble Clear ",667,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3706
		
		 sin interés
		
	

	
		",06,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457704593-iphone-8-plus-funda-iphone-7-plus-funda-jwest-marble-clear-_JM#position=25&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#457704593,Apple,Silicona,J.west,J-I7P-370-01,NA
288," Funda iPhone 7 Plus, iPhone 8 Plus, Doujiaz Dorado Brillante ",998,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 5544
		
		 sin interés
		
	

	
		",44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457710635-funda-iphone-7-plus-iphone-8-plus-doujiaz-dorado-brillante-_JM#position=26&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#457710635,Apple,Silicona,DOUJIAZ,R-imd-TJ-qinshi jin-7P,NA
289, Otterbox Symmetry Series Funda Para iPhone 8 Plus Y iPhone 7 ,2200,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 12222
		
		 sin interés
		
	

	
		",22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/HERMESSTORE,https://articulo.mercadolibre.com.uy/MLU-457806662-otterbox-symmetry-series-funda-para-iphone-8-plus-y-iphone-7-_JM#position=27&type=item&tracking_id=872c863f-064a-4644-af76-ae5137b54200,NA,NA,NA,NA,NA,#457806662,Apple,NA,OtterBox,77-54080,NA
