value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Envío a todo el país,,
3,días,días,Entrega a acordar con el vendedor,,
4,,,Envío gratis a todo el país,,
5,,,Envío,,
6,,,Retiro gratis en tienda de Geant,,
