search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Línea,Tipo
996, Bluetooth Integrado Flip Up Full Face Casco De Motocicleta ,1526.666,NA,0,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LIZETH.GUERRERO,https://articulo.mercadolibre.com.co/MCO-492392428-bluetooth-integrado-flip-up-full-face-casco-de-motocicleta-_JM#position=45&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#492392428,NA,NA,NA,NA,NA,NA,Integral
997, Casco Moto Indian Original Half Helmet 1 Clasico Vintage Dot ,799,NA,0,4,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/VCCGRUPO,https://articulo.mercadolibre.com.co/MCO-496025965-casco-moto-indian-original-half-helmet-1-clasico-vintage-dot-_JM?searchVariation=30831558367#position=46&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#496025965,Negro/Rojo/Blanco,"S,M,L,XL,XXL",Indian,Half Helmet,Integral,NA,NA
998, Casco De Motocicleta Hjc Cl17 De Rostro Completo Xxl Negro M ,743.99,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDA+MALU,https://articulo.mercadolibre.com.co/MCO-510564305-casco-de-motocicleta-hjc-cl17-de-rostro-completo-xxl-negro-m-_JM#position=47&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#510564305,NA,NA,HJC Helmets,NA,NA,NA,Rebatible
999, Bell Revólver Evo Modular Casco De Motocicleta (sólido Negro ,1075.8,NA,0,2,36 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SHOPPRA,https://articulo.mercadolibre.com.co/MCO-515287346-bell-revolver-evo-modular-casco-de-motocicleta-solido-negro-_JM#position=48&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#515287346,NA,NA,NA,NA,NA,NA,NA
1000, Casco De Moto Agv Unisexadult Full Face K1 Dreamtime Multic ,1638,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MAUJA.STORE,https://articulo.mercadolibre.com.co/MCO-519107068-casco-de-moto-agv-unisexadult-full-face-k1-dreamtime-multic-_JM#position=49&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#519107068,NA,NA,AGV,AGV-0281O010-005-XL,Integral,K-1,NA
1001," Hot Leathers Dama Negro Rider Motocicleta Casco, L, Negro ",344.9,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKAESCOLOMBIASAS,https://articulo.mercadolibre.com.co/MCO-523429882-hot-leathers-dama-negro-rider-motocicleta-casco-l-negro-_JM#position=50&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#523429882,NA,NA,NA,NA,Rebatible,NA,NA
1002, Troy Lee Designs Factory Boys Se4 motocross Casco De Moto ,767.9,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKAESCOLOMBIASAS,https://articulo.mercadolibre.com.co/MCO-523432889-troy-lee-designs-factory-boys-se4motocross-casco-de-moto-_JM#position=51&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#523432889,NA,NA,Troy Lee Designs,Factory,Integral,NA,NA
1003," Arai Xd4 Depart - Casco De Moto Para Adulto, L ",3247.9,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKAESCOLOMBIASAS,https://articulo.mercadolibre.com.co/MCO-523433142-arai-xd4-depart-casco-de-moto-para-adulto-l-_JM#position=52&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#523433142,NA,NA,NA,NA,Integral,NA,NA
1004, Casco Integral Protección Moto Ls2 320 Stream Trepid Origin ,360,NA,0,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-526607372-casco-integral-proteccion-moto-ls2-320-stream-trepid-origin-_JM?searchVariation=41030532263#position=53&type=item&tracking_id=f2a7cbb4-93bc-4c25-a0c0-c02b674fa900,NA,NA,NA,NA,NA,#526607372,Gris,"M,L,XL",LS2,NA,Integral,NA,NA
1005, Casco De Moto Shaft Original (par) ,620,NA,0,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/STIDELACRUZNEGRETTE,https://articulo.mercadolibre.com.co/MCO-488042890-casco-de-moto-shaft-original-par-_JM?searchVariation=28531268884#position=1&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#488042890,Verde lima,NA,Shaft,f520,NA,NA,Integral
