search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo,Color
922, Casco Motocicleta Mitad Abierto Cara Tamaño Ajustable Prote ,18.525,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.544
			
		
		 sin interés
		
	

	
		","
				$ 1.544
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPRALEGRECL,https://articulo.mercadolibre.cl/MLC-476534813-casco-motocicleta-mitad-abierto-cara-tamano-ajustable-prote-_JM#position=24&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#476534813,NA,NA,NA,NA,NA,Integral,NA,Black/Red/White
923, Casco Nuevo Motocicleta Ghb Talla Xl ,49.990,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 8.332
			
		
		 sin interés
		
	

	
		","
				$ 8.332
			",NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/KILPUE2014,https://articulo.mercadolibre.cl/MLC-442240901-casco-nuevo-motocicleta-ghb-talla-xl-_JM#position=25&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#442240901,NA,NA,NA,NA,NA,NA,Integral,NA
924, Tapa Béisbol Mitad Casco Moto De Verano Cascos Para Hombres ,4.724,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 394
			
		
		 sin interés
		
	

	
		","
				$ 394
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CIMAALEGRIACL,https://articulo.mercadolibre.cl/MLC-474587197-tapa-beisbol-mitad-casco-moto-de-verano-cascos-para-hombres-_JM#position=26&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#474587197,NA,NA,NA,NA,NA,NA,Integral,NA
925, Casco Gub Unisex Para Ciclismo De Monta?a O Motocicleta ,30.488,NA,"
			
				Nuevo
			
			
		",(199 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.541
			
		
		 sin interés
		
	

	
		","
				$ 2.541
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPRALEGRECL,https://articulo.mercadolibre.cl/MLC-476470788-casco-gub-unisex-para-ciclismo-de-montaa-o-motocicleta-_JM#position=27&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#476470788,NA,NA,NA,NA,NA,NA,NA,NA
926, Casco De Motocicleta Bell Racestar Lux Adult Street Helmet ,1.029.473,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 171.579
			
		
		 sin interés
		
	

	
		","
				$ 171.579
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478240270-casco-de-motocicleta-bell-racestar-lux-adult-street-helmet-_JM#position=28&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#478240270,NA,NA,Bell,NA,NA,NA,NA,NA
927, Casco De Motocicleta Hjc Helmets Rph11 Deadpool 2 Mens Stree ,758.736,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 126.456
			
		
		 sin interés
		
	

	
		","
				$ 126.456
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478241620-casco-de-motocicleta-hjc-helmets-rph11-deadpool-2-mens-stree-_JM#position=29&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#478241620,NA,NA,HJC,NA,Deadpool,NA,NA,NA
928, Casco De Motocicleta Scorpion Exo-at950 Helmet - Neocon (lar ,428.069,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 71.345
			
		
		 sin interés
		
	

	
		","
				$ 71.345
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478242585-casco-de-motocicleta-scorpion-exo-at950-helmet-neocon-lar-_JM#position=30&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#478242585,NA,NA,Scorpion,EXO-AT950,Neocon,NA,NA,NA
929, Casco De Motocicleta Vespa (red) 946 Vj1 Helmet - S ,421.502,NA,"
			
				Nuevo
			
			
		",(99 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 70.250
			
		
		 sin interés
		
	

	
		","
				$ 70.250
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478244065-casco-de-motocicleta-vespa-red-946-vj1-helmet-s-_JM#position=31&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#478244065,NA,NA,Vespa,NA,NA,NA,NA,NA
930, Casco Moto Bell Qualifier Torque Negro-rojo / Mtbx ,89.990,NA,"
			
				Nuevo
			
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.499
			
		
		 sin interés
		
	

	
		","
				$ 7.499
			",NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALMTBXLTDA,https://articulo.mercadolibre.cl/MLC-457113873-casco-moto-bell-qualifier-torque-negro-rojo-mtbx-_JM#position=32&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#457113873,NA,NA,Bell,NA,Qualifier,NA,Integral,NA
931, Casco Moto De Fibra Carbon Kali Monuments Rojo + Bolso. ,99.990,NA,"
			
				Nuevo
			
			
		",(25 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 8.332
			
		
		 sin interés
		
	

	
		","
				$ 8.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME+STORE,https://articulo.mercadolibre.cl/MLC-490762664-casco-moto-de-fibra-carbon-kali-monuments-rojo-bolso-_JM#position=33&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#490762664,Rojo,"XS,XL,XXL",Kali,NA,Monuments,Carbon,NA,NA
932, Casco Motos Ajustable Visor Anti-raya 72856 / Fernapet ,27.990,NA,"
			
				Nuevo
			
			
		",(40 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.665
			
		
		 sin interés
		
	

	
		","
				$ 4.665
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FERNAPET,https://articulo.mercadolibre.cl/MLC-444669792-casco-motos-ajustable-visor-anti-raya-72856-fernapet-_JM#position=34&type=item&tracking_id=e5565b67-08bd-493d-af09-74cbca64b814,NA,NA,NA,NA,NA,#444669792,NA,NA,NA,NA,NA,NA,NA,NA
