search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso,Tipo de fechamento,Usos recomendados
86, Capacete Moto Escamoteável Articulado Pro Tork V-pro Jet 2 ,198,NA,"
			
				Novo
			
			
				
					 - 
				
				44
				vendidos
			
		",(1100 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1658
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,572,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-852374351-capacete-moto-escamoteavel-articulado-pro-tork-v-pro-jet-2-_JM#position=33&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,385,115,46,7,19,#852374351,NA,NA,Pro Tork,Unissex Escamoteavel,V-pro jet 2,Integral,NA,NA,ABS,NA,NA,NA,NA,NA
87, Capacete Feminino Sport Moto For Girls Pro Tork ,59,NA,"
			
			
				
				645
				vendidos
			
		",(2580 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 670
		
		 sem juros
		
	

	
		",70,NA,Envio para todo o país,NA,NA,4.4,1581,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-836760750-capacete-feminino-sport-moto-for-girls-pro-tork-_JM?searchVariation=15993962443#position=34&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,979,347,149,57,49,#836760750,Branco,"56,58,60",Pro Tork,Capacetes,Sport Moto For Girls,Integral,Simple,EPS,ABS,Adultos,Unissex,NA,NA,NA
88, Capacete Moto Mixs Fokker Carbon X Fundo Fosco Lançamento ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				191
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1242
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,41,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133437023-capacete-moto-mixs-fokker-carbon-x-fundo-fosco-lancamento-_JM?searchVariation=29861753408#position=35&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,22,10,4,3,2,#1133437023,"Rosa,Amarelo,Azul,Cinza-claro,Laranja,Rosa,Verde,Vermelho","58,60",Pro Tork,Capacetes,Carbon-X,Integral,Simple,Nylon,ABS,Adultos,Unissex,NA,NA,NA
89, Capacete Moto Escamoteável Peels Urban Ultron Preto Fosco ,388,NA,"
			
				Novo
			
			
				
					 - 
				
				203
				vendidos
			
		",(134 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3233
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,183,https://perfil.mercadolivre.com.br/DISTRIMIX77,https://produto.mercadolivre.com.br/MLB-943745323-capacete-moto-escamoteavel-peels-urban-ultron-preto-fosco-_JM?searchVariation=24242052172#position=36&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,130,41,5,3,3,#943745323,Preto-fosco - Vermelho,"56,58,60,62",Peels,Urban,Urban Ultron,Modular,Duplo,"Revestimento interno em tecido antialérgico, removível e lavável",ABS,Adultos,Unissex,1.7 kg,NA,NA
90, Capacete Infantil Moto Criança Pro Tork Liberty Azul ,57,NA,"
			
			
				
				433
				vendidos
			
		",(694 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 648
		
		 sem juros
		
	

	
		",48,NA,Envio para todo o país,NA,NA,4.7,19,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-839112783-capacete-infantil-moto-crianca-pro-tork-liberty-azul-_JM?searchVariation=19921313897#position=37&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,14,4,1,0,0,#839112783,Azul,54,Pro Tork,Capacetes,Liberty,Integral,Simple,EPS,ABS,Crianças,Unissex,NA,NA,NA
91, Capacete Aberto Pro Tork Moto Liberty Three ,59,NA,"
			
				Novo
			
			
				
					 - 
				
				318
				vendidos
			
		",(1670 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 681
		
		 sem juros
		
	

	
		",81,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1051,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-743674709-capacete-aberto-pro-tork-moto-liberty-three-_JM?searchVariation=27721029534#position=38&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,749,206,70,14,12,#743674709,Preto,"58,60",Pro Tork,Capacetes,Liberty Three,Aberto,NA,NA,ABS,NA,NA,NA,NA,NA
92, Capacete Moto New Liberty Four Pro Tork R8 Fechado ,103,114,"
			
				Novo
			
			
				
					 - 
				
				198
				vendidos
			
		",(254 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 862
		
		 sem juros
		
	

	
		",62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,6,https://perfil.mercadolivre.com.br/JN.MOTOS,https://produto.mercadolivre.com.br/MLB-1122939289-capacete-moto-new-liberty-four-pro-tork-r8-fechado-_JM?searchVariation=29027129493#position=39&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,5,1,0,0,0,#1122939289,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,Simple,Berço Antialérgico,ABS,Adultos,Unissex,NA,NA,NA
93, Capacete Axxis By Mt Lady Catrina Preto Capacete Moto ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				127
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,13,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-720821041-capacete-axxis-by-mt-lady-catrina-preto-capacete-moto-_JM?searchVariation=39217576321#position=40&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,9,2,0,1,0,#720821041,Preto - Roxo Fosco,"54,58",Axxis,Axxis,Eagle,Integral,Simple,NA,ABS,Adultos,Unissex,1450 g,Micrométrico,NA
94, Capacete Moto Ebf E0x Spectro Varios Tamanhos E Cores ,159,NA,"
			
			
				
				57
				vendidos
			
		",(13 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1333
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951739642-capacete-moto-ebf-e0x-spectro-varios-tamanhos-e-cores-_JM?searchVariation=31971444408#position=41&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,NA,NA,NA,NA,NA,#951739642,Preto - Branco,"56,58,60,61",EBF,EOX,Spectro,Integral,Simple,Não se aplica,ABS,Adultos,Unissex,NA,NA,NA
95, Capacetes Moto Mixs Foker Storm Fundo Preto Viseira Fume ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				157
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1332
		
		 sem juros
		
	

	
		",32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.3,6,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1194191270-capacetes-moto-mixs-foker-storm-fundo-preto-viseira-fume-_JM?searchVariation=34048540518#position=42&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,1,1,3,1,0,#1194191270,"Amarelo,Amarelo,Azul,Grafite,Laranja,Rosa,Verde,Vermelho",58,Pro Tork,NA,788,Integral,Simple,Nylon,ABS,Adultos,Unissex,NA,NA,NA
96, Capacete Moto Ebf Shield Solid Diversos Tamanhos E Cores ,68,NA,"
			
			
				
				73
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 656
		
		 sem juros
		
	

	
		",56,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798872313-capacete-moto-ebf-shield-solid-diversos-tamanhos-e-cores-_JM?searchVariation=31963346637#position=43&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,NA,NA,NA,NA,NA,#798872313,Vermelho,"56,60",EBF,Shield,Shield,Aberto,Simple,NA,NA,Adultos,Unissex,NA,NA,NA
97, Capacete Moto Aberto C/oculos Solar Ebf Varias Cores/tamanho ,221,NA,"
			
			
				
				105
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1850
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,4,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798342970-capacete-moto-aberto-coculos-solar-ebf-varias-corestamanho-_JM?searchVariation=27795275588#position=44&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,3,0,1,0,0,#798342970,"Preto-fosco - Vermelho,Preto-brilho - Branco,Preto-brilho - Laranja,Preto-brilho - Rosa,Preto-brilho - Vermelho,Preto-fosco - Laranja,Preto-fosco - Rosa,Preto-fosco - Vermelho","56,58",EBF,Freedom,Circle,Aberto,Simple,NA,ABS,Adultos,Unissex,1.463 kg,NA,NA
98, Capacete Moto Ebf Spark R-pace Várias Cores E Tamanhos ,139,NA,"
			
			
				
				59
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1166
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,1,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951724040-capacete-moto-ebf-spark-r-pace-varias-cores-e-tamanhos-_JM?searchVariation=31854949221#position=45&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,NA,NA,NA,NA,NA,#951724040,"Negro Brillante - Amarillo,Negro Brillante - Naranja,Preto-fosco - Rojo,Preto-fosco - Rosa","56,58,60,61",EBF,New Spark,R-Pace,Integral,Simple,Não se aplica,ABS,Adultos,NA,NA,NA,NA
99, Capacete Moto Pro Tork Evolution Brasil G6 Novo + Viseira * ,197,NA,"
			
				Novo
			
			
				
					 - 
				
				28
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1642
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/PLUS+FERRAMENTAS,https://produto.mercadolivre.com.br/MLB-1189260410-capacete-moto-pro-tork-evolution-brasil-g6-novo-viseira--_JM?searchVariation=33730915472#position=46&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,NA,NA,NA,NA,NA,#1189260410,Brasil,"56,58,60",Pro Tork,NA,Evolution Brasil,Integral,Simple,Poliestireno,Policarbonato,Adultos,Unissex,NA,NA,NA
100, Capacete Feminino Fechado Pro Tork Moto Viseira Transparente ,64,NA,"
			
				Novo
			
			
				
					 - 
				
				35
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 621
		
		 sem juros
		
	

	
		",21,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,40,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1208745893-capacete-feminino-fechado-pro-tork-moto-viseira-transparente-_JM?searchVariation=35106742775#position=47&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,25,11,0,1,2,#1208745893,Preto,"56,58",Pro Tork,NA,Sport Moto For Girls,Integral,NA,Forro confeccionado em nylon pluma duplado antialérgico,Casco é injetado a ABS,Adultos,Unissex,1.04 g,NA,NA
101, Capacete Ebf Articulado Unissex Moto Robocop Várias Cores ,149,NA,"
			
			
				
				305
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1250
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,25,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798253460-capacete-ebf-articulado-unissex-moto-robocop-varias-cores-_JM?searchVariation=27157018288#position=48&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,15,9,1,0,0,#798253460,"Branco - Grafite,Preto - Brilhante,Preto - Fosco","56,58,60,61",EBF,Robocop,Articulado,Aberto,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA
102, Capacete Moto Pro Tork Evolution G6 Series + Viseira Iridium ,198,NA,"
			
				Novo
			
			
				
					 - 
				
				216
				vendidos
			
		",(1645 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1658
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,96,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-1097592501-capacete-moto-pro-tork-evolution-g6-series-viseira-iridium-_JM?searchVariation=27221302695#position=49&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,70,17,8,0,1,#1097592501,"Azul,Amarelo,Azul,Grafite,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Unissex,EVOLUTION G6,Integral,NA,NA,NA,NA,NA,NA,NA,NA
103, Capacete Moto Viseira Camaleão Pro Tork New Liberty 4 Preto ,62,NA,"
			
			
				
				169
				vendidos
			
		",(1738 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 593
		
		 sem juros
		
	

	
		",93,NA,Envio para todo o país,NA,NA,4.5,339,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1109013617-capacete-moto-viseira-camaleo-pro-tork-new-liberty-4-preto-_JM?searchVariation=28020170781#position=50&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,226,74,26,4,9,#1109013617,"Preto,Amarelo,Azul,Branco,Prata,Preto,Preto-fosco,Rosa,Vermelho","56,58,60",Pro Tork,Liberty,New Liberty 4,Integral,Simple,Eps,ABS,Adultos,Unissex,NA,NA,NA
104, Capacete Moto Mixs Fokker Storm Fosco Ou Brilhante ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				134
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1433
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,87,https://perfil.mercadolivre.com.br/KMMOTOSHOP,https://produto.mercadolivre.com.br/MLB-1128417774-capacete-moto-mixs-fokker-storm-fosco-ou-brilhante-_JM?searchVariation=31512411066#position=51&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,63,8,8,6,1,#1128417774,"Clique na cor desejada,Azul com Vermelho Fosco,Azul com vermelho Brilhante,Clique na cor desejada,Preto com Amarelo  Brilhante,Preto com Amarelo Fosco,Preto com Azul Brilhante,Preto com Azul Fosco,Preto com Grafite Brilhante,Preto com Grafite Fosco,Preto com Laranja Brilhante,Preto com Laranja Fosco,Preto com Rosa Brilhante,Preto com Rosa Fosco,Preto com Verde Brilhante,Preto com Verde Fosco,Preto com Vermelho Brilhante,Preto com Vermelho Fosco","56,58,60,62",Mixs,Capacete,Fokker Storm,Aberto,Simple,NA,ABS,Adultos,Unissex,1.6 kg,CINTA JUGULAR,NA
105, Capacete Original Helt Cross Vision Triller Laranja Fosco ,310,NA,"
			
				Novo
			
			
				
					 - 
				
				118
				vendidos
			
		",(27 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2583
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,462,https://perfil.mercadolivre.com.br/MOTOARTPE%C3%87AS,https://produto.mercadolivre.com.br/MLB-1155707277-capacete-original-helt-cross-vision-triller-laranja-fosco-_JM?searchVariation=36185955115#position=52&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,410,48,1,2,1,#1155707277,Cinza-claro - Laranja,"56,58,60,62",Helt,Moto Criss. Off-Road,Cross Vision Triller Laranja,Cross,Simple,Poliestireno,ABS,Adultos,Masculino,1650 g,Micrométrico,Urbano
106, Capacetes Moto Mixs Foker Storm Fundo Preto Fosco Lançamento ,120,NA,"
			
				Novo
			
			
				
					 - 
				
				687
				vendidos
			
		",(99 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1147
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,64,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-767896994-capacetes-moto-mixs-foker-storm-fundo-preto-fosco-lancamento-_JM?searchVariation=37766864320#position=53&type=item&tracking_id=88850257-1850-4974-9f5b-bead8783add2,52,9,2,1,0,#767896994,"Amarelo,Amarelo,Azul,Cinza-claro,Laranja,Rosa,Verde,Vermelho","58,60",Mixs,Evolution G4,MX2,Fechado,NA,NA,NA,NA,Unissex,NA,NA,NA
107, Capacete Moto Ebf Feminino Fechado Varios Tamanhos ,129,NA,"
			
			
				
				362
				vendidos
			
		",(98 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,35,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-801415044-capacete-moto-ebf-feminino-fechado-varios-tamanhos-_JM#position=1&type=item&tracking_id=296129d6-e4a6-433a-b859-73da1a7ccf95,24,6,4,0,1,#801415044,Branco,"56,58,60",EBF,Roses,New Spark,Integral,Simple,NA,ABS,Adultos,Feminino,NA,NA,NA
108, Capacete Ls2 Ff353 Rapid Crypt Fosco Capacete Moto ,599,NA,"
			
				Novo
			
			
				
					 - 
				
				51
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4999
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,5,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-776110766-capacete-ls2-ff353-rapid-crypt-fosco-capacete-moto-_JM#position=2&type=item&tracking_id=296129d6-e4a6-433a-b859-73da1a7ccf95,5,0,0,0,0,#776110766,Preto,"56,58,62,64",LS2,FF353,FF353 Rapid,Integral,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA
109, Capacete Moto Feminino Peels Mirage Storm Preto Rosa ,284,NA,"
			
				Novo
			
			
				
					 - 
				
				273
				vendidos
			
		",(292 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2367
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,594,https://perfil.mercadolivre.com.br/DISTRIMIX77,https://produto.mercadolivre.com.br/MLB-904264217-capacete-moto-feminino-peels-mirage-storm-preto-rosa-_JM#position=3&type=item&tracking_id=296129d6-e4a6-433a-b859-73da1a7ccf95,458,93,33,5,5,#904264217,Preto-fosco - Rosa,"56,58,60",Peels,Mirage,Mirage Storm,Integral,Duplo,Abs,ABS,Adultos,Unissex,NA,NA,NA
110, Capacete Moto Ls2 Ff358 Tyrell Preto Branco ,499,NA,"
			
				Novo
			
			
				
					 - 
				
				31
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4166
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-934089708-capacete-moto-ls2-ff358-tyrell-preto-branco-_JM#position=4&type=item&tracking_id=296129d6-e4a6-433a-b859-73da1a7ccf95,3,0,0,0,0,#934089708,Preto - Branco brilhante,"56,60",LS2,Classic,FF358 Tyrell,Integral,Simple,NA,ABS,Adultos,Unissex,NA,Micrométrico,NA
111, Capacete Aberto Moto Open Prime Várias Cores E Tamanhos ,120,NA,"
			
			
				
				89
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1008
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,7,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951088985-capacete-aberto-moto-open-prime-varias-cores-e-tamanhos-_JM#position=5&type=item&tracking_id=296129d6-e4a6-433a-b859-73da1a7ccf95,6,1,0,0,0,#951088985,,"56,60",EBF,Thunder,OPEN PRIME,Aberto,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA
112, Capacete Moto Ebf Fechado C/oculos Solar Varias Cores/tamanh ,220,NA,"
			
			
				
				64
				vendidos
			
		",(12 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1842
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,6,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-803428401-capacete-moto-ebf-fechado-coculos-solar-varias-corestamanh-_JM#position=6&type=item&tracking_id=296129d6-e4a6-433a-b859-73da1a7ccf95,3,2,0,0,1,#803428401,"Preto-fosco - Amarillo,Preto-fosco - Vermelho,Preto-fosco - blanco","56,58,60",EBF,Xtroy,X20,Aberto,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA
113, Capacete Moto Mt Thunder 3 Cap Fosco ,599,NA,"
			
				Novo
			
			
				
					 - 
				
				42
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4992
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,4,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-696706379-capacete-moto-mt-thunder-3-cap-fosco-_JM#position=7&type=item&tracking_id=296129d6-e4a6-433a-b859-73da1a7ccf95,3,1,0,0,0,#696706379,,"56,58,60,62",MT,Thunder 3,Thunder 3,Integral,Duplo,NA,Policarbonato,Adultos,Unissex,NA,NA,NA
114, Capacete Ls2 Ff353 Rapid Crypt Fosco Capacete Moto ,599,NA,"
			
				Novo
			
			
				
					 - 
				
				51
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4999
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,5,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Rlc%2Bo9NXQqF8Kr5YRoDEIgtvZ441VB%2BtN5Wr%2FRalT4cx2nh88mwmXVGZrry4B%2BJLgGXwHk1EzHD%2BK5fJMtG7zJTxaeKhJH7y47fwE%2FgwgvsuhzUh3aMRAb4zo3zAbK%2BsT2wT4TGH3sf%2BvJEffJJpHzwYHmk4BRugdCf7QraFS3axI1%2Bcwi%2BArEWONWngzQ6pB4mufwVZH2XB77m7V%2FdOk%2Bv1flEMAWgEUcqP2fKROCVl5mMxCQSbmwjN42FgBwsyZZWgdylqWQgaPhImc6p55QA5mhoATDr6MZVNtQVzWVwNDMcT0Lbf3b40ICLdx9Hgds%2B4QD%2BfF9dCcyL5dFZY3z8oo5iwLtVT0ZsB6fCgrweBRoCiXD7vgLUrUWbouDetQJPbP3%2FWFdJvyQcgXIOOGpR06uGgk1BmdXqHVTlnBPb9vNs5s4wDLBtkL34N%2BeVRvQN%2FqrKv%2Byj%2FtQ5NbrfW2gDo6OM3vHhReS6xynEbDzAZ25RZjCdgEwdCvn9PwWLhPJKwEXhT87GgRjyie5LXHX7dd9wAOmAj%2Blpjz5A0uXIStWAJQK%2FGh3g7BfCYH5iL%2FyjvaEx2GMVq5gtIpS5L8oxENTgPWZ3HiXKTg0a2sr3nSF4xeSNs97N3mdLsP9AXYGNwijRfQ3bPsorBQ%2FGIS9HXX0ryR3r8lx8VtVpEjA1DJg%2FKPjdbRnXLF1KgDxQo4buyN6Cnr7a2afrtHn4Hdvss3rlTI4juWPRXwwl%2FFzmjsY%2B9bWe5VsLSHdEHiKqwMY2KDyaclmRt4IOR85x1nYpqN7LiOZ7T47mni%2B%2FhsEv04SSIwKsNfDHRso%2BUgo6h4oF93IOLs%2B7dB0EUYLBXMHzgJxPtHw%2F25A6yHDAdkqRH0Rpn8sqY%2BfugWr62u5rVBkYkBvIYS7T48IQc4ci6sXZ2FKHfu748lHKWUCosE7Iu0l35imlLVBvXU1DTnrmaWUQZh8kEPG%2Bni4PcYnSHSI%2B8Fp%2FjEp5EPvkX1S3m4TT9pLfiLqyksSclXICrwXm2c9%2FepS4IWoaWOAgDM%2B5feS5XqjVhp%2FDV6IGb4N497Rg3lROTxjSGmYSLWt69ubCFUyde3MrJAXRj23YPiAeEIrOKnQ8UznEKto0utInlg4aGUsw3RbvS8Wlm0CFZB0ikt9yB5ZV1M2Z926LEtJSYPvgRB3pi7gRquapwudOEREGrsWE6Xvlz6wHFxHKFEuLk%2F%2B540S7i%2Fdc1aRoznC8s7u35wdoO2xQOgRmu3muGcT7Ybnn4K5l%2FQ5OZo9Fm%2BRMWuQx%2FeK1cVUITPUcuBT5r9%2Fj4YVyJH1Ncl6iQNo1b%2Fp48Yzb%2Bh%2B8y8EGBGbBvmmn1ursVKyfwUXzJPVGz0%2BTt%2FwDQZqSzxWqP3JV9lvFIZ%2Fqb0ZpY3C7ftiM7Mk1%2B50suNFKlwlk78PvLey%2FJ9kL2XdcF7mcUP5U9syGNPt14fHN6%2BJYQ%2FUFsB2VwlYqYw%2Frq%2B5bvQ%2B2rAaqC%2B2FCG4iGU%2FrH7J6iFMclHdA8yy0mYDV50ieMp0s2H7nDX%2FWdZSij%2Btk2PK797UXGzonoyQBbbg%2BQLwCoqa%2BqKvxgdn9TeDJwy4VmFo%2FOrEmwy%2B7ZbbiKn%2FNj%2FQ%2BvGmlQZLrEZp26DxXWgxKoI5v9HJoSd9OBiSkn30ih6JXTethiVGlRjTklFCpANIEOJ9FUn0pcbw0h7nL1XwgRbplDwkr3azOll3pO0uKn23xWdXlrqChLq%2FNd9ARLhy%2BQGtLsPAywOQ2p7vPsTkk2x63%2BnCIYLKLSzsTCZEGnTn0NrhPaCKsiueShEdL27M7FlpT1cZ%2Fwpn1J4DuGDWK5dznCHGPaxEt2gUnCH5%2FtqITUh7%2BElZO%2Bq0DPT5CpqmNgjqA7zV3CNDO64iO3HmhRhSC4vBcAC4tDHAUXDnOMZo3NVaeGdonRBEmssSA9oay1n5syD1zam%2FH7GbDV4IXtA2xx8AxnjM19IG%2B%2BQLgywjwpyMQcspH9MJb3bcP3VXn07Z08FmhzSbOAbaCLso59QnqKx3ax8%2Bm%2BDh2igNDfDyFojzEV3w%3D%3D,5,0,0,0,0,#776110766,Preto,"56,58,62,64",LS2,FF353,FF353 Rapid,Integral,Simple,NA,ABS,Adultos,Unissex,NA,NA,NA
