search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Tipo de casco,Tipo de visor,Edad,Modelo,Línea,Materiales del exterior,Tipo
14, Casco Moto Hjc Is-17 Loktar Mc-8 Con Lentes Incl. ,259,NA,1,NA,18 cuotas,532.68,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=gt%2FeYIg%2Fq0KESogHrgSu%2F7ju%2FWmKkxAuyTxCPRiVwYL3FZczYJ%2BRDFvTO%2FMDDRPH%2FDZKXqYfSWS%2Fz%2BDXoKr4%2FDbLgcMI9ndozS8110gN0a9F0eyP63l4eXBkKzNOH8CWn2qglPXOlPaO2Y0ezDk7ex4GH6Y1Bgfb6xb3qiangcROiOTAkaJqGe59ZaxippvODqN19UtKbHlgEaqOB8eKCwPBTPglrQFdg4zdVmIFygzhK71BU8LuEsC9tOwy98AAGdCCnVA2dh9Jo7ERD7Ife2CP%2BLhil4c3sTMZeJ2AjIHAwpK2nFADGfuv3ot2bBrf3iDw3qgCHLaW4pWX8odDPGEu%2B5RvoMelvyyWVEAryZEcD0k5HENLlWfZrQ5HA8I64Gjq4M2sko3V83aS07UAtZMFRADzVtLy0vWQmrkllZWIGPkqyfKhKvYlLciUnMaPV2Im4L%2Fgs3AAoq4%2Fw0hukNpuSFgodVESPxOuvHfYPAhuoQGCnHpipiYFvhIAi3PjyLeU6l0GOlZ4w6jLdRPsPiwGreHAl4ujiKW5yYJpEIBeRn5%2FEIfF%2F%2BnQdTZ7Rz33bvoB6AQp1D%2B%2FtbA2poJJ490w0OumJuZ6W3UZ5C4rfZcJV8JU07Nbn%2FDCBfqA6UmfwGOjWZNYgHuwK%2FhcfKU0WBG4jk%2FBkA8KwO9pYBwG9yUOzHPh7RFOGMxbEgfR1P1wdAoauLeZHAzCzVuVTY3KCTpcaEPFYTXUcC%2FfoPJqB7Mg9%2BswvwUIL7629kjlFud76w%2BIGyVhr4%2B6XZf3QJyhhBeggMoLXQoMgaID7%2BDjWUzBjcMIaraZfN8Y%2B%2FEcIqwVNWZUXk%2FJcn16Q4SpD6oVkDKmQT2kWfgtOHeOHLUIltsSqNtxGaieekz8FDFqsVYy3XC6AKFjorudyUxEGmjpV4pDTATTDK%2BR9yVKeSf95N0BP0RlB7qKcNV9KThu3fawj9RFe1ugFSuCpc4UH662N8lM5547S2oBQOrnr%2Bsmqhq8zUZd8K%2FwmgJ9t6CNoX3mB%2F11JNqWoBBKn2XC3FJuRQxoqLRAR5WChE0yuw32JP6i9XsIzW8E6NyvSxMMK6mHEJT46RCvOHYJErv8ILbrtC5GG6lRZTQJSHa1ljghAZCQqIWluRlJvazaCrWbb2%2BMeazLdEB2PenNeVwqUUXJ7jR1%2B1GHPYZ5kIhwwwYcHMZXkrFRJlwca%2FQK7woTunRyReqg72vQysZwSSz2V5WdLLRAYU5weYyytwYkR19X297GKu%2BCW8R3nBd%2B1BsQAA8ygngj2%2FW%2BncSNoLLkdMcm2O%2FpQFgRa6BPPas4BR8zfqSz2m6mwZKT3K1%2F4TJJDbs6tNXIhnfOcmNcegHOAwfpygozCtWrqVTjrGbteFcflcFrk4sC3UZWohok1ACsmlZM3UboQbwHmGSvUglxPvR0XQaG9Crfb8mu3pMljbSY78b%2Bq%2BxkXKpn03gZz3c%2FklOltxrqnyAURqR7Udh44lSMDdZOtsUrQgepIViBd%2BrXGXC%2F%2BJ%2FpfkOvOKh87vrjBW%2Bs08sIkV6djEf01qrgrUWJTmcCO7NxZ%2BLFo7tCpM0UEuJaj1wEfvhOdMfPEJCaTRgf7yRG4Pxud%2BCOob0uioBD880k%2Fzm%2Fy%2B0uemmidi3eJEi2Vqa7y%2BZJzyO6rRUkSDDXBMFYu582UXE2D74R3H6m8jwuWjQm48QHI2TwTFEAvD1LDNlkctuk6nOyfTDaNMTvxzQYUxK0KtjXEf6LR4ZXeVXeUksbg1nnwlQrD4rC62fy8DHTqTlMW5oVxxrhaflAsAghgUjES9V3DEHtbgxi%2FP6yB%2Bqx4Sfx8wC5u1J4JIAxUNOoo9ujPDJoYyCG%2F4eQrFUdyRXlWuykNvG5J1qcGEKXQuIW8BUy8IJZXE%2FLDGmOCA%2FgrVPnyy1iG1hQd2xTvG62wV45FGjvr5sr61Mj9ChsoXs%2FQfZ5fE%2BueRADSSM%3D,NA,NA,NA,NA,NA,#454978455,NA,NA,HJC,Integral,Doble,Adultos,LOKTAR,IS-17,Policarbonato,NA
15," Casco De Moto Para Niño Power Maxx Modelo Bite, Aprobados. ",1260,NA,4,NA,18 cuotas,70.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-464045000-casco-de-moto-para-nino-power-maxx-modelo-bite-aprobados-_JM#position=15&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#464045000,"Azul, verde y rosado","XS, S , M",NA,Integral,NA,NA,NA,NA,NA,NA
16, Casco Airoh Twist 2019 De Cross Great Red ,279,NA,2,NA,18 cuotas,573.81,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-457117890-casco-airoh-twist-2019-de-cross-great-red-_JM#position=16&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#457117890,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cross
17, Casco Moto Rebatible Givi X16 Voyager Antracita Con Lentes ,219,NA,6,NA,18 cuotas,450.41,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-446875319-casco-moto-rebatible-givi-x16-voyager-antracita-con-lentes-_JM?searchVariation=16566253194#position=17&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,3,0,0,0,0,#446875319,"L,M,S,XL,XXL",NA,GIVI,NA,NA,NA,X.16,NA,NA,Rebatible
18, Casco Hjc Moto Cs-15 Trion Mc-4f Mate ,109,NA,5,NA,18 cuotas,224.18,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=4Q6gD8R6s6DTETT2pKQUpgbTZk%2BM57TTAzxELOgcZzRWU9onW41DpWpYschDEVt5z1fE534ZOHIJUyK1zBk3%2FkHu7oc%2Fk%2FOWoJTNYR4YM7v7RlFbj0mPUulG2dOml3%2Fc26mmkfmOUJ1Hrq%2Feg6E67SGpSOQk5l5HmmEPqt4ue%2FaaULalXtxgckYBG9I1ZuyEU08gD1BszZkBrHV9%2Fu%2BixPBzq74FHzQ0ZqDXI%2B1Q6UDgPZ8sVuJFhju03NQMx84r4DIfgWlpKy4Y%2BgMDOlct9tdvw8KrqjEgJiQI4R46RW1Y0JwDz7Joe4wzpaOmxt1ivDqQGZssqE7HAXCaOL6LqXepnCEckXIpYoxY21FaJDaVsAem0j%2FamQSIM7KyRXHmYrQHIDxTMOdqvdQaUXYpGcuhBwbGQ6DKDheoUmxdmMrNW1lKkMhJgCx685nPI%2FGm%2FMc4DuA6E64C2XucfHnlaw8mwODz9iMauWvNWFE8FCMptShqvGGr5whTjqX9%2FOtoNsgX%2FFEI1JHFKAbuTDrtVCxPZvfnCjONI30zdq3UakM%2FDTPVyzEu%2FlVBqqh%2F6DVffN55bFdCXgcpfGYESowXTJK5G1HRLf03gOUiiKCk25Nk7wLlRvcYytKlwkQ%2BRw%2BSIG%2FMZhVplVa2DLgDDZ7WJiwFmpqIIIslxRLOpHTI6stUc7FYlF1WVuXXhtDFMsCIc%2F%2FEVT3hyayeeCykkdw4gLHsaIGDP39vL2QZVtD6Mfb%2FtLmv4NmjHlt6FBCiJftahfVQXHfYvwGHThdolornlNYs0yx2P1%2FWxBB4Gwd6LYkD%2FiDIhBorgbWLJJcll25FkBQc%2Fz5DUkLJc4YC%2FoQ1%2FG6fdTW90GD7hfvBg2zbRDFwmb5gKdIkFKqhjkViEq4I%2B30Hk8ZTErBvakuREpm%2B73MuBsDYjOurs%2FdO8if2FB1YFQ%2FbFFwhetWgPGta2h%2BmfQzORhW%2Bilc6i%2BUtjWJSRKe07xuWzjkHbgy62epqOwoDKRbnop34Iufjwcn%2FXgPTuvMT1TJyuiEqU0EUCd6D%2FyfkGkqWkN0AGtbgzIGY3l6bYIJrIE5ggFEVwFVIx2KEVeyV1mbbFuO1JkHxSDP154OZi%2BOGzOfUjvSa7RB%2FU%2F3UAIVNzGQ%2Fe%2FyXyGf8VfC0%2B2ivwNg5MVTdPHwuF%2FrLoYWDcF%2FX1HNqT7lp2aIrBVvzn%2B0pidNW6Q1AWIY1DgVsEvT8xegnNRk7%2F3teWL%2B7Qfwg6PL56TJPfyoD9LXkUvfUn%2FvTVIWog%2FlBtSppax8TFFgWGmtaRhOFBcIe0AY2gYaN49eX9hzVqO2II5SIS9WrnPPCw35Izry4jcPckOr%2FgEjCL0vn9r53P6RYje0v8eZzBi6%2BsTB%2B1ccXWsWwH2LNvGK%2BMMH3LLEnMilL%2FMQN%2F7K0WSCDKlf8JrhlSAIKWj5AAgTWzTy%2F8lRvPbpB4qxdJm2sJqOp0%2F%2FOgH3ixb2PR3nf8QXqBFp67JZwKWYWTf5U07YjPUTgQUxYrR2%2Fsp9MMKQ%2FwZ3vZJDynPYXaAuU5YsO66%2FFryO%2BwE02SEZx6yuXtFIBwqG56EqwW6vghXuxk6tb0KslBeIwwahDtgBWljlja5GUp2YO0oMi9iXhuZLitsj94VYzpohUPTr4Z%2FpRh9ltjIn0RMiMnNsHLb3TnX3PV3JHqxaIIhV6o%2Fl9WwmErF%2Fzn5ddn%2FGVE5BhevPwjBD6HcFs1lkDnF5%2BzoK9ma%2FgQtxuHNZGbwdcSvjpQPQ455pP9S5mmf1E4WW%2B3qbjwpHxwwanyOiCWBvHHLvoPU7H9bYXsvWD2ne2xZbNjTNB48ebVmcctOKFqm4UhNn%2BHD8vnZpR7IDw1Y8pp0QGU9E3KTnAxe%2BlI%2ByjSVcMtvup8VwowgT4weHkkmZbqJncO2AjSbvQsEwNBpcxTnV20kONVn1gIP7LKbxaXHsOuYLUWMt%2B,NA,NA,NA,NA,NA,#454979247,NA,NA,HJC,Integral,Simple,Adultos,Trion,CS-15,"po, Policarbonato",NA
19, Casco Airoh Cross Twist 2019 Twgr32 Ls2 Agv Acerbis ,279,NA,2,NA,18 cuotas,573.81,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-457116600-casco-airoh-cross-twist-2019-twgr32-ls2-agv-acerbis-_JM#position=19&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#457116600,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cross
20, Casco Mt Thunder 3 Con Lentes Negro Y Verde Mate ,125,NA,7,NA,18 cuotas,257.08,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453055870-casco-mt-thunder-3-con-lentes-negro-y-verde-mate-_JM#position=20&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,1,0,0,0,0,#453055870,"Negro, gris y verde mate","S, M, L, XL",MT,Integral,NA,NA,Thunder 3,NA,NA,NA
21, Casco Hjc Moto Cs-15 Treague Mc-5sf Terminacion Mate ,109,NA,2,NA,18 cuotas,224.18,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449739509-casco-hjc-moto-cs-15-treague-mc-5sf-terminacion-mate-_JM#position=21&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,4,0,0,0,0,#449739509,NA,NA,HJC,Integral,NA,NA,Treague,CS-15,NA,NA
22, Casco Moto Hjc Is-17 Arcus Mc-1 Con Lentes Incl. ,259,NA,5,NA,18 cuotas,532.68,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979871-casco-moto-hjc-is-17-arcus-mc-1-con-lentes-incl-_JM#position=22&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#454979871,NA,NA,HJC,Integral,NA,NA,Arcus,IS-17,NA,NA
23, Lamina Interior Casco Moto Anti Vaho Anti Empañante Invision ,23,NA,12,NA,18 cuotas,47.30,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-447177989-lamina-interior-casco-moto-anti-vaho-anti-empanante-invision-_JM#position=23&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,2,0,0,0,0,#447177989,NA,NA,NA,NA,NA,NA,NA,NA,NA,Integral
