search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Peso,Usos recomendados,Modelo alfanumérico
1, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,1773,NA,327,5,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,311,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-777255941-casco-moto-hawk-rs1-integral-negro-mate-tienda-oficial-full-_JM?searchVariation=34759668371,209,65,32,4,1,#777255941,Negro mate,,Hawk,RS1,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
2, Casco Moto Rebatible mt atom Transcend E7 Azul Brillo ,7337,8370,15,42,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,10,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-751405973-casco-moto-rebatiblemtatom-transcend-e7-azul-brillo-_JM?searchVariation=39729708176,5,5,0,0,0,#751405973,Azul brillo,"M,L,XL",MT Helmets,Transcend,Rebatible,Doble,Poliestireno de múltiple densidad,Policarbonato,Adultos,Unisex,Atom,1700 g,NA,NA
3, Casco Moto Integral Vertigo Max. Full. En Gravedadx ,799,949,729,115,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,46,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-683109534-casco-moto-integral-vertigo-max-full-en-gravedadx-_JM?searchVariation=35477314606,33,9,4,0,0,#683109534,Negro,"L (60 cm),S (56 cm),M - 58 cm,XL (62 cm)",Vértigo,Vertigo Max,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
4, Casco Moto Integral Vertigo Dominium. Full. En Gravedadx ,2699,NA,816,53,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,206,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-698754581-casco-moto-integral-vertigo-dominium-full-en-gravedadx-_JM?searchVariation=32109894632,128,53,18,3,4,#698754581,Amarillo fluo,"XL (62 cm),XS (54 cm),L (60 cm),M - 58 cm,S (56 cm)",Vértigo,DOMINIUM,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
5, Casco Rebatible Hawk Rs5 Flipup Negro Envios Gratis Al Pais ,2736,NA,985,4,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,891,https://perfil.mercadolibre.com.ar/ANTARES-MOTOS,https://articulo.mercadolibre.com.ar/MLA-639034451-casco-rebatible-hawk-rs5-flipup-negro-envios-gratis-al-pais-_JM?searchVariation=27160362770,565,236,56,17,16,#639034451,Negro - Brillo,"L 60cm,XL 62cm,M - 58 cm",Hawk,RS5,Rebatible,Simple,NA,Acrilico,Adultos,Unisex,Rs5 Rebatible,NA,Urbana,NA
6, Casco Moto Integral Vertigo Hk7 Mate. Full. En Gravedadx ,1405,2108,2265,18530,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,295,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-616668706-casco-motos-integral-halcon-h57-cuello-guantes-sti-motos-_JM?searchVariation=27050402200,183,66,32,11,2,#616668706,,"S,M,L,XL",Halcon,H57,Integral,Simple,NA,Policarbonato,Adultos,Unisex,Integral,NA,NA,H57
7, Casco Motos Integral Halcon H57 + Cuello + Guantes Sti Motos ,1405,1967,675,1360,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,295,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-744827612-casco-motos-integral-halcon-h57-cuello-guantes-fas-motos-_JM?searchVariation=26854120381,183,66,32,11,2,#744827612,Negro,"S,M,L,XL",Halcon,H57,Integral,Doble,Resina termoplástica,Polipropileno,Adultos,Unisex,Integral,NA,NA,NA
8, Casco Moto Hawk Rs1 Integral Negro Mate Tienda Oficial Full ,1773,NA,327,5,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,311,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=CmtMQGAfGm3%2BtKkTwFBrbenSY7WGe4FAAdrjHztouE2IWL%2FTpyMwb9vvZf%2BXeWF9M%2B6Es0AIaSxsVfqSWIH8YH5jfitvQPyKIQUSSrh2hSBYn2XTS5WxHlJ%2FmaDa7nVxoT6N5RmimiuezBMTDdhH16nK068O1R%2BIkmrKVzA7qCA%2BcCxLXwvbrgJSKw8%2Fv2%2BsHYijandAmkXlk7qC0Lsl3jKnwDCPNArFN1lgNng2QlWWTmlkIZgc%2BwDl%2BvU6ZxAbqPg0PaJw2Zt%2F8RecUb5J3YBiOtUOa6w6x7g%2FzZM6bclPFCnG%2B%2BK1ly%2FL9GCN454y%2FSQPcyA80rRjNq0%2BMEDY20BWmtnqEdsyvR18SR2PLL4CLc9DVqW4e3xXWluSgjaWqcD0yuUq%2BpsF05zGTKcdCuBsgBjivTSwLb8BvRPgPKhgEsQTB3PwtvpU%2BHcvenU4KL9qTiQ3aFOWezYMsIJT8DPIX9tsY97El6qMXug60QDvak0SuC251RPAClWjMGwDLhluiwZ3DywyU3kQ3we4HfoXdejuQ8wevxFih%2FGIQwp7Maz3IWYLGEo7%2Bf8BJ9E0v8GIwwaHU%2Few%2FPBsR8ylvMlMhfOlMwf7QdjEZnGjh9%2FE2IXKYH3BjJJRN2ixKcUUvrl%2BByhYK5QcCU2225stjGZkoFMw8BX0xNzZ7ayNbE72jXi9CcHK7LzNemDk7UdQGUKW3XuzAk%2BdQ4U0hX7%2BUuJlU7De%2BfzzxyNkbPsi25u81G0rg7T2ChS5H3iwblBky0wtOHPpd3nYKg2kkUOT43xvrG54Hh%2F%2B1YW6qqsTSdgc1ILBJPTQgXfg8KgXEuL0k0R2c9yLeS1GJN4cMddWPIl99ZVn6CnrrVaz5bl4mj70hD4l5LsP7g7To9Gr6oYx6jTBoyoonDWWF2VtSRIHUjzt2Z4mIJ0vA2YRwsIBilHMDynA7OhQaBjKuqvWAGZ3kZSatapuZFak14dxwhfpY%2BudVF8AdPv8uhlCg38tFczvWlqvNxL%2BvnRE7dbDkhy3CXw26dsJRS9i91Z4UISlB1TRNgfeGqQJPMUyat0gUz5kxeEGof6c%2FGl74PeynNe3VAQzJxs7z3rrMwzlfH6ZVtAOUk3jNh7mshwFF92o1KPaTY6yJkHWVxt%2FUlYWvq5FjixOX53iGXTPOAyKBkPMbsPn5cmoCyjlI%2BprbjbMW%2B%2BeTZ1e5T7JOKczVVdmrw4o6Qbil5YKPA%2FjoybOTfidDvwtOyAhXetck%2ByL0Bsk1ccurhImdQXflNiD9GRrgdppnlMA1xvlTDzPv%2FBW%2FTAur0nileMx5kYRK07r33RgQWnC8%2FMCHzctanT5%2BGB%2BmOJT%2F%2FuxPhuyvKT%2Bqhc1dsCq3SyCUhfFCJryckfy1e5pnQonCT18yVRrDOi03qUeFeoh%2BJYHvkMrxStHe3H5bnINdmvo89b6cfSU10xPTjts30ov%2Bl5h3l%2Fw6Z6qW0cuhlsOeun2n%2FKeAoexsz%2FekCJZPftDoDEmFKlrnPqaMAoNAd3aCLyhg5rNDVegd%2Bhf%2BVx2f2dPM1Ai6BVPz9f2%2BPArZsDpK%2FhoitJM93QAPi86PB8vPgQ%2BGaL6dfjErOhwSLyJfrfPBuDL4vixbJYv%2FBkn5fsxbz5i1nCedNFt85B7ItljiqOvmxxQBOrjdnw4niBCJZ3ekMK7BzQo1AoyexRHzqPIPeI%2Bqzl1szmEYnfQnhLOhpmQaEJWRAJ8kOC3vjYPUeOtqP22ZrJoRiaN%2FzPTYBG6PqC9PX6dyqQiWvdM5EAJ9bfdT0SusW1p52Fnj43lCggslEsz2mmQK6urQsQ8wLpvLvFsgfLNoSL%2FWBavLZ0zARsRUeXijF7XJM4%2Bk2IAykQQbF9KuZmSejF5,209,65,32,4,1,#777255941,Negro mate,,Hawk,RS1,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
9, Casco Motos Integral Halcon H57 + Cuello + Guantes Fas Motos ,2754,NA,1398,20,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,206,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-673895784-casco-moto-integral-vertigo-hk7-mate-full-en-gravedadx-_JM?searchVariation=25749397874,128,53,18,3,4,#673895784,"Azul,Gris oscuro,Naranja,Rojo Flúo,Violeta","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm),XL (62 cm)",Vértigo,HK7,Integral,Simple,Set Poliester,ABS,Adultos,Unisex,Vértigo,NA,NA,NA
10, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,6595,1,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-796287611-casco-moto-hawk-zx7-mx-cross-enduro-negro-mate-oficial-_JM?searchVariation=39610166914,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
