search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Peso,Tipo de visor,Línea,Tipo
1, Casco Ich Integral 503 Certificado Gratis Placas Dot ,109.9,159.9,478,22,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,21,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-461184205-casco-ich-integral-503-certificado-gratis-placas-dot-_JM?searchVariation=40977991088,18,1,0,0,2,#461184205,Negro,"S,M,L,XL",ICH,503,Integral,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,NA,NA,NA
2, 2 Cascos Moto Certificados Abatible Ich Gratis Placas Dot ,189.9,249.9,1191,908,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,105,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451628815-2-cascos-moto-certificados-abatible-ich-gratis-placas-dot-_JM?searchVariation=37527543135,81,17,6,0,1,#451628815,Negro mate,"S-S,L-L,XL-XL,M-M,S-M,S-L,S-XL,M-XL,L-XL,ML",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
3, 2 Cascos Moto Ich Certificados Integral Dot Gratis Placas ,199.9,279.9,157,98,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,15,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446507047-2-cascos-moto-ich-certificados-integral-dot-gratis-placas-_JM?searchVariation=40421912606,13,2,0,0,0,#446507047,Negro mate,"L-L,L-M,L-XL,M-XL,XL-XL,M-M,S-M,S-L,S-XL,S-S",ich,503,Integral,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,NA,NA,NA
4, Casco Ich Abatible 3110 Certificado Norma Dot Gratis Placas ,109.9,159.9,477,400,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,47,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451861202-casco-ich-abatible-3110-certificado-norma-dot-gratis-placas-_JM?searchVariation=21094453672,35,9,3,0,0,#451861202,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde,verde policia","S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
5, Casco Ich Abatible 3110 Certificado Dot Eliminador De Olor ,114.9,169.9,104,59,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-446506027-casco-ich-abatible-3110-certificado-dot-eliminador-de-olor-_JM?searchVariation=25698736423,2,0,0,0,0,#446506027,Azul,"S,M,L,XL",ICH,3110,Integral,Interior EPS (Poliestireno expandido) de alta densidad. Materiales del exterior,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
6, Casco Moto Abatible Certificado Ich Dot Gratis Placas ,99.9,149.9,598,353,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,66,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452034081-casco-moto-abatible-certificado-ich-dot-gratis-placas-_JM?searchVariation=39382201338,48,12,4,1,1,#452034081,Negro mate,"S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
7, Casco Kontrol Certificación Dot/ Ntc/ Knt 860 No Shaft Ich ,119,NA,21,89,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://articulo.mercadolibre.com.co/MCO-509802051-casco-kontrol-certificacion-dot-ntc-knt-860-no-shaft-ich-_JM?searchVariation=35427908834,1,0,0,0,0,#509802051,Negro mate,"TALLA L,M",KONTROL,860,Integral,icopor y espuma de alto impacto,coraza externa en abs (resina termoplastica de alto impacto ),Adultos,Unisex,NA,Doble,NA,NA
8, Casco Ich Abatible Doble Visor Certificado Placas ,99.9,149.9,163,378,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,15,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-452437042-casco-ich-abatible-doble-visor-certificado-placas-_JM?searchVariation=23233326269,10,4,0,1,0,#452437042,Negro,"S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
9, Casco Moto Ich Certificado Dot Guantes Chaleco Gratis ,139.9,179.9,149,104,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,10,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451860693-casco-moto-ich-certificado-dot-guantes-chaleco-gratis-_JM?searchVariation=21096322764,8,1,1,0,0,#451860693,Negro,"S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
10, Casco Moto Abatible Certificado Ich 3110 Dot Placas Gratis ,99.9,149.9,125,393,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,9,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-445921735-casco-moto-abatible-certificado-ich-3110-dot-placas-gratis-_JM?searchVariation=18010980802,8,1,0,0,0,#445921735,Negro,"S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
11, Casco Chopper Xtrong ,150,NA,29,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,3.7,3,https://perfil.mercadolibre.com.co/BOUTIQUE+MOTOS,https://articulo.mercadolibre.com.co/MCO-466274114-casco-chopper-xtrong-_JM?searchVariation=31560279029,2,0,0,0,1,#466274114,Negro mate,S-M-L-XL,XTRONG,XTR-629,chopper,NA,NA,NA,NA,NA,NA,NA,NA
12, Casco Moto Integral Mt Targo Certificado Europeo Ece - As ,279.99,340,98,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,14,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-462871593-casco-moto-integral-mt-targo-certificado-europeo-ece-as-_JM?searchVariation=32912015146,13,1,0,0,0,#462871593,Negro mate/Rojo,NA,MT,TARGO,Integral,NA,NA,NA,NA,NA,NA,NA,NA
13, Casco Moto Integral Kontrol Certificado Dot + Obsequio - As ,109.99,140,25,15,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-501927986-casco-moto-integral-kontrol-certificado-dot-obsequio-as-_JM,1,0,0,0,0,#501927986,Mate / Brillo,NA,KONTROL,KNT-858,Integral,NA,NA,NA,NA,NA,NA,NA,NA
14, Casco Kontrol Certificación Dot/ Ntc/ Knt 860 No Shaft Ich ,78.99,NA,40,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/EDINSONCARDENAS,https://articulo.mercadolibre.com.co/MCO-468514904-mascara-careta-modular-moto-cafe-racer-casco-open-face-_JM?searchVariation=22910708379,2,0,0,0,0,#468514904,Plateado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15, Mascara Careta Modular Moto Cafe Racer Casco Open Face ,25,NA,54,2,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.8,10,https://perfil.mercadolibre.com.co/SIABATO25,https://articulo.mercadolibre.com.co/MCO-467268961-tula-para-casco-porta-casco-impermeable-forro-de-casco-_JM?searchVariation=36452563975,8,2,0,0,0,#467268961,Negro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16, Tula Para Casco - Porta Casco - Impermeable Forro De Casco ,59.9,NA,60,4,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,6,https://perfil.mercadolibre.com.co/COJE1458660,https://articulo.mercadolibre.com.co/MCO-477622802-pinlock-casco-lamina-antiempanante-_JM,5,0,0,0,1,#477622802,Transparente,NA,TRIMON,NA,Integral,NA,NA,NA,NA,NA,NA,NA,NA
17, Pinlock Casco Lamina Antiempañante ,379.99,NA,24,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,3,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-460325258-casco-moto-integral-mt-revenge-certificado-europeo-as-_JM?searchVariation=36574696971,3,0,0,0,0,#460325258,Amarillo flúor,NA,MT,Revenge,Integral,NA,NA,NA,NA,NA,NA,Speeding,NA
18, Casco Certificado Abatible Para Moto Ich 3110 Negro ,10,NA,46,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/AND_GT2005,https://articulo.mercadolibre.com.co/MCO-470351592-porta-placa-casco-_JM,1,0,0,0,0,#470351592,NA,NA,placaport,Porta placa casco,NA,NA,NA,NA,NA,NA,NA,NA,todos
19, Casco Moto Integral Mt Revenge Certificado Europeo - As ,199.99,NA,27,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4,2,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-508809203-2-cascos-abatibles-doble-visor-dot-intercomunicador-as-_JM?searchVariation=34939691274,0,2,0,0,0,#508809203,Negro,M/L/XL,ICH,ICH-3110,Rebatible,NA,NA,NA,NA,NA,NA,NA,NA
20, Porta Placa Casco ,114.9,169.9,409,391,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,48,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-449639667-casco-moto-abatible-doble-visor-certificado-ich-mas-placas-_JM?searchVariation=21093543550,34,10,2,1,1,#449639667,Negro,"S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
21, 2 Cascos Abatibles Doble Visor Dot + Intercomunicador - As ,159.9,NA,20,7,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-504577586-cascos-moto-cross-certificado-hro-mx330-integral-obsequio-_JM,1,0,0,0,0,#504577586,"L,XL",,HRO,MX330,Integral,NA,NA,NA,NA,NA,NA,MX330,NA
